8'尤文右路的突破起球，利希施泰纳速度非常快，中路佩雷拉的倒钩射门没有打上力量。                   7'开场7分钟，利希施泰纳右路变线过人传中，佩雷拉前点距门8米处倒钩偏出近门柱
52'帕尔马现在向前传球就是被断球，非常的被动。                   50'第50分钟，特维斯中线转身摆脱直捣黄龙，斜线突破卢卡雷利、科斯塔和费利佩，在门前14米处推进右下角，4比0
53'帕多因拿球回传，尤文没有什么压力。                   50'第50分钟，特维斯中线转身摆脱直捣黄龙，斜线突破卢卡雷利、科斯塔和费利佩，在门前14米处推进右下角，4比0
58'帕尔马前场的进攻，卡萨诺给格扎尔，但是他停好球之后发现球已经不在脚下了。                   58'第58分钟，博格巴在门前23米处轰门又导致米兰特脱手，特维斯在门前9米处推进右下角，5比0
58'又是特维斯！                   58'第58分钟，博格巴在门前23米处轰门又导致米兰特脱手，特维斯在门前9米处推进右下角，5比0
59'博格巴大力远射，造成了米兰特的脱手，特维斯跟上补射，像离弦之箭一样快！                   58'第58分钟，博格巴在门前23米处轰门又导致米兰特脱手，特维斯在门前9米处推进右下角，5比0
59'简直是屠杀啊，要知道场下还有乔文科这样的球员                   58'第58分钟，博格巴在门前23米处轰门又导致米兰特脱手，特维斯在门前9米处推进右下角，5比0
60'特维斯下场休息了，换上了科曼                   58'第58分钟，博格巴在门前23米处轰门又导致米兰特脱手，特维斯在门前9米处推进右下角，5比0
61'今天特维斯下半场的发挥可以说是完美啊                   58'第58分钟，博格巴在门前23米处轰门又导致米兰特脱手，特维斯在门前9米处推进右下角，5比0
61'特维斯今天任务完成的不错，进球数也提升到了8个。                   58'第58分钟，博格巴在门前23米处轰门又导致米兰特脱手，特维斯在门前9米处推进右下角，5比0
64'但是博格巴这个打门太高了，没有控制好。                   64'第64分钟，博格巴左侧距门23米处任意球高出
65'帕尔马最后一个换人，卡萨诺下，换上了贝尔弗利尔。                   64'第64分钟，博格巴左侧距门23米处任意球高出
66'尤文球员后场的拿球相当自信啊，面对两人还是把球轻松的摘了出来。                   64'第64分钟，博格巴左侧距门23米处任意球高出
66'米兰特的大脚出现了失误。                   64'第64分钟，博格巴左侧距门23米处任意球高出
76'莫拉塔进球了！6比0！                   76'第76分钟，科曼中路挑传，莫拉塔反越位距门10米处推进右下角，6比0
77'科曼一个非常漂亮的挑传，莫拉塔接球冷静推射，相当轻松的一个进球。                   76'第76分钟，科曼中路挑传，莫拉塔反越位距门10米处推进右下角，6比0
79'尤文图斯现在还有一个换人名额，不知道会给谁。                   76'第76分钟，科曼中路挑传，莫拉塔反越位距门10米处推进右下角，6比0
79'莫拉塔前场又拿球到了禁区，但是他自己把球扣大了。                   76'第76分钟，科曼中路挑传，莫拉塔反越位距门10米处推进右下角，6比0
87'尤文门前一个好机会！科曼横传到中路，但是博格巴居然没动，有点像巴神思考人生了。                   86'第86分钟，科曼禁区左侧过人传中，球撞在博格巴腿上偏出左门柱
88'帕尔马左路的传中起球到中路，布冯直接把球拿到。                   86'第86分钟，科曼禁区左侧过人传中，球撞在博格巴腿上偏出左门柱
89'7比0！！！                   86'第86分钟，科曼禁区左侧过人传中，球撞在博格巴腿上偏出左门柱
89'莫拉塔又进一球，今天尤文三名球员梅开二度啊。                   86'第86分钟，科曼禁区左侧过人传中，球撞在博格巴腿上偏出左门柱
