1'比赛开始了，利物浦开球                   1'比赛在雨中进行，双方第1分钟对抗激烈陷入僵持局面
25'詹中场拿球，图雷一个飞铲，，比较狠的犯规，吃到黄牌啊                   23'利物浦第23分钟还以颜色，斯通斯传球失误，马内高速突入禁区左侧在奥塔门迪防守干扰下单刀射门被卡巴列罗扑出
25'米尔纳定位球交给库鸟，左侧挑传到禁区                   23'利物浦第23分钟还以颜色，斯通斯传球失误，马内高速突入禁区左侧在奥塔门迪防守干扰下单刀射门被卡巴列罗扑出
25'卡巴列罗出击，把球打出来                   23'利物浦第23分钟还以颜色，斯通斯传球失误，马内高速突入禁区左侧在奥塔门迪防守干扰下单刀射门被卡巴列罗扑出
25'外围右侧拉拉纳再射，，被后卫肉盾挡出                   23'利物浦第23分钟还以颜色，斯通斯传球失误，马内高速突入禁区左侧在奥塔门迪防守干扰下单刀射门被卡巴列罗扑出
25'克莱因右侧界外球给出来，后场克拉万拿球                   23'利物浦第23分钟还以颜色，斯通斯传球失误，马内高速突入禁区左侧在奥塔门迪防守干扰下单刀射门被卡巴列罗扑出
26'右侧在给克莱因，面对逼抢，还是回敲                   23'利物浦第23分钟还以颜色，斯通斯传球失误，马内高速突入禁区左侧在奥塔门迪防守干扰下单刀射门被卡巴列罗扑出
26'米尼奥莱大脚直接开出边线                   23'利物浦第23分钟还以颜色，斯通斯传球失误，马内高速突入禁区左侧在奥塔门迪防守干扰下单刀射门被卡巴列罗扑出
26'克里希发球给到丁丁，大范围转移，同样出界                   23'利物浦第23分钟还以颜色，斯通斯传球失误，马内高速突入禁区左侧在奥塔门迪防守干扰下单刀射门被卡巴列罗扑出
26'米尔纳边线球大力往前走，菲尔米诺头球顶给马内                   23'利物浦第23分钟还以颜色，斯通斯传球失误，马内高速突入禁区左侧在奥塔门迪防守干扰下单刀射门被卡巴列罗扑出
26'马内爆发力很强，强突奥塔门迪，用速度生吃                   23'利物浦第23分钟还以颜色，斯通斯传球失误，马内高速突入禁区左侧在奥塔门迪防守干扰下单刀射门被卡巴列罗扑出
40'回敲奥塔门迪，大范围到右侧斯特林这边，在给禁区外的席尔瓦                   40'曼城第40分钟浪费机会，德布劳内直传，席尔瓦禁区左侧传中，试图抢点的阿圭罗小禁区前摔倒，斯特林抢点在米尔纳铲截下落空，但费尔南迪尼奥小禁区右侧铲射空门打在边网
40'席尔瓦横向转移，左侧萨内拿球，在给身后                   40'曼城第40分钟浪费机会，德布劳内直传，席尔瓦禁区左侧传中，试图抢点的阿圭罗小禁区前摔倒，斯特林抢点在米尔纳铲截下落空，但费尔南迪尼奥小禁区右侧铲射空门打在边网
40'丁丁得球，45度吊起来，门前阿圭罗横扫到右侧                   40'曼城第40分钟浪费机会，德布劳内直传，席尔瓦禁区左侧传中，试图抢点的阿圭罗小禁区前摔倒，斯特林抢点在米尔纳铲截下落空，但费尔南迪尼奥小禁区右侧铲射空门打在边网
41'费尔南迪尼奥后点包抄跟进，铲射空门啊，，击中了边网                   40'曼城第40分钟浪费机会，德布劳内直传，席尔瓦禁区左侧传中，试图抢点的阿圭罗小禁区前摔倒，斯特林抢点在米尔纳铲截下落空，但费尔南迪尼奥小禁区右侧铲射空门打在边网
41'这是多么好的一次机会，利物浦小禁区前沿人仰马翻了，这记小角度的空门，，，居然打偏                   40'曼城第40分钟浪费机会，德布劳内直传，席尔瓦禁区左侧传中，试图抢点的阿圭罗小禁区前摔倒，斯特林抢点在米尔纳铲截下落空，但费尔南迪尼奥小禁区右侧铲射空门打在边网
41'利物浦门球大脚开起来                   40'曼城第40分钟浪费机会，德布劳内直传，席尔瓦禁区左侧传中，试图抢点的阿圭罗小禁区前摔倒，斯特林抢点在米尔纳铲截下落空，但费尔南迪尼奥小禁区右侧铲射空门打在边网
42'前场左侧菲尔米诺带球，转身杀入禁区，力拔千钧的射门，被扑出底线                   40'曼城第40分钟浪费机会，德布劳内直传，席尔瓦禁区左侧传中，试图抢点的阿圭罗小禁区前摔倒，斯特林抢点在米尔纳铲截下落空，但费尔南迪尼奥小禁区右侧铲射空门打在边网
42'右侧角球，库鸟开起来，又是卡巴列罗，挡出底线                   40'曼城第40分钟浪费机会，德布劳内直传，席尔瓦禁区左侧传中，试图抢点的阿圭罗小禁区前摔倒，斯特林抢点在米尔纳铲截下落空，但费尔南迪尼奥小禁区右侧铲射空门打在边网
42'继续角球，库鸟再起球，卡巴列罗双龙出海，没有打远啊                   40'曼城第40分钟浪费机会，德布劳内直传，席尔瓦禁区左侧传中，试图抢点的阿圭罗小禁区前摔倒，斯特林抢点在米尔纳铲截下落空，但费尔南迪尼奥小禁区右侧铲射空门打在边网
43'禁区右侧拉拉纳上来，左脚直接打凌空，，卡巴列罗鱼跃扑出                   40'曼城第40分钟浪费机会，德布劳内直传，席尔瓦禁区左侧传中，试图抢点的阿圭罗小禁区前摔倒，斯特林抢点在米尔纳铲截下落空，但费尔南迪尼奥小禁区右侧铲射空门打在边网
43'继续角球，库鸟送到禁区内，这次是奥塔门迪头球解围                   40'曼城第40分钟浪费机会，德布劳内直传，席尔瓦禁区左侧传中，试图抢点的阿圭罗小禁区前摔倒，斯特林抢点在米尔纳铲截下落空，但费尔南迪尼奥小禁区右侧铲射空门打在边网
43'外围右侧马内拿球，连续摆脱，在给克莱因，不停顿，在回给马内                   40'曼城第40分钟浪费机会，德布劳内直传，席尔瓦禁区左侧传中，试图抢点的阿圭罗小禁区前摔倒，斯特林抢点在米尔纳铲截下落空，但费尔南迪尼奥小禁区右侧铲射空门打在边网
51'在给中路插上的米尔纳，挑传到禁区，，菲尔米诺右肋插上，倒地了                   51'利物浦第51分钟打破僵局，埃姆雷-詹长传，菲尔米诺禁区边缘内停球后被克里希撞倒，奥利弗判罚极刑引来曼城球员不满，克洛普背对球场不忍直视，前曼城球员米尔纳骗过卡巴列罗射入点球
51'克里希的犯规，裁判毫不犹豫给了点球                   51'利物浦第51分钟打破僵局，埃姆雷-詹长传，菲尔米诺禁区边缘内停球后被克里希撞倒，奥利弗判罚极刑引来曼城球员不满，克洛普背对球场不忍直视，前曼城球员米尔纳骗过卡巴列罗射入点球
51'同时还给了克里希黄牌                   51'利物浦第51分钟打破僵局，埃姆雷-詹长传，菲尔米诺禁区边缘内停球后被克里希撞倒，奥利弗判罚极刑引来曼城球员不满，克洛普背对球场不忍直视，前曼城球员米尔纳骗过卡巴列罗射入点球
51'慢镜头来看，克里希是背后踢倒了菲尔米诺，确实是点球                   51'利物浦第51分钟打破僵局，埃姆雷-詹长传，菲尔米诺禁区边缘内停球后被克里希撞倒，奥利弗判罚极刑引来曼城球员不满，克洛普背对球场不忍直视，前曼城球员米尔纳骗过卡巴列罗射入点球
52'米尔纳主罚点球，面对旧主啊                   51'利物浦第51分钟打破僵局，埃姆雷-詹长传，菲尔米诺禁区边缘内停球后被克里希撞倒，奥利弗判罚极刑引来曼城球员不满，克洛普背对球场不忍直视，前曼城球员米尔纳骗过卡巴列罗射入点球
52'克洛普背过了身，不敢看。。                   51'利物浦第51分钟打破僵局，埃姆雷-詹长传，菲尔米诺禁区边缘内停球后被克里希撞倒，奥利弗判罚极刑引来曼城球员不满，克洛普背对球场不忍直视，前曼城球员米尔纳骗过卡巴列罗射入点球
52'米尔纳助跑，，一记抽射，稳稳射入左下角。。有了                   51'利物浦第51分钟打破僵局，埃姆雷-詹长传，菲尔米诺禁区边缘内停球后被克里希撞倒，奥利弗判罚极刑引来曼城球员不满，克洛普背对球场不忍直视，前曼城球员米尔纳骗过卡巴列罗射入点球
52'米尔纳选择不庆祝，破了老东家大门啊                   51'利物浦第51分钟打破僵局，埃姆雷-詹长传，菲尔米诺禁区边缘内停球后被克里希撞倒，奥利弗判罚极刑引来曼城球员不满，克洛普背对球场不忍直视，前曼城球员米尔纳骗过卡巴列罗射入点球
53'席尔瓦吃到黄牌，好像是跟裁判抱怨了，不满判罚                   51'利物浦第51分钟打破僵局，埃姆雷-詹长传，菲尔米诺禁区边缘内停球后被克里希撞倒，奥利弗判罚极刑引来曼城球员不满，克洛普背对球场不忍直视，前曼城球员米尔纳骗过卡巴列罗射入点球
53'曼城左侧交给克里希，中路给斯通斯                   51'利物浦第51分钟打破僵局，埃姆雷-詹长传，菲尔米诺禁区边缘内停球后被克里希撞倒，奥利弗判罚极刑引来曼城球员不满，克洛普背对球场不忍直视，前曼城球员米尔纳骗过卡巴列罗射入点球
53'右侧在给费尔南迪尼奥，回敲卡巴列罗                   51'利物浦第51分钟打破僵局，埃姆雷-詹长传，菲尔米诺禁区边缘内停球后被克里希撞倒，奥利弗判罚极刑引来曼城球员不满，克洛普背对球场不忍直视，前曼城球员米尔纳骗过卡巴列罗射入点球
53'在给费尔南迪尼奥，低传向前找斯特林                   51'利物浦第51分钟打破僵局，埃姆雷-詹长传，菲尔米诺禁区边缘内停球后被克里希撞倒，奥利弗判罚极刑引来曼城球员不满，克洛普背对球场不忍直视，前曼城球员米尔纳骗过卡巴列罗射入点球
54'斯特林突破向前被马内断下                   51'利物浦第51分钟打破僵局，埃姆雷-詹长传，菲尔米诺禁区边缘内停球后被克里希撞倒，奥利弗判罚极刑引来曼城球员不满，克洛普背对球场不忍直视，前曼城球员米尔纳骗过卡巴列罗射入点球
54'丁丁反抢回来，在给挑传，马蒂普破坏出去                   51'利物浦第51分钟打破僵局，埃姆雷-詹长传，菲尔米诺禁区边缘内停球后被克里希撞倒，奥利弗判罚极刑引来曼城球员不满，克洛普背对球场不忍直视，前曼城球员米尔纳骗过卡巴列罗射入点球
54'图雷外围组织，一脚直传到禁区                   51'利物浦第51分钟打破僵局，埃姆雷-詹长传，菲尔米诺禁区边缘内停球后被克里希撞倒，奥利弗判罚极刑引来曼城球员不满，克洛普背对球场不忍直视，前曼城球员米尔纳骗过卡巴列罗射入点球
54'克拉万的解围，外围米尔纳把球拿住                   51'利物浦第51分钟打破僵局，埃姆雷-詹长传，菲尔米诺禁区边缘内停球后被克里希撞倒，奥利弗判罚极刑引来曼城球员不满，克洛普背对球场不忍直视，前曼城球员米尔纳骗过卡巴列罗射入点球
61'在给身旁回撤的菲尔米诺，无法转身，在给米尔纳                   61'利物浦第61分钟险些扩大比分，库蒂尼奥直传，菲尔米诺禁区左侧单刀捅射被卡巴列罗挡出
61'横拨维纳尔杜姆，在给詹                   61'利物浦第61分钟险些扩大比分，库蒂尼奥直传，菲尔米诺禁区左侧单刀捅射被卡巴列罗挡出
61'丁丁上抢断下，但是没有控制住                   61'利物浦第61分钟险些扩大比分，库蒂尼奥直传，菲尔米诺禁区左侧单刀捅射被卡巴列罗挡出
61'米尼奥莱大脚开起来                   61'利物浦第61分钟险些扩大比分，库蒂尼奥直传，菲尔米诺禁区左侧单刀捅射被卡巴列罗挡出
61'前场争顶，奥塔门迪把球垫回去                   61'利物浦第61分钟险些扩大比分，库蒂尼奥直传，菲尔米诺禁区左侧单刀捅射被卡巴列罗挡出
61'克拉万再起长传，吊向禁区，被卡巴列罗没收                   61'利物浦第61分钟险些扩大比分，库蒂尼奥直传，菲尔米诺禁区左侧单刀捅射被卡巴列罗挡出
62'卡巴列罗交给图雷，甩长传，被米尼奥莱没收                   61'利物浦第61分钟险些扩大比分，库蒂尼奥直传，菲尔米诺禁区左侧单刀捅射被卡巴列罗挡出
62'手抛球给克拉万，左侧在给马蒂普                   61'利物浦第61分钟险些扩大比分，库蒂尼奥直传，菲尔米诺禁区左侧单刀捅射被卡巴列罗挡出
62'低传向前，右侧克莱因突破，丁丁把球挡下                   61'利物浦第61分钟险些扩大比分，库蒂尼奥直传，菲尔米诺禁区左侧单刀捅射被卡巴列罗挡出
62'分到左侧边路给萨内，横拨插上的丁丁，在给到右侧                   61'利物浦第61分钟险些扩大比分，库蒂尼奥直传，菲尔米诺禁区左侧单刀捅射被卡巴列罗挡出
62'斯特林得球，摆脱杀入禁区，马蒂普破坏出去                   61'利物浦第61分钟险些扩大比分，库蒂尼奥直传，菲尔米诺禁区左侧单刀捅射被卡巴列罗挡出
63'利物浦长传，左侧找到米尔纳，一记隐蔽的直塞                   61'利物浦第61分钟险些扩大比分，库蒂尼奥直传，菲尔米诺禁区左侧单刀捅射被卡巴列罗挡出
63'菲尔米诺幽灵般的前插，杀入禁区形成单刀了                   61'利物浦第61分钟险些扩大比分，库蒂尼奥直传，菲尔米诺禁区左侧单刀捅射被卡巴列罗挡出
63'卡巴列罗及时出击，封堵角度，把球扑出底线                   61'利物浦第61分钟险些扩大比分，库蒂尼奥直传，菲尔米诺禁区左侧单刀捅射被卡巴列罗挡出
63'左侧角球，库鸟主罚                   61'利物浦第61分钟险些扩大比分，库蒂尼奥直传，菲尔米诺禁区左侧单刀捅射被卡巴列罗挡出
64'给到禁区中央，马蒂普奋力一顶，见高不见远。卡巴列罗出击抱住                   61'利物浦第61分钟险些扩大比分，库蒂尼奥直传，菲尔米诺禁区左侧单刀捅射被卡巴列罗挡出
64'手抛球给奥塔门迪，向前被丁丁，没接住啊                   61'利物浦第61分钟险些扩大比分，库蒂尼奥直传，菲尔米诺禁区左侧单刀捅射被卡巴列罗挡出
64'利物浦中场抢断，维纳尔杜姆自己往前带，直塞给菲尔米诺                   61'利物浦第61分钟险些扩大比分，库蒂尼奥直传，菲尔米诺禁区左侧单刀捅射被卡巴列罗挡出
64'不停顿，顺势在做球，被斯通斯解围                   61'利物浦第61分钟险些扩大比分，库蒂尼奥直传，菲尔米诺禁区左侧单刀捅射被卡巴列罗挡出
64'中圈丁丁得球，直塞被破坏，马内前场右侧拿球                   61'利物浦第61分钟险些扩大比分，库蒂尼奥直传，菲尔米诺禁区左侧单刀捅射被卡巴列罗挡出
69'左侧角球，席尔瓦主罚                   69'曼城第69分钟扳平，德布劳内右路传中，克拉万铲截落空，阿圭罗小禁区边缘推射破门，1-1
69'吊向禁区双方都未能顶到，克拉万后点解围                   69'曼城第69分钟扳平，德布劳内右路传中，克拉万铲截落空，阿圭罗小禁区边缘推射破门，1-1
69'边线球，萨尼亚右侧发出来，给到斯通斯                   69'曼城第69分钟扳平，德布劳内右路传中，克拉万铲截落空，阿圭罗小禁区边缘推射破门，1-1
69'横拨左侧克里希在给斯通斯，斜传到右侧丁丁，直塞一脚                   69'曼城第69分钟扳平，德布劳内右路传中，克拉万铲截落空，阿圭罗小禁区边缘推射破门，1-1
70'禁区右侧阿圭罗得球，被破坏掉                   69'曼城第69分钟扳平，德布劳内右路传中，克拉万铲截落空，阿圭罗小禁区边缘推射破门，1-1
70'红军反击，快速向前，库鸟禁区附近给到菲尔米诺，被费尔南迪尼奥破坏                   69'曼城第69分钟扳平，德布劳内右路传中，克拉万铲截落空，阿圭罗小禁区边缘推射破门，1-1
70'曼城进攻给席尔瓦，挑传禁区                   69'曼城第69分钟扳平，德布劳内右路传中，克拉万铲截落空，阿圭罗小禁区边缘推射破门，1-1
70'阿圭罗头球摆渡，门前萨内左侧拿球，被马蒂普挡出边线                   69'曼城第69分钟扳平，德布劳内右路传中，克拉万铲截落空，阿圭罗小禁区边缘推射破门，1-1
70'克里希界外球给中路，席尔瓦斜传                   69'曼城第69分钟扳平，德布劳内右路传中，克拉万铲截落空，阿圭罗小禁区边缘推射破门，1-1
71'右侧丁丁得球，传中到门前，又是被解围出边线                   69'曼城第69分钟扳平，德布劳内右路传中，克拉万铲截落空，阿圭罗小禁区边缘推射破门，1-1
71'萨尼亚给出来，斯通斯在给费尔南迪尼奥，右侧分丁丁，在传中                   69'曼城第69分钟扳平，德布劳内右路传中，克拉万铲截落空，阿圭罗小禁区边缘推射破门，1-1
71'这次有了啊，，阿圭罗                   69'曼城第69分钟扳平，德布劳内右路传中，克拉万铲截落空，阿圭罗小禁区边缘推射破门，1-1
71'阿圭罗中路抢点包抄破门，扳平                   69'曼城第69分钟扳平，德布劳内右路传中，克拉万铲截落空，阿圭罗小禁区边缘推射破门，1-1
71'丁丁右侧送出助攻，门前准确找到包抄的阿圭罗，一脚捅射破网                   69'曼城第69分钟扳平，德布劳内右路传中，克拉万铲截落空，阿圭罗小禁区边缘推射破门，1-1
72'利物浦右侧进攻，萨内把球破坏                   69'曼城第69分钟扳平，德布劳内右路传中，克拉万铲截落空，阿圭罗小禁区边缘推射破门，1-1
72'克莱因界外球给出来，同伴碰出边线                   69'曼城第69分钟扳平，德布劳内右路传中，克拉万铲截落空，阿圭罗小禁区边缘推射破门，1-1
72'克里希左侧发出，给到奥塔门迪，在给席尔瓦，回敲斯通斯                   69'曼城第69分钟扳平，德布劳内右路传中，克拉万铲截落空，阿圭罗小禁区边缘推射破门，1-1
72'右侧在给萨尼亚，低传给身前斯特林                   69'曼城第69分钟扳平，德布劳内右路传中，克拉万铲截落空，阿圭罗小禁区边缘推射破门，1-1
72'一记直塞球被詹拦截                   69'曼城第69分钟扳平，德布劳内右路传中，克拉万铲截落空，阿圭罗小禁区边缘推射破门，1-1
76'右侧给到斯通斯，在给奥塔门迪，左侧交给克里希                   76'第76分钟，阿圭罗突入小禁区前扫射被挡出，德布劳内混战中11码处扫射击中右侧立柱弹回
76'带球向前，马内回防捅出边线                   76'第76分钟，阿圭罗突入小禁区前扫射被挡出，德布劳内混战中11码处扫射击中右侧立柱弹回
76'克里希把球发出，费尔南迪尼奥得球，在给左侧                   76'第76分钟，阿圭罗突入小禁区前扫射被挡出，德布劳内混战中11码处扫射击中右侧立柱弹回
76'克里希推给身前的阿圭罗，带球突破到禁区内                   76'第76分钟，阿圭罗突入小禁区前扫射被挡出，德布劳内混战中11码处扫射击中右侧立柱弹回
77'有机会，面对门将，推射，被米尼奥莱封堵出来                   76'第76分钟，阿圭罗突入小禁区前扫射被挡出，德布劳内混战中11码处扫射击中右侧立柱弹回
77'跟上的丁丁补射空门了，击中门柱啊                   76'第76分钟，阿圭罗突入小禁区前扫射被挡出，德布劳内混战中11码处扫射击中右侧立柱弹回
77'禁区外右侧萨尼亚拿球，转移到左侧萨内                   76'第76分钟，阿圭罗突入小禁区前扫射被挡出，德布劳内混战中11码处扫射击中右侧立柱弹回
77'停球不稳啊，维纳尔杜姆得球，向前给到马内                   76'第76分钟，阿圭罗突入小禁区前扫射被挡出，德布劳内混战中11码处扫射击中右侧立柱弹回
77'挑传禁区内，给的比较深，出了底线                   76'第76分钟，阿圭罗突入小禁区前扫射被挡出，德布劳内混战中11码处扫射击中右侧立柱弹回
78'曼城发球出来，连续传递，右侧斯通斯在给萨尼亚                   76'第76分钟，阿圭罗突入小禁区前扫射被挡出，德布劳内混战中11码处扫射击中右侧立柱弹回
78'分球找席尔瓦，被米尔纳踢翻在地                   76'第76分钟，阿圭罗突入小禁区前扫射被挡出，德布劳内混战中11码处扫射击中右侧立柱弹回
78'右侧定位球，斯特林拨给席尔瓦                   76'第76分钟，阿圭罗突入小禁区前扫射被挡出，德布劳内混战中11码处扫射击中右侧立柱弹回
78'传一个提前量，丁丁下底，传中                   76'第76分钟，阿圭罗突入小禁区前扫射被挡出，德布劳内混战中11码处扫射击中右侧立柱弹回
78'禁区内拼抢，克拉万解围出去                   76'第76分钟，阿圭罗突入小禁区前扫射被挡出，德布劳内混战中11码处扫射击中右侧立柱弹回
78'外围席尔瓦得球，左侧在给萨内，克莱因把球断下                   76'第76分钟，阿圭罗突入小禁区前扫射被挡出，德布劳内混战中11码处扫射击中右侧立柱弹回
79'身前推给奥里吉，背身做球给詹                   76'第76分钟，阿圭罗突入小禁区前扫射被挡出，德布劳内混战中11码处扫射击中右侧立柱弹回
79'带球快步向前，斜传到左侧马内，在给到米尔纳                   76'第76分钟，阿圭罗突入小禁区前扫射被挡出，德布劳内混战中11码处扫射击中右侧立柱弹回
79'米尔纳斜吊禁区被卡巴列罗没收                   76'第76分钟，阿圭罗突入小禁区前扫射被挡出，德布劳内混战中11码处扫射击中右侧立柱弹回
79'手抛球给斯通斯，向前挑传被马蒂普拦截                   76'第76分钟，阿圭罗突入小禁区前扫射被挡出，德布劳内混战中11码处扫射击中右侧立柱弹回
91'利物浦换人，卢卡斯替下菲尔米诺                   91'曼城第91分钟错失良机，德布劳内禁区右侧下底传中，无人防守的阿圭罗远点小禁区边缘凌空垫射高出
91'右侧萨尼亚定位球给到丁丁，再回敲奥塔门迪                   91'曼城第91分钟错失良机，德布劳内禁区右侧下底传中，无人防守的阿圭罗远点小禁区边缘凌空垫射高出
91'转到左侧克里希上来，身前交给阿圭罗                   91'曼城第91分钟错失良机，德布劳内禁区右侧下底传中，无人防守的阿圭罗远点小禁区边缘凌空垫射高出
