2'中场的争夺，申花的瓜林犯规                   2'开场第2分钟高拉特禁区外围远射打偏，制造全场第一脚射门
27'王上源右路的控球交给黄博文交给了高拉特                   26'第26分钟黄博文前场右侧横推，高拉特禁区外瞄准一下后推射稍偏而出
27'高拉特远射，打偏了                   26'第26分钟黄博文前场右侧横推，高拉特禁区外瞄准一下后推射稍偏而出
28'王上源右路直传，高拉特的突进被秦升铲出边线                   26'第26分钟黄博文前场右侧横推，高拉特禁区外瞄准一下后推射稍偏而出
29'莫雷诺后场开始带球，顿一顿再往前推，郑智绊人犯规                   26'第26分钟黄博文前场右侧横推，高拉特禁区外瞄准一下后推射稍偏而出
29'郑智已经有一张黄牌在身                   26'第26分钟黄博文前场右侧横推，高拉特禁区外瞄准一下后推射稍偏而出
29'申花左路的任意球机会                   26'第26分钟黄博文前场右侧横推，高拉特禁区外瞄准一下后推射稍偏而出
30'瓜林吊门差一点吊进门里，曾诚撤步慢了，还好球越过了横梁                   30'头30分钟双方都有机会
30'保利尼奥分边右路，王上源已经越位                   30'头30分钟双方都有机会
31'恒大反击，高拉特交给保利尼奥                   30'头30分钟双方都有机会
32'保利尼奥分左路的阿兰                   30'头30分钟双方都有机会
32'李运秋的逼抢成功                   30'头30分钟双方都有机会
32'莫雷诺分边左路，登巴巴在追，梅方放铲将球铲出边线                   30'头30分钟双方都有机会
33'郑智交给梅方，王上源接应传上来，郜林从越位位置回撤拿球                   30'头30分钟双方都有机会
45'李运秋右路传中被荣昊拦截出边线                   44'第44分钟申花险些得分，曹赟定左路传球，莫雷诺接球后脚跟凌空送球，瓜林跟上怒射，曾诚把球奋力扑出
45'秦升过来掷界外球                   44'第44分钟申花险些得分，曹赟定左路传球，莫雷诺接球后脚跟凌空送球，瓜林跟上怒射，曾诚把球奋力扑出
45'手榴弹掷进禁区，曾诚将球摘下                   44'第44分钟申花险些得分，曹赟定左路传球，莫雷诺接球后脚跟凌空送球，瓜林跟上怒射，曾诚把球奋力扑出
45'长传上来，李建滨顶嗤了，金基熙将球控制传球失误                   44'第44分钟申花险些得分，曹赟定左路传球，莫雷诺接球后脚跟凌空送球，瓜林跟上怒射，曾诚把球奋力扑出
45'阿兰与保利尼奥的配合没有打成                   44'第44分钟申花险些得分，曹赟定左路传球，莫雷诺接球后脚跟凌空送球，瓜林跟上怒射，曾诚把球奋力扑出
46'申花的机会                   44'第44分钟申花险些得分，曹赟定左路传球，莫雷诺接球后脚跟凌空送球，瓜林跟上怒射，曾诚把球奋力扑出
47'曹赟定左路传到禁区前沿，莫雷诺停球端给旁边的瓜林，瓜林跟进大力劲射被曾诚倒地扑出，张璐右路传中打在冯潇霆身上出底线                   44'第44分钟申花险些得分，曹赟定左路传球，莫雷诺接球后脚跟凌空送球，瓜林跟上怒射，曾诚把球奋力扑出
47'下半场补时2分钟                   44'第44分钟申花险些得分，曹赟定左路传球，莫雷诺接球后脚跟凌空送球，瓜林跟上怒射，曾诚把球奋力扑出
47'张璐发角球被恒大解围                   44'第44分钟申花险些得分，曹赟定左路传球，莫雷诺接球后脚跟凌空送球，瓜林跟上怒射，曾诚把球奋力扑出
46'下半场比赛开始！                   44'第44分钟申花险些得分，曹赟定左路传球，莫雷诺接球后脚跟凌空送球，瓜林跟上怒射，曾诚把球奋力扑出
46'下半场由恒大中圈开球                   44'第44分钟申花险些得分，曹赟定左路传球，莫雷诺接球后脚跟凌空送球，瓜林跟上怒射，曾诚把球奋力扑出
46'郜林前场护球回传                   44'第44分钟申花险些得分，曹赟定左路传球，莫雷诺接球后脚跟凌空送球，瓜林跟上怒射，曾诚把球奋力扑出
46'黄博文交给高拉特，高拉特直传，阿兰前突快了，越位                   44'第44分钟申花险些得分，曹赟定左路传球，莫雷诺接球后脚跟凌空送球，瓜林跟上怒射，曾诚把球奋力扑出
47'李建滨回传给耿晓峰有点尴尬，耿晓峰将球踢边线                   44'第44分钟申花险些得分，曹赟定左路传球，莫雷诺接球后脚跟凌空送球，瓜林跟上怒射，曾诚把球奋力扑出
47'黄博文右路接应界外球传中，高拉特甩头攻门稍稍蹭薄了，球擦着立柱出了边线                   44'第44分钟申花险些得分，曹赟定左路传球，莫雷诺接球后脚跟凌空送球，瓜林跟上怒射，曾诚把球奋力扑出
47'曹赟定左路传到禁区前沿，莫雷诺停球端给旁边的瓜林，瓜林跟进大力劲射被曾诚倒地扑出，张璐右路传中打在冯潇霆身上出底线                   47'第47分钟瓜林和黄博文在无球状况下发生肢体对抗，结果两人都吃到黄牌
47'下半场补时2分钟                   47'第47分钟瓜林和黄博文在无球状况下发生肢体对抗，结果两人都吃到黄牌
47'张璐发角球被恒大解围                   47'第47分钟瓜林和黄博文在无球状况下发生肢体对抗，结果两人都吃到黄牌
48'荣昊左路高速追上来将球从边线前停住，传中过不了李运秋                   47'第47分钟瓜林和黄博文在无球状况下发生肢体对抗，结果两人都吃到黄牌
49'瓜林与黄博文有在无球跑动中相互有动作                   47'第47分钟瓜林和黄博文在无球状况下发生肢体对抗，结果两人都吃到黄牌
49'主裁判向瓜林与黄博文各发一张黄牌                   47'第47分钟瓜林和黄博文在无球状况下发生肢体对抗，结果两人都吃到黄牌
49'申花左路的任意球机会                   47'第47分钟瓜林和黄博文在无球状况下发生肢体对抗，结果两人都吃到黄牌
49'任意球产生原因是莫雷诺被绊倒                   47'第47分钟瓜林和黄博文在无球状况下发生肢体对抗，结果两人都吃到黄牌
49'瓜林弧线球打远角，兜住，打偏了                   47'第47分钟瓜林和黄博文在无球状况下发生肢体对抗，结果两人都吃到黄牌
49'上半场比赛结束！                   47'第47分钟瓜林和黄博文在无球状况下发生肢体对抗，结果两人都吃到黄牌
47'李建滨回传给耿晓峰有点尴尬，耿晓峰将球踢边线                   47'第47分钟瓜林和黄博文在无球状况下发生肢体对抗，结果两人都吃到黄牌
47'黄博文右路接应界外球传中，高拉特甩头攻门稍稍蹭薄了，球擦着立柱出了边线                   47'第47分钟瓜林和黄博文在无球状况下发生肢体对抗，结果两人都吃到黄牌
48'耿晓峰长传上来，莫雷诺控球，郑智抢断                   47'第47分钟瓜林和黄博文在无球状况下发生肢体对抗，结果两人都吃到黄牌
48'长传上来，李运秋与郜林斗法                   47'第47分钟瓜林和黄博文在无球状况下发生肢体对抗，结果两人都吃到黄牌
48'恒大的界外球                   47'第47分钟瓜林和黄博文在无球状况下发生肢体对抗，结果两人都吃到黄牌
49'登巴巴背身拿球，转身直传，张璐得球回传                   47'第47分钟瓜林和黄博文在无球状况下发生肢体对抗，结果两人都吃到黄牌
49'瓜林直传，张璐没有起动冲起来                   47'第47分钟瓜林和黄博文在无球状况下发生肢体对抗，结果两人都吃到黄牌
50'郜林铲倒的是王林                   47'第47分钟瓜林和黄博文在无球状况下发生肢体对抗，结果两人都吃到黄牌
50'下半场开始之前申花用王林换下了李运秋                   47'第47分钟瓜林和黄博文在无球状况下发生肢体对抗，结果两人都吃到黄牌
50'秦升的远射被曾诚扑出底线                   47'第47分钟瓜林和黄博文在无球状况下发生肢体对抗，结果两人都吃到黄牌
50'申花左路的角球机会                   47'第47分钟瓜林和黄博文在无球状况下发生肢体对抗，结果两人都吃到黄牌
49'瓜林与黄博文有在无球跑动中相互有动作                   49'第49分钟曹赟定左路怒射被曾诚扑出，球到外围秦升打门制造角球
49'主裁判向瓜林与黄博文各发一张黄牌                   49'第49分钟曹赟定左路怒射被曾诚扑出，球到外围秦升打门制造角球
49'申花左路的任意球机会                   49'第49分钟曹赟定左路怒射被曾诚扑出，球到外围秦升打门制造角球
49'任意球产生原因是莫雷诺被绊倒                   49'第49分钟曹赟定左路怒射被曾诚扑出，球到外围秦升打门制造角球
49'瓜林弧线球打远角，兜住，打偏了                   49'第49分钟曹赟定左路怒射被曾诚扑出，球到外围秦升打门制造角球
49'上半场比赛结束！                   49'第49分钟曹赟定左路怒射被曾诚扑出，球到外围秦升打门制造角球
49'登巴巴背身拿球，转身直传，张璐得球回传                   49'第49分钟曹赟定左路怒射被曾诚扑出，球到外围秦升打门制造角球
49'瓜林直传，张璐没有起动冲起来                   49'第49分钟曹赟定左路怒射被曾诚扑出，球到外围秦升打门制造角球
50'郜林铲倒的是王林                   49'第49分钟曹赟定左路怒射被曾诚扑出，球到外围秦升打门制造角球
50'下半场开始之前申花用王林换下了李运秋                   49'第49分钟曹赟定左路怒射被曾诚扑出，球到外围秦升打门制造角球
50'秦升的远射被曾诚扑出底线                   49'第49分钟曹赟定左路怒射被曾诚扑出，球到外围秦升打门制造角球
50'申花左路的角球机会                   49'第49分钟曹赟定左路怒射被曾诚扑出，球到外围秦升打门制造角球
51'秦升传得比较高，梅方顶得不远，瓜林打凌空碰到黄博文出底线                   49'第49分钟曹赟定左路怒射被曾诚扑出，球到外围秦升打门制造角球
51'申花再获得一个角球机会，右路的角球                   49'第49分钟曹赟定左路怒射被曾诚扑出，球到外围秦升打门制造角球
52'瓜林发角球，金基熙抢高点蹭了一下                   49'第49分钟曹赟定左路怒射被曾诚扑出，球到外围秦升打门制造角球
52'球到小禁区左侧，秦升上来打门打飞了                   49'第49分钟曹赟定左路怒射被曾诚扑出，球到外围秦升打门制造角球
52'申花相当好的机会                   49'第49分钟曹赟定左路怒射被曾诚扑出，球到外围秦升打门制造角球
52'瓜林中场绊倒了阿兰                   49'第49分钟曹赟定左路怒射被曾诚扑出，球到外围秦升打门制造角球
52'秦升谍谍不休，被谭海黄牌警告                   49'第49分钟曹赟定左路怒射被曾诚扑出，球到外围秦升打门制造角球
50'郜林铲倒的是王林                   50'第50分钟瓜林对高拉特防守犯规，秦升表达不满结果吃到黄牌
50'下半场开始之前申花用王林换下了李运秋                   50'第50分钟瓜林对高拉特防守犯规，秦升表达不满结果吃到黄牌
50'秦升的远射被曾诚扑出底线                   50'第50分钟瓜林对高拉特防守犯规，秦升表达不满结果吃到黄牌
50'申花左路的角球机会                   50'第50分钟瓜林对高拉特防守犯规，秦升表达不满结果吃到黄牌
51'秦升传得比较高，梅方顶得不远，瓜林打凌空碰到黄博文出底线                   50'第50分钟瓜林对高拉特防守犯规，秦升表达不满结果吃到黄牌
51'申花再获得一个角球机会，右路的角球                   50'第50分钟瓜林对高拉特防守犯规，秦升表达不满结果吃到黄牌
52'瓜林发角球，金基熙抢高点蹭了一下                   50'第50分钟瓜林对高拉特防守犯规，秦升表达不满结果吃到黄牌
52'球到小禁区左侧，秦升上来打门打飞了                   50'第50分钟瓜林对高拉特防守犯规，秦升表达不满结果吃到黄牌
52'申花相当好的机会                   50'第50分钟瓜林对高拉特防守犯规，秦升表达不满结果吃到黄牌
52'瓜林中场绊倒了阿兰                   50'第50分钟瓜林对高拉特防守犯规，秦升表达不满结果吃到黄牌
52'秦升谍谍不休，被谭海黄牌警告                   50'第50分钟瓜林对高拉特防守犯规，秦升表达不满结果吃到黄牌
53'高拉特挑传禁区，阿兰插上挑球向中路，王林手球，谭海果断指向点球点！                   50'第50分钟瓜林对高拉特防守犯规，秦升表达不满结果吃到黄牌
55'高拉特的点球打得太正了被耿晓峰倒地挡出，高拉特再补射被耿晓峰封出底线                   55'第55分钟申花推进到对方禁区，莫雷诺射门被挡出，秦升飞身头球点给登巴巴，后者侧身扫射，球中横梁弹出
56'黄博文角球传中，耿晓峰单手将球托出另一端边线                   55'第55分钟申花推进到对方禁区，莫雷诺射门被挡出，秦升飞身头球点给登巴巴，后者侧身扫射，球中横梁弹出
56'郜林右路护球，被柏佳骏抢断                   55'第55分钟申花推进到对方禁区，莫雷诺射门被挡出，秦升飞身头球点给登巴巴，后者侧身扫射，球中横梁弹出
56'瓜林接应长传，王上源得球                   55'第55分钟申花推进到对方禁区，莫雷诺射门被挡出，秦升飞身头球点给登巴巴，后者侧身扫射，球中横梁弹出
56'郑智控球，传中路过不了金基熙                   55'第55分钟申花推进到对方禁区，莫雷诺射门被挡出，秦升飞身头球点给登巴巴，后者侧身扫射，球中横梁弹出
57'王林右路回传给耿晓峰                   55'第55分钟申花推进到对方禁区，莫雷诺射门被挡出，秦升飞身头球点给登巴巴，后者侧身扫射，球中横梁弹出
57'耿晓峰长传上来，登巴巴 头球点下来                   55'第55分钟申花推进到对方禁区，莫雷诺射门被挡出，秦升飞身头球点给登巴巴，后者侧身扫射，球中横梁弹出
57'莫雷诺远射被告冯潇霆飞身堵枪眼                   55'第55分钟申花推进到对方禁区，莫雷诺射门被挡出，秦升飞身头球点给登巴巴，后者侧身扫射，球中横梁弹出
57'登巴巴禁区连续爆射击中了横梁！                   55'第55分钟申花推进到对方禁区，莫雷诺射门被挡出，秦升飞身头球点给登巴巴，后者侧身扫射，球中横梁弹出
58'秦升右路得球再传中，梅方顶得不远，登巴巴转身的打门力量小了                   55'第55分钟申花推进到对方禁区，莫雷诺射门被挡出，秦升飞身头球点给登巴巴，后者侧身扫射，球中横梁弹出
57'王林右路回传给耿晓峰                   57'第57分钟曹赟定左路突击中起脚冷射，被曾诚尽全力扑出底线
57'耿晓峰长传上来，登巴巴 头球点下来                   57'第57分钟曹赟定左路突击中起脚冷射，被曾诚尽全力扑出底线
57'莫雷诺远射被告冯潇霆飞身堵枪眼                   57'第57分钟曹赟定左路突击中起脚冷射，被曾诚尽全力扑出底线
57'登巴巴禁区连续爆射击中了横梁！                   57'第57分钟曹赟定左路突击中起脚冷射，被曾诚尽全力扑出底线
58'秦升右路得球再传中，梅方顶得不远，登巴巴转身的打门力量小了                   57'第57分钟曹赟定左路突击中起脚冷射，被曾诚尽全力扑出底线
59'曹赟定跑动中远射被曾诚指尖碰出底线                   57'第57分钟曹赟定左路突击中起脚冷射，被曾诚尽全力扑出底线
59'战术角球威胁不大                   57'第57分钟曹赟定左路突击中起脚冷射，被曾诚尽全力扑出底线
60'保利尼奥回传，梅方直传，黄博文领球被柏佳骏绊倒                   57'第57分钟曹赟定左路突击中起脚冷射，被曾诚尽全力扑出底线
60'斯科拉里走到场边大声呼喊                   57'第57分钟曹赟定左路突击中起脚冷射，被曾诚尽全力扑出底线
60'郜林也来一脚远射，打高了                   57'第57分钟曹赟定左路突击中起脚冷射，被曾诚尽全力扑出底线
60'保利尼奥回传，梅方直传，黄博文领球被柏佳骏绊倒                   60'第60分钟曹赟定前场直塞，登巴巴单刀扑向对方大门，但曾诚漂亮出击把球拦出
60'斯科拉里走到场边大声呼喊                   60'第60分钟曹赟定前场直塞，登巴巴单刀扑向对方大门，但曾诚漂亮出击把球拦出
60'郜林也来一脚远射，打高了                   60'第60分钟曹赟定前场直塞，登巴巴单刀扑向对方大门，但曾诚漂亮出击把球拦出
61'郜林左路有空档，王林快速贴过来将破坏出底线                   60'第60分钟曹赟定前场直塞，登巴巴单刀扑向对方大门，但曾诚漂亮出击把球拦出
62'保利尼奥中场控球交给黄博文                   60'第60分钟曹赟定前场直塞，登巴巴单刀扑向对方大门，但曾诚漂亮出击把球拦出
62'郜林直接交给高拉特分边左路的荣昊                   60'第60分钟曹赟定前场直塞，登巴巴单刀扑向对方大门，但曾诚漂亮出击把球拦出
62'高拉特再接济银行帐号右路被柏佳骏上抢成功                   60'第60分钟曹赟定前场直塞，登巴巴单刀扑向对方大门，但曾诚漂亮出击把球拦出
62'柏佳骏直传                   60'第60分钟曹赟定前场直塞，登巴巴单刀扑向对方大门，但曾诚漂亮出击把球拦出
63'登巴巴单刀了，面对曾诚，想趟过去被曾诚扑脚下球成功！                   60'第60分钟曹赟定前场直塞，登巴巴单刀扑向对方大门，但曾诚漂亮出击把球拦出
63'莫雷诺争抢第二点时犯规                   60'第60分钟曹赟定前场直塞，登巴巴单刀扑向对方大门，但曾诚漂亮出击把球拦出
63'莫雷诺也吃到黄牌                   60'第60分钟曹赟定前场直塞，登巴巴单刀扑向对方大门，但曾诚漂亮出击把球拦出
64'郜林左路回传，阿兰远射打在插到禁区内的冯潇霆身上                   64'第64分钟于汉超换下黄博文
64'秦升直传，被郑智断下                   64'第64分钟于汉超换下黄博文
64'瓜林就地反抢犯规                   64'第64分钟于汉超换下黄博文
64'郑智向裁判投诉                   64'第64分钟于汉超换下黄博文
64'瓜林身上已经有黄牌                   64'第64分钟于汉超换下黄博文
64'最后只是给了瓜林口头警告                   64'第64分钟于汉超换下黄博文
66'恒大换人，20号于汉超换下16号黄博文                   64'第64分钟于汉超换下黄博文
67'场上火红味很浓，莫雷诺扫倒了保利尼奥                   64'第64分钟于汉超换下黄博文
67'斯科拉里向第四裁判咆哮                   64'第64分钟于汉超换下黄博文
67'郜林拉边得球，秦升飞铲很凶将球铲出底线                   64'第64分钟于汉超换下黄博文
67'场上火红味很浓，莫雷诺扫倒了保利尼奥                   67'第67分钟保利尼奥对瓜林犯规，申花获得离门34米外的右侧任意球机会，瓜林任意球传到禁区，张璐后脚跟嗑球，登巴巴第一脚射门被梅方挡出，登巴巴再次拿球转到左侧怒射，皮球飞入大门，1比1
67'斯科拉里向第四裁判咆哮                   67'第67分钟保利尼奥对瓜林犯规，申花获得离门34米外的右侧任意球机会，瓜林任意球传到禁区，张璐后脚跟嗑球，登巴巴第一脚射门被梅方挡出，登巴巴再次拿球转到左侧怒射，皮球飞入大门，1比1
67'郜林拉边得球，秦升飞铲很凶将球铲出底线                   67'第67分钟保利尼奥对瓜林犯规，申花获得离门34米外的右侧任意球机会，瓜林任意球传到禁区，张璐后脚跟嗑球，登巴巴第一脚射门被梅方挡出，登巴巴再次拿球转到左侧怒射，皮球飞入大门，1比1
68'于汉超传到门前，耿晓峰将球拿住                   67'第67分钟保利尼奥对瓜林犯规，申花获得离门34米外的右侧任意球机会，瓜林任意球传到禁区，张璐后脚跟嗑球，登巴巴第一脚射门被梅方挡出，登巴巴再次拿球转到左侧怒射，皮球飞入大门，1比1
68'瓜林右路控球，被保利尼奥绊倒                   67'第67分钟保利尼奥对瓜林犯规，申花获得离门34米外的右侧任意球机会，瓜林任意球传到禁区，张璐后脚跟嗑球，登巴巴第一脚射门被梅方挡出，登巴巴再次拿球转到左侧怒射，皮球飞入大门，1比1
69'申花前场右路的任意球机会                   67'第67分钟保利尼奥对瓜林犯规，申花获得离门34米外的右侧任意球机会，瓜林任意球传到禁区，张璐后脚跟嗑球，登巴巴第一脚射门被梅方挡出，登巴巴再次拿球转到左侧怒射，皮球飞入大门，1比1
69'瓜林低传到禁区内，一轮混战，登巴巴抽网顶球进                   67'第67分钟保利尼奥对瓜林犯规，申花获得离门34米外的右侧任意球机会，瓜林任意球传到禁区，张璐后脚跟嗑球，登巴巴第一脚射门被梅方挡出，登巴巴再次拿球转到左侧怒射，皮球飞入大门，1比1
69'申花扳平了比分                   67'第67分钟保利尼奥对瓜林犯规，申花获得离门34米外的右侧任意球机会，瓜林任意球传到禁区，张璐后脚跟嗑球，登巴巴第一脚射门被梅方挡出，登巴巴再次拿球转到左侧怒射，皮球飞入大门，1比1
70'恒大中圈开球                   67'第67分钟保利尼奥对瓜林犯规，申花获得离门34米外的右侧任意球机会，瓜林任意球传到禁区，张璐后脚跟嗑球，登巴巴第一脚射门被梅方挡出，登巴巴再次拿球转到左侧怒射，皮球飞入大门，1比1
70'瓜林的长传上来，曾诚冲出禁区将球解围                   67'第67分钟保利尼奥对瓜林犯规，申花获得离门34米外的右侧任意球机会，瓜林任意球传到禁区，张璐后脚跟嗑球，登巴巴第一脚射门被梅方挡出，登巴巴再次拿球转到左侧怒射，皮球飞入大门，1比1
69'申花前场右路的任意球机会                   69'但恒大几乎在最短时间里再进一球，第69分钟恒大中圈送出球来，阿兰左路拿球奔袭，杀到禁区前沿看准机会，突然打出一记强烈的外弧线，皮球飞入大门右上角，2比1，恒大最短时间内再次领先
69'瓜林低传到禁区内，一轮混战，登巴巴抽网顶球进                   69'但恒大几乎在最短时间里再进一球，第69分钟恒大中圈送出球来，阿兰左路拿球奔袭，杀到禁区前沿看准机会，突然打出一记强烈的外弧线，皮球飞入大门右上角，2比1，恒大最短时间内再次领先
69'申花扳平了比分                   69'但恒大几乎在最短时间里再进一球，第69分钟恒大中圈送出球来，阿兰左路拿球奔袭，杀到禁区前沿看准机会，突然打出一记强烈的外弧线，皮球飞入大门右上角，2比1，恒大最短时间内再次领先
70'恒大中圈开球                   69'但恒大几乎在最短时间里再进一球，第69分钟恒大中圈送出球来，阿兰左路拿球奔袭，杀到禁区前沿看准机会，突然打出一记强烈的外弧线，皮球飞入大门右上角，2比1，恒大最短时间内再次领先
70'瓜林的长传上来，曾诚冲出禁区将球解围                   69'但恒大几乎在最短时间里再进一球，第69分钟恒大中圈送出球来，阿兰左路拿球奔袭，杀到禁区前沿看准机会，突然打出一记强烈的外弧线，皮球飞入大门右上角，2比1，恒大最短时间内再次领先
71'阿兰带球间左脚推射弧线球挂角而入！                   69'但恒大几乎在最短时间里再进一球，第69分钟恒大中圈送出球来，阿兰左路拿球奔袭，杀到禁区前沿看准机会，突然打出一记强烈的外弧线，皮球飞入大门右上角，2比1，恒大最短时间内再次领先
71'阿兰今天是爆发了！                   69'但恒大几乎在最短时间里再进一球，第69分钟恒大中圈送出球来，阿兰左路拿球奔袭，杀到禁区前沿看准机会，突然打出一记强烈的外弧线，皮球飞入大门右上角，2比1，恒大最短时间内再次领先
72'阿兰左路带球斜向内切到弧顶处打出弧线球直挂球门右上角球进！                   69'但恒大几乎在最短时间里再进一球，第69分钟恒大中圈送出球来，阿兰左路拿球奔袭，杀到禁区前沿看准机会，突然打出一记强烈的外弧线，皮球飞入大门右上角，2比1，恒大最短时间内再次领先
72'申花获得一个左路的任意球机会                   69'但恒大几乎在最短时间里再进一球，第69分钟恒大中圈送出球来，阿兰左路拿球奔袭，杀到禁区前沿看准机会，突然打出一记强烈的外弧线，皮球飞入大门右上角，2比1，恒大最短时间内再次领先
