5'今天带领巴萨的助理教练鲁拉                   5'第5分钟，阿尔维斯右路传中，无人防守的桑切斯小禁区前推射踢空错失良机
46'好了，下半场比赛开始了！                   46'1分钟后，塞雷诺禁区边缘外拉倒蒂亚戈被罚黄牌，梅西20码处任意球直接射门，皮球绕过人墙飞向近角，但最后却憾中左侧立柱弹出
46'下半场是巴萨开球                   46'1分钟后，塞雷诺禁区边缘外拉倒蒂亚戈被罚黄牌，梅西20码处任意球直接射门，皮球绕过人墙飞向近角，但最后却憾中左侧立柱弹出
46'今天巴拉多利德在进攻方面只有一次攻门                   46'1分钟后，塞雷诺禁区边缘外拉倒蒂亚戈被罚黄牌，梅西20码处任意球直接射门，皮球绕过人墙飞向近角，但最后却憾中左侧立柱弹出
47'哈维转移到右路~                   46'1分钟后，塞雷诺禁区边缘外拉倒蒂亚戈被罚黄牌，梅西20码处任意球直接射门，皮球绕过人墙飞向近角，但最后却憾中左侧立柱弹出
47'阿尔维斯~球已经出界了                   46'1分钟后，塞雷诺禁区边缘外拉倒蒂亚戈被罚黄牌，梅西20码处任意球直接射门，皮球绕过人墙飞向近角，但最后却憾中左侧立柱弹出
48'阿尔维斯~连续的踢墙式配合                   46'1分钟后，塞雷诺禁区边缘外拉倒蒂亚戈被罚黄牌，梅西20码处任意球直接射门，皮球绕过人墙飞向近角，但最后却憾中左侧立柱弹出
48'过了门将之后传中~~~佩刀头球击中了立柱！                   46'1分钟后，塞雷诺禁区边缘外拉倒蒂亚戈被罚黄牌，梅西20码处任意球直接射门，皮球绕过人墙飞向近角，但最后却憾中左侧立柱弹出
48'两次了~梅西也有一次击中立柱                   46'1分钟后，塞雷诺禁区边缘外拉倒蒂亚戈被罚黄牌，梅西20码处任意球直接射门，皮球绕过人墙飞向近角，但最后却憾中左侧立柱弹出
48'佩德罗这次攻门太追求角度                   46'1分钟后，塞雷诺禁区边缘外拉倒蒂亚戈被罚黄牌，梅西20码处任意球直接射门，皮球绕过人墙飞向近角，但最后却憾中左侧立柱弹出
49'不过刚才这次进攻可以看出阿尔维斯的状态恢复得不错                   46'1分钟后，塞雷诺禁区边缘外拉倒蒂亚戈被罚黄牌，梅西20码处任意球直接射门，皮球绕过人墙飞向近角，但最后却憾中左侧立柱弹出
49'至少在进攻方面阿尔维斯还是能够有所贡献的                   46'1分钟后，塞雷诺禁区边缘外拉倒蒂亚戈被罚黄牌，梅西20码处任意球直接射门，皮球绕过人墙飞向近角，但最后却憾中左侧立柱弹出
49'哈维带球被围抢，球丢了                   46'1分钟后，塞雷诺禁区边缘外拉倒蒂亚戈被罚黄牌，梅西20码处任意球直接射门，皮球绕过人墙飞向近角，但最后却憾中左侧立柱弹出
43'桑切斯这个赛季表现特别的低迷，但是比拉诺瓦还是很信任他                   43'巴萨第43分钟打破僵局，梅西直传，阿尔巴禁区左侧传中，无人防守的哈维小禁区边缘铲射破门
43'而不是选择信任比利亚                   43'巴萨第43分钟打破僵局，梅西直传，阿尔巴禁区左侧传中，无人防守的哈维小禁区边缘铲射破门
43'哈维~~~                   43'巴萨第43分钟打破僵局，梅西直传，阿尔巴禁区左侧传中，无人防守的哈维小禁区边缘铲射破门
43'Goooooooooooooal！！！                   43'巴萨第43分钟打破僵局，梅西直传，阿尔巴禁区左侧传中，无人防守的哈维小禁区边缘铲射破门
43'梅西策动进攻~左路的阿尔巴接球之后横敲门前，哈维~~~倒地的铲射把球送入空门！！！                   43'巴萨第43分钟打破僵局，梅西直传，阿尔巴禁区左侧传中，无人防守的哈维小禁区边缘铲射破门
44'运动战进球哈维也有很久没有做到了                   43'巴萨第43分钟打破僵局，梅西直传，阿尔巴禁区左侧传中，无人防守的哈维小禁区边缘铲射破门
45'上半场比赛就快结束                   43'巴萨第43分钟打破僵局，梅西直传，阿尔巴禁区左侧传中，无人防守的哈维小禁区边缘铲射破门
45'刚才的射门是巴萨在禁区里边为数不多的机会~                   43'巴萨第43分钟打破僵局，梅西直传，阿尔巴禁区左侧传中，无人防守的哈维小禁区边缘铲射破门
45'就这么一次，哈维把握住了                   43'巴萨第43分钟打破僵局，梅西直传，阿尔巴禁区左侧传中，无人防守的哈维小禁区边缘铲射破门
45'上半场补时1分钟                   43'巴萨第43分钟打破僵局，梅西直传，阿尔巴禁区左侧传中，无人防守的哈维小禁区边缘铲射破门
46'奥斯卡在中场停球的时候手球了                   43'巴萨第43分钟打破僵局，梅西直传，阿尔巴禁区左侧传中，无人防守的哈维小禁区边缘铲射破门
46'巴萨长传进攻，佩刀处在了越位位置                   43'巴萨第43分钟打破僵局，梅西直传，阿尔巴禁区左侧传中，无人防守的哈维小禁区边缘铲射破门
46'好了，下半场比赛开始了！                   43'巴萨第43分钟打破僵局，梅西直传，阿尔巴禁区左侧传中，无人防守的哈维小禁区边缘铲射破门
46'下半场是巴萨开球                   43'巴萨第43分钟打破僵局，梅西直传，阿尔巴禁区左侧传中，无人防守的哈维小禁区边缘铲射破门
46'今天巴拉多利德在进攻方面只有一次攻门                   43'巴萨第43分钟打破僵局，梅西直传，阿尔巴禁区左侧传中，无人防守的哈维小禁区边缘铲射破门
58'慢动作来看布斯克茨刚才那次倒地确实是对方犯规                   58'第58分钟，桑切斯突破受阻，梅西跟进拿球在10码处右脚推射偏出
58'不过裁判不相信布教授~不是一次两次了                   58'第58分钟，桑切斯突破受阻，梅西跟进拿球在10码处右脚推射偏出
58'巴萨的角球传中没有什么威胁                   58'第58分钟，桑切斯突破受阻，梅西跟进拿球在10码处右脚推射偏出
59'梅西~~单刀机会                   58'第58分钟，桑切斯突破受阻，梅西跟进拿球在10码处右脚推射偏出
59'打得太偏啦                   58'第58分钟，桑切斯突破受阻，梅西跟进拿球在10码处右脚推射偏出
59'先是桑切斯在禁区内倒地，梅西插上抢下皮球~面对门将的右脚打门~~~偏出了左侧立柱                   58'第58分钟，桑切斯突破受阻，梅西跟进拿球在10码处右脚推射偏出
59'梅西~~~                   58'第58分钟，桑切斯突破受阻，梅西跟进拿球在10码处右脚推射偏出
60'Goooooooooooooooal！！！                   58'第58分钟，桑切斯突破受阻，梅西跟进拿球在10码处右脚推射偏出
60'第91球~~~~                   58'第58分钟，桑切斯突破受阻，梅西跟进拿球在10码处右脚推射偏出
60'这个纪录还在继续~                   58'第58分钟，桑切斯突破受阻，梅西跟进拿球在10码处右脚推射偏出
61'接到了哈维的脚后跟传球，梅西~突然启动穿裆过了一名后卫，禁区线上左脚打门！击中立柱之后反弹进球~                   58'第58分钟，桑切斯突破受阻，梅西跟进拿球在10码处右脚推射偏出
61'连续第7场比赛都有进球                   58'第58分钟，桑切斯突破受阻，梅西跟进拿球在10码处右脚推射偏出
61'梅西~能不能又一次梅开二度呢？                   58'第58分钟，桑切斯突破受阻，梅西跟进拿球在10码处右脚推射偏出
63'梅西在中场~把球交给了蒂亚戈                   63'第63分钟，哈维直传，加梅斯头球回传却越过出击的达尼，门将及时回身在门线前飞身扑出
63'这球没吹门将犯规吗？                   63'第63分钟，哈维直传，加梅斯头球回传却越过出击的达尼，门将及时回身在门线前飞身扑出
64'对方后卫~头球回顶给门将，差点形成乌龙                   63'第63分钟，哈维直传，加梅斯头球回传却越过出击的达尼，门将及时回身在门线前飞身扑出
64'门将在门线上把球扑了出去                   63'第63分钟，哈维直传，加梅斯头球回传却越过出击的达尼，门将及时回身在门线前飞身扑出
64'这种回传球裁判没吹~                   63'第63分钟，哈维直传，加梅斯头球回传却越过出击的达尼，门将及时回身在门线前飞身扑出
64'头晕了~忘了是头球！                   63'第63分钟，哈维直传，加梅斯头球回传却越过出击的达尼，门将及时回身在门线前飞身扑出
65'阿尔维斯在边路和梅西寻求配合~今天巴西人很兴奋                   63'第63分钟，哈维直传，加梅斯头球回传却越过出击的达尼，门将及时回身在门线前飞身扑出
65'巴拉多利德要换人了                   63'第63分钟，哈维直传，加梅斯头球回传却越过出击的达尼，门将及时回身在门线前飞身扑出
66'28号佩尼亚换下了布雷诺                   63'第63分钟，哈维直传，加梅斯头球回传却越过出击的达尼，门将及时回身在门线前飞身扑出
66'梅西在中场反抢断球~                   63'第63分钟，哈维直传，加梅斯头球回传却越过出击的达尼，门将及时回身在门线前飞身扑出
72'梅西摆脱~到了禁区线上                   72'第72分钟，阿尔维斯传球，8人包夹下的梅西禁区弧顶的左脚推射偏出左下角
73'左脚搓个角度~~~梅西这次攻门打偏了                   72'第72分钟，阿尔维斯传球，8人包夹下的梅西禁区弧顶的左脚推射偏出左下角
74'70多分钟了，比利亚也该上场了吧                   72'第72分钟，阿尔维斯传球，8人包夹下的梅西禁区弧顶的左脚推射偏出左下角
74'特球王貌似也在场下热身                   72'第72分钟，阿尔维斯传球，8人包夹下的梅西禁区弧顶的左脚推射偏出左下角
75'布教授的大长腿~倒地这么一铲，防守面积太大了                   72'第72分钟，阿尔维斯传球，8人包夹下的梅西禁区弧顶的左脚推射偏出左下角
89'古埃拉！！！                   89'巴拉多利德第89分钟扳回一城，鲁卡维纳右路凌空传中，替补出场的格拉小禁区边缘头球攻门被巴尔德斯勉强挡下，他随即近距离补射入网，1-2
89'巴拉多利德扳回一城！！！                   89'巴拉多利德第89分钟扳回一城，鲁卡维纳右路凌空传中，替补出场的格拉小禁区边缘头球攻门被巴尔德斯勉强挡下，他随即近距离补射入网，1-2
90'.来自右路的传中，古埃拉头球被巴尔德斯扑了一下，再跟进补射~巴尔德斯无能为力了                   89'巴拉多利德第89分钟扳回一城，鲁卡维纳右路凌空传中，替补出场的格拉小禁区边缘头球攻门被巴尔德斯勉强挡下，他随即近距离补射入网，1-2
91'特球王要上场了                   89'巴拉多利德第89分钟扳回一城，鲁卡维纳右路凌空传中，替补出场的格拉小禁区边缘头球攻门被巴尔德斯勉强挡下，他随即近距离补射入网，1-2
91'换下的应该是佩德罗                   89'巴拉多利德第89分钟扳回一城，鲁卡维纳右路凌空传中，替补出场的格拉小禁区边缘头球攻门被巴尔德斯勉强挡下，他随即近距离补射入网，1-2
91'巴拉多利德看到了希望                   89'巴拉多利德第89分钟扳回一城，鲁卡维纳右路凌空传中，替补出场的格拉小禁区边缘头球攻门被巴尔德斯勉强挡下，他随即近距离补射入网，1-2
91'下半场要补时3分钟                   89'巴拉多利德第89分钟扳回一城，鲁卡维纳右路凌空传中，替补出场的格拉小禁区边缘头球攻门被巴尔德斯勉强挡下，他随即近距离补射入网，1-2
92'差不多都压上去了~                   89'巴拉多利德第89分钟扳回一城，鲁卡维纳右路凌空传中，替补出场的格拉小禁区边缘头球攻门被巴尔德斯勉强挡下，他随即近距离补射入网，1-2
