4'回敲后场                   4'第4分钟，里亚斯科斯左路策动快速进攻，传球瞬间被建业补防后卫将球破坏出底线
10'大举压上后一记传中                   10'第10分钟，卡拉斯科大禁区线附近横向带球后起左脚劲射，吴龑迅速倒地将球扑出
10'被陈灏解围                   10'第10分钟，卡拉斯科大禁区线附近横向带球后起左脚劲射，吴龑迅速倒地将球扑出
10'球权急需被一方队控制                   10'第10分钟，卡拉斯科大禁区线附近横向带球后起左脚劲射，吴龑迅速倒地将球扑出
11'卡拉斯科横拉后直接远射                   10'第10分钟，卡拉斯科大禁区线附近横向带球后起左脚劲射，吴龑迅速倒地将球扑出
11'吴龚奋力扑出                   10'第10分钟，卡拉斯科大禁区线附近横向带球后起左脚劲射，吴龑迅速倒地将球扑出
11'穆谢奎得球                   10'第10分钟，卡拉斯科大禁区线附近横向带球后起左脚劲射，吴龑迅速倒地将球扑出
11'传中杨善平得球                   10'第10分钟，卡拉斯科大禁区线附近横向带球后起左脚劲射，吴龑迅速倒地将球扑出
11'不过趟大了                   10'第10分钟，卡拉斯科大禁区线附近横向带球后起左脚劲射，吴龑迅速倒地将球扑出
11'门球                   10'第10分钟，卡拉斯科大禁区线附近横向带球后起左脚劲射，吴龑迅速倒地将球扑出
12'主队可谓是气势如虹                   10'第10分钟，卡拉斯科大禁区线附近横向带球后起左脚劲射，吴龑迅速倒地将球扑出
12'进攻端十分有声势                   10'第10分钟，卡拉斯科大禁区线附近横向带球后起左脚劲射，吴龑迅速倒地将球扑出
12'不过客队也很有章法                   10'第10分钟，卡拉斯科大禁区线附近横向带球后起左脚劲射，吴龑迅速倒地将球扑出
12'一方队长传到禁区                   10'第10分钟，卡拉斯科大禁区线附近横向带球后起左脚劲射，吴龑迅速倒地将球扑出
13'穆谢奎靠速度硬吃                   10'第10分钟，卡拉斯科大禁区线附近横向带球后起左脚劲射，吴龑迅速倒地将球扑出
13'直接打门                   10'第10分钟，卡拉斯科大禁区线附近横向带球后起左脚劲射，吴龑迅速倒地将球扑出
13'被挡出底线                   10'第10分钟，卡拉斯科大禁区线附近横向带球后起左脚劲射，吴龑迅速倒地将球扑出
13'角球                   10'第10分钟，卡拉斯科大禁区线附近横向带球后起左脚劲射，吴龑迅速倒地将球扑出
13'开到前点                   10'第10分钟，卡拉斯科大禁区线附近横向带球后起左脚劲射，吴龑迅速倒地将球扑出
13'里卡多奋力顶出                   10'第10分钟，卡拉斯科大禁区线附近横向带球后起左脚劲射，吴龑迅速倒地将球扑出
13'一方队得球                   10'第10分钟，卡拉斯科大禁区线附近横向带球后起左脚劲射，吴龑迅速倒地将球扑出
13'斜传失误了                   10'第10分钟，卡拉斯科大禁区线附近横向带球后起左脚劲射，吴龑迅速倒地将球扑出
13'建业队断球                   10'第10分钟，卡拉斯科大禁区线附近横向带球后起左脚劲射，吴龑迅速倒地将球扑出
15'大脚开出，给到伊沃                   15'第15分钟，马兴煜在防守时直接铲到了卡拉斯科脚踝，裁判向其出示黄牌
15'横传被断了                   15'第15分钟，马兴煜在防守时直接铲到了卡拉斯科脚踝，裁判向其出示黄牌
15'建业队反断                   15'第15分钟，马兴煜在防守时直接铲到了卡拉斯科脚踝，裁判向其出示黄牌
15'卡拉斯科再次断球                   15'第15分钟，马兴煜在防守时直接铲到了卡拉斯科脚踝，裁判向其出示黄牌
15'马兴煜上抢犯规                   15'第15分钟，马兴煜在防守时直接铲到了卡拉斯科脚踝，裁判向其出示黄牌
15'铲球动作过大                   15'第15分钟，马兴煜在防守时直接铲到了卡拉斯科脚踝，裁判向其出示黄牌
15'给了黄牌                   15'第15分钟，马兴煜在防守时直接铲到了卡拉斯科脚踝，裁判向其出示黄牌
16'一方队中圈附近任意球                   15'第15分钟，马兴煜在防守时直接铲到了卡拉斯科脚踝，裁判向其出示黄牌
16'卡拉斯科好像受伤了                   15'第15分钟，马兴煜在防守时直接铲到了卡拉斯科脚踝，裁判向其出示黄牌
16'倒在草地上                   15'第15分钟，马兴煜在防守时直接铲到了卡拉斯科脚踝，裁判向其出示黄牌
16'队医进场治疗                   15'第15分钟，马兴煜在防守时直接铲到了卡拉斯科脚踝，裁判向其出示黄牌
17'此前盖坦已经因为累积黄牌停赛，卡拉斯科对主队来说更显得重要                   15'第15分钟，马兴煜在防守时直接铲到了卡拉斯科脚踝，裁判向其出示黄牌
17'问题不大                   15'第15分钟，马兴煜在防守时直接铲到了卡拉斯科脚踝，裁判向其出示黄牌
17'前场远距离任意球                   15'第15分钟，马兴煜在防守时直接铲到了卡拉斯科脚踝，裁判向其出示黄牌
17'周挺主罚                   15'第15分钟，马兴煜在防守时直接铲到了卡拉斯科脚踝，裁判向其出示黄牌
17'门将奋力扑出                   15'第15分钟，马兴煜在防守时直接铲到了卡拉斯科脚踝，裁判向其出示黄牌
17'建业队反击                   15'第15分钟，马兴煜在防守时直接铲到了卡拉斯科脚踝，裁判向其出示黄牌
18'伊沃大步流星杀到禁区                   15'第15分钟，马兴煜在防守时直接铲到了卡拉斯科脚踝，裁判向其出示黄牌
18'左肋部远射                   15'第15分钟，马兴煜在防守时直接铲到了卡拉斯科脚踝，裁判向其出示黄牌
18'稍稍偏出                   15'第15分钟，马兴煜在防守时直接铲到了卡拉斯科脚踝，裁判向其出示黄牌
18'门球                   15'第15分钟，马兴煜在防守时直接铲到了卡拉斯科脚踝，裁判向其出示黄牌
18'周挺给董岩峰                   15'第15分钟，马兴煜在防守时直接铲到了卡拉斯科脚踝，裁判向其出示黄牌
18'回给李帅                   15'第15分钟，马兴煜在防守时直接铲到了卡拉斯科脚踝，裁判向其出示黄牌
18'中路建业队断球                   15'第15分钟，马兴煜在防守时直接铲到了卡拉斯科脚踝，裁判向其出示黄牌
46'卡拉斯科横传被断                   46'1分钟后，李帅做出关键防守，巴索戈的传中球险些送到后点里卡多脚下
46'界外球掷出                   46'1分钟后，李帅做出关键防守，巴索戈的传中球险些送到后点里卡多脚下
46'卡拉斯科大发神威                   46'1分钟后，李帅做出关键防守，巴索戈的传中球险些送到后点里卡多脚下
46'连过四人                   46'1分钟后，李帅做出关键防守，巴索戈的传中球险些送到后点里卡多脚下
46'边路传中                   46'1分钟后，李帅做出关键防守，巴索戈的传中球险些送到后点里卡多脚下
46'穆谢奎头球！                   46'1分钟后，李帅做出关键防守，巴索戈的传中球险些送到后点里卡多脚下
46'进啦！                   46'1分钟后，李帅做出关键防守，巴索戈的传中球险些送到后点里卡多脚下
47'穆谢奎将球槌入死角                   46'1分钟后，李帅做出关键防守，巴索戈的传中球险些送到后点里卡多脚下
47'建业队要求看回放，认为是越位                   46'1分钟后，李帅做出关键防守，巴索戈的传中球险些送到后点里卡多脚下
47'回访完毕，应该是好球                   46'1分钟后，李帅做出关键防守，巴索戈的传中球险些送到后点里卡多脚下
47'裁判一声哨响，半场比赛结束                   46'1分钟后，李帅做出关键防守，巴索戈的传中球险些送到后点里卡多脚下
46'比赛开始                   46'1分钟后，李帅做出关键防守，巴索戈的传中球险些送到后点里卡多脚下
46'建业队开球                   46'1分钟后，李帅做出关键防守，巴索戈的传中球险些送到后点里卡多脚下
46'中圈找到里卡多                   46'1分钟后，李帅做出关键防守，巴索戈的传中球险些送到后点里卡多脚下
46'被犯规                   46'1分钟后，李帅做出关键防守，巴索戈的传中球险些送到后点里卡多脚下
46'任意球伊沃主罚                   46'1分钟后，李帅做出关键防守，巴索戈的传中球险些送到后点里卡多脚下
47'横穿右路，传中到禁区                   46'1分钟后，李帅做出关键防守，巴索戈的传中球险些送到后点里卡多脚下
47'被一方队员顶出                   46'1分钟后，李帅做出关键防守，巴索戈的传中球险些送到后点里卡多脚下
47'角球                   46'1分钟后，李帅做出关键防守，巴索戈的传中球险些送到后点里卡多脚下
47'前场右侧战术角球                   46'1分钟后，李帅做出关键防守，巴索戈的传中球险些送到后点里卡多脚下
47'有球员倒地，裁判没吹                   46'1分钟后，李帅做出关键防守，巴索戈的传中球险些送到后点里卡多脚下
47'建业界外球                   46'1分钟后，李帅做出关键防守，巴索戈的传中球险些送到后点里卡多脚下
47'掷出给里卡多                   46'1分钟后，李帅做出关键防守，巴索戈的传中球险些送到后点里卡多脚下
48'内切后传中                   46'1分钟后，李帅做出关键防守，巴索戈的传中球险些送到后点里卡多脚下
48'太近了，被门将没收                   46'1分钟后，李帅做出关键防守，巴索戈的传中球险些送到后点里卡多脚下
48'手抛球给到李帅                   46'1分钟后，李帅做出关键防守，巴索戈的传中球险些送到后点里卡多脚下
48'里亚斯克斯得球后倒三角给到卡拉斯科                   46'1分钟后，李帅做出关键防守，巴索戈的传中球险些送到后点里卡多脚下
49'一记贴地斩，可惜没打上力量                   46'1分钟后，李帅做出关键防守，巴索戈的传中球险些送到后点里卡多脚下
49'门将没收                   46'1分钟后，李帅做出关键防守，巴索戈的传中球险些送到后点里卡多脚下
49'吴龚示意队友压上                   46'1分钟后，李帅做出关键防守，巴索戈的传中球险些送到后点里卡多脚下
49'前场找巴索戈                   46'1分钟后，李帅做出关键防守，巴索戈的传中球险些送到后点里卡多脚下
49'回敲钟晋宝                   46'1分钟后，李帅做出关键防守，巴索戈的传中球险些送到后点里卡多脚下
49'长传                   46'1分钟后，李帅做出关键防守，巴索戈的传中球险些送到后点里卡多脚下
49'皮球被一方队拿到                   46'1分钟后，李帅做出关键防守，巴索戈的传中球险些送到后点里卡多脚下
31'李帅将球解围出边线                   31'第31分钟，巴索戈依靠出众的个人能力在禁区内先后躲过了杨善平与周挺的防守推射远角稍稍偏出球门
31'建业界外球                   31'第31分钟，巴索戈依靠出众的个人能力在禁区内先后躲过了杨善平与周挺的防守推射远角稍稍偏出球门
31'伊沃对抗后倒地                   31'第31分钟，巴索戈依靠出众的个人能力在禁区内先后躲过了杨善平与周挺的防守推射远角稍稍偏出球门
31'裁判示意建业队犯规                   31'第31分钟，巴索戈依靠出众的个人能力在禁区内先后躲过了杨善平与周挺的防守推射远角稍稍偏出球门
31'张翀开任意球                   31'第31分钟，巴索戈依靠出众的个人能力在禁区内先后躲过了杨善平与周挺的防守推射远角稍稍偏出球门
32'球直接飞出边线                   31'第31分钟，巴索戈依靠出众的个人能力在禁区内先后躲过了杨善平与周挺的防守推射远角稍稍偏出球门
32'建业界外球                   31'第31分钟，巴索戈依靠出众的个人能力在禁区内先后躲过了杨善平与周挺的防守推射远角稍稍偏出球门
32'马兴煜被李帅抢断                   31'第31分钟，巴索戈依靠出众的个人能力在禁区内先后躲过了杨善平与周挺的防守推射远角稍稍偏出球门
32'建业反断                   31'第31分钟，巴索戈依靠出众的个人能力在禁区内先后躲过了杨善平与周挺的防守推射远角稍稍偏出球门
32'前场反击                   31'第31分钟，巴索戈依靠出众的个人能力在禁区内先后躲过了杨善平与周挺的防守推射远角稍稍偏出球门
32'交巴索戈                   31'第31分钟，巴索戈依靠出众的个人能力在禁区内先后躲过了杨善平与周挺的防守推射远角稍稍偏出球门
33'直接搓射                   31'第31分钟，巴索戈依靠出众的个人能力在禁区内先后躲过了杨善平与周挺的防守推射远角稍稍偏出球门
33'球擦着立柱飞出边线                   31'第31分钟，巴索戈依靠出众的个人能力在禁区内先后躲过了杨善平与周挺的防守推射远角稍稍偏出球门
33'门球                   31'第31分钟，巴索戈依靠出众的个人能力在禁区内先后躲过了杨善平与周挺的防守推射远角稍稍偏出球门
33'李帅突破，建业队解围                   31'第31分钟，巴索戈依靠出众的个人能力在禁区内先后躲过了杨善平与周挺的防守推射远角稍稍偏出球门
33'界外球扔给卡拉斯科                   31'第31分钟，巴索戈依靠出众的个人能力在禁区内先后躲过了杨善平与周挺的防守推射远角稍稍偏出球门
33'失误了！                   31'第31分钟，巴索戈依靠出众的个人能力在禁区内先后躲过了杨善平与周挺的防守推射远角稍稍偏出球门
34'建业队断球反击                   31'第31分钟，巴索戈依靠出众的个人能力在禁区内先后躲过了杨善平与周挺的防守推射远角稍稍偏出球门
34'巴索戈面对秦升                   31'第31分钟，巴索戈依靠出众的个人能力在禁区内先后躲过了杨善平与周挺的防守推射远角稍稍偏出球门
34'想扣一个，被断了                   31'第31分钟，巴索戈依靠出众的个人能力在禁区内先后躲过了杨善平与周挺的防守推射远角稍稍偏出球门
34'秦升这个防守非常出色                   31'第31分钟，巴索戈依靠出众的个人能力在禁区内先后躲过了杨善平与周挺的防守推射远角稍稍偏出球门
34'建业队的球                   31'第31分钟，巴索戈依靠出众的个人能力在禁区内先后躲过了杨善平与周挺的防守推射远角稍稍偏出球门
34'柯钊传出                   31'第31分钟，巴索戈依靠出众的个人能力在禁区内先后躲过了杨善平与周挺的防守推射远角稍稍偏出球门
38'杨阔前场右路传中                   38'第38分钟，卡拉斯科开出左侧角球，董岩锋头球攻门偏出门柱
38'球被挡出底线                   38'第38分钟，卡拉斯科开出左侧角球，董岩锋头球攻门偏出门柱
38'角球开出                   38'第38分钟，卡拉斯科开出左侧角球，董岩锋头球攻门偏出门柱
38'一方队前点解围                   38'第38分钟，卡拉斯科开出左侧角球，董岩锋头球攻门偏出门柱
38'外围建业队开了一记大脚直接到禁区                   38'第38分钟，卡拉斯科开出左侧角球，董岩锋头球攻门偏出门柱
39'门将张翀没收                   38'第38分钟，卡拉斯科开出左侧角球，董岩锋头球攻门偏出门柱
39'大脚开到前场                   38'第38分钟，卡拉斯科开出左侧角球，董岩锋头球攻门偏出门柱
39'王上源顶出底线                   38'第38分钟，卡拉斯科开出左侧角球，董岩锋头球攻门偏出门柱
39'送了一个角球                   38'第38分钟，卡拉斯科开出左侧角球，董岩锋头球攻门偏出门柱
39'卡拉斯科处理                   38'第38分钟，卡拉斯科开出左侧角球，董岩锋头球攻门偏出门柱
39'右路角球                   38'第38分钟，卡拉斯科开出左侧角球，董岩锋头球攻门偏出门柱
39'前点董岩峰甩头攻门                   38'第38分钟，卡拉斯科开出左侧角球，董岩锋头球攻门偏出门柱
39'偏出立柱                   38'第38分钟，卡拉斯科开出左侧角球，董岩锋头球攻门偏出门柱
40'吴龚大脚开出                   38'第38分钟，卡拉斯科开出左侧角球，董岩锋头球攻门偏出门柱
40'前场头球争夺                   38'第38分钟，卡拉斯科开出左侧角球，董岩锋头球攻门偏出门柱
40'建业队得球                   38'第38分钟，卡拉斯科开出左侧角球，董岩锋头球攻门偏出门柱
40'巴索戈背身给里卡多                   38'第38分钟，卡拉斯科开出左侧角球，董岩锋头球攻门偏出门柱
40'里卡多随即直塞                   38'第38分钟，卡拉斯科开出左侧角球，董岩锋头球攻门偏出门柱
40'巴索戈跟进，没跟上球                   38'第38分钟，卡拉斯科开出左侧角球，董岩锋头球攻门偏出门柱
41'球被让出底线                   38'第38分钟，卡拉斯科开出左侧角球，董岩锋头球攻门偏出门柱
41'张翀开出大脚                   38'第38分钟，卡拉斯科开出左侧角球，董岩锋头球攻门偏出门柱
41'周挺回敲杨善平                   38'第38分钟，卡拉斯科开出左侧角球，董岩锋头球攻门偏出门柱
41'过人后直塞卡拉斯科                   38'第38分钟，卡拉斯科开出左侧角球，董岩锋头球攻门偏出门柱
41'卡拉斯科斜传                   38'第38分钟，卡拉斯科开出左侧角球，董岩锋头球攻门偏出门柱
49'一记贴地斩，可惜没打上力量                   49'第49分钟，卡拉斯科前场右路送出精准过顶长传，里亚斯科斯调整过多最后射门被堵
49'门将没收                   49'第49分钟，卡拉斯科前场右路送出精准过顶长传，里亚斯科斯调整过多最后射门被堵
49'吴龚示意队友压上                   49'第49分钟，卡拉斯科前场右路送出精准过顶长传，里亚斯科斯调整过多最后射门被堵
49'前场找巴索戈                   49'第49分钟，卡拉斯科前场右路送出精准过顶长传，里亚斯科斯调整过多最后射门被堵
49'回敲钟晋宝                   49'第49分钟，卡拉斯科前场右路送出精准过顶长传，里亚斯科斯调整过多最后射门被堵
49'长传                   49'第49分钟，卡拉斯科前场右路送出精准过顶长传，里亚斯科斯调整过多最后射门被堵
49'皮球被一方队拿到                   49'第49分钟，卡拉斯科前场右路送出精准过顶长传，里亚斯科斯调整过多最后射门被堵
50'逼抢下出了边线                   49'第49分钟，卡拉斯科前场右路送出精准过顶长传，里亚斯科斯调整过多最后射门被堵
50'建业队界外球                   49'第49分钟，卡拉斯科前场右路送出精准过顶长传，里亚斯科斯调整过多最后射门被堵
50'建业队被断球                   49'第49分钟，卡拉斯科前场右路送出精准过顶长传，里亚斯科斯调整过多最后射门被堵
50'卡拉斯科得球加速                   49'第49分钟，卡拉斯科前场右路送出精准过顶长传，里亚斯科斯调整过多最后射门被堵
50'传中给到里亚斯克斯                   49'第49分钟，卡拉斯科前场右路送出精准过顶长传，里亚斯科斯调整过多最后射门被堵
50'直接打门                   49'第49分钟，卡拉斯科前场右路送出精准过顶长传，里亚斯科斯调整过多最后射门被堵
50'被门将没收                   49'第49分钟，卡拉斯科前场右路送出精准过顶长传，里亚斯科斯调整过多最后射门被堵
51'外围还是一方的                   49'第49分钟，卡拉斯科前场右路送出精准过顶长传，里亚斯科斯调整过多最后射门被堵
51'给到穆谢奎                   49'第49分钟，卡拉斯科前场右路送出精准过顶长传，里亚斯科斯调整过多最后射门被堵
51'头槌！                   49'第49分钟，卡拉斯科前场右路送出精准过顶长传，里亚斯科斯调整过多最后射门被堵
51'进了！                   49'第49分钟，卡拉斯科前场右路送出精准过顶长传，里亚斯科斯调整过多最后射门被堵
51'穆谢奎头球梅开二度！！！                   49'第49分钟，卡拉斯科前场右路送出精准过顶长传，里亚斯科斯调整过多最后射门被堵
52'下半时刚一开场，穆谢奎就奉献了精彩的头槌破门                   49'第49分钟，卡拉斯科前场右路送出精准过顶长传，里亚斯科斯调整过多最后射门被堵
52'比赛堪称精彩                   49'第49分钟，卡拉斯科前场右路送出精准过顶长传，里亚斯科斯调整过多最后射门被堵
52'比赛继续                   49'第49分钟，卡拉斯科前场右路送出精准过顶长传，里亚斯科斯调整过多最后射门被堵
52'建业前场进攻                   49'第49分钟，卡拉斯科前场右路送出精准过顶长传，里亚斯科斯调整过多最后射门被堵
52'左路柯钊拿球                   49'第49分钟，卡拉斯科前场右路送出精准过顶长传，里亚斯科斯调整过多最后射门被堵
52'带球被断                   49'第49分钟，卡拉斯科前场右路送出精准过顶长传，里亚斯科斯调整过多最后射门被堵
57'里亚斯克斯被吹黄牌                   57'第57分钟，大连一方在阻止建业快速反击时里亚斯科斯犯规染黄
57'前场33米左右建业任意球                   57'第57分钟，大连一方在阻止建业快速反击时里亚斯科斯犯规染黄
57'里卡多和伊沃处理                   57'第57分钟，大连一方在阻止建业快速反击时里亚斯科斯犯规染黄
57'里卡多直接打                   57'第57分钟，大连一方在阻止建业快速反击时里亚斯科斯犯规染黄
57'打中人墙                   57'第57分钟，大连一方在阻止建业快速反击时里亚斯科斯犯规染黄
57'中场建业队拿球                   57'第57分钟，大连一方在阻止建业快速反击时里亚斯科斯犯规染黄
57'挑传禁区                   57'第57分钟，大连一方在阻止建业快速反击时里亚斯科斯犯规染黄
58'被顶出，还是建业球                   57'第57分钟，大连一方在阻止建业快速反击时里亚斯科斯犯规染黄
58'里卡多头球一蹭，门将保护住皮球                   57'第57分钟，大连一方在阻止建业快速反击时里亚斯科斯犯规染黄
58'秦升被上抢的冯卓毅犯规                   57'第57分钟，大连一方在阻止建业快速反击时里亚斯科斯犯规染黄
58'任意球                   57'第57分钟，大连一方在阻止建业快速反击时里亚斯科斯犯规染黄
59'大脚开到前场被建业队得到                   57'第57分钟，大连一方在阻止建业快速反击时里亚斯科斯犯规染黄
59'建业队大脚开到前场                   57'第57分钟，大连一方在阻止建业快速反击时里亚斯科斯犯规染黄
59'一方队后卫挡出边线                   57'第57分钟，大连一方在阻止建业快速反击时里亚斯科斯犯规染黄
59'界外球掷出                   57'第57分钟，大连一方在阻止建业快速反击时里亚斯科斯犯规染黄
60'杨阔回敲伊沃                   57'第57分钟，大连一方在阻止建业快速反击时里亚斯科斯犯规染黄
60'再给冯卓毅                   57'第57分钟，大连一方在阻止建业快速反击时里亚斯科斯犯规染黄
60'分边后直接传中                   57'第57分钟，大连一方在阻止建业快速反击时里亚斯科斯犯规染黄
60'落点一般                   57'第57分钟，大连一方在阻止建业快速反击时里亚斯科斯犯规染黄
60'前点一方队解围出去                   57'第57分钟，大连一方在阻止建业快速反击时里亚斯科斯犯规染黄
60'前场任意球                   57'第57分钟，大连一方在阻止建业快速反击时里亚斯科斯犯规染黄
60'建业队球权                   57'第57分钟，大连一方在阻止建业快速反击时里亚斯科斯犯规染黄
65'一方队可谓攻势如潮                   65'第65分钟，杨善平在起大脚解围时不慎拉伤，大连一方用单鹏飞换下了杨善平
66'杨善平好像抽筋了                   65'第65分钟，杨善平在起大脚解围时不慎拉伤，大连一方用单鹏飞换下了杨善平
66'倒在了场上                   65'第65分钟，杨善平在起大脚解围时不慎拉伤，大连一方用单鹏飞换下了杨善平
66'队友示意要换人                   65'第65分钟，杨善平在起大脚解围时不慎拉伤，大连一方用单鹏飞换下了杨善平
68'一方换人，单鹏飞换下杨善平                   65'第65分钟，杨善平在起大脚解围时不慎拉伤，大连一方用单鹏飞换下了杨善平
68'建业前场界外球                   65'第65分钟，杨善平在起大脚解围时不慎拉伤，大连一方用单鹏飞换下了杨善平
68'被一方队拦截                   65'第65分钟，杨善平在起大脚解围时不慎拉伤，大连一方用单鹏飞换下了杨善平
73'一记挑传                   73'第73分钟，河南建业利用角球机会形成攻门，张翀后点将球稳稳揽入怀中
73'被一方队解围出来                   73'第73分钟，河南建业利用角球机会形成攻门，张翀后点将球稳稳揽入怀中
73'建业队传中                   73'第73分钟，河南建业利用角球机会形成攻门，张翀后点将球稳稳揽入怀中
74'被汪晋贤挡出                   73'第73分钟，河南建业利用角球机会形成攻门，张翀后点将球稳稳揽入怀中
74'一方队王耀鹏换下董岩峰                   73'第73分钟，河南建业利用角球机会形成攻门，张翀后点将球稳稳揽入怀中
74'前场建业角球                   73'第73分钟，河南建业利用角球机会形成攻门，张翀后点将球稳稳揽入怀中
74'伊沃开出                   73'第73分钟，河南建业利用角球机会形成攻门，张翀后点将球稳稳揽入怀中
74'后点陈灏                   73'第73分钟，河南建业利用角球机会形成攻门，张翀后点将球稳稳揽入怀中
74'头球顶向球门                   73'第73分钟，河南建业利用角球机会形成攻门，张翀后点将球稳稳揽入怀中
74'不过离门将太近                   73'第73分钟，河南建业利用角球机会形成攻门，张翀后点将球稳稳揽入怀中
75'张翀直接没收                   73'第73分钟，河南建业利用角球机会形成攻门，张翀后点将球稳稳揽入怀中
75'张翀大脚                   73'第73分钟，河南建业利用角球机会形成攻门，张翀后点将球稳稳揽入怀中
75'前场找汪晋贤，柯钊犯规                   73'第73分钟，河南建业利用角球机会形成攻门，张翀后点将球稳稳揽入怀中
75'吃到黄牌                   73'第73分钟，河南建业利用角球机会形成攻门，张翀后点将球稳稳揽入怀中
75'前场一方任意球                   73'第73分钟，河南建业利用角球机会形成攻门，张翀后点将球稳稳揽入怀中
76'大脚挑传左侧                   73'第73分钟，河南建业利用角球机会形成攻门，张翀后点将球稳稳揽入怀中
76'回敲后场                   73'第73分钟，河南建业利用角球机会形成攻门，张翀后点将球稳稳揽入怀中
76'里卡多逼抢                   73'第73分钟，河南建业利用角球机会形成攻门，张翀后点将球稳稳揽入怀中
76'一方队连续倒脚                   73'第73分钟，河南建业利用角球机会形成攻门，张翀后点将球稳稳揽入怀中
76'球在左边路被断                   73'第73分钟，河南建业利用角球机会形成攻门，张翀后点将球稳稳揽入怀中
76'建业队反击                   73'第73分钟，河南建业利用角球机会形成攻门，张翀后点将球稳稳揽入怀中
76'再被一方队断下                   73'第73分钟，河南建业利用角球机会形成攻门，张翀后点将球稳稳揽入怀中
80'单鹏飞将球掷入禁区                   80'第80分钟，大连一方进行了最后一次换人，孙铂换下了里亚斯科斯
80'建业队顶出                   80'第80分钟，大连一方进行了最后一次换人，孙铂换下了里亚斯科斯
80'长传给到巴索戈                   80'第80分钟，大连一方进行了最后一次换人，孙铂换下了里亚斯科斯
80'杀到底线附近传中                   80'第80分钟，大连一方进行了最后一次换人，孙铂换下了里亚斯科斯
80'后点里卡多包抄                   80'第80分钟，大连一方进行了最后一次换人，孙铂换下了里亚斯科斯
81'被门将挡住了                   80'第80分钟，大连一方进行了最后一次换人，孙铂换下了里亚斯科斯
81'张翀直接将球没收                   80'第80分钟，大连一方进行了最后一次换人，孙铂换下了里亚斯科斯
81'手抛球给出                   80'第80分钟，大连一方进行了最后一次换人，孙铂换下了里亚斯科斯
81'胡靖航直接把球挡出边线                   80'第80分钟，大连一方进行了最后一次换人，孙铂换下了里亚斯科斯
81'孙铂换下里亚斯克斯                   80'第80分钟，大连一方进行了最后一次换人，孙铂换下了里亚斯科斯
82'建业队进攻                   80'第80分钟，大连一方进行了最后一次换人，孙铂换下了里亚斯科斯
82'李帅吃到黄牌                   80'第80分钟，大连一方进行了最后一次换人，孙铂换下了里亚斯科斯
82'后场杨阔把球逼出底线                   80'第80分钟，大连一方进行了最后一次换人，孙铂换下了里亚斯科斯
