1'乌迪内主场黑白间条衫                   1'尤文身着蓝色球衣，第1分钟波澜不惊
57'角球直接去前点，出底线                   57'下半场开始12分钟，利希施泰纳与卡塞雷斯配合后右路左脚传中，略伦特胸部回做，罗伯托-佩雷拉右侧距门9米处小角度凌空抽射，打中近门柱与横梁交界处
58'维德默尔防守抬脚过高                   57'下半场开始12分钟，利希施泰纳与卡塞雷斯配合后右路左脚传中，略伦特胸部回做，罗伯托-佩雷拉右侧距门9米处小角度凌空抽射，打中近门柱与横梁交界处
58'利希施泰纳右路下底传中，达尼洛头球解围                   57'下半场开始12分钟，利希施泰纳与卡塞雷斯配合后右路左脚传中，略伦特胸部回做，罗伯托-佩雷拉右侧距门9米处小角度凌空抽射，打中近门柱与横梁交界处
58'右路再起球，略伦特胸部回做                   57'下半场开始12分钟，利希施泰纳与卡塞雷斯配合后右路左脚传中，略伦特胸部回做，罗伯托-佩雷拉右侧距门9米处小角度凌空抽射，打中近门柱与横梁交界处
59'佩雷拉抽射中横梁弹出！                   57'下半场开始12分钟，利希施泰纳与卡塞雷斯配合后右路左脚传中，略伦特胸部回做，罗伯托-佩雷拉右侧距门9米处小角度凌空抽射，打中近门柱与横梁交界处
59'席尔瓦左路断球，身后的佩雷拉犯规了                   57'下半场开始12分钟，利希施泰纳与卡塞雷斯配合后右路左脚传中，略伦特胸部回做，罗伯托-佩雷拉右侧距门9米处小角度凌空抽射，打中近门柱与横梁交界处
60'乌迪内前场配合失误                   57'下半场开始12分钟，利希施泰纳与卡塞雷斯配合后右路左脚传中，略伦特胸部回做，罗伯托-佩雷拉右侧距门9米处小角度凌空抽射，打中近门柱与横梁交界处
60'佩雷拉分左路，埃弗拉传中被解围                   57'下半场开始12分钟，利希施泰纳与卡塞雷斯配合后右路左脚传中，略伦特胸部回做，罗伯托-佩雷拉右侧距门9米处小角度凌空抽射，打中近门柱与横梁交界处
73'比赛还有最后20分钟                   73'第73分钟，利希施泰纳右路传中，莫拉塔凌空扫射被卡尔内齐斯抱住
73'莫拉塔禁区前背身拿球，回敲                   73'第73分钟，利希施泰纳右路传中，莫拉塔凌空扫射被卡尔内齐斯抱住
74'利希施泰纳右路传中，莫拉塔抢点打门被门将扑住                   73'第73分钟，利希施泰纳右路传中，莫拉塔凌空扫射被卡尔内齐斯抱住
75'博格巴中场拿球被阿兰破坏                   73'第73分钟，利希施泰纳右路传中，莫拉塔凌空扫射被卡尔内齐斯抱住
75'博格巴反抢拉人了                   73'第73分钟，利希施泰纳右路传中，莫拉塔凌空扫射被卡尔内齐斯抱住
75'尤文换人，帕多因换下埃弗拉                   73'第73分钟，利希施泰纳右路传中，莫拉塔凌空扫射被卡尔内齐斯抱住
76'迪纳塔莱禁区前拿球转身，远射打高                   73'第73分钟，利希施泰纳右路传中，莫拉塔凌空扫射被卡尔内齐斯抱住
76'皮尔洛长传，第一点被解围                   73'第73分钟，利希施泰纳右路传中，莫拉塔凌空扫射被卡尔内齐斯抱住
84'乌迪内前场左侧的任意球机会                   84'第84分钟，罗伯托-佩雷拉头球解围失误，迪纳塔莱禁区左侧凌空斜射高出
84'迪纳塔莱任意球进禁区被解围出来                   84'第84分钟，罗伯托-佩雷拉头球解围失误，迪纳塔莱禁区左侧凌空斜射高出
84'外围他自己跟上远射打飞                   84'第84分钟，罗伯托-佩雷拉头球解围失误，迪纳塔莱禁区左侧凌空斜射高出
84'泰罗禁区前和迪纳塔莱寻求配合，被布冯没收                   84'第84分钟，罗伯托-佩雷拉头球解围失误，迪纳塔莱禁区左侧凌空斜射高出
85'莫拉塔左路带球传中到禁区                   84'第84分钟，罗伯托-佩雷拉头球解围失误，迪纳塔莱禁区左侧凌空斜射高出
85'博格巴回敲，特维斯跟上射门打偏                   84'第84分钟，罗伯托-佩雷拉头球解围失误，迪纳塔莱禁区左侧凌空斜射高出
86'阿兰中场拿球，皮尔洛犯规                   84'第84分钟，罗伯托-佩雷拉头球解围失误，迪纳塔莱禁区左侧凌空斜射高出
86'博格巴中场被阿兰断球                   84'第84分钟，罗伯托-佩雷拉头球解围失误，迪纳塔莱禁区左侧凌空斜射高出
87'左路起球被顶出来                   84'第84分钟，罗伯托-佩雷拉头球解围失误，迪纳塔莱禁区左侧凌空斜射高出
87'博格巴带球被皮里斯捅走                   84'第84分钟，罗伯托-佩雷拉头球解围失误，迪纳塔莱禁区左侧凌空斜射高出
87'博格巴绊人犯规了，任意球                   84'第84分钟，罗伯托-佩雷拉头球解围失误，迪纳塔莱禁区左侧凌空斜射高出
87'任意球开禁区被顶出去                   84'第84分钟，罗伯托-佩雷拉头球解围失误，迪纳塔莱禁区左侧凌空斜射高出
48'博格巴禁区前带球，包夹之下倒地                   48'补时第3分钟，帕多因边线遭泰雷奥飞铲惨叫一声，泰雷奥吃到黄牌
48'裁判没有吹罚                   48'补时第3分钟，帕多因边线遭泰雷奥飞铲惨叫一声，泰雷奥吃到黄牌
49'尤文前场右路倒球                   48'补时第3分钟，帕多因边线遭泰雷奥飞铲惨叫一声，泰雷奥吃到黄牌
49'基耶利尼拿球，直塞博格巴，给左路                   48'补时第3分钟，帕多因边线遭泰雷奥飞铲惨叫一声，泰雷奥吃到黄牌
49'尤文连续传递球，皮尔洛转移右路                   48'补时第3分钟，帕多因边线遭泰雷奥飞铲惨叫一声，泰雷奥吃到黄牌
50'乌迪内基本上是退防半场                   48'补时第3分钟，帕多因边线遭泰雷奥飞铲惨叫一声，泰雷奥吃到黄牌
51'迪纳塔莱接应队友做球，越位了                   48'补时第3分钟，帕多因边线遭泰雷奥飞铲惨叫一声，泰雷奥吃到黄牌
51'泰罗中场断球，分左路席尔瓦                   48'补时第3分钟，帕多因边线遭泰雷奥飞铲惨叫一声，泰雷奥吃到黄牌
51'往禁区前的分球，传丢了                   48'补时第3分钟，帕多因边线遭泰雷奥飞铲惨叫一声，泰雷奥吃到黄牌
51'博格巴中场带球，被阿兰铲断                   48'补时第3分钟，帕多因边线遭泰雷奥飞铲惨叫一声，泰雷奥吃到黄牌
