52'继续来看比赛！                   50'但下半时开始仅5分钟，C罗进球了
47'迪巴拉外围拿球！大范围转移！                   46'萨索洛补时第1分钟扳回一分，德洛尔科左路传中，巴巴卡尔小禁区前沿甩头顶进远角，1比2
48'邓肯将球给解围了！                   46'萨索洛补时第1分钟扳回一分，德洛尔科左路传中，巴巴卡尔小禁区前沿甩头顶进远角，1比2
48'久里契奇前场左路拿到了皮球！！                   46'萨索洛补时第1分钟扳回一分，德洛尔科左路传中，巴巴卡尔小禁区前沿甩头顶进远角，1比2
48'久里契奇直塞送出去！！                   46'萨索洛补时第1分钟扳回一分，德洛尔科左路传中，巴巴卡尔小禁区前沿甩头顶进远角，1比2
48'队友没能跟上啊！                   46'萨索洛补时第1分钟扳回一分，德洛尔科左路传中，巴巴卡尔小禁区前沿甩头顶进远角，1比2
48'C罗碰球出了底线了！                   46'萨索洛补时第1分钟扳回一分，德洛尔科左路传中，巴巴卡尔小禁区前沿甩头顶进远角，1比2
48'桑德罗前场左路拿球！                   46'萨索洛补时第1分钟扳回一分，德洛尔科左路传中，巴巴卡尔小禁区前沿甩头顶进远角，1比2
48'桑德罗斜传送禁区！！                   46'萨索洛补时第1分钟扳回一分，德洛尔科左路传中，巴巴卡尔小禁区前沿甩头顶进远角，1比2
48'曼朱基齐跟进！头球攻门！！                   46'萨索洛补时第1分钟扳回一分，德洛尔科左路传中，巴巴卡尔小禁区前沿甩头顶进远角，1比2
48'费拉里将球给解围了！！                   46'萨索洛补时第1分钟扳回一分，德洛尔科左路传中，巴巴卡尔小禁区前沿甩头顶进远角，1比2
48'尤文角球机会！！                   46'萨索洛补时第1分钟扳回一分，德洛尔科左路传中，巴巴卡尔小禁区前沿甩头顶进远角，1比2
48'尤文角球开出来！给禁区！！                   46'萨索洛补时第1分钟扳回一分，德洛尔科左路传中，巴巴卡尔小禁区前沿甩头顶进远角，1比2
48'双方不断争顶！！                   46'萨索洛补时第1分钟扳回一分，德洛尔科左路传中，巴巴卡尔小禁区前沿甩头顶进远角，1比2
49'C罗闪现到门前！！                   46'萨索洛补时第1分钟扳回一分，德洛尔科左路传中，巴巴卡尔小禁区前沿甩头顶进远角，1比2
49'C罗拉弓射箭！！起脚！抽射！！！                   46'萨索洛补时第1分钟扳回一分，德洛尔科左路传中，巴巴卡尔小禁区前沿甩头顶进远角，1比2
49'Goal!!!!!!!!!!!!!!!                   46'萨索洛补时第1分钟扳回一分，德洛尔科左路传中，巴巴卡尔小禁区前沿甩头顶进远角，1比2
49'球进啦！！！尤文！C罗！！！                   46'萨索洛补时第1分钟扳回一分，德洛尔科左路传中，巴巴卡尔小禁区前沿甩头顶进远角，1比2
49'尤文率先打破僵局！C罗意甲首球！！！                   46'萨索洛补时第1分钟扳回一分，德洛尔科左路传中，巴巴卡尔小禁区前沿甩头顶进远角，1比2
