7'马塞洛后场拿球，面对逼抢，外脚背一扣，摆脱啦                   7'第7分钟，因苏亚传球，前切尔西边锋卡库塔禁区前射门偏出
58'C罗顺势一趟，禁区外直接起脚打门，太正，被阿尔瓦雷斯拿到                   55'皇马第55分钟再度拉开差距，C-罗纳尔多突入禁区右侧回传，克罗斯25码处低射右下角入网，3-1
55'马塞洛中场抢断，过度给到克罗斯                   55'皇马第55分钟再度拉开差距，C-罗纳尔多突入禁区右侧回传，克罗斯25码处低射右下角入网，3-1
55'克罗斯的斜塞找回撤接应的本泽马，被断啦                   55'皇马第55分钟再度拉开差距，C-罗纳尔多突入禁区右侧回传，克罗斯25码处低射右下角入网，3-1
55'巴列卡诺的反击，莱奥前插接应，准备打门，越位在先                   55'皇马第55分钟再度拉开差距，C-罗纳尔多突入禁区右侧回传，克罗斯25码处低射右下角入网，3-1
55'3-1！！！                   55'皇马第55分钟再度拉开差距，C-罗纳尔多突入禁区右侧回传，克罗斯25码处低射右下角入网，3-1
56'克罗斯，禁区外的低射打进！！！                   55'皇马第55分钟再度拉开差距，C-罗纳尔多突入禁区右侧回传，克罗斯25码处低射右下角入网，3-1
57'C罗右路拿球，强行内切，面对夹击，倒地后将球回传禁区外，克罗斯跟进，直接起右脚抽射，球贴着草皮滚进球门！！！                   55'皇马第55分钟再度拉开差距，C-罗纳尔多突入禁区右侧回传，克罗斯25码处低射右下角入网，3-1
57'拉莫斯后场拿球，马林身后上抢，推人犯规                   55'皇马第55分钟再度拉开差距，C-罗纳尔多突入禁区右侧回传，克罗斯25码处低射右下角入网，3-1
58'J罗中场拿球，法塔乌身后上抢撞翻J罗，犯规                   55'皇马第55分钟再度拉开差距，C-罗纳尔多突入禁区右侧回传，克罗斯25码处低射右下角入网，3-1
66'皇马领先后，有点不会踢了，失误不断，被巴列卡诺压着打                   66'第66分钟，法图传球，利卡远射被纳瓦斯没收
66'巴列卡诺前场进攻，利卡左路拿球横切                   66'第66分钟，法图传球，利卡远射被纳瓦斯没收
67'禁区外突施冷箭，纳瓦斯扑球脱手，弹出了底线                   66'第66分钟，法图传球，利卡远射被纳瓦斯没收
67'巴列卡诺获得左侧角球机会，不过并未形成威胁                   66'第66分钟，法图传球，利卡远射被纳瓦斯没收
67'皇马后场抢断反击，直塞球打身后                   66'第66分钟，法图传球，利卡远射被纳瓦斯没收
68'C罗前插拿球，和回防的法塔乌相撞倒地                   66'第66分钟，法图传球，利卡远射被纳瓦斯没收
68'主裁判并未表示，C罗很不满，甩手抗议                   66'第66分钟，法图传球，利卡远射被纳瓦斯没收
68'同时现场的球迷也是嘘声四起啊                   66'第66分钟，法图传球，利卡远射被纳瓦斯没收
69'因苏亚后场争顶，解围球出边线之后受伤倒地                   66'第66分钟，法图传球，利卡远射被纳瓦斯没收
66'巴列卡诺外围再攻，卡库塔的远射，纳瓦斯将球拿到                   66'第66分钟，法图传球，利卡远射被纳瓦斯没收
66'下半场20分钟，皇马这边也准备做出人员调整了                   66'第66分钟，法图传球，利卡远射被纳瓦斯没收
67'桑切斯前场中路拿球，挑传往禁区送，被佩佩破坏                   66'第66分钟，法图传球，利卡远射被纳瓦斯没收
67'皇马的反击，前场3打3，贝尔斜传球门前                   66'第66分钟，法图传球，利卡远射被纳瓦斯没收
67'阿尔瓦雷斯出击，抢在C罗之前单拳将球打出禁区                   66'第66分钟，法图传球，利卡远射被纳瓦斯没收
68'皇马换人：23号伊斯科上，换下上半场回传导致失球的J罗                   66'第66分钟，法图传球，利卡远射被纳瓦斯没收
68'贝尔右路拿球，大范围转移球到左路找伊斯科                   66'第66分钟，法图传球，利卡远射被纳瓦斯没收
68'力量有点大，不过马塞洛套边上来，将球拿到                   66'第66分钟，法图传球，利卡远射被纳瓦斯没收
69'马塞洛横传再给伊斯科，伊斯科的大范围转移，力量稍轻，被断                   66'第66分钟，法图传球，利卡远射被纳瓦斯没收
69'巴列卡诺中场失误，皇马的反击                   66'第66分钟，法图传球，利卡远射被纳瓦斯没收
78'巴列卡诺球衣胸前的中文广告很醒目啊，钱宝！！！                   78'第78分钟，布埃诺传球，替补出场的马努乔禁区左侧射门被纳瓦斯救下
78'巴列卡诺左边路的横传球，纳乔将球挡出边线                   78'第78分钟，布埃诺传球，替补出场的马努乔禁区左侧射门被纳瓦斯救下
79'皇马后场抢断，克罗斯拿球，分给贝尔                   78'第78分钟，布埃诺传球，替补出场的马努乔禁区左侧射门被纳瓦斯救下
79'贝尔的斜传转移球给到左前场的C罗                   78'第78分钟，布埃诺传球，替补出场的马努乔禁区左侧射门被纳瓦斯救下
79'C罗停球没停好，先出了边线                   78'第78分钟，布埃诺传球，替补出场的马努乔禁区左侧射门被纳瓦斯救下
80'贝尔中场抢断，右路单骑闯关，45度斜传，可惜传大，球出底线                   78'第78分钟，布埃诺传球，替补出场的马努乔禁区左侧射门被纳瓦斯救下
80'贝尔重新回到首发，表现很活跃啊                   78'第78分钟，布埃诺传球，替补出场的马努乔禁区左侧射门被纳瓦斯救下
81'马塞洛左路拿球，强突下底传中到门前                   78'第78分钟，布埃诺传球，替补出场的马努乔禁区左侧射门被纳瓦斯救下
81'太过靠近门将，被阿尔阿雷斯在前点直接没收                   78'第78分钟，布埃诺传球，替补出场的马努乔禁区左侧射门被纳瓦斯救下
78'皇马一个过顶长传，力量太大，本泽马拼尽全力去拿，也没拿到，自己还差点跑回休息室                   78'第78分钟，布埃诺传球，替补出场的马努乔禁区左侧射门被纳瓦斯救下
79'利卡中场防守中对伊斯科犯规                   78'第78分钟，布埃诺传球，替补出场的马努乔禁区左侧射门被纳瓦斯救下
79'利卡被主裁判出示了黄牌警告！！！                   78'第78分钟，布埃诺传球，替补出场的马努乔禁区左侧射门被纳瓦斯救下
79'贝尔禁区弧顶左脚的凌空抽射，阿尔瓦雷斯一个鱼跃，单掌将球托出横梁                   78'第78分钟，布埃诺传球，替补出场的马努乔禁区左侧射门被纳瓦斯救下
80'这个射门很漂亮，扑救同样出彩                   78'第78分钟，布埃诺传球，替补出场的马努乔禁区左侧射门被纳瓦斯救下
80'皇马获得角球机会，开出到禁区，阿尔瓦雷斯双拳打出                   78'第78分钟，布埃诺传球，替补出场的马努乔禁区左侧射门被纳瓦斯救下
81'巴列卡诺的反击，卡库塔拿球横切，禁区外突施冷箭，打偏                   78'第78分钟，布埃诺传球，替补出场的马努乔禁区左侧射门被纳瓦斯救下
83'C罗带球横切，自己趟大，被后卫解围                   83'第83分钟，伊斯科直传，拉莫斯漏过，C-罗纳尔多禁区左侧晃过阿卜杜拉耶-巴劲射，皮球从阿尔瓦雷斯双腿间穿过入网，5-1
83'J罗外围拿球，趟出两步后直接起脚打门，被门将奋力扑出底线                   83'第83分钟，伊斯科直传，拉莫斯漏过，C-罗纳尔多禁区左侧晃过阿卜杜拉耶-巴劲射，皮球从阿尔瓦雷斯双腿间穿过入网，5-1
83'皇马获得右侧角球机会，克罗斯主罚                   83'第83分钟，伊斯科直传，拉莫斯漏过，C-罗纳尔多禁区左侧晃过阿卜杜拉耶-巴劲射，皮球从阿尔瓦雷斯双腿间穿过入网，5-1
83'角球开出到禁区，本泽马后点的头球攻门，击中横梁弹出底线                   83'第83分钟，伊斯科直传，拉莫斯漏过，C-罗纳尔多禁区左侧晃过阿卜杜拉耶-巴劲射，皮球从阿尔瓦雷斯双腿间穿过入网，5-1
84'皇马面对巴列卡诺，拉开架势攻，可惜收效胜微啊                   83'第83分钟，伊斯科直传，拉莫斯漏过，C-罗纳尔多禁区左侧晃过阿卜杜拉耶-巴劲射，皮球从阿尔瓦雷斯双腿间穿过入网，5-1
84'莫德里奇中场拿球，斜传右侧给到贝尔                   83'第83分钟，伊斯科直传，拉莫斯漏过，C-罗纳尔多禁区左侧晃过阿卜杜拉耶-巴劲射，皮球从阿尔瓦雷斯双腿间穿过入网，5-1
85'贝尔带球强突下底，横传球，被门将扑出底线                   83'第83分钟，伊斯科直传，拉莫斯漏过，C-罗纳尔多禁区左侧晃过阿卜杜拉耶-巴劲射，皮球从阿尔瓦雷斯双腿间穿过入网，5-1
85'皇马获得右侧角球机会，J罗主罚                   83'第83分钟，伊斯科直传，拉莫斯漏过，C-罗纳尔多禁区左侧晃过阿卜杜拉耶-巴劲射，皮球从阿尔瓦雷斯双腿间穿过入网，5-1
85'2-0！！！                   83'第83分钟，伊斯科直传，拉莫斯漏过，C-罗纳尔多禁区左侧晃过阿卜杜拉耶-巴劲射，皮球从阿尔瓦雷斯双腿间穿过入网，5-1
85'拉莫斯的右脚扫射，攻门得分！！！                   83'第83分钟，伊斯科直传，拉莫斯漏过，C-罗纳尔多禁区左侧晃过阿卜杜拉耶-巴劲射，皮球从阿尔瓦雷斯双腿间穿过入网，5-1
86'J罗角球开出到禁区中路，拉莫斯无人防守下，伸出右脚一垫，皮球穿过阿尔瓦雷斯的十指关进网！！！                   83'第83分钟，伊斯科直传，拉莫斯漏过，C-罗纳尔多禁区左侧晃过阿卜杜拉耶-巴劲射，皮球从阿尔瓦雷斯双腿间穿过入网，5-1
83'伊斯科前场中路拿球，斜塞给到前场的C罗                   83'第83分钟，伊斯科直传，拉莫斯漏过，C-罗纳尔多禁区左侧晃过阿卜杜拉耶-巴劲射，皮球从阿尔瓦雷斯双腿间穿过入网，5-1
83'进球啦！！！                   83'第83分钟，伊斯科直传，拉莫斯漏过，C-罗纳尔多禁区左侧晃过阿卜杜拉耶-巴劲射，皮球从阿尔瓦雷斯双腿间穿过入网，5-1
84'伊斯科斜塞，插上的拉莫斯一漏，C罗停球，外脚背一拨，右脚直接抽射，阿尔瓦雷斯将球一扑，从自己小门穿过进网！！！                   83'第83分钟，伊斯科直传，拉莫斯漏过，C-罗纳尔多禁区左侧晃过阿卜杜拉耶-巴劲射，皮球从阿尔瓦雷斯双腿间穿过入网，5-1
84'皇马连换两人：本泽马和贝尔被换下，换上小豌豆和梅德兰                   83'第83分钟，伊斯科直传，拉莫斯漏过，C-罗纳尔多禁区左侧晃过阿卜杜拉耶-巴劲射，皮球从阿尔瓦雷斯双腿间穿过入网，5-1
85'C罗刚刚进球，现场球迷全场起立鼓掌                   83'第83分钟，伊斯科直传，拉莫斯漏过，C-罗纳尔多禁区左侧晃过阿卜杜拉耶-巴劲射，皮球从阿尔瓦雷斯双腿间穿过入网，5-1
85'伊斯科前场中路拿球，直塞找梅德兰                   83'第83分钟，伊斯科直传，拉莫斯漏过，C-罗纳尔多禁区左侧晃过阿卜杜拉耶-巴劲射，皮球从阿尔瓦雷斯双腿间穿过入网，5-1
85'边裁举旗，梅德兰越位在先                   83'第83分钟，伊斯科直传，拉莫斯漏过，C-罗纳尔多禁区左侧晃过阿卜杜拉耶-巴劲射，皮球从阿尔瓦雷斯双腿间穿过入网，5-1
85'下半场比赛40分钟，比分5-1，皇马领先                   83'第83分钟，伊斯科直传，拉莫斯漏过，C-罗纳尔多禁区左侧晃过阿卜杜拉耶-巴劲射，皮球从阿尔瓦雷斯双腿间穿过入网，5-1
88'巴列卡诺右路的直塞，马塞洛上前一步，将球挡出边线                   88'第88分钟，霍萨贝德传球，马努乔禁区右侧低射偏出近角
88'巴列卡诺将球转移球到左路，利卡拿球                   88'第88分钟，霍萨贝德传球，马努乔禁区右侧低射偏出近角
89'利卡横传球到禁区，插上的蒂托迎球怒射，纳瓦斯侧扑扑出底线                   88'第88分钟，霍萨贝德传球，马努乔禁区右侧低射偏出近角
89'巴列卡诺获得左侧角球机会，开出被纳瓦斯拿到                   88'第88分钟，霍萨贝德传球，马努乔禁区右侧低射偏出近角
89'纳瓦斯手抛球没能抛远                   88'第88分钟，霍萨贝德传球，马努乔禁区右侧低射偏出近角
89'巴列卡诺进球啦！！！                   88'第88分钟，霍萨贝德传球，马努乔禁区右侧低射偏出近角
90'布雷诺的推射建功！！！                   88'第88分钟，霍萨贝德传球，马努乔禁区右侧低射偏出近角
90'纳瓦斯手抛球给到马塞洛，马塞洛带球面对逼抢，回传纳瓦斯被断，布雷诺拿球转身，面对纳瓦斯，推射打进                   88'第88分钟，霍萨贝德传球，马努乔禁区右侧低射偏出近角
91'莫德里奇前场中路拿球，直塞找前插的纳乔                   88'第88分钟，霍萨贝德传球，马努乔禁区右侧低射偏出近角
91'莫德里奇出球后被上抢的巴列卡诺球员拉倒在地                   88'第88分钟，霍萨贝德传球，马努乔禁区右侧低射偏出近角
91'主裁判吹罚了犯规，送给皇马前场任意球机会                   88'第88分钟，霍萨贝德传球，马努乔禁区右侧低射偏出近角
89'马塞洛左路拿球，中线位置横传想给小豌豆，被断啦                   88'第88分钟，霍萨贝德传球，马努乔禁区右侧低射偏出近角
89'大比分落后，巴列卡诺球员已经没了抵抗之力，期待比赛快点结束吧                   88'第88分钟，霍萨贝德传球，马努乔禁区右侧低射偏出近角
90'巴列卡诺前场进攻，卡库塔和马努乔的配合，纳瓦斯及时出击将球控制                   88'第88分钟，霍萨贝德传球，马努乔禁区右侧低射偏出近角
90'皇马反击，梅德兰的劲射，被阿尔瓦雷斯倒地后用脚挡出                   88'第88分钟，霍萨贝德传球，马努乔禁区右侧低射偏出近角
90'下半场比赛补时2分钟                   88'第88分钟，霍萨贝德传球，马努乔禁区右侧低射偏出近角
