1'上半场比赛开始                   1'赛前默哀1分钟，悼念上世纪80年代担任过莱万特主席的比森特-柳奇
36'开出到禁区，并未形成威胁                   36'第36分钟，C罗右路回敲，摩德里奇禁区边缘抽射被马里尼奥指尖托出横梁
36'穆尼奥斯中场争抢中被吹犯规                   36'第36分钟，C罗右路回敲，摩德里奇禁区边缘抽射被马里尼奥指尖托出横梁
37'皇马再进一个！！！                   36'第36分钟，C罗右路回敲，摩德里奇禁区边缘抽射被马里尼奥指尖托出横梁
37'小豌豆的头球建功！！！                   36'第36分钟，C罗右路回敲，摩德里奇禁区边缘抽射被马里尼奥指尖托出横梁
38'伊斯科左侧角球开出到后点，莱万特球员头球解围，J罗拿到第二落点，再传门前，小豌豆无人防守下的甩头攻门顶进！！！                   36'第36分钟，C罗右路回敲，摩德里奇禁区边缘抽射被马里尼奥指尖托出横梁
78'莫拉莱斯左路拿球，边路传中，赢得角球                   78'截至此球，小豌豆本赛季联赛平均33分钟进1球，进球效率排名西甲首位
78'莱万特左侧角球机会，开出到门前，卡西将球打出                   78'截至此球，小豌豆本赛季联赛平均33分钟进1球，进球效率排名西甲首位
79'莫德里奇之前在禁区弧顶被维克多-佩雷斯的放铲，踩到了脚踝，受伤了                   78'截至此球，小豌豆本赛季联赛平均33分钟进1球，进球效率排名西甲首位
79'卡西也是示意场边换人，看来莫德里奇确实不能在坚持了                   78'截至此球，小豌豆本赛季联赛平均33分钟进1球，进球效率排名西甲首位
79'皇马换人：26号梅德兰上，换下受伤的19号莫德里奇                   78'截至此球，小豌豆本赛季联赛平均33分钟进1球，进球效率排名西甲首位
80'皇马后场丢球，莱万特右边路的传中，佩佩回防，头球解围出底线                   78'截至此球，小豌豆本赛季联赛平均33分钟进1球，进球效率排名西甲首位
80'莱万特右侧角球开出，佩佩头球解围出禁区                   78'截至此球，小豌豆本赛季联赛平均33分钟进1球，进球效率排名西甲首位
80'皇马的反击，阿韦洛亚左侧传中到后点                   78'截至此球，小豌豆本赛季联赛平均33分钟进1球，进球效率排名西甲首位
81'可惜插上的C罗还是慢了点，球滑门而过，出了底线                   78'截至此球，小豌豆本赛季联赛平均33分钟进1球，进球效率排名西甲首位
46'穆尼奥斯对于裁判的判罚很不满，被黄牌警告！！！                   46'1分钟后，加维兰禁区左侧抽射被卡瓦哈尔挡出底线
46'莱万特下半场开始就换人：20号维克托-洛佩斯上，换下14号加维兰                   46'1分钟后，加维兰禁区左侧抽射被卡瓦哈尔挡出底线
46'莱万特前场进攻，赢得任意球机会                   46'1分钟后，加维兰禁区左侧抽射被卡瓦哈尔挡出底线
47'任意球斜传禁区，罗达斯的头球，打在佩佩身上出底线                   46'1分钟后，加维兰禁区左侧抽射被卡瓦哈尔挡出底线
47'莱万特获得左侧角球机会，开出到禁区，直接被卡西拿到                   46'1分钟后，加维兰禁区左侧抽射被卡瓦哈尔挡出底线
48'莱万特中场的过顶长传找前插的加西亚                   46'1分钟后，加维兰禁区左侧抽射被卡瓦哈尔挡出底线
48'可惜传球太深，在加西亚之前球先出了底线                   46'1分钟后，加维兰禁区左侧抽射被卡瓦哈尔挡出底线
49'皇马中场的过顶斜传到右前场找小豌豆                   46'1分钟后，加维兰禁区左侧抽射被卡瓦哈尔挡出底线
49'小豌豆拼尽全力拿到，回敲给到J罗                   46'1分钟后，加维兰禁区左侧抽射被卡瓦哈尔挡出底线
54'克罗斯斜传球给到伊斯科                   54'第54分钟，伊斯科直传禁区左侧，C罗在门前11米处捅射被马里尼奥封出
54'伊斯科转身强突，禁区外的挑传到禁区                   54'第54分钟，伊斯科直传禁区左侧，C罗在门前11米处捅射被马里尼奥封出
54'C罗跟进的抽射，被马里诺封堵                   54'第54分钟，伊斯科直传禁区左侧，C罗在门前11米处捅射被马里尼奥封出
55'皇马前场再攻，伊斯科禁区线上侧身凌空打门，被马里诺扑出                   54'第54分钟，伊斯科直传禁区左侧，C罗在门前11米处捅射被马里尼奥封出
55'C罗跟进准备补射，边裁举旗，越位在先                   54'第54分钟，伊斯科直传禁区左侧，C罗在门前11米处捅射被马里尼奥封出
55'皇马中场的过顶长传找前插的J罗                   54'第54分钟，伊斯科直传禁区左侧，C罗在门前11米处捅射被马里尼奥封出
56'罗达斯回防，在J罗的争抢中将球破坏出边线                   54'第54分钟，伊斯科直传禁区左侧，C罗在门前11米处捅射被马里尼奥封出
57'克罗斯中圈拿球，直塞给到伊斯科                   54'第54分钟，伊斯科直传禁区左侧，C罗在门前11米处捅射被马里尼奥封出
57'伊斯科转身短传过度给到C罗                   54'第54分钟，伊斯科直传禁区左侧，C罗在门前11米处捅射被马里尼奥封出
57'C罗得球转身，趟出一步，直接起脚打门，打在后卫身上变向                   54'第54分钟，伊斯科直传禁区左侧，C罗在门前11米处捅射被马里尼奥封出
57'马里诺注意力很集中啊，倒地将球扑住                   54'第54分钟，伊斯科直传禁区左侧，C罗在门前11米处捅射被马里尼奥封出
57'克罗斯中圈拿球，直塞给到伊斯科                   57'第57分钟，C罗外围起脚被马里尼奥得到
57'伊斯科转身短传过度给到C罗                   57'第57分钟，C罗外围起脚被马里尼奥得到
57'C罗得球转身，趟出一步，直接起脚打门，打在后卫身上变向                   57'第57分钟，C罗外围起脚被马里尼奥得到
57'马里诺注意力很集中啊，倒地将球扑住                   57'第57分钟，C罗外围起脚被马里尼奥得到
58'迪奥普中场拿球，分边右侧给上来的队友                   57'第57分钟，C罗外围起脚被马里尼奥得到
59'莱万特右边路的下底传中，到了后点                   57'第57分钟，C罗外围起脚被马里尼奥得到
59'卡瓦哈尔卡住身位，将球拿到，大脚踢到前场                   57'第57分钟，C罗外围起脚被马里尼奥得到
60'马塞洛左路拿球，带过中线，交给伊斯科                   57'第57分钟，C罗外围起脚被马里尼奥得到
60'全场比赛已经60分钟了，比分已经是0-2，皇马领先                   57'第57分钟，C罗外围起脚被马里尼奥得到
61'莱万特右边路的传中，佩佩高高跃起，头球解围                   61'第61分钟，伊斯科反击分球，C罗突入禁区左侧连过两人，在门前11米处推进球门顶端，3比0
61'3-0！！！                   61'第61分钟，伊斯科反击分球，C罗突入禁区左侧连过两人，在门前11米处推进球门顶端，3比0
61'C罗梅开二度！！！                   61'第61分钟，伊斯科反击分球，C罗突入禁区左侧连过两人，在门前11米处推进球门顶端，3比0
62'伊斯科前场中路拿球，分球给到左侧的C罗，C罗拿球强突，摆脱罗达斯，再扣过上来逼抢的胡安弗兰，面对马里诺，劲射破门！！！                   61'第61分钟，伊斯科反击分球，C罗突入禁区左侧连过两人，在门前11米处推进球门顶端，3比0
63'C罗这一连串过人，很是精彩，少见的画面啊                   61'第61分钟，伊斯科反击分球，C罗突入禁区左侧连过两人，在门前11米处推进球门顶端，3比0
64'本场如果C罗能够带帽，那将再次打破一个惊人纪录，有机会哦                   61'第61分钟，伊斯科反击分球，C罗突入禁区左侧连过两人，在门前11米处推进球门顶端，3比0
64'皇马前场进攻赢得任意球机会                   61'第61分钟，伊斯科反击分球，C罗突入禁区左侧连过两人，在门前11米处推进球门顶端，3比0
64'任意球开出，中场过度后，分球到右侧                   61'第61分钟，伊斯科反击分球，C罗突入禁区左侧连过两人，在门前11米处推进球门顶端，3比0
50'J罗在横传中间给伊斯科，伊斯科大范围转移球到左路，被断掉                   50'5分钟后，克罗斯送出过顶球，哈梅斯-罗德里格斯胸部停球，在门前11米处左脚凌空扫射入右下角，4比0，克罗斯和伊斯科并列皇马本赛季西甲助攻榜首位(4次)
50'莱万特的反击，莫拉莱斯前场拿球，回防的J罗身后放倒了莫拉莱斯，犯规                   50'5分钟后，克罗斯送出过顶球，哈梅斯-罗德里格斯胸部停球，在门前11米处左脚凌空扫射入右下角，4比0，克罗斯和伊斯科并列皇马本赛季西甲助攻榜首位(4次)
50'莱万特获得前场左侧的任意球机会                   50'5分钟后，克罗斯送出过顶球，哈梅斯-罗德里格斯胸部停球，在门前11米处左脚凌空扫射入右下角，4比0，克罗斯和伊斯科并列皇马本赛季西甲助攻榜首位(4次)
50'任意球斜传禁区，混战中，马塞洛出脚将球解围                   50'5分钟后，克罗斯送出过顶球，哈梅斯-罗德里格斯胸部停球，在门前11米处左脚凌空扫射入右下角，4比0，克罗斯和伊斯科并列皇马本赛季西甲助攻榜首位(4次)
51'伊斯科和马塞洛前场的2过2陪，结果球直接传出了边线                   50'5分钟后，克罗斯送出过顶球，哈梅斯-罗德里格斯胸部停球，在门前11米处左脚凌空扫射入右下角，4比0，克罗斯和伊斯科并列皇马本赛季西甲助攻榜首位(4次)
52'皇马后场抢断，挑传找伊斯科                   50'5分钟后，克罗斯送出过顶球，哈梅斯-罗德里格斯胸部停球，在门前11米处左脚凌空扫射入右下角，4比0，克罗斯和伊斯科并列皇马本赛季西甲助攻榜首位(4次)
52'伊斯科拿球转身强突，结果自己趟球趟大，出了边线                   50'5分钟后，克罗斯送出过顶球，哈梅斯-罗德里格斯胸部停球，在门前11米处左脚凌空扫射入右下角，4比0，克罗斯和伊斯科并列皇马本赛季西甲助攻榜首位(4次)
53'莱万特右路的传中球到后点，伊万-洛佩兹的头球，没能形成威胁                   50'5分钟后，克罗斯送出过顶球，哈梅斯-罗德里格斯胸部停球，在门前11米处左脚凌空扫射入右下角，4比0，克罗斯和伊斯科并列皇马本赛季西甲助攻榜首位(4次)
53'两球领先，皇马中后场慢慢倒脚，寻求最佳的进攻机会                   50'5分钟后，克罗斯送出过顶球，哈梅斯-罗德里格斯胸部停球，在门前11米处左脚凌空扫射入右下角，4比0，克罗斯和伊斯科并列皇马本赛季西甲助攻榜首位(4次)
75'哎呀，莫德里奇，空门都没打进去啊                   75'第75分钟，C罗脚后跟过人后禁区左侧捅传，摩德里奇点球点推射被马里尼奥封出，接着凌空补射偏出右门柱
75'C罗前场拿球，强突后横传门前                   75'第75分钟，C罗脚后跟过人后禁区左侧捅传，摩德里奇点球点推射被马里尼奥封出，接着凌空补射偏出右门柱
75'莫德里奇停球劲射被马里诺扑出，莫德里奇跟进再补，面对空门，打偏啦                   75'第75分钟，C罗脚后跟过人后禁区左侧捅传，摩德里奇点球点推射被马里尼奥封出，接着凌空补射偏出右门柱
76'莱万特第三次换人：17号佩德罗-洛佩斯上，换下10号加西亚                   75'第75分钟，C罗脚后跟过人后禁区左侧捅传，摩德里奇点球点推射被马里尼奥封出，接着凌空补射偏出右门柱
77'莫德里奇争抢中有点受伤，在场上一瘸一拐的                   75'第75分钟，C罗脚后跟过人后禁区左侧捅传，摩德里奇点球点推射被马里尼奥封出，接着凌空补射偏出右门柱
77'胜局在握了，这时候受伤的话，那得不偿失啊，得小心                   75'第75分钟，C罗脚后跟过人后禁区左侧捅传，摩德里奇点球点推射被马里尼奥封出，接着凌空补射偏出右门柱
78'莫拉莱斯左路拿球，边路传中，赢得角球                   75'第75分钟，C罗脚后跟过人后禁区左侧捅传，摩德里奇点球点推射被马里尼奥封出，接着凌空补射偏出右门柱
78'莱万特左侧角球机会，开出到门前，卡西将球打出                   75'第75分钟，C罗脚后跟过人后禁区左侧捅传，摩德里奇点球点推射被马里尼奥封出，接着凌空补射偏出右门柱
83'皇马中场抢断反击，伊斯科分球左路，前插的队友拿球趟出两步，再横传给伊斯科，伊斯科带球横切，大禁区弧内起脚抽射，越过马里诺飞入网窝                   83'第83分钟，伊斯科中场策动进攻，埃尔南德斯左路再低传给伊斯科，伊斯科禁区边缘推射贴横梁入网，5比0，这是皇马首次在莱万特主场打进5球，莱万特主场2次丢5球，而且都是在本赛季(对阵皇马和巴萨)
85'下半场比赛40分钟，比分5-0，皇马领先                   83'第83分钟，伊斯科中场策动进攻，埃尔南德斯左路再低传给伊斯科，伊斯科禁区边缘推射贴横梁入网，5比0，这是皇马首次在莱万特主场打进5球，莱万特主场2次丢5球，而且都是在本赛季(对阵皇马和巴萨)
85'估计现在莱万特的球员，心里想的估计就是尽快结束比赛吧                   83'第83分钟，伊斯科中场策动进攻，埃尔南德斯左路再低传给伊斯科，伊斯科禁区边缘推射贴横梁入网，5比0，这是皇马首次在莱万特主场打进5球，莱万特主场2次丢5球，而且都是在本赛季(对阵皇马和巴萨)
