9'肖智前场停球，被罗森文放铲放翻在地！！                   9'第9分钟，罗森文踢倒肖智，拿到本赛季第一张黄牌
44'这会是比赛的转折吗？                   43'第43分钟，罗森文发界外球时换球被主裁判认定为拖延时间，被第二次出示黄牌，两黄变一红被罚下
44'华夏前场进攻，赢得左侧角球机会！！                   43'第43分钟，罗森文发界外球时换球被主裁判认定为拖延时间，被第二次出示黄牌，两黄变一红被罚下
45'姜宁任意球斜传禁区，第一点被富力球员解围出禁区                   43'第43分钟，罗森文发界外球时换球被主裁判认定为拖延时间，被第二次出示黄牌，两黄变一红被罚下
45'姆比亚禁区外的远射，打在队友身上出底线！！                   43'第43分钟，罗森文发界外球时换球被主裁判认定为拖延时间，被第二次出示黄牌，两黄变一红被罚下
46'上半场比赛补时2分钟！！                   43'第43分钟，罗森文发界外球时换球被主裁判认定为拖延时间，被第二次出示黄牌，两黄变一红被罚下
46'汪嵩前场中路拿球，直塞球给到雷纳蒂尼奥                   43'第43分钟，罗森文发界外球时换球被主裁判认定为拖延时间，被第二次出示黄牌，两黄变一红被罚下
46'雷纳蒂尼奥拿球转身，强突禁区，姆比亚回防，两人相撞，雷纳蒂尼奥倒地                   43'第43分钟，罗森文发界外球时换球被主裁判认定为拖延时间，被第二次出示黄牌，两黄变一红被罚下
46'下半场比赛开始！！                   43'第43分钟，罗森文发界外球时换球被主裁判认定为拖延时间，被第二次出示黄牌，两黄变一红被罚下
46'华夏这边好像做出了人员调整，高准翼替补登场！1                   43'第43分钟，罗森文发界外球时换球被主裁判认定为拖延时间，被第二次出示黄牌，两黄变一红被罚下
51'又是差一点啊                   51'第51分钟，姜宁边路送出长传，热尔维尼奥快速插上停球后单挑门将，但是他的射门打在了边网上
52'丁海峰后场拿球，过了中线分给姜宁！                   51'第51分钟，姜宁边路送出长传，热尔维尼奥快速插上停球后单挑门将，但是他的射门打在了边网上
52'姜宁左路斜传球打身后，球到禁区                   51'第51分钟，姜宁边路送出长传，热尔维尼奥快速插上停球后单挑门将，但是他的射门打在了边网上
52'热鸟停球一趟，左脚劲射，打在边网上！1                   51'第51分钟，姜宁边路送出长传，热尔维尼奥快速插上停球后单挑门将，但是他的射门打在了边网上
53'雷纳蒂尼奥前场拿球，强突被姆比亚绊倒在地                   51'第51分钟，姜宁边路送出长传，热尔维尼奥快速插上停球后单挑门将，但是他的射门打在了边网上
53'雷纳蒂尼奥起身，和姆比亚有说有笑，很轻松啊                   51'第51分钟，姜宁边路送出长传，热尔维尼奥快速插上停球后单挑门将，但是他的射门打在了边网上
53'富力获得前场中路的任意球机会！！                   51'第51分钟，姜宁边路送出长传，热尔维尼奥快速插上停球后单挑门将，但是他的射门打在了边网上
54'卢琳任意球斜传后点，张耀坤插上慢了点                   51'第51分钟，姜宁边路送出长传，热尔维尼奥快速插上停球后单挑门将，但是他的射门打在了边网上
54'球先出了底线，华夏门球！！                   51'第51分钟，姜宁边路送出长传，热尔维尼奥快速插上停球后单挑门将，但是他的射门打在了边网上
65'热鸟强突，中线位置被陈志钊从身后放倒在地！                   65'第65分钟，热尔维尼奥后场带球狂奔，陈志钊铲抢犯规被黄牌警告
65'陈志钊被主裁判出示了黄牌警告！！                   65'第65分钟，热尔维尼奥后场带球狂奔，陈志钊铲抢犯规被黄牌警告
65'下半场比赛20分钟，比分1-2，华夏客场领先！1                   65'第65分钟，热尔维尼奥后场带球狂奔，陈志钊铲抢犯规被黄牌警告
66'斯文松前场中路拿球，分球右路给王嘉楠                   65'第65分钟，热尔维尼奥后场带球狂奔，陈志钊铲抢犯规被黄牌警告
66'王嘉楠的边路传中到后点，被华夏球员解围                   65'第65分钟，热尔维尼奥后场带球狂奔，陈志钊铲抢犯规被黄牌警告
67'姜至鹏左路再传，混战中，布鲁尼尼奥的转身打门，被杨程用腿挡出                   65'第65分钟，热尔维尼奥后场带球狂奔，陈志钊铲抢犯规被黄牌警告
67'富力再攻，边路传中，布鲁尼尼奥抢断，手球在先！！                   65'第65分钟，热尔维尼奥后场带球狂奔，陈志钊铲抢犯规被黄牌警告
68'居吕姆在这次争抢中受伤，跟随队医出场接受治疗！！                   65'第65分钟，热尔维尼奥后场带球狂奔，陈志钊铲抢犯规被黄牌警告
68'华夏目前少2人作战了，全线退守！！                   65'第65分钟，热尔维尼奥后场带球狂奔，陈志钊铲抢犯规被黄牌警告
68'居吕姆经过处理，赶紧回来，进入比赛状态！！                   65'第65分钟，热尔维尼奥后场带球狂奔，陈志钊铲抢犯规被黄牌警告
69'华夏换人：表现抢眼的27号热鸟被换下，换上10号拉维奇！！                   69'第69分钟，阿根廷国脚拉维奇换下进球功臣热尔维尼奥
70'拉维奇前场背身拿球，面对两人围抢，回传廖均健                   69'第69分钟，阿根廷国脚拉维奇换下进球功臣热尔维尼奥
70'廖均健过顶球想找卡库塔，被富力球员抢先拦截                   69'第69分钟，阿根廷国脚拉维奇换下进球功臣热尔维尼奥
71'王嘉楠右路强突传中到禁区，第一点被居吕姆头球解围                   69'第69分钟，阿根廷国脚拉维奇换下进球功臣热尔维尼奥
71'姜宁拿球反击，分球拉维奇                   69'第69分钟，阿根廷国脚拉维奇换下进球功臣热尔维尼奥
71'拉维奇再推传分给套边的姜宁，姜宁人球分过，球被回防的富力球员破坏！                   69'第69分钟，阿根廷国脚拉维奇换下进球功臣热尔维尼奥
72'拉维奇前场拿球，以一敌三！！                   69'第69分钟，阿根廷国脚拉维奇换下进球功臣热尔维尼奥
72'拉维奇中路强突，斯文松回防，一个滑铲，将球抢断                   69'第69分钟，阿根廷国脚拉维奇换下进球功臣热尔维尼奥
74'华夏中圈斜传球到前场左路                   74'第74分钟，姜宁边路拿球内切劲射，球被门将没收
74'姜宁前插，靠住防守球员，将球停住                   74'第74分钟，姜宁边路拿球内切劲射，球被门将没收
74'姜宁转身回带，接着横切中路，起脚低射，没打上力量，被程月磊没收                   74'第74分钟，姜宁边路拿球内切劲射，球被门将没收
75'姜至鹏左路拿球，内切斜传，直接被姆比亚挡回                   74'第74分钟，姜宁边路拿球内切劲射，球被门将没收
75'球到了卡库塔脚下，卡库塔停球转身，摆脱上抢的陈志钊                   74'第74分钟，姜宁边路拿球内切劲射，球被门将没收
76'卡库塔拿球反击，过了中线，送出直塞找拉维奇                   74'第74分钟，姜宁边路拿球内切劲射，球被门将没收
76'张贤秀回防，抢在拉维奇之前将球控制，回传程月磊                   74'第74分钟，姜宁边路拿球内切劲射，球被门将没收
85'姜至鹏任意球斜传禁区，第一点被华夏球员解围！！                   85'第85分钟，拉维奇中场拿球沿着边路长途奔袭到禁区在形成单刀之时，拉维奇在对方干扰下倒地，但是主裁判并未判罚点球
85'华夏的反击，后场过顶球给到拉维奇                   85'第85分钟，拉维奇中场拿球沿着边路长途奔袭到禁区在形成单刀之时，拉维奇在对方干扰下倒地，但是主裁判并未判罚点球
85'拉维奇拿球强突，单骑闯关，进入禁区，面对逼抢，摔倒了                   85'第85分钟，拉维奇中场拿球沿着边路长途奔袭到禁区在形成单刀之时，拉维奇在对方干扰下倒地，但是主裁判并未判罚点球
85'球出底线，裁判给了门球，同时示意拉维奇起来！1                   85'第85分钟，拉维奇中场拿球沿着边路长途奔袭到禁区在形成单刀之时，拉维奇在对方干扰下倒地，但是主裁判并未判罚点球
86'拉维奇跪在地上，一脸失望和不满！！                   85'第85分钟，拉维奇中场拿球沿着边路长途奔袭到禁区在形成单刀之时，拉维奇在对方干扰下倒地，但是主裁判并未判罚点球
87'富力前场右路的斜传球到禁区，布鲁尼尼奥头球顶偏！！                   85'第85分钟，拉维奇中场拿球沿着边路长途奔袭到禁区在形成单刀之时，拉维奇在对方干扰下倒地，但是主裁判并未判罚点球
87'慢镜头回放显示，拉维奇之前的强突到禁区，姜至鹏回防貌似踢到了拉维奇哦！1                   85'第85分钟，拉维奇中场拿球沿着边路长途奔袭到禁区在形成单刀之时，拉维奇在对方干扰下倒地，但是主裁判并未判罚点球
87'富力前场右路的进攻，姆比亚回防犯规！！                   85'第85分钟，拉维奇中场拿球沿着边路长途奔袭到禁区在形成单刀之时，拉维奇在对方干扰下倒地，但是主裁判并未判罚点球
87'富力再次获得前场右路的任意球机会！！                   85'第85分钟，拉维奇中场拿球沿着边路长途奔袭到禁区在形成单刀之时，拉维奇在对方干扰下倒地，但是主裁判并未判罚点球
88'华夏换人：5号杜威上，换下7号姜宁！！                   85'第85分钟，拉维奇中场拿球沿着边路长途奔袭到禁区在形成单刀之时，拉维奇在对方干扰下倒地，但是主裁判并未判罚点球
88'双方的换人名额全部用完啦！！                   85'第85分钟，拉维奇中场拿球沿着边路长途奔袭到禁区在形成单刀之时，拉维奇在对方干扰下倒地，但是主裁判并未判罚点球
88'姜至鹏任意球斜传禁区，姆比亚头球解围                   85'第85分钟，拉维奇中场拿球沿着边路长途奔袭到禁区在形成单刀之时，拉维奇在对方干扰下倒地，但是主裁判并未判罚点球
48'汪嵩左路拿球，强突欧横传禁区找雷纳蒂尼奥                   48'补时3分钟，陈志钊放倒居吕姆被黄牌警告，两黄变一红被罚下
48'雷纳蒂尼奥停球停大，金洋洋卡位，将球护送出底线！                   48'补时3分钟，陈志钊放倒居吕姆被黄牌警告，两黄变一红被罚下
49'少一人作战的华夏，下半场改阵型——441！！                   48'补时3分钟，陈志钊放倒居吕姆被黄牌警告，两黄变一红被罚下
49'姜宁左路拿球，强行内切，王嘉楠回防拉人犯规                   48'补时3分钟，陈志钊放倒居吕姆被黄牌警告，两黄变一红被罚下
50'华夏获得前场左路的任意球机会                   48'补时3分钟，陈志钊放倒居吕姆被黄牌警告，两黄变一红被罚下
50'姜宁横传姆比亚，姆比亚再回传姜宁                   48'补时3分钟，陈志钊放倒居吕姆被黄牌警告，两黄变一红被罚下
50'姜宁面对逼抢，回传后场给丁海峰！！                   48'补时3分钟，陈志钊放倒居吕姆被黄牌警告，两黄变一红被罚下
51'又是差一点啊                   48'补时3分钟，陈志钊放倒居吕姆被黄牌警告，两黄变一红被罚下
