2'力帆左路分球力量小了，王燊超将球铲出边线                   2'开场第2分钟王栋右路任意球被顶出，费尔南多远射高出
24'孔卡任意球直接打门，皮球穿过人墙直奔球门左下角                   24'第24分钟上港险些打入第三球，孙继海后场回球过轻，就在他身后的吉安随即上前得球单刀进攻，隋维杰无奈出击，但吉安一脚撩射高得离谱
25'刘宇前场拿球带出了边线                   24'第24分钟上港险些打入第三球，孙继海后场回球过轻，就在他身后的吉安随即上前得球单刀进攻，隋维杰无奈出击，但吉安一脚撩射高得离谱
26'吉安单刀球打门高出横梁                   24'第24分钟上港险些打入第三球，孙继海后场回球过轻，就在他身后的吉安随即上前得球单刀进攻，隋维杰无奈出击，但吉安一脚撩射高得离谱
26'孙继海解围踢空了                   24'第24分钟上港险些打入第三球，孙继海后场回球过轻，就在他身后的吉安随即上前得球单刀进攻，隋维杰无奈出击，但吉安一脚撩射高得离谱
26'这个大礼吉安没能接到啊                   24'第24分钟上港险些打入第三球，孙继海后场回球过轻，就在他身后的吉安随即上前得球单刀进攻，隋维杰无奈出击，但吉安一脚撩射高得离谱
26'金周荣被吉利奥蒂扛倒了                   24'第24分钟上港险些打入第三球，孙继海后场回球过轻，就在他身后的吉安随即上前得球单刀进攻，隋维杰无奈出击，但吉安一脚撩射高得离谱
38'力帆后场长传，球直接出了底线                   38'第38分钟费尔南多和王栋相互做球，随后费尔南多在左路强行冲击，摆脱傅欢后起脚怒射，颜骏凌后仰身把球打出
38'王宝山站在场边也是一脸严肃                   38'第38分钟费尔南多和王栋相互做球，随后费尔南多在左路强行冲击，摆脱傅欢后起脚怒射，颜骏凌后仰身把球打出
39'费尔南多禁区左侧突破之后的打门，皮球高出横梁                   38'第38分钟费尔南多和王栋相互做球，随后费尔南多在左路强行冲击，摆脱傅欢后起脚怒射，颜骏凌后仰身把球打出
39'颜骏凌稍稍触碰了一下皮球                   38'第38分钟费尔南多和王栋相互做球，随后费尔南多在左路强行冲击，摆脱傅欢后起脚怒射，颜骏凌后仰身把球打出
40'费尔南多左路传中被颜骏凌没收                   38'第38分钟费尔南多和王栋相互做球，随后费尔南多在左路强行冲击，摆脱傅欢后起脚怒射，颜骏凌后仰身把球打出
40'进球了                   38'第38分钟费尔南多和王栋相互做球，随后费尔南多在左路强行冲击，摆脱傅欢后起脚怒射，颜骏凌后仰身把球打出
41'武磊拿球扣了一下，分给右路的吉安，吉安拿球到禁区，晃开门将和后卫左脚推射将球打进                   38'第38分钟费尔南多和王栋相互做球，随后费尔南多在左路强行冲击，摆脱傅欢后起脚怒射，颜骏凌后仰身把球打出
41'力帆前场犯规                   38'第38分钟费尔南多和王栋相互做球，随后费尔南多在左路强行冲击，摆脱傅欢后起脚怒射，颜骏凌后仰身把球打出
56'王燊超后场将球踢出边线                   56'第56分钟重庆长传进攻，彭欣力禁区里得球，石柯从身后将其撞倒，点球
56'上港断球反击，吉安前场越位了                   56'第56分钟重庆长传进攻，彭欣力禁区里得球，石柯从身后将其撞倒，点球
57'力帆获得一个点球机会                   56'第56分钟重庆长传进攻，彭欣力禁区里得球，石柯从身后将其撞倒，点球
57'彭欣力拿球到禁区被推倒了                   56'第56分钟重庆长传进攻，彭欣力禁区里得球，石柯从身后将其撞倒，点球
58'并出示了黄牌                   56'第56分钟重庆长传进攻，彭欣力禁区里得球，石柯从身后将其撞倒，点球
58'吉利奥蒂点球打进中路                   56'第56分钟重庆长传进攻，彭欣力禁区里得球，石柯从身后将其撞倒，点球
59'比赛悬念又回来了                   56'第56分钟重庆长传进攻，彭欣力禁区里得球，石柯从身后将其撞倒，点球
59'崔永哲铲倒孔卡吃到一张黄牌                   56'第56分钟重庆长传进攻，彭欣力禁区里得球，石柯从身后将其撞倒，点球
58'并出示了黄牌                   58'第58分钟崔永哲双腿飞铲孔卡吃到黄牌
58'吉利奥蒂点球打进中路                   58'第58分钟崔永哲双腿飞铲孔卡吃到黄牌
59'比赛悬念又回来了                   58'第58分钟崔永哲双腿飞铲孔卡吃到黄牌
59'崔永哲铲倒孔卡吃到一张黄牌                   58'第58分钟崔永哲双腿飞铲孔卡吃到黄牌
60'费尔南多踢倒了王燊超                   58'第58分钟崔永哲双腿飞铲孔卡吃到黄牌
61'张卫后场拉人犯规吃到一张黄牌                   58'第58分钟崔永哲双腿飞铲孔卡吃到黄牌
71'孙继海挑传打在对方胸部被断                   71'第71分钟上港用汪佳捷换下吕文君
71'武磊拿球被铲断                   71'第71分钟上港用汪佳捷换下吕文君
72'蔡惠康左路过人被挡出边线                   71'第71分钟上港用汪佳捷换下吕文君
72'上港换人，汪佳捷上场替下吕文君                   71'第71分钟上港用汪佳捷换下吕文君
73'力帆维埃拉上场                   71'第71分钟上港用汪佳捷换下吕文君
73'看看要换下谁                   71'第71分钟上港用汪佳捷换下吕文君
73'力帆给到左路                   71'第71分钟上港用汪佳捷换下吕文君
74'前场直塞被颜骏凌控制住                   71'第71分钟上港用汪佳捷换下吕文君
74'吉安拿球给到右路                   71'第71分钟上港用汪佳捷换下吕文君
76'冯劲被抬到场外                   76'第76分钟重庆队用老将吴庆换下冯劲
76'比赛重新开始                   76'第76分钟重庆队用老将吴庆换下冯劲
77'王栋前场推人犯规                   76'第76分钟重庆队用老将吴庆换下冯劲
77'力帆换人，吴庆上场替下受伤的冯劲                   76'第76分钟重庆队用老将吴庆换下冯劲
77'维埃拉上不了了                   76'第76分钟重庆队用老将吴庆换下冯劲
78'上港后场大脚踢出左路边线                   76'第76分钟重庆队用老将吴庆换下冯劲
78'张卫后场大脚开出边线                   76'第76分钟重庆队用老将吴庆换下冯劲
79'进球了                   76'第76分钟重庆队用老将吴庆换下冯劲
82'孔卡直塞，吉安突破被挡，于海外围打门偏出                   82'这下重庆队情绪颇受打击，第82分钟上港连续配合，于海最后射门打偏
82'于海左路拿球被断                   82'这下重庆队情绪颇受打击，第82分钟上港连续配合，于海最后射门打偏
83'吉利奥蒂前场头球顶了一下过人被断                   82'这下重庆队情绪颇受打击，第82分钟上港连续配合，于海最后射门打偏
83'力帆右路突破，吴庆传中，球先出了底线                   82'这下重庆队情绪颇受打击，第82分钟上港连续配合，于海最后射门打偏
84'武磊右路横传，孔卡转身传到禁区，隋维杰出击抱住                   82'这下重庆队情绪颇受打击，第82分钟上港连续配合，于海最后射门打偏
84'金周荣后场犯规                   82'这下重庆队情绪颇受打击，第82分钟上港连续配合，于海最后射门打偏
85'上港换人，林创益上场替下于海                   82'这下重庆队情绪颇受打击，第82分钟上港连续配合，于海最后射门打偏
84'武磊右路横传，孔卡转身传到禁区，隋维杰出击抱住                   84'第84分钟王栋任意球被顶到左侧，吉利奥蒂直接扫凌空稍稍打偏
84'金周荣后场犯规                   84'第84分钟王栋任意球被顶到左侧，吉利奥蒂直接扫凌空稍稍打偏
85'上港换人，林创益上场替下于海                   84'第84分钟王栋任意球被顶到左侧，吉利奥蒂直接扫凌空稍稍打偏
86'力帆好机会，阿杜阿禁区左侧抽射偏出                   84'第84分钟王栋任意球被顶到左侧，吉利奥蒂直接扫凌空稍稍打偏
86'王栋也是没能碰到皮球                   84'第84分钟王栋任意球被顶到左侧，吉利奥蒂直接扫凌空稍稍打偏
87'进球了                   84'第84分钟王栋任意球被顶到左侧，吉利奥蒂直接扫凌空稍稍打偏
88'吴庆右路传中，吉利奥蒂禁区内头球攻门将球顶进，颜骏凌扑救没能阻挡进球                   88'第88分钟孙继海飞铲林创益吃到黄牌
88'王栋前场拿球倒地但裁判示意比赛继续                   88'第88分钟孙继海飞铲林创益吃到黄牌
88'孙继海后场犯规吃到一张黄牌                   88'第88分钟孙继海飞铲林创益吃到黄牌
89'孔卡直塞，林创益横传被解围                   88'第88分钟孙继海飞铲林创益吃到黄牌
90'力帆右路传中，球出了底线                   88'第88分钟孙继海飞铲林创益吃到黄牌
90'下半场补时3分钟                   88'第88分钟孙继海飞铲林创益吃到黄牌
91'上港后卫禁区内大脚解围                   88'第88分钟孙继海飞铲林创益吃到黄牌
