5'杨旭左路接球横突横传，被挡出底线！鲁能泰山队角球机会                   5'第5分钟，蒙蒂略角球传中，李松益禁区内抢点头球攻门，球稍稍高出横梁
31'刘彬彬横传球，杨旭头球过渡，蒙蒂略打门被破坏出底线                   30'第30分钟，刘彬彬后场边路拿球长途奔袭杀到前场后送出弧线球传中，杨旭头球摆渡，蒙蒂略后插上胸部停球在对方干扰下射门偏出
31'应该是个角球啊！！判了门球                   30'第30分钟，刘彬彬后场边路拿球长途奔袭杀到前场后送出弧线球传中，杨旭头球摆渡，蒙蒂略后插上胸部停球在对方干扰下射门偏出
33'吉尔交给刘彬彬，再传给佩莱                   30'第30分钟，刘彬彬后场边路拿球长途奔袭杀到前场后送出弧线球传中，杨旭头球摆渡，蒙蒂略后插上胸部停球在对方干扰下射门偏出
33'张弛右路突破斜传禁区！！对方抗住了佩莱                   30'第30分钟，刘彬彬后场边路拿球长途奔袭杀到前场后送出弧线球传中，杨旭头球摆渡，蒙蒂略后插上胸部停球在对方干扰下射门偏出
41'鲁能泰山队进球啦！吉尔！1-0                   41'第41分钟，山东鲁能率先打破场上僵局
42'角球发到禁区内，李松益头球过渡！！门将挡出来，是尤西雷抢点攻门球进！                   41'第41分钟，山东鲁能率先打破场上僵局
43'鲁能泰山队 占到了优势！这粒进球也是多次攻击的结果                   41'第41分钟，山东鲁能率先打破场上僵局
43'杭州绿城队左路进攻，对方犯规                   41'第41分钟，山东鲁能率先打破场上僵局
43'任意球发到禁区内，对方顶出来                   41'第41分钟，山东鲁能率先打破场上僵局
44'鲁能泰山队有人受伤倒在禁区内！                   41'第41分钟，山东鲁能率先打破场上僵局
44'主裁判在与王大雷说着什么                   41'第41分钟，山东鲁能率先打破场上僵局
44'雨还在下！                   41'第41分钟，山东鲁能率先打破场上僵局
45'鲁能泰山队右路长传，对方把球断下来                   45'第45分钟，萨米尔边路突破吉尔防守后送出弧线球妙传，黄希扬禁区线附近凌空弹射，球稍稍偏出远端立柱
45'杭州绿城队左路攻到前场，吉尔把球控下来                   45'第45分钟，萨米尔边路突破吉尔防守后送出弧线球妙传，黄希扬禁区线附近凌空弹射，球稍稍偏出远端立柱
46'萨米尔右路横禁区，黄希扬抢点打门，偏出！                   45'第45分钟，萨米尔边路突破吉尔防守后送出弧线球妙传，黄希扬禁区线附近凌空弹射，球稍稍偏出远端立柱
46'蒙蒂略右路强突下底横传，被挡出底线                   45'第45分钟，萨米尔边路突破吉尔防守后送出弧线球妙传，黄希扬禁区线附近凌空弹射，球稍稍偏出远端立柱
46'角球机会                   45'第45分钟，萨米尔边路突破吉尔防守后送出弧线球妙传，黄希扬禁区线附近凌空弹射，球稍稍偏出远端立柱
47'蒿俊闵发角球到禁区人，尤西雷头球顶门，偏出                   45'第45分钟，萨米尔边路突破吉尔防守后送出弧线球妙传，黄希扬禁区线附近凌空弹射，球稍稍偏出远端立柱
47'上半场补时2分钟的时间已经到了                   45'第45分钟，萨米尔边路突破吉尔防守后送出弧线球妙传，黄希扬禁区线附近凌空弹射，球稍稍偏出远端立柱
48'上半场比赛结束，鲁能泰山队凭借尤西雷的进球1-0领先杭州绿城队！                   45'第45分钟，萨米尔边路突破吉尔防守后送出弧线球妙传，黄希扬禁区线附近凌空弹射，球稍稍偏出远端立柱
46'下半场比赛开始                   45'第45分钟，萨米尔边路突破吉尔防守后送出弧线球妙传，黄希扬禁区线附近凌空弹射，球稍稍偏出远端立柱
46'鲁能泰山队换上了王永珀                   45'第45分钟，萨米尔边路突破吉尔防守后送出弧线球妙传，黄希扬禁区线附近凌空弹射，球稍稍偏出远端立柱
46'换下了杨旭                   45'第45分钟，萨米尔边路突破吉尔防守后送出弧线球妙传，黄希扬禁区线附近凌空弹射，球稍稍偏出远端立柱
46'杭州绿城队左路突破传球，被断                   45'第45分钟，萨米尔边路突破吉尔防守后送出弧线球妙传，黄希扬禁区线附近凌空弹射，球稍稍偏出远端立柱
48'后场鲁能泰山队得球，长传进攻，被断                   45'第45分钟，萨米尔边路突破吉尔防守后送出弧线球妙传，黄希扬禁区线附近凌空弹射，球稍稍偏出远端立柱
48'杭州绿城队左路进攻到中场，转移到右路进攻、                   45'第45分钟，萨米尔边路突破吉尔防守后送出弧线球妙传，黄希扬禁区线附近凌空弹射，球稍稍偏出远端立柱
49'曹海青左路突破一脚打门，被挡出底线                   49'第49分钟，萨米尔带球吸引防守后送出妙传，曹海清插上扣过防守小角度射门打在防守队员身上后击中边网
50'角球发到禁区内，鲁能泰山队氢球破坏出来                   49'第49分钟，萨米尔带球吸引防守后送出妙传，曹海清插上扣过防守小角度射门打在防守队员身上后击中边网
50'鲁能泰山队长传进攻，邹德海把球直接开出边线，前场界外球                   49'第49分钟，萨米尔带球吸引防守后送出妙传，曹海清插上扣过防守小角度射门打在防守队员身上后击中边网
51'谈扬得球，尤西雷上抢犯规                   49'第49分钟，萨米尔带球吸引防守后送出妙传，曹海清插上扣过防守小角度射门打在防守队员身上后击中边网
51'杭州绿城队得到前场任意球机会                   49'第49分钟，萨米尔带球吸引防守后送出妙传，曹海清插上扣过防守小角度射门打在防守队员身上后击中边网
51'黄希扬发任意球到禁区内，后点队员头球顶门，王大雷没收                   49'第49分钟，萨米尔带球吸引防守后送出妙传，曹海清插上扣过防守小角度射门打在防守队员身上后击中边网
51'由于现场下雨，球比较滑啊，不容易                   49'第49分钟，萨米尔带球吸引防守后送出妙传，曹海清插上扣过防守小角度射门打在防守队员身上后击中边网
52'陈柏良左路强突内线，被张弛挡出底线，角球                   49'第49分钟，萨米尔带球吸引防守后送出妙传，曹海清插上扣过防守小角度射门打在防守队员身上后击中边网
55'鲁能泰山队进球啦！王永珀！2-0                   55'第55分钟，刘彬彬快速突破到底线附近弧线球传中，佩莱前点吸引防守，王永珀凌空二踢脚弹射破门，山东鲁能2-0领先
55'刘彬彬左路下底横传禁区，王永珀抢点打门球进！                   55'第55分钟，刘彬彬快速突破到底线附近弧线球传中，佩莱前点吸引防守，王永珀凌空二踢脚弹射破门，山东鲁能2-0领先
57'由于两球落后，杭州绿城队要压出来打进攻啦                   55'第55分钟，刘彬彬快速突破到底线附近弧线球传中，佩莱前点吸引防守，王永珀凌空二踢脚弹射破门，山东鲁能2-0领先
57'这也可能给鲁能泰山队更多的机会                   55'第55分钟，刘彬彬快速突破到底线附近弧线球传中，佩莱前点吸引防守，王永珀凌空二踢脚弹射破门，山东鲁能2-0领先
57'琼瑶在前场左路拿球，长传禁区，对方顶出来                   55'第55分钟，刘彬彬快速突破到底线附近弧线球传中，佩莱前点吸引防守，王永珀凌空二踢脚弹射破门，山东鲁能2-0领先
57'蒙蒂略得球突破到禁区内，还想传球啊！！被挡出来                   55'第55分钟，刘彬彬快速突破到底线附近弧线球传中，佩莱前点吸引防守，王永珀凌空二踢脚弹射破门，山东鲁能2-0领先
58'刘彬彬在前场抢球犯规！！吃到了黄牌                   55'第55分钟，刘彬彬快速突破到底线附近弧线球传中，佩莱前点吸引防守，王永珀凌空二踢脚弹射破门，山东鲁能2-0领先
58'连拉带扯侵犯了加比奥内塔                   55'第55分钟，刘彬彬快速突破到底线附近弧线球传中，佩莱前点吸引防守，王永珀凌空二踢脚弹射破门，山东鲁能2-0领先
59'杭州绿城队换人，拉蒙上场换下谈扬                   59'第59分钟，杭州绿城连续换人，拉蒙换下谈杨，葛振换下吴范锡
59'对杭州绿城队来说，必须加强进攻                   59'第59分钟，杭州绿城连续换人，拉蒙换下谈杨，葛振换下吴范锡
60'葛振上场换下吴范锡                   59'第59分钟，杭州绿城连续换人，拉蒙换下谈杨，葛振换下吴范锡
60'拉蒙中场横传，被鲁能泰山队抢断                   59'第59分钟，杭州绿城连续换人，拉蒙换下谈杨，葛振换下吴范锡
61'现场的球迷永远不知道满足！！在喊着3-0呢！                   59'第59分钟，杭州绿城连续换人，拉蒙换下谈杨，葛振换下吴范锡
61'王永珀右路带球突破，黄希扬犯规                   59'第59分钟，杭州绿城连续换人，拉蒙换下谈杨，葛振换下吴范锡
61'任意球发出来，鲁能泰山队传球失误                    59'第59分钟，杭州绿城连续换人，拉蒙换下谈杨，葛振换下吴范锡
62'刘彬彬传球，蒙蒂略得球突破远射，打高啦                   59'第59分钟，杭州绿城连续换人，拉蒙换下谈杨，葛振换下吴范锡
74'加比奥内塔接球，李松益抢球犯规                   74'第74分钟，山东鲁能再次换人调整，西塞换下蒙蒂略，山东鲁能改打442阵型
74'鲁能泰山队换人：西塞上场换下蒙蒂略！                   74'第74分钟，山东鲁能再次换人调整，西塞换下蒙蒂略，山东鲁能改打442阵型
75'任意球直接打门！！稍稍偏了一些！                   74'第74分钟，山东鲁能再次换人调整，西塞换下蒙蒂略，山东鲁能改打442阵型
76'加比奥内塔控球，刘彬彬上抢犯规                   74'第74分钟，山东鲁能再次换人调整，西塞换下蒙蒂略，山东鲁能改打442阵型
76'任意球发到禁区内后点，跟上队员打门，王大雷没收                   74'第74分钟，山东鲁能再次换人调整，西塞换下蒙蒂略，山东鲁能改打442阵型
77'加比奥内塔的发球不错，拉蒙的头球顶门很有威胁                   74'第74分钟，山东鲁能再次换人调整，西塞换下蒙蒂略，山东鲁能改打442阵型
77'前                   74'第74分钟，山东鲁能再次换人调整，西塞换下蒙蒂略，山东鲁能改打442阵型
77'前场杭州绿城队得球远射，高出                   74'第74分钟，山东鲁能再次换人调整，西塞换下蒙蒂略，山东鲁能改打442阵型
76'加比奥内塔控球，刘彬彬上抢犯规                   76'第76分钟，加比奥内塔再次任意球传中，又是拉蒙禁区内无人防守情况下甩头攻门，球被王大雷没收
76'任意球发到禁区内后点，跟上队员打门，王大雷没收                   76'第76分钟，加比奥内塔再次任意球传中，又是拉蒙禁区内无人防守情况下甩头攻门，球被王大雷没收
77'加比奥内塔的发球不错，拉蒙的头球顶门很有威胁                   76'第76分钟，加比奥内塔再次任意球传中，又是拉蒙禁区内无人防守情况下甩头攻门，球被王大雷没收
77'前                   76'第76分钟，加比奥内塔再次任意球传中，又是拉蒙禁区内无人防守情况下甩头攻门，球被王大雷没收
77'前场杭州绿城队得球远射，高出                   76'第76分钟，加比奥内塔再次任意球传中，又是拉蒙禁区内无人防守情况下甩头攻门，球被王大雷没收
78'这么不好的天气，现场的球迷有16372人！                   76'第76分钟，加比奥内塔再次任意球传中，又是拉蒙禁区内无人防守情况下甩头攻门，球被王大雷没收
78'角球发到禁区内，萨米尔打门，被挡出底线                   76'第76分钟，加比奥内塔再次任意球传中，又是拉蒙禁区内无人防守情况下甩头攻门，球被王大雷没收
78'角球发到禁区内，王大雷把球打出来                   76'第76分钟，加比奥内塔再次任意球传中，又是拉蒙禁区内无人防守情况下甩头攻门，球被王大雷没收
79'刘彬彬直传球，王永珀右路突破斜传，佩莱到位了啊，可惜传得大啦                   76'第76分钟，加比奥内塔再次任意球传中，又是拉蒙禁区内无人防守情况下甩头攻门，球被王大雷没收
79'戴琳要上场啦                   76'第76分钟，加比奥内塔再次任意球传中，又是拉蒙禁区内无人防守情况下甩头攻门，球被王大雷没收
79'鲁能泰山队换人，戴琳上场，换下刘彬彬                   76'第76分钟，加比奥内塔再次任意球传中，又是拉蒙禁区内无人防守情况下甩头攻门，球被王大雷没收
79'守！！！！！！！                   76'第76分钟，加比奥内塔再次任意球传中，又是拉蒙禁区内无人防守情况下甩头攻门，球被王大雷没收
79'刘彬彬直传球，王永珀右路突破斜传，佩莱到位了啊，可惜传得大啦                   79'第79分钟，戴琳换下刘彬彬，加强后场防守，张弛顶上去打边前卫
79'戴琳要上场啦                   79'第79分钟，戴琳换下刘彬彬，加强后场防守，张弛顶上去打边前卫
79'鲁能泰山队换人，戴琳上场，换下刘彬彬                   79'第79分钟，戴琳换下刘彬彬，加强后场防守，张弛顶上去打边前卫
79'守！！！！！！！                   79'第79分钟，戴琳换下刘彬彬，加强后场防守，张弛顶上去打边前卫
81'后场鲁能泰山队断球，中路直传                   79'第79分钟，戴琳换下刘彬彬，加强后场防守，张弛顶上去打边前卫
82'西塞左路接球，被断                   79'第79分钟，戴琳换下刘彬彬，加强后场防守，张弛顶上去打边前卫
82'杭州绿城队左路进攻，传球出界                   79'第79分钟，戴琳换下刘彬彬，加强后场防守，张弛顶上去打边前卫
82'尤西雷长传球到中场，佩莱把球争顶下来                   79'第79分钟，戴琳换下刘彬彬，加强后场防守，张弛顶上去打边前卫
87'王大雷大脚开球到前场，佩莱把球争下来                   87'第87分钟，张弛边路弧线球传中，佩莱后插上强力头球攻门，球弹地之后弹入死角，山东鲁能3-0领先
87'鲁能泰山队进球啦！！佩莱！！！3-0                   87'第87分钟，张弛边路弧线球传中，佩莱后插上强力头球攻门，球弹地之后弹入死角，山东鲁能3-0领先
87'佩莱答卖主示，张弛右路横传禁区，佩莱头球顶门，皮球弹地进入网内！！！！                   87'第87分钟，张弛边路弧线球传中，佩莱后插上强力头球攻门，球弹地之后弹入死角，山东鲁能3-0领先
89'鲁能泰山队又进球啦！！西塞！！！4-0                   87'第87分钟，张弛边路弧线球传中，佩莱后插上强力头球攻门，球弹地之后弹入死角，山东鲁能3-0领先
89'...后场鲁能泰山队长传球，西塞反越位接球突破打门被邹德海挡出来，西塞补射破门！！！！                   87'第87分钟，张弛边路弧线球传中，佩莱后插上强力头球攻门，球弹地之后弹入死角，山东鲁能3-0领先
90'今天鲁能泰山队真是表现完美！小胖复出进球，两外援进球！                   87'第87分钟，张弛边路弧线球传中，佩莱后插上强力头球攻门，球弹地之后弹入死角，山东鲁能3-0领先
