9'祖鲁图萨前场拿球，分球给孔查                   9'第9分钟，球迷起立鼓掌，悼念15日去世的前皇家社会前锋阿特金森
56'克罗斯中路跟进，左脚凌空扫射，击中横梁弹出！！                   55'皇马第55分钟险些破门，克罗斯策动攻势，莫拉塔连续扣球突入禁区左侧，在门前9米处左脚推射被鲁利伸脚挡出，克罗斯在门前13米处左脚凌空补中横梁
56'皇家社会换人：12号威利安上，换下24号孔查                   55'皇马第55分钟险些破门，克罗斯策动攻势，莫拉塔连续扣球突入禁区左侧，在门前9米处左脚推射被鲁利伸脚挡出，克罗斯在门前13米处左脚凌空补中横梁
58'皇家社会前场进攻，胡安米的打门，打偏                   55'皇马第55分钟险些破门，克罗斯策动攻势，莫拉塔连续扣球突入禁区左侧，在门前9米处左脚推射被鲁利伸脚挡出，克罗斯在门前13米处左脚凌空补中横梁
58'这是皇家社会为数不多的射门机会啊！！                   55'皇马第55分钟险些破门，克罗斯策动攻势，莫拉塔连续扣球突入禁区左侧，在门前9米处左脚推射被鲁利伸脚挡出，克罗斯在门前13米处左脚凌空补中横梁
58'贝尔前场右路拿球，内切后斜传转移找远端的莫拉塔                   55'皇马第55分钟险些破门，克罗斯策动攻势，莫拉塔连续扣球突入禁区左侧，在门前9米处左脚推射被鲁利伸脚挡出，克罗斯在门前13米处左脚凌空补中横梁
87'皇家社会的反击，左路直塞球，被卡瓦哈尔解围出边线                   87'第87分钟，贝尔争顶落地时右脚踝受伤倒地，但皇家社会不愿停止，皇马队员非常不满，激起双方冲突推搡，拉莫斯和尤里吃到黄牌
87'皇家社会快发界外球找威利安，卡塞米罗提前卡位拦截                   87'第87分钟，贝尔争顶落地时右脚踝受伤倒地，但皇家社会不愿停止，皇马队员非常不满，激起双方冲突推搡，拉莫斯和尤里吃到黄牌
87'贝尔前场拿球被放倒在地                   87'第87分钟，贝尔争顶落地时右脚踝受伤倒地，但皇家社会不愿停止，皇马队员非常不满，激起双方冲突推搡，拉莫斯和尤里吃到黄牌
88'伯齐切和拉莫斯发生摩擦，推搡了，场面混战啦                   87'第87分钟，贝尔争顶落地时右脚踝受伤倒地，但皇家社会不愿停止，皇马队员非常不满，激起双方冲突推搡，拉莫斯和尤里吃到黄牌
88'伯齐切和拉莫斯各打五十大板，每人一张黄牌！！                   87'第87分钟，贝尔争顶落地时右脚踝受伤倒地，但皇家社会不愿停止，皇马队员非常不满，激起双方冲突推搡，拉莫斯和尤里吃到黄牌
89'贝尔之前被扎尔多身后撞翻在地，右脚脚踝受伤，离场治疗                   87'第87分钟，贝尔争顶落地时右脚踝受伤倒地，但皇家社会不愿停止，皇马队员非常不满，激起双方冲突推搡，拉莫斯和尤里吃到黄牌
90'皇家社会后场的过顶球，球直接了边线！！                   87'第87分钟，贝尔争顶落地时右脚踝受伤倒地，但皇家社会不愿停止，皇马队员非常不满，激起双方冲突推搡，拉莫斯和尤里吃到黄牌
90'常规时间进入最后一分钟！！                   87'第87分钟，贝尔争顶落地时右脚踝受伤倒地，但皇家社会不愿停止，皇马队员非常不满，激起双方冲突推搡，拉莫斯和尤里吃到黄牌
