2'进球啦！！！阿森纳球员本特纳大禁区中央头球,球从左下角飞进球门,球进了!助攻的是詹金森. 阿森纳 1-0 胡尔城.
5'阿森纳球员卡索拉大禁区外尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是罗西基.
48'萨格博为胡尔城在对方半场,赢得一个任意球.
48'阿森纳球员弗拉米尼拼抢犯规,对手获得控球权.
49'菲格罗亚将球处理出底线,阿森纳获得角球.
50'阿森纳球员卡索拉大禁区中央尝试左脚射门,可惜皮球高出球门.给他传球的是拉姆塞.
51'胡尔城球员萨格博大禁区外右脚射门,被防守球员封堵.给他传球的是布雷迪.
53'胡尔城球员梅勒拼抢犯规,对手获得控球权.
53'詹金森为阿森纳赢得一个任意球.
53'射门!!!阿森纳球员拉姆塞小禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是厄齐尔.
53'麦克格雷格将球处理出底线,阿森纳获得角球.
54'阿森纳球员本特纳大禁区中央尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是卡索拉.
54'布雷迪将球处理出底线,阿森纳获得角球.
55'胡尔城球员菲格罗亚拼抢犯规,对手获得控球权.
55'厄齐尔为阿森纳在右路,赢得一个任意球.
58'胡尔城换人,博伊德换下格拉汉姆
58'胡尔城换人,罗塞尼奥尔换下布雷迪
60'阿森纳球员本特纳大禁区右侧右脚射门,被防守球员封堵.给他传球的是拉姆塞.
60'菲格罗亚将球处理出底线,阿森纳获得角球.
61'阿森纳球员卡索拉大禁区中央左脚射门,被防守球员封堵.给他传球的是厄齐尔.
62'布鲁斯将球处理出底线,阿森纳获得角球.
65'胡尔城萨格博受伤倒地,比赛暂停
65'阿森纳斯泽斯尼受伤倒地,比赛暂停
66'暂停结束,球员们重新开始比赛.
67'射门!!!胡尔城球员利维摩尔大禁区中央右脚射门,被对方守门员横身扑出.
70'萨格博为胡尔城赢得一个任意球.
70'阿森纳球员科斯切尔尼拼抢犯规,对手获得控球权.
70'胡尔城球员博伊德大禁区中央尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是萨格博.
72'胡尔城球员霍德斯通大禁区外左脚射门,被防守球员封堵.给他传球的是梅勒.
73'胡尔城球员艾莫哈马蒂拼抢犯规,对手获得控球权.
73'蒙雷亚尔为阿森纳赢得一个任意球.
73'阿森纳换人,沃尔科特换下本特纳
73'阿森纳换人,威尔谢尔换下罗西基
73'胡尔城换人,Gedo换下萨格博
80'阿森纳换人,阿尔特塔换下拉姆塞
83'切斯特为胡尔城赢得一个任意球.
83'阿森纳球员弗拉米尼拼抢犯规,对手获得控球权.
86'胡尔城球员Gedo拼抢犯规,对手获得控球权.
86'弗拉米尼为阿森纳在对方半场,赢得一个任意球.
87'利维摩尔为胡尔城在右路,赢得一个任意球.
87'阿森纳球员蒙雷亚尔拼抢犯规,对手获得控球权.
90'+2'胡尔城球员艾莫哈马蒂一脚直塞球给博伊德,但是边裁举旗显示后者已经越位.
90'+2'胡尔城球员艾莫哈马蒂拼抢犯规,对手获得控球权.
90'+2'阿尔特塔为阿森纳在对方半场,赢得一个任意球.
90'+3'下半场结束,阿森纳 2-0 胡尔城
