2'水晶宫上来就发动攻势！杀到禁区内一脚打门，被库尔图瓦把球挡了出去。                   2'开场仅2分钟，沃德传球，坎贝尔禁区左侧的射门被库尔图瓦挡出
45'场上有球迷冲了进来，看来是对裁判不满啊。                   44'切尔西第44分钟险些扩大比分，特里禁区左侧头球摆渡，马蒂奇10码处头球攻门擦左侧立柱偏出
46'鲁伊兹刚刚上场也是一脚铲球，今天场上人火气都有点大啊。                   44'切尔西第44分钟险些扩大比分，特里禁区左侧头球摆渡，马蒂奇10码处头球攻门擦左侧立柱偏出
46'上半场比赛补时2分钟。                   44'切尔西第44分钟险些扩大比分，特里禁区左侧头球摆渡，马蒂奇10码处头球攻门擦左侧立柱偏出
47'水晶宫的任意球配合还真不错，但是最后一脚传球没处理好。                   44'切尔西第44分钟险些扩大比分，特里禁区左侧头球摆渡，马蒂奇10码处头球攻门擦左侧立柱偏出
47'看样子上半场比赛就会1比0收场了。                   44'切尔西第44分钟险些扩大比分，特里禁区左侧头球摆渡，马蒂奇10码处头球攻门擦左侧立柱偏出
46'好的，下半场比赛开始了！                   44'切尔西第44分钟险些扩大比分，特里禁区左侧头球摆渡，马蒂奇10码处头球攻门擦左侧立柱偏出
47'下半场这个节奏还是没有加快的意思啊                   44'切尔西第44分钟险些扩大比分，特里禁区左侧头球摆渡，马蒂奇10码处头球攻门擦左侧立柱偏出
53'切尔西又进球了！！！                   51'切尔西第51分钟扩大比分，法布雷加斯同奥斯卡踢墙配合后禁区左侧12码处推射近角入网，2-0
54'[此时此刻值得来杯嘉士伯]                   51'切尔西第51分钟扩大比分，法布雷加斯同奥斯卡踢墙配合后禁区左侧12码处推射近角入网，2-0
70'下半场比赛已经进行了70分钟，比分依旧是2比0                   68'第68分钟，法布雷加斯斜传，奥斯卡禁区左侧的射门被斯佩罗尼轻松得到
75'邦成的打门高出了球门。                   75'第75分钟，奥斯卡突破至禁区边缘外低射被斯佩罗尼没收
75'这段时间扎哈拿球明显增多了，威胁也比之前大了不少。                   75'第75分钟，奥斯卡突破至禁区边缘外低射被斯佩罗尼没收
76'切尔西又断球了，阿扎尔拿球组织，队友跟上比较慢。                   75'第75分钟，奥斯卡突破至禁区边缘外低射被斯佩罗尼没收
77'伊万插上的横传被对方挡了出去。                   75'第75分钟，奥斯卡突破至禁区边缘外低射被斯佩罗尼没收
77'法布雷加斯的铲球，动作也是比较大。                   75'第75分钟，奥斯卡突破至禁区边缘外低射被斯佩罗尼没收
90'全场比赛补时4分钟！                   90'水晶宫第90分钟扳回一城，扎哈右路强突菲利佩传中，库尔图瓦前点封堵未果，坎贝尔近距离打入空门，1-2
91'现在水晶宫气势上来了，能否上演奇迹呢？                   90'水晶宫第90分钟扳回一城，扎哈右路强突菲利佩传中，库尔图瓦前点封堵未果，坎贝尔近距离打入空门，1-2
91'法布雷加斯中场拿球被对手侵犯。                   90'水晶宫第90分钟扳回一城，扎哈右路强突菲利佩传中，库尔图瓦前点封堵未果，坎贝尔近距离打入空门，1-2
92'这时候切尔西球迷肯定相当紧张啊。                   90'水晶宫第90分钟扳回一城，扎哈右路强突菲利佩传中，库尔图瓦前点封堵未果，坎贝尔近距离打入空门，1-2
92'坎贝尔拿球给扎哈，但是扎哈犯规了。                   90'水晶宫第90分钟扳回一城，扎哈右路强突菲利佩传中，库尔图瓦前点封堵未果，坎贝尔近距离打入空门，1-2
92'还有最后的1分钟了。                   90'水晶宫第90分钟扳回一城，扎哈右路强突菲利佩传中，库尔图瓦前点封堵未果，坎贝尔近距离打入空门，1-2
93'水晶宫还有最后一攻的机会！                   90'水晶宫第90分钟扳回一城，扎哈右路强突菲利佩传中，库尔图瓦前点封堵未果，坎贝尔近距离打入空门，1-2
