3'射门!!!巴列卡诺球员A-佩雷亚大禁区中央头球,被对方守门员横身扑出.给他传球的是莫西卡.                   3'开场仅3分钟，莫吉卡左路传中，比埃拉头球攻门被巴尔德斯扑出
36'佩德罗将球处理出底线,巴列卡诺获得角球.                   33'巴萨第33分钟取得领先，梅西中路突破吸引防守后送出直传，佩德罗禁区右侧10码处推射远角入网
47'进球啦！！！巴塞罗那球员佩德罗大禁区中央右脚射门,球从右上角飞进球门,球进了!助攻的是法布雷加斯. 巴列卡诺 0-2 巴塞罗那.                   46'1分钟后，莫吉卡传球，比埃拉禁区左侧的射门被巴尔德斯救下
48'佩德罗为巴塞罗那在右路,赢得一个任意球.                   46'1分钟后，莫吉卡传球，比埃拉禁区左侧的射门被巴尔德斯救下
48'巴列卡诺球员拼抢犯规,对手获得控球权.                   46'1分钟后，莫吉卡传球，比埃拉禁区左侧的射门被巴尔德斯救下
48'巴列卡诺换人,恩巴巴换下A-佩雷亚                   46'1分钟后，莫吉卡传球，比埃拉禁区左侧的射门被巴尔德斯救下
49'巴塞罗那球员内马尔一脚直塞球给梅西,但是边裁举旗显示后者已经越位.                   46'1分钟后，莫吉卡传球，比埃拉禁区左侧的射门被巴尔德斯救下
52'巴塞罗那球员梅西大禁区外左脚射门,被防守球员封堵.                   52'第52分钟，梅西25码处任意球直接射门擦中人墙中的加尔维斯稍稍偏出右侧立柱
52'加尔维斯将球处理出底线,巴塞罗那获得角球.                   52'第52分钟，梅西25码处任意球直接射门擦中人墙中的加尔维斯稍稍偏出右侧立柱
52'巴塞罗那球员皮克拼抢犯规,对手获得控球权.                   52'第52分钟，梅西25码处任意球直接射门擦中人墙中的加尔维斯稍稍偏出右侧立柱
52'纳乔为巴列卡诺赢得一个任意球.                   52'第52分钟，梅西25码处任意球直接射门擦中人墙中的加尔维斯稍稍偏出右侧立柱
54'梅西为巴塞罗那赢得一个任意球.                   52'第52分钟，梅西25码处任意球直接射门擦中人墙中的加尔维斯稍稍偏出右侧立柱
54'巴列卡诺球员巴埃纳拼抢犯规,对手获得控球权.                   52'第52分钟，梅西25码处任意球直接射门擦中人墙中的加尔维斯稍稍偏出右侧立柱
55'巴塞罗那球员宋拼抢犯规,对手获得控球权.                   52'第52分钟，梅西25码处任意球直接射门擦中人墙中的加尔维斯稍稍偏出右侧立柱
55'莫西卡为巴列卡诺在左路,赢得一个任意球.                   52'第52分钟，梅西25码处任意球直接射门擦中人墙中的加尔维斯稍稍偏出右侧立柱
60'宋将球处理出底线,巴列卡诺获得角球.                   60'第60分钟，特拉肖拉斯传中，索尔头球攻门仍未给巴尔德斯带来威胁
60'射门!!!巴列卡诺球员绍尔-尼格斯大禁区中央头球,被对方守门员横身扑出.给他传球的是特拉索亚斯.                   60'第60分钟，特拉肖拉斯传中，索尔头球攻门仍未给巴尔德斯带来威胁
61'射门!!!巴塞罗那球员梅西大禁区右侧右脚射门,被对方守门员横身扑出.                   60'第60分钟，特拉肖拉斯传中，索尔头球攻门仍未给巴尔德斯带来威胁
61'恩巴巴将球处理出底线,巴塞罗那获得角球.                   60'第60分钟，特拉肖拉斯传中，索尔头球攻门仍未给巴尔德斯带来威胁
61'巴塞罗那球员皮克大禁区中央头球,被防守球员封堵.给他传球的是哈维.                   60'第60分钟，特拉肖拉斯传中，索尔头球攻门仍未给巴尔德斯带来威胁
61'纳乔将球处理出底线,巴塞罗那获得角球.                   60'第60分钟，特拉肖拉斯传中，索尔头球攻门仍未给巴尔德斯带来威胁
62'巴塞罗那球员阿德里亚诺大禁区中央右脚射门,被防守球员封堵.给他传球的是内马尔.                   60'第60分钟，特拉肖拉斯传中，索尔头球攻门仍未给巴尔德斯带来威胁
62'恩巴巴将球处理出底线,巴塞罗那获得角球.                   60'第60分钟，特拉肖拉斯传中，索尔头球攻门仍未给巴尔德斯带来威胁
61'射门!!!巴塞罗那球员梅西大禁区右侧右脚射门,被对方守门员横身扑出.                   61'第61分钟，哈维开出角球，皮克头球攻门被封堵
61'恩巴巴将球处理出底线,巴塞罗那获得角球.                   61'第61分钟，哈维开出角球，皮克头球攻门被封堵
61'巴塞罗那球员皮克大禁区中央头球,被防守球员封堵.给他传球的是哈维.                   61'第61分钟，哈维开出角球，皮克头球攻门被封堵
61'纳乔将球处理出底线,巴塞罗那获得角球.                   61'第61分钟，哈维开出角球，皮克头球攻门被封堵
62'巴塞罗那球员阿德里亚诺大禁区中央右脚射门,被防守球员封堵.给他传球的是内马尔.                   61'第61分钟，哈维开出角球，皮克头球攻门被封堵
62'恩巴巴将球处理出底线,巴塞罗那获得角球.                   61'第61分钟，哈维开出角球，皮克头球攻门被封堵
64'内马尔为巴塞罗那赢得一个任意球.                   61'第61分钟，哈维开出角球，皮克头球攻门被封堵
64'巴列卡诺球员阿尔维利亚拼抢犯规,对手获得控球权.                   61'第61分钟，哈维开出角球，皮克头球攻门被封堵
69'巴列卡诺球员恩巴巴大禁区外尝试右脚射门,可惜皮球高出球门.给他传球的是布雷诺.                   69'第69分钟，巴埃纳传球，埃姆巴巴大禁区右上角怒射偏出
69'巴塞罗那球员佩德罗拼抢犯规,对手获得控球权.                   69'第69分钟，巴埃纳传球，埃姆巴巴大禁区右上角怒射偏出
69'纳乔为巴列卡诺赢得一个任意球.                   69'第69分钟，巴埃纳传球，埃姆巴巴大禁区右上角怒射偏出
70'巴塞罗那球员宋拼抢犯规,对手获得控球权.                   69'第69分钟，巴埃纳传球，埃姆巴巴大禁区右上角怒射偏出
70'布雷诺为巴列卡诺在对方半场,赢得一个任意球.                   69'第69分钟，巴埃纳传球，埃姆巴巴大禁区右上角怒射偏出
71'射门!!!巴列卡诺球员加尔维斯大禁区外右脚射门,被对方守门员横身扑出.                   69'第69分钟，巴埃纳传球，埃姆巴巴大禁区右上角怒射偏出
71'巴列卡诺球员布雷诺大禁区中央右脚射门,被防守球员封堵.                   69'第69分钟，巴埃纳传球，埃姆巴巴大禁区右上角怒射偏出
71'梅西为巴塞罗那赢得一个任意球.                   69'第69分钟，巴埃纳传球，埃姆巴巴大禁区右上角怒射偏出
71'巴列卡诺球员纳乔危险动作,对手获得控球权.                   69'第69分钟，巴埃纳传球，埃姆巴巴大禁区右上角怒射偏出
72'进球啦！！！巴塞罗那球员佩德罗球门线跟前左脚射门,球从左下角飞进球门,球进了!助攻的是内马尔. 巴列卡诺 0-3 巴塞罗那.                   69'第69分钟，巴埃纳传球，埃姆巴巴大禁区右上角怒射偏出
72'进球啦！！！巴塞罗那球员佩德罗球门线跟前左脚射门,球从左下角飞进球门,球进了!助攻的是内马尔. 巴列卡诺 0-3 巴塞罗那.                   72'巴萨第72分钟锁定胜局，内马尔突入禁区左侧传中，佩德罗再次轻松推射空门入网，3-0
74'巴塞罗那球员马斯切拉诺拼抢犯规,对手获得控球权.                   72'巴萨第72分钟锁定胜局，内马尔突入禁区左侧传中，佩德罗再次轻松推射空门入网，3-0
74'拉里维为巴列卡诺在对方半场,赢得一个任意球.                   72'巴萨第72分钟锁定胜局，内马尔突入禁区左侧传中，佩德罗再次轻松推射空门入网，3-0
74'巴塞罗那球员佩德罗手球犯规,对手获得球权.                   72'巴萨第72分钟锁定胜局，内马尔突入禁区左侧传中，佩德罗再次轻松推射空门入网，3-0
75'巴塞罗那换人,伊涅斯塔换下佩德罗                   72'巴萨第72分钟锁定胜局，内马尔突入禁区左侧传中，佩德罗再次轻松推射空门入网，3-0
75'射门!!!巴塞罗那球员梅西大禁区外左脚射门,被对方守门员横身扑出.给他传球的是内马尔.                   72'巴萨第72分钟锁定胜局，内马尔突入禁区左侧传中，佩德罗再次轻松推射空门入网，3-0
75'马丁内斯将球处理出底线,巴塞罗那获得角球.                   72'巴萨第72分钟锁定胜局，内马尔突入禁区左侧传中，佩德罗再次轻松推射空门入网，3-0
75'巴塞罗那换人,伊涅斯塔换下佩德罗                   75'第75分钟，佩德罗被伊涅斯塔换下
75'射门!!!巴塞罗那球员梅西大禁区外左脚射门,被对方守门员横身扑出.给他传球的是内马尔.                   75'第75分钟，佩德罗被伊涅斯塔换下
75'马丁内斯将球处理出底线,巴塞罗那获得角球.                   75'第75分钟，佩德罗被伊涅斯塔换下
79'进球啦！！！巴塞罗那球员法布雷加斯大禁区中央右脚射门,球从右下角飞进球门,球进了!助攻的是哈维. 巴列卡诺 0-4 巴塞罗那.                   79'第79分钟，哈维前场拦截后传球，法布雷加斯16码处劲射右下角入网，4-0
80'巴塞罗那换人,特略换下内马尔                   79'第79分钟，哈维前场拦截后传球，法布雷加斯16码处劲射右下角入网，4-0
82'射门!!!巴塞罗那球员特略大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是哈维.                   79'第79分钟，哈维前场拦截后传球，法布雷加斯16码处劲射右下角入网，4-0
