6'雷内前场断球，交给于汉超                   6'第6分钟，于汉超快速突破下底传中，可惜中路吉拉迪诺跟进慢了一步球划门而过
11'机会了，于汉超进球！                   11'第11分钟，广州恒大队率先打破场上僵局，埃尔克森左路拿球转身送过顶球到禁区，于汉超斜插过来连停带过过了范晓冬面对门将冷静左脚推射破门，场上比分改写为1比0
12'埃尔克森左路拿球转身送过顶球到禁区，于汉超斜插过来连停带过过了范晓冬面对门将左脚推射球进！                   11'第11分钟，广州恒大队率先打破场上僵局，埃尔克森左路拿球转身送过顶球到禁区，于汉超斜插过来连停带过过了范晓冬面对门将冷静左脚推射破门，场上比分改写为1比0
13'取代郜林打首发的于汉超抓住了机会打进一球                   11'第11分钟，广州恒大队率先打破场上僵局，埃尔克森左路拿球转身送过顶球到禁区，于汉超斜插过来连停带过过了范晓冬面对门将冷静左脚推射破门，场上比分改写为1比0
13'孙祥左路又来了，传中球吉拉迪诺没有顶到                   11'第11分钟，广州恒大队率先打破场上僵局，埃尔克森左路拿球转身送过顶球到禁区，于汉超斜插过来连停带过过了范晓冬面对门将冷静左脚推射破门，场上比分改写为1比0
13'后点还有张琳芃，张琳芃传中被回防的汪嵩顶到第一点                   11'第11分钟，广州恒大队率先打破场上僵局，埃尔克森左路拿球转身送过顶球到禁区，于汉超斜插过来连停带过过了范晓冬面对门将冷静左脚推射破门，场上比分改写为1比0
13'于汉超前场反抢时犯规                   11'第11分钟，广州恒大队率先打破场上僵局，埃尔克森左路拿球转身送过顶球到禁区，于汉超斜插过来连停带过过了范晓冬面对门将冷静左脚推射破门，场上比分改写为1比0
14'绿城在后场倒脚，雷内又断球了                   11'第11分钟，广州恒大队率先打破场上僵局，埃尔克森左路拿球转身送过顶球到禁区，于汉超斜插过来连停带过过了范晓冬面对门将冷静左脚推射破门，场上比分改写为1比0
14'孙祥左路送直传，埃尔克森没有停好                   11'第11分钟，广州恒大队率先打破场上僵局，埃尔克森左路拿球转身送过顶球到禁区，于汉超斜插过来连停带过过了范晓冬面对门将冷静左脚推射破门，场上比分改写为1比0
14'王林长传找到阿甘，郑智马上补防过来贴防将球踢出了底线                   11'第11分钟，广州恒大队率先打破场上僵局，埃尔克森左路拿球转身送过顶球到禁区，于汉超斜插过来连停带过过了范晓冬面对门将冷静左脚推射破门，场上比分改写为1比0
19'汪嵩中场又拿到球，外脚背妙传到左肋部，马塞纳倒三角传中交给了阿甘                   19'第19分钟，广州恒大中路策动进攻，雷内距离30米之起脚远射，中路吉拉迪诺伸脚垫射偏出，但边裁先举旗了吉拉迪诺越位在先
19'金英权很冷静地将球破坏                   19'第19分钟，广州恒大中路策动进攻，雷内距离30米之起脚远射，中路吉拉迪诺伸脚垫射偏出，但边裁先举旗了吉拉迪诺越位在先
19'雷内距离30米一脚似传似射，吉拉迪诺门前垫射打在顾超身上                   19'第19分钟，广州恒大中路策动进攻，雷内距离30米之起脚远射，中路吉拉迪诺伸脚垫射偏出，但边裁先举旗了吉拉迪诺越位在先
19'吉拉迪诺也先越位了                   19'第19分钟，广州恒大中路策动进攻，雷内距离30米之起脚远射，中路吉拉迪诺伸脚垫射偏出，但边裁先举旗了吉拉迪诺越位在先
20'张琳芃长传找吉拉迪诺，头球后蹭没有队友跟进                   19'第19分钟，广州恒大中路策动进攻，雷内距离30米之起脚远射，中路吉拉迪诺伸脚垫射偏出，但边裁先举旗了吉拉迪诺越位在先
20'恒大高位逼抢，于汉超差一点抢断成功                   19'第19分钟，广州恒大中路策动进攻，雷内距离30米之起脚远射，中路吉拉迪诺伸脚垫射偏出，但边裁先举旗了吉拉迪诺越位在先
21'张琳芃右路得球，交给雷内，雷内 回传给冯潇霆                   19'第19分钟，广州恒大中路策动进攻，雷内距离30米之起脚远射，中路吉拉迪诺伸脚垫射偏出，但边裁先举旗了吉拉迪诺越位在先
22'黄博文挑传找到吉拉迪诺，吉拉迪诺中场的盘带被卢卡绊倒                   19'第19分钟，广州恒大中路策动进攻，雷内距离30米之起脚远射，中路吉拉迪诺伸脚垫射偏出，但边裁先举旗了吉拉迪诺越位在先
22'郑智将球分到右路，于汉超一顺，吴伟抢在雷内之前将球解围                   19'第19分钟，广州恒大中路策动进攻，雷内距离30米之起脚远射，中路吉拉迪诺伸脚垫射偏出，但边裁先举旗了吉拉迪诺越位在先
30'阿甘停球停大了被于汉超铲出边线                   30'第30分钟，前场中路黄博文与埃尔克森配合后，看守门员站位有点离门马上一记吊射，顾超还是集中精神将球控制下来右路
30'黄博文中场控球交给埃尔克森，埃尔克森挑传                   30'第30分钟，前场中路黄博文与埃尔克森配合后，看守门员站位有点离门马上一记吊射，顾超还是集中精神将球控制下来右路
30'黄博文停球时颠了一下球还形成一记吊射，顾超没有走神将球摘下                   30'第30分钟，前场中路黄博文与埃尔克森配合后，看守门员站位有点离门马上一记吊射，顾超还是集中精神将球控制下来右路
31'埃尔克森左路加速被石柯将球破坏                   30'第30分钟，前场中路黄博文与埃尔克森配合后，看守门员站位有点离门马上一记吊射，顾超还是集中精神将球控制下来右路
31'汪嵩长传找阿甘，李帅出击解围出边线                   30'第30分钟，前场中路黄博文与埃尔克森配合后，看守门员站位有点离门马上一记吊射，顾超还是集中精神将球控制下来右路
32'雷内回防马上将球断下                   30'第30分钟，前场中路黄博文与埃尔克森配合后，看守门员站位有点离门马上一记吊射，顾超还是集中精神将球控制下来右路
33'臧一峰右路的传球，套上的汪嵩越位了                   30'第30分钟，前场中路黄博文与埃尔克森配合后，看守门员站位有点离门马上一记吊射，顾超还是集中精神将球控制下来右路
39'王林吃到一张黄牌！                   39'第39分钟，王林防守中拉倒了突破的于汉超，主裁判出示了一张黄牌并且判罚任意球，孙祥主罚任意球到禁区内，吉拉迪诺头球攻门偏出了
39'孙祥任意球传到前点，于汉超甩头攻门球偏得很多                   39'第39分钟，王林防守中拉倒了突破的于汉超，主裁判出示了一张黄牌并且判罚任意球，孙祥主罚任意球到禁区内，吉拉迪诺头球攻门偏出了
39'阿甘带球，金英权上前断球后被推倒                   39'第39分钟，王林防守中拉倒了突破的于汉超，主裁判出示了一张黄牌并且判罚任意球，孙祥主罚任意球到禁区内，吉拉迪诺头球攻门偏出了
41'雷内中场断球后自己带球推进，突然送直塞，埃尔克森插上被吴伟挡在身后                   39'第39分钟，王林防守中拉倒了突破的于汉超，主裁判出示了一张黄牌并且判罚任意球，孙祥主罚任意球到禁区内，吉拉迪诺头球攻门偏出了
41'顾超将球没收                   39'第39分钟，王林防守中拉倒了突破的于汉超，主裁判出示了一张黄牌并且判罚任意球，孙祥主罚任意球到禁区内，吉拉迪诺头球攻门偏出了
41'绿城右路的进攻，汪嵩轻轻一推                   39'第39分钟，王林防守中拉倒了突破的于汉超，主裁判出示了一张黄牌并且判罚任意球，孙祥主罚任意球到禁区内，吉拉迪诺头球攻门偏出了
41'王林套上下底传中，孙祥倒地将球铲出底线                   39'第39分钟，王林防守中拉倒了突破的于汉超，主裁判出示了一张黄牌并且判罚任意球，孙祥主罚任意球到禁区内，吉拉迪诺头球攻门偏出了
42'汪嵩弧线球旋到前点，阿甘甩头攻门，孙祥门前将球解围                   39'第39分钟，王林防守中拉倒了突破的于汉超，主裁判出示了一张黄牌并且判罚任意球，孙祥主罚任意球到禁区内，吉拉迪诺头球攻门偏出了
42'孙祥左路来了，回传给郑智                   39'第39分钟，王林防守中拉倒了突破的于汉超，主裁判出示了一张黄牌并且判罚任意球，孙祥主罚任意球到禁区内，吉拉迪诺头球攻门偏出了
49'黄博文坐在了草坪捂着大腿根部                   49'下半场易边再战，第49分钟，黄博文突然受伤倒地，捂住了大腿根部看来是拉伤无法坚持，里皮马上用廖力生换下
49'担架进场将黄博文抬出场外                   49'下半场易边再战，第49分钟，黄博文突然受伤倒地，捂住了大腿根部看来是拉伤无法坚持，里皮马上用廖力生换下
50'廖力生马上被换上场                   49'下半场易边再战，第49分钟，黄博文突然受伤倒地，捂住了大腿根部看来是拉伤无法坚持，里皮马上用廖力生换下
51'雷内右路横拔，埃尔克森与他太靠近了，没有拿到球                   49'下半场易边再战，第49分钟，黄博文突然受伤倒地，捂住了大腿根部看来是拉伤无法坚持，里皮马上用廖力生换下
51'雷内中场争抢放倒了汪嵩                   49'下半场易边再战，第49分钟，黄博文突然受伤倒地，捂住了大腿根部看来是拉伤无法坚持，里皮马上用廖力生换下
51'绿城右路的进攻，金英权跟防出来绊倒了汪嵩                   49'下半场易边再战，第49分钟，黄博文突然受伤倒地，捂住了大腿根部看来是拉伤无法坚持，里皮马上用廖力生换下
51'绿城获得一个前场右路的任意球机会                   49'下半场易边再战，第49分钟，黄博文突然受伤倒地，捂住了大腿根部看来是拉伤无法坚持，里皮马上用廖力生换下
52'汪嵩传到前点，卢卡甩头攻门顶到了                   49'下半场易边再战，第49分钟，黄博文突然受伤倒地，捂住了大腿根部看来是拉伤无法坚持，里皮马上用廖力生换下
54'恒大获得一个前场左路的角球机会                   54'第54分钟，广州恒大队获得前场角球机会，廖力生主罚到禁区内顾超双拳击出不远，禁区外围孙祥直接侧身凌空射门，球高出了横梁
54'廖力生角球送到后点，顾超双拳将球打出禁区                   54'第54分钟，广州恒大队获得前场角球机会，廖力生主罚到禁区内顾超双拳击出不远，禁区外围孙祥直接侧身凌空射门，球高出了横梁
54'孙祥凌空抽射打飞了                   54'第54分钟，广州恒大队获得前场角球机会，廖力生主罚到禁区内顾超双拳击出不远，禁区外围孙祥直接侧身凌空射门，球高出了横梁
54'恒大右路来了，于汉超边路传中过不了石柯                   54'第54分钟，广州恒大队获得前场角球机会，廖力生主罚到禁区内顾超双拳击出不远，禁区外围孙祥直接侧身凌空射门，球高出了横梁
55'张琳芃在右路连续晃动后突破，马塞纳拉人犯规                   54'第54分钟，广州恒大队获得前场角球机会，廖力生主罚到禁区内顾超双拳击出不远，禁区外围孙祥直接侧身凌空射门，球高出了横梁
55'恒大获得一个前场右路边线附近的任意球机会                   54'第54分钟，广州恒大队获得前场角球机会，廖力生主罚到禁区内顾超双拳击出不远，禁区外围孙祥直接侧身凌空射门，球高出了横梁
55'埃尔克森进球了！                   54'第54分钟，广州恒大队获得前场角球机会，廖力生主罚到禁区内顾超双拳击出不远，禁区外围孙祥直接侧身凌空射门，球高出了横梁
56'廖力生任意球传前点，汪嵩解围不远，埃尔克森门前10米处转身打球门右下角球进！                   54'第54分钟，广州恒大队获得前场角球机会，廖力生主罚到禁区内顾超双拳击出不远，禁区外围孙祥直接侧身凌空射门，球高出了横梁
57'这是埃尔克森本赛季第25个联赛进球，已经无限接近由李金羽保持的26球中超单赛季进球纪录                   54'第54分钟，广州恒大队获得前场角球机会，廖力生主罚到禁区内顾超双拳击出不远，禁区外围孙祥直接侧身凌空射门，球高出了横梁
57'李金羽打进26球那个赛季，郑智也打进了21球，当然现在郑智不可能有如此全面的表现了                   54'第54分钟，广州恒大队获得前场角球机会，廖力生主罚到禁区内顾超双拳击出不远，禁区外围孙祥直接侧身凌空射门，球高出了横梁
55'张琳芃在右路连续晃动后突破，马塞纳拉人犯规                   55'第55分钟，埃尔克森突破入禁区，吴伟绊倒了埃尔克森，主裁判出示了红牌直接罚下并且给了一个点球，埃尔克森主罚点球命中，场上比分改写为3比0
55'恒大获得一个前场右路边线附近的任意球机会                   55'第55分钟，埃尔克森突破入禁区，吴伟绊倒了埃尔克森，主裁判出示了红牌直接罚下并且给了一个点球，埃尔克森主罚点球命中，场上比分改写为3比0
55'埃尔克森进球了！                   55'第55分钟，埃尔克森突破入禁区，吴伟绊倒了埃尔克森，主裁判出示了红牌直接罚下并且给了一个点球，埃尔克森主罚点球命中，场上比分改写为3比0
56'廖力生任意球传前点，汪嵩解围不远，埃尔克森门前10米处转身打球门右下角球进！                   55'第55分钟，埃尔克森突破入禁区，吴伟绊倒了埃尔克森，主裁判出示了红牌直接罚下并且给了一个点球，埃尔克森主罚点球命中，场上比分改写为3比0
57'这是埃尔克森本赛季第25个联赛进球，已经无限接近由李金羽保持的26球中超单赛季进球纪录                   55'第55分钟，埃尔克森突破入禁区，吴伟绊倒了埃尔克森，主裁判出示了红牌直接罚下并且给了一个点球，埃尔克森主罚点球命中，场上比分改写为3比0
57'李金羽打进26球那个赛季，郑智也打进了21球，当然现在郑智不可能有如此全面的表现了                   55'第55分钟，埃尔克森突破入禁区，吴伟绊倒了埃尔克森，主裁判出示了红牌直接罚下并且给了一个点球，埃尔克森主罚点球命中，场上比分改写为3比0
58'范晓冬带球上前，斜塞禁区没有队友接应                   55'第55分钟，埃尔克森突破入禁区，吴伟绊倒了埃尔克森，主裁判出示了红牌直接罚下并且给了一个点球，埃尔克森主罚点球命中，场上比分改写为3比0
58'吉拉迪诺背身接应，球被断了                   55'第55分钟，埃尔克森突破入禁区，吴伟绊倒了埃尔克森，主裁判出示了红牌直接罚下并且给了一个点球，埃尔克森主罚点球命中，场上比分改写为3比0
70'汪嵩圆月弯刀传中，马塞纳甩头攻门，李帅飞身将球扑出底线！                   70'第70分钟，汪嵩左路弧线球传中落点极佳，马塞纳甩头攻门，李帅做出精彩扑救将球拖出底线
70'绿城换人，18号赵宇豪换下了20号阿甘                   70'第70分钟，汪嵩左路弧线球传中落点极佳，马塞纳甩头攻门，李帅做出精彩扑救将球拖出底线
72'恒大在后场慢慢地倒脚                   70'第70分钟，汪嵩左路弧线球传中落点极佳，马塞纳甩头攻门，李帅做出精彩扑救将球拖出底线
73'迪亚曼蒂右路得球，传中了，无人接应                   70'第70分钟，汪嵩左路弧线球传中落点极佳，马塞纳甩头攻门，李帅做出精彩扑救将球拖出底线
73'顾超轻松将球没收                   70'第70分钟，汪嵩左路弧线球传中落点极佳，马塞纳甩头攻门，李帅做出精彩扑救将球拖出底线
73'绿城这段时间也有了不少进攻机会                   70'第70分钟，汪嵩左路弧线球传中落点极佳，马塞纳甩头攻门，李帅做出精彩扑救将球拖出底线
73'马塞纳禁区外来一脚远射打在张琳芃身上出了底线                   70'第70分钟，汪嵩左路弧线球传中落点极佳，马塞纳甩头攻门，李帅做出精彩扑救将球拖出底线
83'禁区前沿，迪亚曼蒂头球往上顶一下然后准备打倒钩                   83'第83分钟，迪亚曼蒂左路传中很漂亮，廖力生抢点差了一点点被赵宇豪先将球踢走，广州恒大错失扩大比分良机
83'差一点踢到了范晓冬的头，裁判吹了迪亚曼蒂危险动作                   83'第83分钟，迪亚曼蒂左路传中很漂亮，廖力生抢点差了一点点被赵宇豪先将球踢走，广州恒大错失扩大比分良机
83'迪亚曼蒂也吃到一张黄牌                   83'第83分钟，迪亚曼蒂左路传中很漂亮，廖力生抢点差了一点点被赵宇豪先将球踢走，广州恒大错失扩大比分良机
84'迪亚曼蒂左路传中很漂亮，廖力生抢点差了一点点被赵宇豪先将球踢走                   83'第83分钟，迪亚曼蒂左路传中很漂亮，廖力生抢点差了一点点被赵宇豪先将球踢走，广州恒大错失扩大比分良机
84'迪亚曼蒂再拿到球，下底传中，埃尔克森铲射踢空了                   83'第83分钟，迪亚曼蒂左路传中很漂亮，廖力生抢点差了一点点被赵宇豪先将球踢走，广州恒大错失扩大比分良机
84'绿城的进攻，马塞纳护好球回传，孙大镐迎球怒射打高了                   83'第83分钟，迪亚曼蒂左路传中很漂亮，廖力生抢点差了一点点被赵宇豪先将球踢走，广州恒大错失扩大比分良机
85'廖力生来一脚远射打在卢卡后背出了边线                   83'第83分钟，迪亚曼蒂左路传中很漂亮，廖力生抢点差了一点点被赵宇豪先将球踢走，广州恒大错失扩大比分良机
86'廖力生右路的斜塞，迪亚曼蒂上来一扣                   83'第83分钟，迪亚曼蒂左路传中很漂亮，廖力生抢点差了一点点被赵宇豪先将球踢走，广州恒大错失扩大比分良机
86'左脚再扣下底，右脚不会传球再调整到左脚小角度打门，顾超将球没收                   83'第83分钟，迪亚曼蒂左路传中很漂亮，廖力生抢点差了一点点被赵宇豪先将球踢走，广州恒大错失扩大比分良机
87'中场争夺，赵宇豪铲倒了廖力生                   87'第87分钟，迪亚曼蒂前场左路个人技术表演接连摆脱两名球员小角度劲射，守门员将球控制在身下
87'绿城换人，12号罗竞换下了7号马塞纳                   87'第87分钟，迪亚曼蒂前场左路个人技术表演接连摆脱两名球员小角度劲射，守门员将球控制在身下
88'迪亚曼蒂右路起球传中，比较靠近门里，顾超将球打出禁区                   87'第87分钟，迪亚曼蒂前场左路个人技术表演接连摆脱两名球员小角度劲射，守门员将球控制在身下
88'孙祥左翼上来拿球传到落点极佳，廖力生鱼跃头球攻门顶偏了                   87'第87分钟，迪亚曼蒂前场左路个人技术表演接连摆脱两名球员小角度劲射，守门员将球控制在身下
89'迪亚曼蒂与郜林做二过一，迪亚曼蒂被赵宇豪阻挡                   87'第87分钟，迪亚曼蒂前场左路个人技术表演接连摆脱两名球员小角度劲射，守门员将球控制在身下
89'恒大获得一个前场中路的任意球机会                   87'第87分钟，迪亚曼蒂前场左路个人技术表演接连摆脱两名球员小角度劲射，守门员将球控制在身下
89'迪亚曼蒂任意球直接打门，角度比较正中，顾超将球扑了一下后没收                   87'第87分钟，迪亚曼蒂前场左路个人技术表演接连摆脱两名球员小角度劲射，守门员将球控制在身下
90'下半场比赛补时3分钟                   87'第87分钟，迪亚曼蒂前场左路个人技术表演接连摆脱两名球员小角度劲射，守门员将球控制在身下
90'迪亚曼蒂也打进一球！                   87'第87分钟，迪亚曼蒂前场左路个人技术表演接连摆脱两名球员小角度劲射，守门员将球控制在身下
48'阿甘亦步亦趋到了禁区右边缘传后点，马塞纳没有顶到球                   48'下半场补时3分钟后结束，广州恒大队在主场4比0杭州绿城队
48'雷内断球，卢卡就地反抢将球破坏出边线                   48'下半场补时3分钟后结束，广州恒大队在主场4比0杭州绿城队
49'黄博文坐在了草坪捂着大腿根部                   48'下半场补时3分钟后结束，广州恒大队在主场4比0杭州绿城队
49'担架进场将黄博文抬出场外                   48'下半场补时3分钟后结束，广州恒大队在主场4比0杭州绿城队
50'廖力生马上被换上场                   48'下半场补时3分钟后结束，广州恒大队在主场4比0杭州绿城队
51'雷内右路横拔，埃尔克森与他太靠近了，没有拿到球                   48'下半场补时3分钟后结束，广州恒大队在主场4比0杭州绿城队
51'雷内中场争抢放倒了汪嵩                   48'下半场补时3分钟后结束，广州恒大队在主场4比0杭州绿城队
51'绿城右路的进攻，金英权跟防出来绊倒了汪嵩                   48'下半场补时3分钟后结束，广州恒大队在主场4比0杭州绿城队
51'绿城获得一个前场右路的任意球机会                   48'下半场补时3分钟后结束，广州恒大队在主场4比0杭州绿城队
