13'切塞纳球员加里塔诺拼抢犯规,对手获得控球权.                   13'第13分钟，加里塔诺对埃尔纳内斯犯规吃到黄牌
38'国际米兰球员伊卡尔迪大禁区外尝试右脚射门,可惜皮球高出右上角球门.给他传球的是科瓦契奇.                   38'第38分钟，科瓦契奇传球，伊卡尔迪在门前25米处打高
40'久里奇为切塞纳在对方半场,赢得一个任意球.                   38'第38分钟，科瓦契奇传球，伊卡尔迪在门前25米处打高
40'国际米兰球员拉诺齐亚拼抢犯规,对手获得控球权.                   38'第38分钟，科瓦契奇传球，伊卡尔迪在门前25米处打高
40'切塞纳球员卡希奥尼拼抢犯规,对手获得控球权.                   38'第38分钟，科瓦契奇传球，伊卡尔迪在门前25米处打高
40'汉达诺维奇为国际米兰赢得一个任意球.                   38'第38分钟，科瓦契奇传球，伊卡尔迪在门前25米处打高
41'国际米兰拉诺齐亚受伤倒地,比赛暂停                   38'第38分钟，科瓦契奇传球，伊卡尔迪在门前25米处打高
41'暂停结束,球员们重新开始比赛.                   38'第38分钟，科瓦契奇传球，伊卡尔迪在门前25米处打高
53'乔尔吉为切塞纳在对方半场,赢得一个任意球.                   53'下半时开始8分钟，乔治胸部停球，坎帕尼亚罗将其踢倒吃到黄牌，伦泽蒂开出任意球，无人盯防的马里伦戈头球高出
53'国际米兰球员坎帕尼亚罗拼抢犯规,对手获得控球权.                   53'下半时开始8分钟，乔治胸部停球，坎帕尼亚罗将其踢倒吃到黄牌，伦泽蒂开出任意球，无人盯防的马里伦戈头球高出
53'黄牌！国际米兰球员坎帕尼亚罗因为恶意犯规,被主裁判出示黄牌.                   53'下半时开始8分钟，乔治胸部停球，坎帕尼亚罗将其踢倒吃到黄牌，伦泽蒂开出任意球，无人盯防的马里伦戈头球高出
54'切塞纳球员马里伦戈大禁区中央尝试头球,可惜皮球高出球门.给他传球的是Francesco Renzetti.                   53'下半时开始8分钟，乔治胸部停球，坎帕尼亚罗将其踢倒吃到黄牌，伦泽蒂开出任意球，无人盯防的马里伦戈头球高出
56'国际米兰球员伊卡尔迪大禁区左侧尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是埃尔纳内斯.                   53'下半时开始8分钟，乔治胸部停球，坎帕尼亚罗将其踢倒吃到黄牌，伦泽蒂开出任意球，无人盯防的马里伦戈头球高出
63'国际米兰球员科瓦契奇大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是埃尔纳内斯.                   63'第63分钟，埃尔纳内斯分球，科瓦契奇右路趟球距门20米处射门偏出近门柱
64'切塞纳换人,阿尔梅达换下久里奇                   63'第63分钟，埃尔纳内斯分球，科瓦契奇右路趟球距门20米处射门偏出近门柱
65'国际米兰球员伊卡尔迪一脚直塞球给帕拉西奥,但是边裁举旗显示后者已经越位.                   63'第63分钟，埃尔纳内斯分球，科瓦契奇右路趟球距门20米处射门偏出近门柱
66'Francesco Renzetti为切塞纳赢得一个任意球.                   63'第63分钟，埃尔纳内斯分球，科瓦契奇右路趟球距门20米处射门偏出近门柱
66'国际米兰球员奥比拼抢犯规,对手获得控球权.                   63'第63分钟，埃尔纳内斯分球，科瓦契奇右路趟球距门20米处射门偏出近门柱
71'射门!!!切塞纳球员卡希奥尼球门右侧小角度右脚射门,被对方守门员横身扑出.                   71'第71分钟，阿尔梅达没有争到左路传中，但卡肖内右侧小角度凌空射门被汉达诺维奇单手封出
72'切塞纳球员卢基尼一脚直塞球给阿尔梅达,但是边裁举旗显示后者已经越位.                   71'第71分钟，阿尔梅达没有争到左路传中，但卡肖内右侧小角度凌空射门被汉达诺维奇单手封出
73'国际米兰球员姆巴耶大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是伊卡尔迪.                   71'第71分钟，阿尔梅达没有争到左路传中，但卡肖内右侧小角度凌空射门被汉达诺维奇单手封出
74'切塞纳球员乔尔吉大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是马里伦戈.                   71'第71分钟，阿尔梅达没有争到左路传中，但卡肖内右侧小角度凌空射门被汉达诺维奇单手封出
74'切塞纳球员卡希奥尼拼抢犯规,对手获得控球权.                   71'第71分钟，阿尔梅达没有争到左路传中，但卡肖内右侧小角度凌空射门被汉达诺维奇单手封出
74'科瓦契奇为国际米兰赢得一个任意球.                   71'第71分钟，阿尔梅达没有争到左路传中，但卡肖内右侧小角度凌空射门被汉达诺维奇单手封出
79'射门!!!国际米兰球员帕拉西奥大禁区中央左脚射门,被对方守门员横身扑出.给他传球的是科瓦契奇.                   79'第79分钟，科瓦契奇直传，帕拉西奥停球转身距门14米处左脚凌空射门，但角度太正被阿利亚尔迪得到
79'射门!!!国际米兰球员埃尔纳内斯大禁区外右脚射门,被对方守门员横身扑出.给他传球的是梅德尔.                   79'第79分钟，科瓦契奇直传，帕拉西奥停球转身距门14米处左脚凌空射门，但角度太正被阿利亚尔迪得到
79'国际米兰球员伊卡尔迪大禁区中央尝试右脚射门,可惜皮球高出球门.                   79'第79分钟，科瓦契奇直传，帕拉西奥停球转身距门14米处左脚凌空射门，但角度太正被阿利亚尔迪得到
81'国际米兰球员埃尔纳内斯一脚直塞球给多多,但是边裁举旗显示后者已经越位.                   79'第79分钟，科瓦契奇直传，帕拉西奥停球转身距门14米处左脚凌空射门，但角度太正被阿利亚尔迪得到
85'国际米兰球员埃尔纳内斯一脚直塞球给坎帕尼亚罗,但是边裁举旗显示后者已经越位.                   85'第85分钟，埃尔纳内斯开出任意球，坎帕尼亚罗前点伸腿挡进门内，但明显越位
86'切塞纳球员拼抢犯规,对手获得控球权.                   85'第85分钟，埃尔纳内斯开出任意球，坎帕尼亚罗前点伸腿挡进门内，但明显越位
86'为国际米兰赢得一个任意球.                   85'第85分钟，埃尔纳内斯开出任意球，坎帕尼亚罗前点伸腿挡进门内，但明显越位
86'切塞纳球员A-罗德里格斯被主裁判出示了一张黄牌.                   85'第85分钟，埃尔纳内斯开出任意球，坎帕尼亚罗前点伸腿挡进门内，但明显越位
87'国际米兰球员科瓦契奇大禁区外尝试右脚射门,可惜皮球高出右上角球门.给他传球的是帕拉西奥.                   85'第85分钟，埃尔纳内斯开出任意球，坎帕尼亚罗前点伸腿挡进门内，但明显越位
