3'切沃球员瓜纳拼抢犯规,对手获得控球权.                   3'开场3分钟，瓜纳铲倒阿萨莫阿，被黄牌警告
24'尤文图斯球员洛伦特手球犯规,对手获得球权.                   23'第23分钟，略伦特回抢推倒瓜纳，被黄牌警告
25'尤文图斯球员乔文科大禁区外右脚射门,被防守球员封堵.给他传球的是阿萨莫阿.                   23'第23分钟，略伦特回抢推倒瓜纳，被黄牌警告
29'射门!!!尤文图斯球员皮尔洛大禁区外右脚射门,被对方守门员横身扑出.                   29'第29分钟，尼古拉-弗雷背后侵犯比达尔，被出示黄牌，皮尔洛在门前32米处主罚任意球，在门将面前反弹造成阿加齐脱手，马尔基西奥左侧跟进补射得手，2比0，这是尤文本赛季上半时第18球，排名意甲首位
29'进球啦！！！尤文图斯球员马尔基西奥球门线跟前右脚射门,球从中路飞进球门,球进了! 尤文图斯 2-0 切沃.                   29'第29分钟，尼古拉-弗雷背后侵犯比达尔，被出示黄牌，皮尔洛在门前32米处主罚任意球，在门将面前反弹造成阿加齐脱手，马尔基西奥左侧跟进补射得手，2比0，这是尤文本赛季上半时第18球，排名意甲首位
31'卡尼尼为切沃赢得一个任意球.                   29'第29分钟，尼古拉-弗雷背后侵犯比达尔，被出示黄牌，皮尔洛在门前32米处主罚任意球，在门将面前反弹造成阿加齐脱手，马尔基西奥左侧跟进补射得手，2比0，这是尤文本赛季上半时第18球，排名意甲首位
31'尤文图斯球员乔文科拼抢犯规,对手获得控球权.                   29'第29分钟，尼古拉-弗雷背后侵犯比达尔，被出示黄牌，皮尔洛在门前32米处主罚任意球，在门将面前反弹造成阿加齐脱手，马尔基西奥左侧跟进补射得手，2比0，这是尤文本赛季上半时第18球，排名意甲首位
40'尤文图斯球员比达尔大禁区外尝试右脚射门,可惜皮球偏出球门.给他传球的是皮尔洛.                   40'第40分钟，比达尔在门前28米处抽射偏出左门角
41'哈特马吉为切沃在对方半场,赢得一个任意球.                   40'第40分钟，比达尔在门前28米处抽射偏出左门角
41'尤文图斯球员比达尔拼抢犯规,对手获得控球权.                   40'第40分钟，比达尔在门前28米处抽射偏出左门角
43'泰罗为切沃赢得一个任意球.                   40'第40分钟，比达尔在门前28米处抽射偏出左门角
43'尤文图斯球员奥邦纳拼抢犯规,对手获得控球权.                   40'第40分钟，比达尔在门前28米处抽射偏出左门角
43'切沃球员泰罗拼抢犯规,对手获得控球权.                   40'第40分钟，比达尔在门前28米处抽射偏出左门角
43'奥邦纳为尤文图斯赢得一个任意球.                   40'第40分钟，比达尔在门前28米处抽射偏出左门角
49'切沃球员瓜纳拼抢犯规,对手获得控球权.                   49'第49分钟，皮尔洛左侧开出任意球，佩利西耶头球解围险些自摆乌龙，球堪堪偏出远门柱
49'奥邦纳为尤文图斯在左路,赢得一个任意球.                   49'第49分钟，皮尔洛左侧开出任意球，佩利西耶头球解围险些自摆乌龙，球堪堪偏出远门柱
50'泰罗将球处理出底线,尤文图斯获得角球.                   49'第49分钟，皮尔洛左侧开出任意球，佩利西耶头球解围险些自摆乌龙，球堪堪偏出远门柱
50'尤文图斯球员洛伦特大禁区中央尝试头球,可惜皮球高出球门.给他传球的是皮尔洛.                   49'第49分钟，皮尔洛左侧开出任意球，佩利西耶头球解围险些自摆乌龙，球堪堪偏出远门柱
51'尤文图斯球员卡塞雷斯自摆乌龙,尤文图斯 2-1 切沃                   49'第49分钟，皮尔洛左侧开出任意球，佩利西耶头球解围险些自摆乌龙，球堪堪偏出远门柱
57'切沃球员萨尔多拼抢犯规,对手获得控球权.                   57'第57分钟，皮尔洛左路任意球被阿加齐飞身封出近角，他左侧开出角球，略伦特在门前5米处没有起跳头球破门，3比1，狮王本赛季意甲第6次头球破门，超过托尼独居首位
57'乔文科为尤文图斯在左路,赢得一个任意球.                   57'第57分钟，皮尔洛左路任意球被阿加齐飞身封出近角，他左侧开出角球，略伦特在门前5米处没有起跳头球破门，3比1，狮王本赛季意甲第6次头球破门，超过托尼独居首位
57'尤文图斯球员皮尔洛直接任意球尝试右脚射门,可惜皮球稍稍偏出了左球门.                   57'第57分钟，皮尔洛左路任意球被阿加齐飞身封出近角，他左侧开出角球，略伦特在门前5米处没有起跳头球破门，3比1，狮王本赛季意甲第6次头球破门，超过托尼独居首位
57'阿加齐将球处理出底线,尤文图斯获得角球.                   57'第57分钟，皮尔洛左路任意球被阿加齐飞身封出近角，他左侧开出角球，略伦特在门前5米处没有起跳头球破门，3比1，狮王本赛季意甲第6次头球破门，超过托尼独居首位
58'进球啦！！！尤文图斯球员洛伦特球门线跟前头球,球从左下角飞进球门,球进了!助攻的是皮尔洛. 尤文图斯 3-1 切沃.                   57'第57分钟，皮尔洛左路任意球被阿加齐飞身封出近角，他左侧开出角球，略伦特在门前5米处没有起跳头球破门，3比1，狮王本赛季意甲第6次头球破门，超过托尼独居首位
66'尤文图斯球员乔文科大禁区左侧尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是马尔基西奥.                   66'　　第66分钟，乔文科突入禁区左侧距门15米处左脚抽射击中边网
68'切沃球员瓜纳大禁区中央头球,被防守球员封堵.给他传球的是鲁宾.                   66'　　第66分钟，乔文科突入禁区左侧距门15米处左脚抽射击中边网
68'博努奇将球处理出底线,切沃获得角球.                   66'　　第66分钟，乔文科突入禁区左侧距门15米处左脚抽射击中边网
69'鲁宾将球处理出底线,尤文图斯获得角球.                   66'　　第66分钟，乔文科突入禁区左侧距门15米处左脚抽射击中边网
85'尤文图斯换人,帕多因换下比达尔                   85'第85分钟，帕多因换下比达尔
86'切沃球员哈特马吉拼抢犯规,对手获得控球权.                   85'第85分钟，帕多因换下比达尔
86'特维斯为尤文图斯在对方半场,赢得一个任意球.                   85'第85分钟，帕多因换下比达尔
88'射门!!!尤文图斯球员马尔基西奥大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是皮尔洛.                   85'第85分钟，帕多因换下比达尔
88'阿加齐将球处理出底线,尤文图斯获得角球.                   85'第85分钟，帕多因换下比达尔
