5'博鲁茨将球处理出底线,曼联获得角球.                   5'第5分钟，鲁尼开出角球，斯莫林头球偏出
31'曼联球员范佩西大禁区左侧尝试左脚射门,可惜皮球偏出球门.给他传球的是香川慎司.                   31'第31分钟，鲁尼右侧低传，香川真司禁区弧顶转身分到左侧，范佩西在门前12米处左脚抽射高出
34'南安普敦球员J-罗德里格斯大禁区外右脚射门,被防守球员封堵.                   31'第31分钟，鲁尼右侧低传，香川真司禁区弧顶转身分到左侧，范佩西在门前12米处左脚抽射高出
34'安德森将球处理出底线,南安普敦获得角球.                   31'第31分钟，鲁尼右侧低传，香川真司禁区弧顶转身分到左侧，范佩西在门前12米处左脚抽射高出
34'南安普敦球员兰伯特大禁区左侧尝试头球,可惜皮球高出球门.给他传球的是斯内德林.                   31'第31分钟，鲁尼右侧低传，香川真司禁区弧顶转身分到左侧，范佩西在门前12米处左脚抽射高出
44'南安普敦球员克莱恩拼抢犯规,对手获得控球权.                   44'第44分钟，施耐德林丢球后拦腰抱住琼斯，被黄牌警告
44'香川慎司为曼联在左路,赢得一个任意球.                   44'第44分钟，施耐德林丢球后拦腰抱住琼斯，被黄牌警告
45'南安普敦球员斯内德林拼抢犯规,对手获得控球权.                   44'第44分钟，施耐德林丢球后拦腰抱住琼斯，被黄牌警告
45'菲尔-琼斯为曼联在右路,赢得一个任意球.                   44'第44分钟，施耐德林丢球后拦腰抱住琼斯，被黄牌警告
45'黄牌！南安普敦球员斯内德林因为恶意犯规,被主裁判出示黄牌.                   44'第44分钟，施耐德林丢球后拦腰抱住琼斯，被黄牌警告
45'+3'上半场结束,曼联 2-1 南安普敦,稍事休息,我们一会来看看下半场两队的表现.                   44'第44分钟，施耐德林丢球后拦腰抱住琼斯，被黄牌警告
45'南安普敦换人,拉拉纳换下拉米雷斯                   44'第44分钟，施耐德林丢球后拦腰抱住琼斯，被黄牌警告
45'南安普敦换人,S-戴维斯换下邦臣                   44'第44分钟，施耐德林丢球后拦腰抱住琼斯，被黄牌警告
49'南安普敦球员J-罗德里格斯大禁区外右脚射门,被防守球员封堵.给他传球的是柯克.                   49'第49分钟，兰伯特外围打门被德赫亚得到
49'射门!!!南安普敦球员兰伯特大禁区外右脚射门,被对方守门员横身扑出.                   49'第49分钟，兰伯特外围打门被德赫亚得到
50'曼联球员菲尔-琼斯一脚直塞球给范佩西,但是边裁举旗显示后者已经越位.                   49'第49分钟，兰伯特外围打门被德赫亚得到
51'南安普敦球员J-罗德里格斯拼抢犯规,对手获得控球权.                   49'第49分钟，兰伯特外围打门被德赫亚得到
51'埃弗拉为曼联赢得一个任意球.                   49'第49分钟，兰伯特外围打门被德赫亚得到
58'埃弗拉将球处理出底线,南安普敦获得角球.                   58'第58分钟，南安普顿右路传中被顶出，史蒂文-戴维斯在门前22米处左脚抽射偏出右门柱
59'南安普敦球员S-戴维斯大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.                   58'第58分钟，南安普顿右路传中被顶出，史蒂文-戴维斯在门前22米处左脚抽射偏出右门柱
60'拉拉纳为南安普敦在对方半场,赢得一个任意球.                   58'第58分钟，南安普顿右路传中被顶出，史蒂文-戴维斯在门前22米处左脚抽射偏出右门柱
60'曼联球员卡里克拼抢犯规,对手获得控球权.                   58'第58分钟，南安普顿右路传中被顶出，史蒂文-戴维斯在门前22米处左脚抽射偏出右门柱
61'射门!!!南安普敦球员兰伯特大禁区外右脚射门,被对方守门员横身扑出.                   58'第58分钟，南安普顿右路传中被顶出，史蒂文-戴维斯在门前22米处左脚抽射偏出右门柱
61'南安普敦球员斯内德林大禁区外右脚射门,被防守球员封堵.给他传球的是S-戴维斯.                   58'第58分钟，南安普顿右路传中被顶出，史蒂文-戴维斯在门前22米处左脚抽射偏出右门柱
61'卡里克将球处理出底线,南安普敦获得角球.                   58'第58分钟，南安普顿右路传中被顶出，史蒂文-戴维斯在门前22米处左脚抽射偏出右门柱
62'南安普敦球员S-戴维斯大禁区中央尝试头球,可惜皮球稍稍高出球门.                   62'第62分钟，史蒂文-戴维斯门前争顶高出
63'南安普敦球员克莱恩拼抢犯规,对手获得控球权.                   62'第62分钟，史蒂文-戴维斯门前争顶高出
63'埃弗拉为曼联赢得一个任意球.                   62'第62分钟，史蒂文-戴维斯门前争顶高出
63'曼联换人,费迪南德换下斯莫林                   62'第62分钟，史蒂文-戴维斯门前争顶高出
71'射门!!!曼联球员鲁尼大禁区左侧右脚射门,被对方守门员横身扑出.给他传球的是范佩西.                   71'第71分钟，范佩西传球，鲁尼禁区左侧射门被博努茨化解
72'费迪南德将球处理出底线,南安普敦获得角球.                   71'第71分钟，范佩西传球，鲁尼禁区左侧射门被博努茨化解
73'曼联换人,纳尼换下香川慎司                   71'第71分钟，范佩西传球，鲁尼禁区左侧射门被博努茨化解
75'射门!!!曼联球员范佩西球门线跟前头球,被对方守门员横身扑出.给他传球的是纳尼.                   75'第75分钟，纳尼起球到禁区左侧，范佩西在门前2米处头球被博努茨不可思议地封出，随后鲁尼左路右脚外脚背传中，范佩西前点顶进，但被判越位在先
75'曼联球员鲁尼一脚直塞球给范佩西,但是边裁举旗显示后者已经越位.                   75'第75分钟，纳尼起球到禁区左侧，范佩西在门前2米处头球被博努茨不可思议地封出，随后鲁尼左路右脚外脚背传中，范佩西前点顶进，但被判越位在先
76'曼联球员维迪奇拼抢犯规,对手获得控球权.                   75'第75分钟，纳尼起球到禁区左侧，范佩西在门前2米处头球被博努茨不可思议地封出，随后鲁尼左路右脚外脚背传中，范佩西前点顶进，但被判越位在先
76'J-罗德里格斯为南安普敦在对方半场,赢得一个任意球.                   75'第75分钟，纳尼起球到禁区左侧，范佩西在门前2米处头球被博努茨不可思议地封出，随后鲁尼左路右脚外脚背传中，范佩西前点顶进，但被判越位在先
76'黄牌！曼联球员维迪奇因为恶意犯规,被主裁判出示黄牌.                   75'第75分钟，纳尼起球到禁区左侧，范佩西在门前2米处头球被博努茨不可思议地封出，随后鲁尼左路右脚外脚背传中，范佩西前点顶进，但被判越位在先
77'射门!!!南安普敦球员兰伯特大禁区外右脚射门,被对方守门员横身扑出.                   75'第75分钟，纳尼起球到禁区左侧，范佩西在门前2米处头球被博努茨不可思议地封出，随后鲁尼左路右脚外脚背传中，范佩西前点顶进，但被判越位在先
78'南安普敦换人,肖换下福克斯                   75'第75分钟，纳尼起球到禁区左侧，范佩西在门前2米处头球被博努茨不可思议地封出，随后鲁尼左路右脚外脚背传中，范佩西前点顶进，但被判越位在先
