3'广州富力队左路长传进攻                   3'开场3分钟，贵州人和错失得分机会
38'米西莫维奇前场右路得球，外围远射没有威胁，没打上力量啊，象是传球                   35'第35分钟，阿隆边路拿球内切后突然一脚远射，张烈站位较好将球没收
38'萨利霍维奇后场得球，奥拉纳尔上抢犯规                   35'第35分钟，阿隆边路拿球内切后突然一脚远射，张烈站位较好将球没收
38'步行者啊！双方打得有气无力                   35'第35分钟，阿隆边路拿球内切后突然一脚远射，张烈站位较好将球没收
44'广州富力队右路长传球到前场，再横传到左路，交给姜宁                   44'第44分钟，贵州人和进攻越位，但是冯仁亮在鸣哨后仍射门，主裁判向其出示黄牌警告
44'姜宁再传到右路，三传两倒，丢啦                   44'第44分钟，贵州人和进攻越位，但是冯仁亮在鸣哨后仍射门，主裁判向其出示黄牌警告
44'上半场要补时 2 分钟                   44'第44分钟，贵州人和进攻越位，但是冯仁亮在鸣哨后仍射门，主裁判向其出示黄牌警告
45'中前场姜宁得球直传，博基拉漏球                   44'第44分钟，贵州人和进攻越位，但是冯仁亮在鸣哨后仍射门，主裁判向其出示黄牌警告
45'前广州富力队断球，右路直传，张远越位                   44'第44分钟，贵州人和进攻越位，但是冯仁亮在鸣哨后仍射门，主裁判向其出示黄牌警告
46'双方你来我往，踢得非常友好！                   44'第44分钟，贵州人和进攻越位，但是冯仁亮在鸣哨后仍射门，主裁判向其出示黄牌警告
46'贵州人和队左路小范围传球配合，横传禁区被破坏出底线                   44'第44分钟，贵州人和进攻越位，但是冯仁亮在鸣哨后仍射门，主裁判向其出示黄牌警告
46'角球没给，主裁判哨响                   44'第44分钟，贵州人和进攻越位，但是冯仁亮在鸣哨后仍射门，主裁判向其出示黄牌警告
46'上半场比赛结束，双方都没能进球，战成0-0                   44'第44分钟，贵州人和进攻越位，但是冯仁亮在鸣哨后仍射门，主裁判向其出示黄牌警告
46'下半场比赛开始                   44'第44分钟，贵州人和进攻越位，但是冯仁亮在鸣哨后仍射门，主裁判向其出示黄牌警告
46'贵州人和队中圈发球，转移到右路进攻                   44'第44分钟，贵州人和进攻越位，但是冯仁亮在鸣哨后仍射门，主裁判向其出示黄牌警告
46'后场贵州人和队大脚长传，对方把球断下来                   44'第44分钟，贵州人和进攻越位，但是冯仁亮在鸣哨后仍射门，主裁判向其出示黄牌警告
46'贵州人和队换了一名队员，于睿上场换下张成林                   44'第44分钟，贵州人和进攻越位，但是冯仁亮在鸣哨后仍射门，主裁判向其出示黄牌警告
47'富力右路下底突破横传，饶伟辉把球挡出底线                   44'第44分钟，贵州人和进攻越位，但是冯仁亮在鸣哨后仍射门，主裁判向其出示黄牌警告
47'汪嵩发角球到禁区内后点，对方抢点头球解围                   44'第44分钟，贵州人和进攻越位，但是冯仁亮在鸣哨后仍射门，主裁判向其出示黄牌警告
52'王刚无法坚持了，换上了向汉天                   52'第52分钟，贵州人和再损一将，王刚腹股沟拉伤无法坚持比赛，小将向汉天将其换下
53'中场双方争顶出边线！桑托斯与对方相撞，双方倒在地上                   52'第52分钟，贵州人和再损一将，王刚腹股沟拉伤无法坚持比赛，小将向汉天将其换下
54'桑托斯与姜宁有身体接触，判了桑托斯的犯规                   52'第52分钟，贵州人和再损一将，王刚腹股沟拉伤无法坚持比赛，小将向汉天将其换下
54'汪嵩前场得球，大范围转移到左路                   52'第52分钟，贵州人和再损一将，王刚腹股沟拉伤无法坚持比赛，小将向汉天将其换下
55'广州富力队左路横传，球到另一侧，博基拉控球                   52'第52分钟，贵州人和再损一将，王刚腹股沟拉伤无法坚持比赛，小将向汉天将其换下
55'汪嵩长传球到禁区内，插上队员打门，皮球又击中立柱！！                   52'第52分钟，贵州人和再损一将，王刚腹股沟拉伤无法坚持比赛，小将向汉天将其换下
55'今天立柱就是与贵州人和队过不去！                   52'第52分钟，贵州人和再损一将，王刚腹股沟拉伤无法坚持比赛，小将向汉天将其换下
56'这次也与广州富力队作对啦！                   56'第56分钟，饶伟辉放倒常飞亚，吃到本队第二张黄牌
56'萨利霍维奇长传球，米西莫维奇接球转移到右路                   56'第56分钟，饶伟辉放倒常飞亚，吃到本队第二张黄牌
57'常飞亚右路强突进攻，饶伟辉铲抢犯规，黄牌                   56'第56分钟，饶伟辉放倒常飞亚，吃到本队第二张黄牌
57'任意球发到禁区内，对方头球顶出来                   56'第56分钟，饶伟辉放倒常飞亚，吃到本队第二张黄牌
57'广州富力队再传禁区，张烈没收                   56'第56分钟，饶伟辉放倒常飞亚，吃到本队第二张黄牌
58'贵州人和队左路攻到前场，横传到右路                   56'第56分钟，饶伟辉放倒常飞亚，吃到本队第二张黄牌
59'贵州人和队攻到前场，外围打门被破坏出底线                   56'第56分钟，饶伟辉放倒常飞亚，吃到本队第二张黄牌
65'张贤秀突破被萨利霍维奇放倒在地，张贤秀站起来把球踢到了萨利霍维奇身上！                   65'第65分钟，双方差点发生冲突，萨利霍维奇放倒张贤秀，后者开球报复性踢在萨利霍维奇身上，米西莫维奇马上冲上前去为兄弟讨要说法，结果双方冲突，主裁判马宁向萨利霍维奇和张贤秀分别出示黄牌警告
65'主裁判出黄牌，各打五十大板                   65'第65分钟，双方差点发生冲突，萨利霍维奇放倒张贤秀，后者开球报复性踢在萨利霍维奇身上，米西莫维奇马上冲上前去为兄弟讨要说法，结果双方冲突，主裁判马宁向萨利霍维奇和张贤秀分别出示黄牌警告
66'广州富力队左路进攻，逼得角球机会                   65'第65分钟，双方差点发生冲突，萨利霍维奇放倒张贤秀，后者开球报复性踢在萨利霍维奇身上，米西莫维奇马上冲上前去为兄弟讨要说法，结果双方冲突，主裁判马宁向萨利霍维奇和张贤秀分别出示黄牌警告
66'角球发到禁区内，于洋抢点打门出底线                   65'第65分钟，双方差点发生冲突，萨利霍维奇放倒张贤秀，后者开球报复性踢在萨利霍维奇身上，米西莫维奇马上冲上前去为兄弟讨要说法，结果双方冲突，主裁判马宁向萨利霍维奇和张贤秀分别出示黄牌警告
68'贵州人和队直传球，向汉天横传球，桑托斯推射偏出                   65'第65分钟，双方差点发生冲突，萨利霍维奇放倒张贤秀，后者开球报复性踢在萨利霍维奇身上，米西莫维奇马上冲上前去为兄弟讨要说法，结果双方冲突，主裁判马宁向萨利霍维奇和张贤秀分别出示黄牌警告
68'没有赶上步子啊                   65'第65分钟，双方差点发生冲突，萨利霍维奇放倒张贤秀，后者开球报复性踢在萨利霍维奇身上，米西莫维奇马上冲上前去为兄弟讨要说法，结果双方冲突，主裁判马宁向萨利霍维奇和张贤秀分别出示黄牌警告
70'常飞亚右路强突，饶伟辉把球破坏出底线                   70'第70分钟，广州富力扳平比分
70'广州富力队前场界外球                   70'第70分钟，广州富力扳平比分
70'界外球发出来，张远突破下底横传，对方破坏                   70'第70分钟，广州富力扳平比分
71'广州富力队进球啦！奥拉纳尔，1-1                   70'第70分钟，广州富力扳平比分
71'张远右路横传，对方解围不远，广州富力队再传球，奥拉纳尔在大禁区线上侧身打门球进！                   70'第70分钟，广州富力扳平比分
71'双方又回到同一起跑线上                   70'第70分钟，广州富力扳平比分
71'贵州人和队攻到前场，传禁区被破坏出来                   70'第70分钟，广州富力扳平比分
72'广州富力队左路攻到前场，对方把球抢断下来                   70'第70分钟，广州富力扳平比分
73'冯仁亮中场接应，常飞亚铲球犯规！吃到黄牌                   70'第70分钟，广州富力扳平比分
73'冯仁亮左路强突下底，横传球被挡出底线                   70'第70分钟，广州富力扳平比分
73'贵州人和队得到角球机会                   70'第70分钟，广州富力扳平比分
75'广州富力队换人：23号卢琳上场换下7号姜宁                   75'第75分钟，广州富力再入一球反超比分
76'角球发到禁区内，对方解围出来                   75'第75分钟，广州富力再入一球反超比分
76'广州富力队又进球啦！奥拉纳尔！2-1                   75'第75分钟，广州富力再入一球反超比分
77'张远在前场得球分到右路，常飞亚斜传禁区，奥拉纳尔头球顶门，皮球应声入网！                   75'第75分钟，广州富力再入一球反超比分
78'贵州人和队传球到禁区内，史亮头球顶门偏出，                   75'第75分钟，广州富力再入一球反超比分
77'张远在前场得球分到右路，常飞亚斜传禁区，奥拉纳尔头球顶门，皮球应声入网！                   77'第77分钟，张耀坤头球解围失误，史亮头球顶远角，皮球稍稍偏出远端立柱
78'贵州人和队传球到禁区内，史亮头球顶门偏出，                   77'第77分钟，张耀坤头球解围失误，史亮头球顶远角，皮球稍稍偏出远端立柱
79'广州富力队换人：李岩上场换下博基拉                   77'第77分钟，张耀坤头球解围失误，史亮头球顶远角，皮球稍稍偏出远端立柱
79'换上李岩，广州富力队要加强防守                   77'第77分钟，张耀坤头球解围失误，史亮头球顶远角，皮球稍稍偏出远端立柱
79'汪嵩的位置向前顶了一下                   77'第77分钟，张耀坤头球解围失误，史亮头球顶远角，皮球稍稍偏出远端立柱
80'前场广州富力队断球，左路横传门前，对方头球解围                   77'第77分钟，张耀坤头球解围失误，史亮头球顶远角，皮球稍稍偏出远端立柱
80'贵州人和队反击，速度不够啊                   77'第77分钟，张耀坤头球解围失误，史亮头球顶远角，皮球稍稍偏出远端立柱
80'米西莫维奇左路传球，力量小了，被断                   77'第77分钟，张耀坤头球解围失误，史亮头球顶远角，皮球稍稍偏出远端立柱
91'贵州人和队强突，造成对方犯规                   91'第91分钟，张烈传球失误，阿隆晃过于睿后形成单刀，但是刘洋快速回防将球挡出底线
91'再得到任意球机会                   91'第91分钟，张烈传球失误，阿隆晃过于睿后形成单刀，但是刘洋快速回防将球挡出底线
91'任意球发到禁区内，对方顶出来                   91'第91分钟，张烈传球失误，阿隆晃过于睿后形成单刀，但是刘洋快速回防将球挡出底线
91'广州富力队长传反击，对方把球控下来                   91'第91分钟，张烈传球失误，阿隆晃过于睿后形成单刀，但是刘洋快速回防将球挡出底线
91'贵州人和队右路斜传禁区，对方解围出来                   91'第91分钟，张烈传球失误，阿隆晃过于睿后形成单刀，但是刘洋快速回防将球挡出底线
91'刚才是广州富力队右路斜传球，对方解围                   91'第91分钟，张烈传球失误，阿隆晃过于睿后形成单刀，但是刘洋快速回防将球挡出底线
92'贵州人和队有人抽筋啦！坐在禁区内！                   91'第91分钟，张烈传球失误，阿隆晃过于睿后形成单刀，但是刘洋快速回防将球挡出底线
92'下半场要补时 4 分钟                   91'第91分钟，张烈传球失误，阿隆晃过于睿后形成单刀，但是刘洋快速回防将球挡出底线
92'贵州人和队长传球过中场，对方抢断长传反击                   91'第91分钟，张烈传球失误，阿隆晃过于睿后形成单刀，但是刘洋快速回防将球挡出底线
92'奥拉纳尔前场接球突破到禁区内，张烈出击啦！差一点帽子戏法！                   91'第91分钟，张烈传球失误，阿隆晃过于睿后形成单刀，但是刘洋快速回防将球挡出底线
93'张贤秀禁区内接球一脚劲射！！张烈奋力把球扑出！                   91'第91分钟，张烈传球失误，阿隆晃过于睿后形成单刀，但是刘洋快速回防将球挡出底线
93'广州富力队角球机会                   91'第91分钟，张烈传球失误，阿隆晃过于睿后形成单刀，但是刘洋快速回防将球挡出底线
94'角球发到禁区内，对方破坏出来！李岩外围劲射！！张烈奋力托出！                   91'第91分钟，张烈传球失误，阿隆晃过于睿后形成单刀，但是刘洋快速回防将球挡出底线
