4'穆里略斜传，，右侧再给维佐                   4'开场4分钟，瓦斯开出角球，加夫列尔头球偏出
11'斜传找前面的C罗                   11'尤文第11分钟错过机会，贝尔纳代斯基左路起球，C罗后点凌空打出弹地球，曼朱基奇中路距门7米处凌空勾射高出
11'C罗自己内切，，，右脚远射，，，被后卫挡出底线                   11'尤文第11分钟错过机会，贝尔纳代斯基左路起球，C罗后点凌空打出弹地球，曼朱基奇中路距门7米处凌空勾射高出
12'左侧尤文角球                   11'尤文第11分钟错过机会，贝尔纳代斯基左路起球，C罗后点凌空打出弹地球，曼朱基奇中路距门7米处凌空勾射高出
12'贝纳德斯基主罚，，开起来                   11'尤文第11分钟错过机会，贝尔纳代斯基左路起球，C罗后点凌空打出弹地球，曼朱基奇中路距门7米处凌空勾射高出
12'送到小禁区内，，穆里略解围                   11'尤文第11分钟错过机会，贝尔纳代斯基左路起球，C罗后点凌空打出弹地球，曼朱基奇中路距门7米处凌空勾射高出
12'后场马图伊迪，回敲门将，，，再给基耶利尼                   11'尤文第11分钟错过机会，贝尔纳代斯基左路起球，C罗后点凌空打出弹地球，曼朱基奇中路距门7米处凌空勾射高出
12'斜传右路坎塞洛，再给身后博努奇                   11'尤文第11分钟错过机会，贝尔纳代斯基左路起球，C罗后点凌空打出弹地球，曼朱基奇中路距门7米处凌空勾射高出
12'横敲基耶利尼，，再给门将                   11'尤文第11分钟错过机会，贝尔纳代斯基左路起球，C罗后点凌空打出弹地球，曼朱基奇中路距门7米处凌空勾射高出
12'皮亚尼奇回撤组织                   11'尤文第11分钟错过机会，贝尔纳代斯基左路起球，C罗后点凌空打出弹地球，曼朱基奇中路距门7米处凌空勾射高出
13'分左路贝纳德斯基，，左脚半高球传中                   11'尤文第11分钟错过机会，贝尔纳代斯基左路起球，C罗后点凌空打出弹地球，曼朱基奇中路距门7米处凌空勾射高出
13'禁区右侧C罗在垫到门前                   11'尤文第11分钟错过机会，贝尔纳代斯基左路起球，C罗后点凌空打出弹地球，曼朱基奇中路距门7米处凌空勾射高出
13'曼祖门前跟上，，包抄，，打偏了                   11'尤文第11分钟错过机会，贝尔纳代斯基左路起球，C罗后点凌空打出弹地球，曼朱基奇中路距门7米处凌空勾射高出
13'左侧加亚拿球推进                   11'尤文第11分钟错过机会，贝尔纳代斯基左路起球，C罗后点凌空打出弹地球，曼朱基奇中路距门7米处凌空勾射高出
14'回敲加布里埃尔，短传向前                   11'尤文第11分钟错过机会，贝尔纳代斯基左路起球，C罗后点凌空打出弹地球，曼朱基奇中路距门7米处凌空勾射高出
14'马图伊迪把球拦截                   11'尤文第11分钟错过机会，贝尔纳代斯基左路起球，C罗后点凌空打出弹地球，曼朱基奇中路距门7米处凌空勾射高出
14'长传向前，，，大禁区左侧，，C罗把球卸下                   11'尤文第11分钟错过机会，贝尔纳代斯基左路起球，C罗后点凌空打出弹地球，曼朱基奇中路距门7米处凌空勾射高出
14'停大了，，出了底线                   11'尤文第11分钟错过机会，贝尔纳代斯基左路起球，C罗后点凌空打出弹地球，曼朱基奇中路距门7米处凌空勾射高出
14'内托大脚开起来                   11'尤文第11分钟错过机会，贝尔纳代斯基左路起球，C罗后点凌空打出弹地球，曼朱基奇中路距门7米处凌空勾射高出
14'中圈附近， 马图伊迪头球                   11'尤文第11分钟错过机会，贝尔纳代斯基左路起球，C罗后点凌空打出弹地球，曼朱基奇中路距门7米处凌空勾射高出
14'左侧瓦斯拿到第二点                   11'尤文第11分钟错过机会，贝尔纳代斯基左路起球，C罗后点凌空打出弹地球，曼朱基奇中路距门7米处凌空勾射高出
14'回敲穆里略，，斜长传送出来                   11'尤文第11分钟错过机会，贝尔纳代斯基左路起球，C罗后点凌空打出弹地球，曼朱基奇中路距门7米处凌空勾射高出
29'短传给到詹，斜传左路桑德罗                   29'尤文第29分钟突遭变故，C罗在禁区内接应左路传中，争抢身位的穆里略与其接触倒地，C罗似乎认为穆里略假摔，用手轻推了穆里略头部，主裁判征询助理裁判意见后掏出红牌
29'往前推进，，，索莱尔，，滑铲破坏                   29'尤文第29分钟突遭变故，C罗在禁区内接应左路传中，争抢身位的穆里略与其接触倒地，C罗似乎认为穆里略假摔，用手轻推了穆里略头部，主裁判征询助理裁判意见后掏出红牌
29'左侧尤文边线球，，给到禁区                   29'尤文第29分钟突遭变故，C罗在禁区内接应左路传中，争抢身位的穆里略与其接触倒地，C罗似乎认为穆里略假摔，用手轻推了穆里略头部，主裁判征询助理裁判意见后掏出红牌
29'边线球重新发，，，裁判叫停了                   29'尤文第29分钟突遭变故，C罗在禁区内接应左路传中，争抢身位的穆里略与其接触倒地，C罗似乎认为穆里略假摔，用手轻推了穆里略头部，主裁判征询助理裁判意见后掏出红牌
29'这边是禁区内的C罗和穆里略发生争执                   29'尤文第29分钟突遭变故，C罗在禁区内接应左路传中，争抢身位的穆里略与其接触倒地，C罗似乎认为穆里略假摔，用手轻推了穆里略头部，主裁判征询助理裁判意见后掏出红牌
30'C罗什么情况，，，被罚下了                   29'尤文第29分钟突遭变故，C罗在禁区内接应左路传中，争抢身位的穆里略与其接触倒地，C罗似乎认为穆里略假摔，用手轻推了穆里略头部，主裁判征询助理裁判意见后掏出红牌
30'裁判掏出红牌，，直接把C罗罚下                   29'尤文第29分钟突遭变故，C罗在禁区内接应左路传中，争抢身位的穆里略与其接触倒地，C罗似乎认为穆里略假摔，用手轻推了穆里略头部，主裁判征询助理裁判意见后掏出红牌
30'这是C罗代表尤文的第一场欧冠赛事啊                   29'尤文第29分钟突遭变故，C罗在禁区内接应左路传中，争抢身位的穆里略与其接触倒地，C罗似乎认为穆里略假摔，用手轻推了穆里略头部，主裁判征询助理裁判意见后掏出红牌
30'主裁是和边裁沟通后，做出的判罚                   29'尤文第29分钟突遭变故，C罗在禁区内接应左路传中，争抢身位的穆里略与其接触倒地，C罗似乎认为穆里略假摔，用手轻推了穆里略头部，主裁判征询助理裁判意见后掏出红牌
31'慢镜头来看，C罗禁区内无球情况撂倒了穆里略                   29'尤文第29分钟突遭变故，C罗在禁区内接应左路传中，争抢身位的穆里略与其接触倒地，C罗似乎认为穆里略假摔，用手轻推了穆里略头部，主裁判征询助理裁判意见后掏出红牌
31'随后两个人起了争执，，，，C罗显得很委屈                   29'尤文第29分钟突遭变故，C罗在禁区内接应左路传中，争抢身位的穆里略与其接触倒地，C罗似乎认为穆里略假摔，用手轻推了穆里略头部，主裁判征询助理裁判意见后掏出红牌
31'C罗眼中带泪，，频频摇头                   29'尤文第29分钟突遭变故，C罗在禁区内接应左路传中，争抢身位的穆里略与其接触倒地，C罗似乎认为穆里略假摔，用手轻推了穆里略头部，主裁判征询助理裁判意见后掏出红牌
32'尤文少打一人，而且下去的是C罗啊                   29'尤文第29分钟突遭变故，C罗在禁区内接应左路传中，争抢身位的穆里略与其接触倒地，C罗似乎认为穆里略假摔，用手轻推了穆里略头部，主裁判征询助理裁判意见后掏出红牌
32'比赛继续，桑德罗左侧界外球                   29'尤文第29分钟突遭变故，C罗在禁区内接应左路传中，争抢身位的穆里略与其接触倒地，C罗似乎认为穆里略假摔，用手轻推了穆里略头部，主裁判征询助理裁判意见后掏出红牌
32'给到皮亚尼奇，再给博努奇，，右侧给坎塞洛                   29'尤文第29分钟突遭变故，C罗在禁区内接应左路传中，争抢身位的穆里略与其接触倒地，C罗似乎认为穆里略假摔，用手轻推了穆里略头部，主裁判征询助理裁判意见后掏出红牌
32'在给身前的贝纳德斯基，，回敲基耶利尼                   29'尤文第29分钟突遭变故，C罗在禁区内接应左路传中，争抢身位的穆里略与其接触倒地，C罗似乎认为穆里略假摔，用手轻推了穆里略头部，主裁判征询助理裁判意见后掏出红牌
32'给小了，，基耶利尼把球破坏出界                   29'尤文第29分钟突遭变故，C罗在禁区内接应左路传中，争抢身位的穆里略与其接触倒地，C罗似乎认为穆里略假摔，用手轻推了穆里略头部，主裁判征询助理裁判意见后掏出红牌
32'加亚左侧界外球，给到帕雷霍                   29'尤文第29分钟突遭变故，C罗在禁区内接应左路传中，争抢身位的穆里略与其接触倒地，C罗似乎认为穆里略假摔，用手轻推了穆里略头部，主裁判征询助理裁判意见后掏出红牌
46'皮亚尼奇冷静推射球门右下角，虽然内托扑对了方向，但是皮亚尼奇这球角度罚得比较刁钻                   46'少打1人的尤文第45分钟取得领先
46'上半场补时3分钟                   46'少打1人的尤文第45分钟取得领先
46'瓦伦西亚中圈开球                   46'少打1人的尤文第45分钟取得领先
46'左侧给到加亚，再给身前格德斯                   46'少打1人的尤文第45分钟取得领先
46'推进向前，遭遇逼抢                   46'少打1人的尤文第45分钟取得领先
46'皮亚尼奇把球断下来                   46'少打1人的尤文第45分钟取得领先
47'横敲左侧桑德罗，，再给中路皮亚尼奇                   46'少打1人的尤文第45分钟取得领先
47'斜传右侧坎塞洛，，回敲基耶利尼                   46'少打1人的尤文第45分钟取得领先
47'再给左路马图伊迪                   46'少打1人的尤文第45分钟取得领先
47'回敲桑德罗，斜传右路给坎塞洛                   46'少打1人的尤文第45分钟取得领先
47'再给身后基耶利尼                   46'少打1人的尤文第45分钟取得领先
47'尤文现在不着急了，，，少打1人领先                   46'少打1人的尤文第45分钟取得领先
48'后场挑传，，索莱尔把球拦截，，詹拼抢犯规了                   46'少打1人的尤文第45分钟取得领先
48'瓦伦西亚定位球，给到左侧罗德里戈                   46'少打1人的尤文第45分钟取得领先
48'一个转身，，，半高球搓起来                   46'少打1人的尤文第45分钟取得领先
48'禁区前沿，，，索莱尔把球卸下                   46'少打1人的尤文第45分钟取得领先
48'再给中路帕雷霍，横敲格德斯                   46'少打1人的尤文第45分钟取得领先
48'过顶的直塞，，往前送，，出了底线                   46'少打1人的尤文第45分钟取得领先
49'什琴斯尼，门球开出                   46'少打1人的尤文第45分钟取得领先
49'穆里略拦截，，斜传左路                   46'少打1人的尤文第45分钟取得领先
49'加亚横敲给到瓦斯，再给到格德斯                   46'少打1人的尤文第45分钟取得领先
49'裁判哨响，上半场结束                   46'少打1人的尤文第45分钟取得领先
46'裁判哨响， 下半场开始了                   46'少打1人的尤文第45分钟取得领先
46'瓦伦西亚开球                   46'少打1人的尤文第45分钟取得领先
46'后场给到穆里略，，分左侧加亚                   46'少打1人的尤文第45分钟取得领先
46'再给身后穆里略，，，横敲右侧加布里埃尔                   46'少打1人的尤文第45分钟取得领先
46'大脚往前走                   46'少打1人的尤文第45分钟取得领先
46'右侧巴舒亚伊得球，转身回敲                   46'少打1人的尤文第45分钟取得领先
46'左侧加亚跟上，，，调整                   46'少打1人的尤文第45分钟取得领先
47'中路的外围兜射，，打高了                   46'少打1人的尤文第45分钟取得领先
47'什琴斯尼大脚开起来                   46'少打1人的尤文第45分钟取得领先
47'左侧争顶，，到了瓦伦西亚后场                   46'少打1人的尤文第45分钟取得领先
47'加布里埃尔拿球，分左侧格德斯，，短传                   46'少打1人的尤文第45分钟取得领先
47'身前给到了罗德里格，球没拿好                   46'少打1人的尤文第45分钟取得领先
47'坎塞洛回追断下来                   46'少打1人的尤文第45分钟取得领先
47'横敲，，罗德里戈直接反抢回来                   46'少打1人的尤文第45分钟取得领先
47'斜传左侧格德斯，低球直塞                   46'少打1人的尤文第45分钟取得领先
48'禁区左侧加亚跟上，，，传中                   46'少打1人的尤文第45分钟取得领先
48'中路罗德里戈的头球，被门将没收                   46'少打1人的尤文第45分钟取得领先
48'什琴斯尼大脚往前开                   46'少打1人的尤文第45分钟取得领先
48'中圈附近，，瓦斯拦截下来                   46'少打1人的尤文第45分钟取得领先
48'过顶的直塞，，大禁区前沿，，，什琴斯尼出击，，，直接解围                   46'少打1人的尤文第45分钟取得领先
48'左侧中圈拼抢，，曼祖争顶犯规                   46'少打1人的尤文第45分钟取得领先
48'瓦伦西亚定位球，给到左侧                   46'少打1人的尤文第45分钟取得领先
49'坎塞洛断下来                   46'少打1人的尤文第45分钟取得领先
49'一路奔袭，，，直接杀到前场                   46'少打1人的尤文第45分钟取得领先
49'右侧的直塞，被挡出了底线                   46'少打1人的尤文第45分钟取得领先
49'尤文右侧角球                   46'少打1人的尤文第45分钟取得领先
49'皮亚尼奇开起来                   46'少打1人的尤文第45分钟取得领先
49'小禁区前沿争顶                   46'少打1人的尤文第45分钟取得领先
49'哨响了，，，啥情况                   46'少打1人的尤文第45分钟取得领先
49'什琴斯尼，门球开出                   49'尤文第49分钟再度获得点球
49'穆里略拦截，，斜传左路                   49'尤文第49分钟再度获得点球
49'加亚横敲给到瓦斯，再给到格德斯                   49'尤文第49分钟再度获得点球
49'裁判哨响，上半场结束                   49'尤文第49分钟再度获得点球
49'坎塞洛断下来                   49'尤文第49分钟再度获得点球
49'一路奔袭，，，直接杀到前场                   49'尤文第49分钟再度获得点球
49'右侧的直塞，被挡出了底线                   49'尤文第49分钟再度获得点球
49'尤文右侧角球                   49'尤文第49分钟再度获得点球
49'皮亚尼奇开起来                   49'尤文第49分钟再度获得点球
49'小禁区前沿争顶                   49'尤文第49分钟再度获得点球
49'哨响了，，，啥情况                   49'尤文第49分钟再度获得点球
50'难道又是点球吗                   49'尤文第49分钟再度获得点球
50'是的，，，吹了穆里略的犯规                   49'尤文第49分钟再度获得点球
50'并且给了穆里略一张黄牌                   49'尤文第49分钟再度获得点球
50'点球，，依旧是皮大师来罚                   49'尤文第49分钟再度获得点球
50'瓦伦西亚快哭了啊。。。被判2个点球                   49'尤文第49分钟再度获得点球
51'皮亚尼奇，，助跑，，，推射，梅开二度                   49'尤文第49分钟再度获得点球
51'尤文10打11，凭借2个点球，，客场2-0领先了啊                   49'尤文第49分钟再度获得点球
51'皮亚尼奇亲自主罚依旧推射右下角！内托也是判断正确！但是还是没能阻止进球                   49'尤文第49分钟再度获得点球
52'右侧维佐拿球，低球横扫到禁区                   49'尤文第49分钟再度获得点球
52'右侧基耶利尼把球挡出                   49'尤文第49分钟再度获得点球
52'外围左侧詹护球，被拉倒在地                   49'尤文第49分钟再度获得点球
52'罗德里戈的犯规                   49'尤文第49分钟再度获得点球
52'尤文后场，什琴斯尼大脚开起来                   49'尤文第49分钟再度获得点球
52'前场左侧维佐顶了一下                   49'尤文第49分钟再度获得点球
52'曼祖左侧反抢，，回敲基耶利尼                   49'尤文第49分钟再度获得点球
52'再给身后博努奇，斜传右路坎塞洛                   49'尤文第49分钟再度获得点球
50'难道又是点球吗                   50'补时第5分钟，加夫列尔争顶时被鲁加尼击中面部倒地，主裁判吹罚此役第3个点球
50'是的，，，吹了穆里略的犯规                   50'补时第5分钟，加夫列尔争顶时被鲁加尼击中面部倒地，主裁判吹罚此役第3个点球
50'并且给了穆里略一张黄牌                   50'补时第5分钟，加夫列尔争顶时被鲁加尼击中面部倒地，主裁判吹罚此役第3个点球
50'点球，，依旧是皮大师来罚                   50'补时第5分钟，加夫列尔争顶时被鲁加尼击中面部倒地，主裁判吹罚此役第3个点球
50'瓦伦西亚快哭了啊。。。被判2个点球                   50'补时第5分钟，加夫列尔争顶时被鲁加尼击中面部倒地，主裁判吹罚此役第3个点球
51'皮亚尼奇，，助跑，，，推射，梅开二度                   50'补时第5分钟，加夫列尔争顶时被鲁加尼击中面部倒地，主裁判吹罚此役第3个点球
51'尤文10打11，凭借2个点球，，客场2-0领先了啊                   50'补时第5分钟，加夫列尔争顶时被鲁加尼击中面部倒地，主裁判吹罚此役第3个点球
51'皮亚尼奇亲自主罚依旧推射右下角！内托也是判断正确！但是还是没能阻止进球                   50'补时第5分钟，加夫列尔争顶时被鲁加尼击中面部倒地，主裁判吹罚此役第3个点球
52'右侧维佐拿球，低球横扫到禁区                   50'补时第5分钟，加夫列尔争顶时被鲁加尼击中面部倒地，主裁判吹罚此役第3个点球
52'右侧基耶利尼把球挡出                   50'补时第5分钟，加夫列尔争顶时被鲁加尼击中面部倒地，主裁判吹罚此役第3个点球
52'外围左侧詹护球，被拉倒在地                   50'补时第5分钟，加夫列尔争顶时被鲁加尼击中面部倒地，主裁判吹罚此役第3个点球
52'罗德里戈的犯规                   50'补时第5分钟，加夫列尔争顶时被鲁加尼击中面部倒地，主裁判吹罚此役第3个点球
52'尤文后场，什琴斯尼大脚开起来                   50'补时第5分钟，加夫列尔争顶时被鲁加尼击中面部倒地，主裁判吹罚此役第3个点球
52'前场左侧维佐顶了一下                   50'补时第5分钟，加夫列尔争顶时被鲁加尼击中面部倒地，主裁判吹罚此役第3个点球
52'曼祖左侧反抢，，回敲基耶利尼                   50'补时第5分钟，加夫列尔争顶时被鲁加尼击中面部倒地，主裁判吹罚此役第3个点球
52'再给身后博努奇，斜传右路坎塞洛                   50'补时第5分钟，加夫列尔争顶时被鲁加尼击中面部倒地，主裁判吹罚此役第3个点球
53'回做给基耶利尼，，短传给左路桑德罗                   50'补时第5分钟，加夫列尔争顶时被鲁加尼击中面部倒地，主裁判吹罚此役第3个点球
53'大脚往前走你                   50'补时第5分钟，加夫列尔争顶时被鲁加尼击中面部倒地，主裁判吹罚此役第3个点球
53'左侧争抢，出了边线                   50'补时第5分钟，加夫列尔争顶时被鲁加尼击中面部倒地，主裁判吹罚此役第3个点球
53'尤文界外球，桑德罗给出来                   50'补时第5分钟，加夫列尔争顶时被鲁加尼击中面部倒地，主裁判吹罚此役第3个点球
53'身后是基耶利尼，，回敲门将，，，右脚长传                   50'补时第5分钟，加夫列尔争顶时被鲁加尼击中面部倒地，主裁判吹罚此役第3个点球
