1'北京国安球员邵佳一拼抢犯规,对手获得控球权.                   1'第1分钟国安展开积极逼抢，比赛不到1分钟朴成就因对权磊铲球动作过大领到黄牌
17'北京国安球员朴成大禁区外尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是乌塔卡.                   17'第17分钟，乌塔卡中路拿球回做，朴成禁区前攻门在权磊封堵干扰下打偏
18'北京国安球员朴成大禁区外右脚射门,被防守球员封堵.给他传球的是格隆.                   17'第17分钟，乌塔卡中路拿球回做，朴成禁区前攻门在权磊封堵干扰下打偏
21'梅尔坎将球处理出底线,北京国安获得角球.                   21'第21分钟，格隆右翼突破切入禁区，底线前传中时被梅尔坎挡出
21'郭亮将球处理出底线,北京国安获得角球.                   21'第21分钟，格隆右翼突破切入禁区，底线前传中时被梅尔坎挡出
23'布鲁诺为青岛中能赢得一个任意球.                   21'第21分钟，格隆右翼突破切入禁区，底线前传中时被梅尔坎挡出
23'北京国安球员郎征拼抢犯规,对手获得控球权.                   21'第21分钟，格隆右翼突破切入禁区，底线前传中时被梅尔坎挡出
25'李提香将球处理出底线,青岛中能获得角球.                   25'第25分钟，中能角球机会也未能形成攻势，而国安朴成找乌塔卡的反击也被郭亮破坏
26'北京国安球员邵佳一一脚直塞球给张呈栋,但是边裁举旗显示后者已经越位.                   25'第25分钟，中能角球机会也未能形成攻势，而国安朴成找乌塔卡的反击也被郭亮破坏
36'刘健为青岛中能在对方半场,赢得一个任意球.                   35'第35分钟，马季奇中场连续逼抢后布鲁诺倒地，马季奇上前示意自己并没有侵犯动作
36'北京国安球员马季奇拼抢犯规,对手获得控球权.                   35'第35分钟，马季奇中场连续逼抢后布鲁诺倒地，马季奇上前示意自己并没有侵犯动作
38'姚江山为青岛中能赢得一个任意球.                   35'第35分钟，马季奇中场连续逼抢后布鲁诺倒地，马季奇上前示意自己并没有侵犯动作
38'北京国安球员朴成拼抢犯规,对手获得控球权.                   35'第35分钟，马季奇中场连续逼抢后布鲁诺倒地，马季奇上前示意自己并没有侵犯动作
41'北京国安球员张稀哲大禁区外右脚射门,被防守球员封堵.                   41'第41分钟，格隆右翼挑传禁区中路，中能防线未能直接头球解围，但也干扰了乌塔卡的拿球机会
42'沙一博将球处理出底线,北京国安获得角球.                   41'第41分钟，格隆右翼挑传禁区中路，中能防线未能直接头球解围，但也干扰了乌塔卡的拿球机会
42'北京国安球员徐云龙一脚直塞球给乌塔卡,但是边裁举旗显示后者已经越位.                   41'第41分钟，格隆右翼挑传禁区中路，中能防线未能直接头球解围，但也干扰了乌塔卡的拿球机会
51'青岛中能球员栗鹏拼抢犯规,对手获得控球权.                   51'第51分钟，朴成与张稀哲渗透赢得禁区前左侧位置任意球，张稀哲弧线球攻门打高
51'张稀哲为北京国安在对方半场,赢得一个任意球.                   51'第51分钟，朴成与张稀哲渗透赢得禁区前左侧位置任意球，张稀哲弧线球攻门打高
52'北京国安球员张稀哲大禁区外尝试右脚射门,可惜皮球高出球门.                   51'第51分钟，朴成与张稀哲渗透赢得禁区前左侧位置任意球，张稀哲弧线球攻门打高
53'射门!!!北京国安球员邵佳一大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是张呈栋.                   51'第51分钟，朴成与张稀哲渗透赢得禁区前左侧位置任意球，张稀哲弧线球攻门打高
53'刘震理将球处理出底线,北京国安获得角球.                   51'第51分钟，朴成与张稀哲渗透赢得禁区前左侧位置任意球，张稀哲弧线球攻门打高
57'射门!!!北京国安球员格隆大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是张稀哲.                   56'第56分钟，张稀哲中路直塞，格隆将球带到禁区右侧后低射被刘震理侧扑没收
57'卡巴耶罗为青岛中能在对方半场,赢得一个任意球.                   56'第56分钟，张稀哲中路直塞，格隆将球带到禁区右侧后低射被刘震理侧扑没收
57'北京国安球员朴成拼抢犯规,对手获得控球权.                   56'第56分钟，张稀哲中路直塞，格隆将球带到禁区右侧后低射被刘震理侧扑没收
57'北京国安换人,王皓换下邵佳一                   56'第56分钟，张稀哲中路直塞，格隆将球带到禁区右侧后低射被刘震理侧扑没收
57'北京国安换人,卡努特换下马季奇                   56'第56分钟，张稀哲中路直塞，格隆将球带到禁区右侧后低射被刘震理侧扑没收
59'卡巴耶罗为青岛中能在右路,赢得一个任意球.                   56'第56分钟，张稀哲中路直塞，格隆将球带到禁区右侧后低射被刘震理侧扑没收
59'北京国安球员李提香拼抢犯规,对手获得控球权.                   56'第56分钟，张稀哲中路直塞，格隆将球带到禁区右侧后低射被刘震理侧扑没收
64'朱世玉为青岛中能赢得一个任意球.                   64'第64分钟，朱世玉左侧长传险些找到禁区后点接应的卡巴雷罗，李提香抢先出脚将球破坏出底线
64'北京国安球员乌塔卡拼抢犯规,对手获得控球权.                   64'第64分钟，朱世玉左侧长传险些找到禁区后点接应的卡巴雷罗，李提香抢先出脚将球破坏出底线
64'李提香将球处理出底线,青岛中能获得角球.                   64'第64分钟，朱世玉左侧长传险些找到禁区后点接应的卡巴雷罗，李提香抢先出脚将球破坏出底线
65'沙一博将球处理出底线,北京国安获得角球.                   64'第64分钟，朱世玉左侧长传险些找到禁区后点接应的卡巴雷罗，李提香抢先出脚将球破坏出底线
66'卡巴耶罗为青岛中能在右路,赢得一个任意球.                   64'第64分钟，朱世玉左侧长传险些找到禁区后点接应的卡巴雷罗，李提香抢先出脚将球破坏出底线
66'北京国安球员李提香拼抢犯规,对手获得控球权.                   64'第64分钟，朱世玉左侧长传险些找到禁区后点接应的卡巴雷罗，李提香抢先出脚将球破坏出底线
69'北京国安换人,张晓彬换下李提香                   69'第69分钟，国安右路形成传中，卡努特中路停球后，王皓禁区前攻门未踢正部位
69'布鲁诺为青岛中能赢得一个任意球.                   69'第69分钟，国安右路形成传中，卡努特中路停球后，王皓禁区前攻门未踢正部位
69'北京国安球员郎征拼抢犯规,对手获得控球权.                   69'第69分钟，国安右路形成传中，卡努特中路停球后，王皓禁区前攻门未踢正部位
72'北京国安球员张晓彬大禁区外尝试右脚射门,可惜皮球高出球门.给他传球的是乌塔卡.                   69'第69分钟，国安右路形成传中，卡努特中路停球后，王皓禁区前攻门未踢正部位
77'沙一博将球处理出底线,北京国安获得角球.                   77'第77分钟，国安打破僵局――国安左侧战术角球开出后，王皓中路塞球至禁区左侧空档，张稀哲前插后横传门前，格隆抢在梅尔坎大脚解围前飞身冲顶入球，国安1-0领先
77'进球啦！！！北京国安球员格隆球门线跟前头球,球从左下角飞进球门,球进了!助攻的是张稀哲. 北京国安 1-0 青岛中能.                   77'第77分钟，国安打破僵局――国安左侧战术角球开出后，王皓中路塞球至禁区左侧空档，张稀哲前插后横传门前，格隆抢在梅尔坎大脚解围前飞身冲顶入球，国安1-0领先
78'青岛中能换人,宋文杰换下姚江山                   77'第77分钟，国安打破僵局――国安左侧战术角球开出后，王皓中路塞球至禁区左侧空档，张稀哲前插后横传门前，格隆抢在梅尔坎大脚解围前飞身冲顶入球，国安1-0领先
79'青岛中能球员沙一博拼抢犯规,对手获得控球权.                   77'第77分钟，国安打破僵局――国安左侧战术角球开出后，王皓中路塞球至禁区左侧空档，张稀哲前插后横传门前，格隆抢在梅尔坎大脚解围前飞身冲顶入球，国安1-0领先
79'卡努特为北京国安在左路,赢得一个任意球.                   77'第77分钟，国安打破僵局――国安左侧战术角球开出后，王皓中路塞球至禁区左侧空档，张稀哲前插后横传门前，格隆抢在梅尔坎大脚解围前飞身冲顶入球，国安1-0领先
80'梅尔坎为青岛中能在左路,赢得一个任意球.                   77'第77分钟，国安打破僵局――国安左侧战术角球开出后，王皓中路塞球至禁区左侧空档，张稀哲前插后横传门前，格隆抢在梅尔坎大脚解围前飞身冲顶入球，国安1-0领先
80'北京国安球员张稀哲拼抢犯规,对手获得控球权.                   77'第77分钟，国安打破僵局――国安左侧战术角球开出后，王皓中路塞球至禁区左侧空档，张稀哲前插后横传门前，格隆抢在梅尔坎大脚解围前飞身冲顶入球，国安1-0领先
83'青岛中能球员梅尔坎危险动作,对手获得控球权.                   82'第82分钟，卡巴雷罗入球被判定越位无效
83'卡努特为北京国安赢得一个任意球.                   82'第82分钟，卡巴雷罗入球被判定越位无效
84'北京国安球员乌塔卡大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是卡努特.                   82'第82分钟，卡巴雷罗入球被判定越位无效
85'青岛中能球员卡巴耶罗拼抢犯规,对手获得控球权.                   82'第82分钟，卡巴雷罗入球被判定越位无效
85'郎征为北京国安赢得一个任意球.                   82'第82分钟，卡巴雷罗入球被判定越位无效
84'北京国安球员乌塔卡大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是卡努特.                   84'第84分钟，国安反击中形成3打3机会，乌塔卡中路摆脱攻门打高
85'青岛中能球员卡巴耶罗拼抢犯规,对手获得控球权.                   84'第84分钟，国安反击中形成3打3机会，乌塔卡中路摆脱攻门打高
85'郎征为北京国安赢得一个任意球.                   84'第84分钟，国安反击中形成3打3机会，乌塔卡中路摆脱攻门打高
86'青岛中能球员梅尔坎一脚直塞球给刘健,但是边裁举旗显示后者已经越位.                   84'第84分钟，国安反击中形成3打3机会，乌塔卡中路摆脱攻门打高
89'青岛中能球员梅尔坎拼抢犯规,对手获得控球权.                   89'第89分钟，杨智开后场边线球险些失误，中能替补出场的朱建荣得球后远距离捅射空门未打上力量，杨智回位将球没收
89'王皓为北京国安赢得一个任意球.                   89'第89分钟，杨智开后场边线球险些失误，中能替补出场的朱建荣得球后远距离捅射空门未打上力量，杨智回位将球没收
90'射门!!!青岛中能球员卡巴耶罗大禁区外左脚射门,被对方守门员横身扑出.                   89'第89分钟，杨智开后场边线球险些失误，中能替补出场的朱建荣得球后远距离捅射空门未打上力量，杨智回位将球没收
90'青岛中能球员朱世玉拼抢犯规,对手获得控球权.                   89'第89分钟，杨智开后场边线球险些失误，中能替补出场的朱建荣得球后远距离捅射空门未打上力量，杨智回位将球没收
90'朴成为北京国安赢得一个任意球.                   89'第89分钟，杨智开后场边线球险些失误，中能替补出场的朱建荣得球后远距离捅射空门未打上力量，杨智回位将球没收
90'+1'北京国安球员格隆球门左侧小角度尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是卡努特.                   89'第89分钟，杨智开后场边线球险些失误，中能替补出场的朱建荣得球后远距离捅射空门未打上力量，杨智回位将球没收
90'+2'青岛中能球员朱世玉大禁区外尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是梅尔坎.                   89'第89分钟，杨智开后场边线球险些失误，中能替补出场的朱建荣得球后远距离捅射空门未打上力量，杨智回位将球没收
90'+3'射门!!!北京国安球员张稀哲大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是格隆.                   89'第89分钟，杨智开后场边线球险些失误，中能替补出场的朱建荣得球后远距离捅射空门未打上力量，杨智回位将球没收
90'+4'北京国安球员格隆大禁区中央尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是张稀哲.                   89'第89分钟，杨智开后场边线球险些失误，中能替补出场的朱建荣得球后远距离捅射空门未打上力量，杨智回位将球没收
90'+4'下半场结束,北京国安 1-0 青岛中能                   89'第89分钟，杨智开后场边线球险些失误，中能替补出场的朱建荣得球后远距离捅射空门未打上力量，杨智回位将球没收
47'北京国安球员邵佳一一脚直塞球给张稀哲,但是边裁举旗显示后者已经越位.                   47'补时第2分钟，朱世玉外围远射打高
50'卡巴耶罗为青岛中能赢得一个任意球.                   47'补时第2分钟，朱世玉外围远射打高
50'北京国安球员马季奇拼抢犯规,对手获得控球权.                   47'补时第2分钟，朱世玉外围远射打高
