8'利物浦后场拿球给到边路                   8'第8分钟出现争议，肖恩-朗突入禁区左侧在洛夫伦防守下摔倒，裁判拒绝判罚点球
19'乔阿伦拿球被断                   17'利物浦第17分钟取得领先，拉拉纳中场抢断后传球，库蒂尼奥30码处射出反弹球入右下角
20'南安普敦前场的组织没有控制好                   17'利物浦第17分钟取得领先，拉拉纳中场抢断后传球，库蒂尼奥30码处射出反弹球入右下角
20'利物浦开场后还是占据一定的优势                   17'利物浦第17分钟取得领先，拉拉纳中场抢断后传球，库蒂尼奥30码处射出反弹球入右下角
20'拉拉纳左路拿球在观察                   17'利物浦第17分钟取得领先，拉拉纳中场抢断后传球，库蒂尼奥30码处射出反弹球入右下角
20'克莱因边路跟进上来                   17'利物浦第17分钟取得领先，拉拉纳中场抢断后传球，库蒂尼奥30码处射出反弹球入右下角
20'没有形成突破                   17'利物浦第17分钟取得领先，拉拉纳中场抢断后传球，库蒂尼奥30码处射出反弹球入右下角
20'利物浦前场反抢的时候犯规                   17'利物浦第17分钟取得领先，拉拉纳中场抢断后传球，库蒂尼奥30码处射出反弹球入右下角
26'后卫先顶了出来                   26'利物浦第26分钟险些再度破门，乔-艾伦反击中同埃姆雷-詹踢墙配合后12码处单刀射门，但福斯特用腿将皮球挡出
26'利物浦这边反击的机会                   26'利物浦第26分钟险些再度破门，乔-艾伦反击中同埃姆雷-詹踢墙配合后12码处单刀射门，但福斯特用腿将皮球挡出
26'前场的快速推进到了禁区内                   26'利物浦第26分钟险些再度破门，乔-艾伦反击中同埃姆雷-詹踢墙配合后12码处单刀射门，但福斯特用腿将皮球挡出
26'拉拉纳的推射被福斯特用腿挡出                   26'利物浦第26分钟险些再度破门，乔-艾伦反击中同埃姆雷-詹踢墙配合后12码处单刀射门，但福斯特用腿将皮球挡出
27'南安普敦前场的转移打在自己球员身上                   26'利物浦第26分钟险些再度破门，乔-艾伦反击中同埃姆雷-詹踢墙配合后12码处单刀射门，但福斯特用腿将皮球挡出
27'利物浦快速反击                   26'利物浦第26分钟险些再度破门，乔-艾伦反击中同埃姆雷-詹踢墙配合后12码处单刀射门，但福斯特用腿将皮球挡出
28'斯图里奇禁区内小角度打门没有打上力量                   26'利物浦第26分钟险些再度破门，乔-艾伦反击中同埃姆雷-詹踢墙配合后12码处单刀射门，但福斯特用腿将皮球挡出
29'库蒂尼奥左路传球被挡                   26'利物浦第26分钟险些再度破门，乔-艾伦反击中同埃姆雷-詹踢墙配合后12码处单刀射门，但福斯特用腿将皮球挡出
33'利物浦右路起球送禁区后点                   33'第33分钟，乔-艾伦角球混战中进球，但因萨科越位位置干扰门将，进球无效
33'马蒂纳将球破坏出底线                   33'第33分钟，乔-艾伦角球混战中进球，但因萨科越位位置干扰门将，进球无效
33'利物浦的角球机会                   33'第33分钟，乔-艾伦角球混战中进球，但因萨科越位位置干扰门将，进球无效
33'角球送中路                   33'第33分钟，乔-艾伦角球混战中进球，但因萨科越位位置干扰门将，进球无效
33'0-3！！！                   33'第33分钟，乔-艾伦角球混战中进球，但因萨科越位位置干扰门将，进球无效
34'还是0-2！！！                   33'第33分钟，乔-艾伦角球混战中进球，但因萨科越位位置干扰门将，进球无效
34'这球被吹了越位                   33'第33分钟，乔-艾伦角球混战中进球，但因萨科越位位置干扰门将，进球无效
34'乔阿伦禁区内打门的时候，进攻球员干扰了门将                   33'第33分钟，乔-艾伦角球混战中进球，但因萨科越位位置干扰门将，进球无效
35'南安普敦这边获得前场任意球机会                   33'第33分钟，乔-艾伦角球混战中进球，但因萨科越位位置干扰门将，进球无效
35'任意球送禁区，直接被顶了出来                   33'第33分钟，乔-艾伦角球混战中进球，但因萨科越位位置干扰门将，进球无效
35'南安普敦左路突破到底线                   33'第33分钟，乔-艾伦角球混战中进球，但因萨科越位位置干扰门将，进球无效
35'利物浦这边铲球犯规                   33'第33分钟，乔-艾伦角球混战中进球，但因萨科越位位置干扰门将，进球无效
35'南安普敦获得一个位置不错的任意球机会                   33'第33分钟，乔-艾伦角球混战中进球，但因萨科越位位置干扰门将，进球无效
36'任意球送中路                   33'第33分钟，乔-艾伦角球混战中进球，但因萨科越位位置干扰门将，进球无效
36'克莱因这边拿到第一点                   33'第33分钟，乔-艾伦角球混战中进球，但因萨科越位位置干扰门将，进球无效
49'塔迪奇左路拿球进攻                   49'南安普敦第49分钟浪费机会，史蒂文-戴维斯直传禁区右肋，斯科特尔拉倒佩莱被判极刑，但马内主罚点球却被米尼奥莱扑出，肖恩-朗小角度补射打在边网
49'自己将球碰出边线                   49'南安普敦第49分钟浪费机会，史蒂文-戴维斯直传禁区右肋，斯科特尔拉倒佩莱被判极刑，但马内主罚点球却被米尼奥莱扑出，肖恩-朗小角度补射打在边网
49'埃姆雷-詹铲球的时候脚离地了                   49'南安普敦第49分钟浪费机会，史蒂文-戴维斯直传禁区右肋，斯科特尔拉倒佩莱被判极刑，但马内主罚点球却被米尼奥莱扑出，肖恩-朗小角度补射打在边网
49'点球？？                   49'南安普敦第49分钟浪费机会，史蒂文-戴维斯直传禁区右肋，斯科特尔拉倒佩莱被判极刑，但马内主罚点球却被米尼奥莱扑出，肖恩-朗小角度补射打在边网
49'南安普敦右侧传球到禁区                   49'南安普敦第49分钟浪费机会，史蒂文-戴维斯直传禁区右肋，斯科特尔拉倒佩莱被判极刑，但马内主罚点球却被米尼奥莱扑出，肖恩-朗小角度补射打在边网
49'斯科特尔这边有拉拽动作！！                   49'南安普敦第49分钟浪费机会，史蒂文-戴维斯直传禁区右肋，斯科特尔拉倒佩莱被判极刑，但马内主罚点球却被米尼奥莱扑出，肖恩-朗小角度补射打在边网
50'南安普敦的点球机会！！                   49'南安普敦第49分钟浪费机会，史蒂文-戴维斯直传禁区右肋，斯科特尔拉倒佩莱被判极刑，但马内主罚点球却被米尼奥莱扑出，肖恩-朗小角度补射打在边网
50'马内来主罚！！                   49'南安普敦第49分钟浪费机会，史蒂文-戴维斯直传禁区右肋，斯科特尔拉倒佩莱被判极刑，但马内主罚点球却被米尼奥莱扑出，肖恩-朗小角度补射打在边网
50'马内点球踢左侧，被扑了出去！！！                   49'南安普敦第49分钟浪费机会，史蒂文-戴维斯直传禁区右肋，斯科特尔拉倒佩莱被判极刑，但马内主罚点球却被米尼奥莱扑出，肖恩-朗小角度补射打在边网
50'米尼奥莱立功了                   49'南安普敦第49分钟浪费机会，史蒂文-戴维斯直传禁区右肋，斯科特尔拉倒佩莱被判极刑，但马内主罚点球却被米尼奥莱扑出，肖恩-朗小角度补射打在边网
51'场边的克洛普也是非常的兴奋                   49'南安普敦第49分钟浪费机会，史蒂文-戴维斯直传禁区右肋，斯科特尔拉倒佩莱被判极刑，但马内主罚点球却被米尼奥莱扑出，肖恩-朗小角度补射打在边网
52'利物浦这边获得角球机会                   49'南安普敦第49分钟浪费机会，史蒂文-戴维斯直传禁区右肋，斯科特尔拉倒佩莱被判极刑，但马内主罚点球却被米尼奥莱扑出，肖恩-朗小角度补射打在边网
52'角球送禁区                   49'南安普敦第49分钟浪费机会，史蒂文-戴维斯直传禁区右肋，斯科特尔拉倒佩莱被判极刑，但马内主罚点球却被米尼奥莱扑出，肖恩-朗小角度补射打在边网
52'落点不太理想                   49'南安普敦第49分钟浪费机会，史蒂文-戴维斯直传禁区右肋，斯科特尔拉倒佩莱被判极刑，但马内主罚点球却被米尼奥莱扑出，肖恩-朗小角度补射打在边网
64'马内禁区内有机会                   64'南安普敦第64分钟扳回一城，史蒂文-戴维斯前场抢断，佩莱直传，马内禁区左肋10码处射入近角，1-2
64'1-2！！！                   64'南安普敦第64分钟扳回一城，史蒂文-戴维斯前场抢断，佩莱直传，马内禁区左肋10码处射入近角，1-2
64'此时此刻值得来杯嘉士伯                   64'南安普敦第64分钟扳回一城，史蒂文-戴维斯前场抢断，佩莱直传，马内禁区左肋10码处射入近角，1-2
65'利物浦后场出球不够果断被断，马内禁区内接球后直接一脚劲射破门！！                   64'南安普敦第64分钟扳回一城，史蒂文-戴维斯前场抢断，佩莱直传，马内禁区左肋10码处射入近角，1-2
66'南安普敦这边时间还有                   64'南安普敦第64分钟扳回一城，史蒂文-戴维斯前场抢断，佩莱直传，马内禁区左肋10码处射入近角，1-2
66'下半场打了20分钟                   64'南安普敦第64分钟扳回一城，史蒂文-戴维斯前场抢断，佩莱直传，马内禁区左肋10码处射入近角，1-2
84'2-2！！！                   84'南安普敦第84分钟扳平比分，肖恩-朗传球，佩莱禁区弧内闪过萨科防守后劲射，皮球紧贴左侧立柱入网，2-2
84'佩莱！！                   84'南安普敦第84分钟扳平比分，肖恩-朗传球，佩莱禁区弧内闪过萨科防守后劲射，皮球紧贴左侧立柱入网，2-2
84'此时此刻值得来杯嘉士伯                   84'南安普敦第84分钟扳平比分，肖恩-朗传球，佩莱禁区弧内闪过萨科防守后劲射，皮球紧贴左侧立柱入网，2-2
85'南安普敦后场长传打到前场，佩莱头球争抢下来，队友接球后经过传递给到禁区弧度，佩莱得球后稍作调整直接远射破门！！                   84'南安普敦第84分钟扳平比分，肖恩-朗传球，佩莱禁区弧内闪过萨科防守后劲射，皮球紧贴左侧立柱入网，2-2
85'南安普敦将比分扳平了！！                   84'南安普敦第84分钟扳平比分，肖恩-朗传球，佩莱禁区弧内闪过萨科防守后劲射，皮球紧贴左侧立柱入网，2-2
85'比赛还会出现绝杀吗                   84'南安普敦第84分钟扳平比分，肖恩-朗传球，佩莱禁区弧内闪过萨科防守后劲射，皮球紧贴左侧立柱入网，2-2
85'利物浦这边气势完全被压了下来                   84'南安普敦第84分钟扳平比分，肖恩-朗传球，佩莱禁区弧内闪过萨科防守后劲射，皮球紧贴左侧立柱入网，2-2
86'3-2！！！！                   84'南安普敦第84分钟扳平比分，肖恩-朗传球，佩莱禁区弧内闪过萨科防守后劲射，皮球紧贴左侧立柱入网，2-2
87'马内！！！！                   84'南安普敦第84分钟扳平比分，肖恩-朗传球，佩莱禁区弧内闪过萨科防守后劲射，皮球紧贴左侧立柱入网，2-2
87'此时此刻值得来杯嘉士伯                   84'南安普敦第84分钟扳平比分，肖恩-朗传球，佩莱禁区弧内闪过萨科防守后劲射，皮球紧贴左侧立柱入网，2-2
