5'于汉超拿球，被包夹，传球失误了                   5'客场作战的力帆迅速进入防守反击态势，第5分钟的角球冲击中米洛维奇头球顶偏
20'打在了人墙上                   20'战至第20分钟，恒大形成首次攻门，高拉特左路内切远射被力帆门将邓小飞化解
21'廖力生送出传中球，球被解围出来                   20'战至第20分钟，恒大形成首次攻门，高拉特左路内切远射被力帆门将邓小飞化解
22'郜林拿球，转身突破，球丢了                   20'战至第20分钟，恒大形成首次攻门，高拉特左路内切远射被力帆门将邓小飞化解
22'吴庆传球禁区，球被大脚解围出来                   20'战至第20分钟，恒大形成首次攻门，高拉特左路内切远射被力帆门将邓小飞化解
46'上半场补时1分钟                   46'1分钟后力帆也通过左路传中策动攻势，U23球员元敏诚外围攻门打偏
47'曾诚大脚将球开出来                   46'1分钟后力帆也通过左路传中策动攻势，U23球员元敏诚外围攻门打偏
47'中圈争抢，裁判哨响，上半场比赛结束                   46'1分钟后力帆也通过左路传中策动攻势，U23球员元敏诚外围攻门打偏
35'进球了！！！！！！！！！！！                   35'第35分钟，恒大取得入球：于汉超左路内切过程中于高拉特传递配合，禁区前横带中突然起脚攻门，皮球直飞入球门死角
36'刘建长传球准确找到于汉超，于汉超带球内切，来一脚打门，将球打进                   35'第35分钟，恒大取得入球：于汉超左路内切过程中于高拉特传递配合，禁区前横带中突然起脚攻门，皮球直飞入球门死角
37'继续看比赛                   35'第35分钟，恒大取得入球：于汉超左路内切过程中于高拉特传递配合，禁区前横带中突然起脚攻门，皮球直飞入球门死角
37'外围徐新拿球，突施冷箭的打门                   35'第35分钟，恒大取得入球：于汉超左路内切过程中于高拉特传递配合，禁区前横带中突然起脚攻门，皮球直飞入球门死角
37'打高了                   35'第35分钟，恒大取得入球：于汉超左路内切过程中于高拉特传递配合，禁区前横带中突然起脚攻门，皮球直飞入球门死角
38'冯劲带球突破，送出传中球                   35'第35分钟，恒大取得入球：于汉超左路内切过程中于高拉特传递配合，禁区前横带中突然起脚攻门，皮球直飞入球门死角
37'继续看比赛                   37'第37分钟，郜林右路传中，皮球碰米洛维奇折线，于汉超与郑龙两人均在近距离包抄，于汉超的头球击中立柱
37'外围徐新拿球，突施冷箭的打门                   37'第37分钟，郜林右路传中，皮球碰米洛维奇折线，于汉超与郑龙两人均在近距离包抄，于汉超的头球击中立柱
37'打高了                   37'第37分钟，郜林右路传中，皮球碰米洛维奇折线，于汉超与郑龙两人均在近距离包抄，于汉超的头球击中立柱
38'冯劲带球突破，送出传中球                   37'第37分钟，郜林右路传中，皮球碰米洛维奇折线，于汉超与郑龙两人均在近距离包抄，于汉超的头球击中立柱
39'球被挡出了底线                   37'第37分钟，郜林右路传中，皮球碰米洛维奇折线，于汉超与郑龙两人均在近距离包抄，于汉超的头球击中立柱
39'力帆角球机会                   37'第37分钟，郜林右路传中，皮球碰米洛维奇折线，于汉超与郑龙两人均在近距离包抄，于汉超的头球击中立柱
39'角球开出来，前点，球被挡出来                   37'第37分钟，郜林右路传中，皮球碰米洛维奇折线，于汉超与郑龙两人均在近距离包抄，于汉超的头球击中立柱
55'冯劲送出直塞球，球被挡出来                   55'第55分钟，恒大在前场形成连续传递，郑龙禁区内强行摆脱后攻门打偏
56'于汉超带球突破，分球郑龙，来一脚打门                   55'第55分钟，恒大在前场形成连续传递，郑龙禁区内强行摆脱后攻门打偏
57'打在了边网上                   55'第55分钟，恒大在前场形成连续传递，郑龙禁区内强行摆脱后攻门打偏
57'邓小飞大脚将球开出来                   55'第55分钟，恒大在前场形成连续传递，郑龙禁区内强行摆脱后攻门打偏
58'中圈争抢球，隋东陆控制球                   55'第55分钟，恒大在前场形成连续传递，郑龙禁区内强行摆脱后攻门打偏
58'丁捷拿球，禁区前沿的打门                   55'第55分钟，恒大在前场形成连续传递，郑龙禁区内强行摆脱后攻门打偏
70'丁捷传球禁区，球被解围出来                   70'比赛70分钟过后，冯潇霆连续前插，或是带球推进或是发起传递，担任起了进攻指挥官的角色
71'尤里继续传球禁区，球被曾诚没收了                   70'比赛70分钟过后，冯潇霆连续前插，或是带球推进或是发起传递，担任起了进攻指挥官的角色
73'高拉特带球突破，陷入重围，传球出了边线                   70'比赛70分钟过后，冯潇霆连续前插，或是带球推进或是发起传递，担任起了进攻指挥官的角色
87'米罗维奇送出长传球                   87'第87分钟，尤里形成头球摆渡，吴庆禁区右侧扣球摆脱了滑铲封堵的刘健，他的小角度攻门打偏在边网上
87'前场争抢，裁判哨响，吹了吴庆的犯规                   87'第87分钟，尤里形成头球摆渡，吴庆禁区右侧扣球摆脱了滑铲封堵的刘健，他的小角度攻门打偏在边网上
89'恒大这边准备换人了                   87'第87分钟，尤里形成头球摆渡，吴庆禁区右侧扣球摆脱了滑铲封堵的刘健，他的小角度攻门打偏在边网上
89'张成林换下了高拉特                   87'第87分钟，尤里形成头球摆渡，吴庆禁区右侧扣球摆脱了滑铲封堵的刘健，他的小角度攻门打偏在边网上
90'OK，继续看比赛                   87'第87分钟，尤里形成头球摆渡，吴庆禁区右侧扣球摆脱了滑铲封堵的刘健，他的小角度攻门打偏在边网上
