1'上半场比赛开始！！                   1'这是恒大连续两场比赛开场不到1分钟丢球
14'李昂放铲将球挡回                   12'第12分钟，两球领先的江苏苏宁继续展开进攻，埃德尔前场右路拿球，面对李学鹏和钟义浩的夹击内切横传，打在钟义浩身上出边线
14'塔利斯卡上来拿球再突，中路推进                   12'第12分钟，两球领先的江苏苏宁继续展开进攻，埃德尔前场右路拿球，面对李学鹏和钟义浩的夹击内切横传，打在钟义浩身上出边线
15'斜塞再给阿兰，阿兰单刀赴会                   12'第12分钟，两球领先的江苏苏宁继续展开进攻，埃德尔前场右路拿球，面对李学鹏和钟义浩的夹击内切横传，打在钟义浩身上出边线
15'面对出击的顾超，推射球门右侧，擦柱而出                   12'第12分钟，两球领先的江苏苏宁继续展开进攻，埃德尔前场右路拿球，面对李学鹏和钟义浩的夹击内切横传，打在钟义浩身上出边线
15'这球非常可惜，卡纳瓦罗在场边也是显得很失望，对着场内大声怒吼                   12'第12分钟，两球领先的江苏苏宁继续展开进攻，埃德尔前场右路拿球，面对李学鹏和钟义浩的夹击内切横传，打在钟义浩身上出边线
15'高天意后场拿球，塔利斯卡的身后逼抢，犯规！                   12'第12分钟，两球领先的江苏苏宁继续展开进攻，埃德尔前场右路拿球，面对李学鹏和钟义浩的夹击内切横传，打在钟义浩身上出边线
18'李学鹏左路拿球，带至前场                   18'第18分钟，大举压上的恒大再次获得机会，塔利斯卡禁区弧顶得球后，原地左脚抽射打远角高出横梁
18'横传保利尼奥，回传郑智                   18'第18分钟，大举压上的恒大再次获得机会，塔利斯卡禁区弧顶得球后，原地左脚抽射打远角高出横梁
18'再给郑龙，分球塔利斯卡                   18'第18分钟，大举压上的恒大再次获得机会，塔利斯卡禁区弧顶得球后，原地左脚抽射打远角高出横梁
18'分球右侧给邓涵文，邓涵文的传中球到后点                   18'第18分钟，大举压上的恒大再次获得机会，塔利斯卡禁区弧顶得球后，原地左脚抽射打远角高出横梁
18'钟义浩背身接应，没机会转身                   18'第18分钟，大举压上的恒大再次获得机会，塔利斯卡禁区弧顶得球后，原地左脚抽射打远角高出横梁
19'回传李学鹏，再给保利尼奥                   18'第18分钟，大举压上的恒大再次获得机会，塔利斯卡禁区弧顶得球后，原地左脚抽射打远角高出横梁
19'分球郑智，再给边上的邓涵文                   18'第18分钟，大举压上的恒大再次获得机会，塔利斯卡禁区弧顶得球后，原地左脚抽射打远角高出横梁
19'回传张琳芃，横传中圈冯潇霆                   18'第18分钟，大举压上的恒大再次获得机会，塔利斯卡禁区弧顶得球后，原地左脚抽射打远角高出横梁
19'直塞保利尼奥，回传郑智                   18'第18分钟，大举压上的恒大再次获得机会，塔利斯卡禁区弧顶得球后，原地左脚抽射打远角高出横梁
19'再给郑龙，强突被破坏                   18'第18分钟，大举压上的恒大再次获得机会，塔利斯卡禁区弧顶得球后，原地左脚抽射打远角高出横梁
19'球到禁区弧位置塔利斯卡脚下                   18'第18分钟，大举压上的恒大再次获得机会，塔利斯卡禁区弧顶得球后，原地左脚抽射打远角高出横梁
20'原地左脚抽射打远角，打飞了！                   18'第18分钟，大举压上的恒大再次获得机会，塔利斯卡禁区弧顶得球后，原地左脚抽射打远角高出横梁
21'谢鹏飞中路拿球强突，遭遇夹击                   18'第18分钟，大举压上的恒大再次获得机会，塔利斯卡禁区弧顶得球后，原地左脚抽射打远角高出横梁
21'摔倒在地，球被拦截！！                   18'第18分钟，大举压上的恒大再次获得机会，塔利斯卡禁区弧顶得球后，原地左脚抽射打远角高出横梁
21'田依浓中场拿球，斜塞左前场找特谢拉                   18'第18分钟，大举压上的恒大再次获得机会，塔利斯卡禁区弧顶得球后，原地左脚抽射打远角高出横梁
23'杨笑天左后场拿球，过顶长传找特谢拉                   23'第23分钟，塔利斯塔右路四十五度斜传后点，阿兰高高跃起，头球攻门偏出立柱
23'球太高了，从特谢拉头顶飞过                   23'第23分钟，塔利斯塔右路四十五度斜传后点，阿兰高高跃起，头球攻门偏出立柱
24'冯潇霆后场控制，给到郑智                   23'第23分钟，塔利斯塔右路四十五度斜传后点，阿兰高高跃起，头球攻门偏出立柱
24'再给右路的邓涵文，高天意的回防破坏                   23'第23分钟，塔利斯塔右路四十五度斜传后点，阿兰高高跃起，头球攻门偏出立柱
24'塔利斯卡前场右路拿球，横传钟义浩                   23'第23分钟，塔利斯塔右路四十五度斜传后点，阿兰高高跃起，头球攻门偏出立柱
25'回给塔利斯卡，右侧45度斜传到后点                   23'第23分钟，塔利斯塔右路四十五度斜传后点，阿兰高高跃起，头球攻门偏出立柱
25'阿兰高高跃起，头球顶远角                   23'第23分钟，塔利斯塔右路四十五度斜传后点，阿兰高高跃起，头球攻门偏出立柱
25'可惜顶偏了！1                   23'第23分钟，塔利斯塔右路四十五度斜传后点，阿兰高高跃起，头球攻门偏出立柱
25'郑龙前场左路拿球，内切中路                   23'第23分钟，塔利斯塔右路四十五度斜传后点，阿兰高高跃起，头球攻门偏出立柱
26'斜传到禁区，帕莱塔抢在阿兰之前，将球解围出来                   23'第23分钟，塔利斯塔右路四十五度斜传后点，阿兰高高跃起，头球攻门偏出立柱
26'埃德尔中圈拿球反击，再给吴曦                   23'第23分钟，塔利斯塔右路四十五度斜传后点，阿兰高高跃起，头球攻门偏出立柱
26'吴曦再给前插的埃德尔，和回防的钟义浩争抢倒地                   23'第23分钟，塔利斯塔右路四十五度斜传后点，阿兰高高跃起，头球攻门偏出立柱
26'裁判鸣哨，这球吹罚了埃德尔的身后铲球犯规                   23'第23分钟，塔利斯塔右路四十五度斜传后点，阿兰高高跃起，头球攻门偏出立柱
38'李学鹏任意球快发，横传冯潇霆                   38'第38分钟，钟义浩左路传中，塔利斯卡力压苏宁后卫近距离的头球攻门，被顾超用指尖碰出底线，随后恒大开出的角球未能形成威胁
38'冯潇霆的斜传到禁区右侧，被杨笑天解围                   38'第38分钟，钟义浩左路传中，塔利斯卡力压苏宁后卫近距离的头球攻门，被顾超用指尖碰出底线，随后恒大开出的角球未能形成威胁
38'谢鹏飞反击，斜塞想给特谢拉                   38'第38分钟，钟义浩左路传中，塔利斯卡力压苏宁后卫近距离的头球攻门，被顾超用指尖碰出底线，随后恒大开出的角球未能形成威胁
38'可惜传大了，曾诚出击控制                   38'第38分钟，钟义浩左路传中，塔利斯卡力压苏宁后卫近距离的头球攻门，被顾超用指尖碰出底线，随后恒大开出的角球未能形成威胁
38'恒大的前场进攻，保利尼奥禁区弧顶拿球                   38'第38分钟，钟义浩左路传中，塔利斯卡力压苏宁后卫近距离的头球攻门，被顾超用指尖碰出底线，随后恒大开出的角球未能形成威胁
38'斜传左侧给前插的钟义浩                   38'第38分钟，钟义浩左路传中，塔利斯卡力压苏宁后卫近距离的头球攻门，被顾超用指尖碰出底线，随后恒大开出的角球未能形成威胁
38'钟义浩的传中到门前，塔利斯卡的头球                   38'第38分钟，钟义浩左路传中，塔利斯卡力压苏宁后卫近距离的头球攻门，被顾超用指尖碰出底线，随后恒大开出的角球未能形成威胁
39'顾超将球一托，高出横梁出底线！                   38'第38分钟，钟义浩左路传中，塔利斯卡力压苏宁后卫近距离的头球攻门，被顾超用指尖碰出底线，随后恒大开出的角球未能形成威胁
39'恒大左侧角球机会，没威胁！！                   38'第38分钟，钟义浩左路传中，塔利斯卡力压苏宁后卫近距离的头球攻门，被顾超用指尖碰出底线，随后恒大开出的角球未能形成威胁
40'这段时间 恒大的进攻威胁很大                   38'第38分钟，钟义浩左路传中，塔利斯卡力压苏宁后卫近距离的头球攻门，被顾超用指尖碰出底线，随后恒大开出的角球未能形成威胁
40'距离进球越来越近，但还没看到结果                   38'第38分钟，钟义浩左路传中，塔利斯卡力压苏宁后卫近距离的头球攻门，被顾超用指尖碰出底线，随后恒大开出的角球未能形成威胁
40'张琳芃右路拿球强突，特谢拉回防卡位                   38'第38分钟，钟义浩左路传中，塔利斯卡力压苏宁后卫近距离的头球攻门，被顾超用指尖碰出底线，随后恒大开出的角球未能形成威胁
40'张琳芃人球分过，球出边线                   38'第38分钟，钟义浩左路传中，塔利斯卡力压苏宁后卫近距离的头球攻门，被顾超用指尖碰出底线，随后恒大开出的角球未能形成威胁
41'苏宁的界外球                   38'第38分钟，钟义浩左路传中，塔利斯卡力压苏宁后卫近距离的头球攻门，被顾超用指尖碰出底线，随后恒大开出的角球未能形成威胁
41'张琳芃投诉特谢拉争抢卡位有顶到自己肚子，特谢拉双手一摊，没有哦                   38'第38分钟，钟义浩左路传中，塔利斯卡力压苏宁后卫近距离的头球攻门，被顾超用指尖碰出底线，随后恒大开出的角球未能形成威胁
41'目前的控球率：恒大70%，苏宁30%                   38'第38分钟，钟义浩左路传中，塔利斯卡力压苏宁后卫近距离的头球攻门，被顾超用指尖碰出底线，随后恒大开出的角球未能形成威胁
47'郑智分球保利尼奥，没能停好，球先出边线                   47'上半场补时2分钟
47'苏宁中场失误，恒大前场进攻                   47'上半场补时2分钟
47'郑智中场拿球，分球右侧邓涵文                   47'上半场补时2分钟
47'再给阿兰，斜塞郑龙，被高天意解围                   47'上半场补时2分钟
48'恒大前场再攻，郑智拿球，分球右侧邓涵文                   47'上半场补时2分钟
48'邓涵文的下底传中到前点                   47'上半场补时2分钟
48'无人防守的郑龙头球，顶高了                   47'上半场补时2分钟
47'阿兰没停好，保利尼奥过来拿球                   47'上半场补时2分钟
47'中路控制，再给右侧的邓涵文                   47'上半场补时2分钟
47'内切遭遇夹击，再分给边上上来的黄博文                   47'上半场补时2分钟
47'黄博文的横传球，被挡出底线！！                   47'上半场补时2分钟
47'恒大获得了右侧角球机会！！                   47'上半场补时2分钟
48'黄博文主罚，开出到前点，被苏宁球员解围                   47'上半场补时2分钟
48'黄博文前场中路拿球，斜塞右路                   47'上半场补时2分钟
48'郑龙故意一漏，想给身后的邓涵文                   47'上半场补时2分钟
48'高天意回防抢断，回传杨笑天                   47'上半场补时2分钟
49'邓涵文原地反抢，卡位被杨笑天掀翻在地！                   47'上半场补时2分钟
49'恒大获得了前场右路的任意球机会！                   47'上半场补时2分钟
49'大禁区右上角，塔利斯卡主罚                   47'上半场补时2分钟
49'左脚任意球直接轰门，吴曦头球解围！！                   47'上半场补时2分钟
49'这球力道很足，吴曦也是头有些晕，倒地休息下                   47'上半场补时2分钟
50'恒大前场右路的界外球机会！！                   47'上半场补时2分钟
50'张琳芃左路和谢鹏飞争抢，后者倒地                   47'上半场补时2分钟
50'裁判示意不犯规，球到了保利尼奥脚下                   47'上半场补时2分钟
50'左侧拿球内切，埃德尔示意谢鹏飞受伤了                   47'上半场补时2分钟
52'阿兰前场左路拿球，内切到禁区                   52'下半场开场双方节奏不快，直到第52分钟才出现射门，李学鹏左路拿球突破横传禁区，阿兰的抢点打门偏出
52'遭遇两人夹击，变向和田依浓相撞倒地                   52'下半场开场双方节奏不快，直到第52分钟才出现射门，李学鹏左路拿球突破横传禁区，阿兰的抢点打门偏出
53'就在裁判眼皮底下，示意不犯规                   52'下半场开场双方节奏不快，直到第52分钟才出现射门，李学鹏左路拿球突破横传禁区，阿兰的抢点打门偏出
53'苏宁球员将球解围！！                   52'下半场开场双方节奏不快，直到第52分钟才出现射门，李学鹏左路拿球突破横传禁区，阿兰的抢点打门偏出
53'李学鹏左路拿球再突，横传禁区                   52'下半场开场双方节奏不快，直到第52分钟才出现射门，李学鹏左路拿球突破横传禁区，阿兰的抢点打门偏出
53'阿兰的抢点打门，打偏！！                   52'下半场开场双方节奏不快，直到第52分钟才出现射门，李学鹏左路拿球突破横传禁区，阿兰的抢点打门偏出
54'恒大前场再攻，邓涵文的强突被放倒在地                   52'下半场开场双方节奏不快，直到第52分钟才出现射门，李学鹏左路拿球突破横传禁区，阿兰的抢点打门偏出
54'郑智准备快发，埃德尔上前干扰                   52'下半场开场双方节奏不快，直到第52分钟才出现射门，李学鹏左路拿球突破横传禁区，阿兰的抢点打门偏出
54'双方发生了摩擦，互有推搡                   52'下半场开场双方节奏不快，直到第52分钟才出现射门，李学鹏左路拿球突破横传禁区，阿兰的抢点打门偏出
54'裁判过来将两人挡开，黄博文安慰埃德尔                   52'下半场开场双方节奏不快，直到第52分钟才出现射门，李学鹏左路拿球突破横传禁区，阿兰的抢点打门偏出
54'郑智离开任意球位置，和埃德尔拍掌和解                   52'下半场开场双方节奏不快，直到第52分钟才出现射门，李学鹏左路拿球突破横传禁区，阿兰的抢点打门偏出
55'黄博文任意球斜传禁区，被解围！！                   52'下半场开场双方节奏不快，直到第52分钟才出现射门，李学鹏左路拿球突破横传禁区，阿兰的抢点打门偏出
55'苏宁的反击，长传前场找特谢拉                   52'下半场开场双方节奏不快，直到第52分钟才出现射门，李学鹏左路拿球突破横传禁区，阿兰的抢点打门偏出
55'特谢拉拿球反击，趟大了                   52'下半场开场双方节奏不快，直到第52分钟才出现射门，李学鹏左路拿球突破横传禁区，阿兰的抢点打门偏出
55'冯潇霆回防将球控制                   52'下半场开场双方节奏不快，直到第52分钟才出现射门，李学鹏左路拿球突破横传禁区，阿兰的抢点打门偏出
60'顾超出击，稳稳将球拿到！！                   60'第60分钟，苏宁也进行换人，张晓彬换下高天意
60'苏宁换人：12号张晓彬上，换下了16号高天意！                   60'第60分钟，苏宁也进行换人，张晓彬换下高天意
61'吴曦中场传球失误，塔利斯卡拿球反击                   60'第60分钟，苏宁也进行换人，张晓彬换下高天意
61'中路准备起速，吴曦身后回防犯规                   60'第60分钟，苏宁也进行换人，张晓彬换下高天意
61'吴曦被主裁判出示了黄牌警告！！                   60'第60分钟，苏宁也进行换人，张晓彬换下高天意
61'郑智中场传球失误，吴曦的抢断                   60'第60分钟，苏宁也进行换人，张晓彬换下高天意
61'球到了埃德尔脚下，准备反击                   60'第60分钟，苏宁也进行换人，张晓彬换下高天意
61'郑智原地反抢，踢倒了埃德尔，犯规                   60'第60分钟，苏宁也进行换人，张晓彬换下高天意
62'郑智被主裁判出示了黄牌警告！！                   60'第60分钟，苏宁也进行换人，张晓彬换下高天意
62'双方队长先后得牌啊！！                   60'第60分钟，苏宁也进行换人，张晓彬换下高天意
62'郑龙右路拿球，直塞塔利斯卡                   60'第60分钟，苏宁也进行换人，张晓彬换下高天意
63'塔利斯卡拿球内切，补防的杨笑天将球解围出边线                   60'第60分钟，苏宁也进行换人，张晓彬换下高天意
63'恒大扳回一城！！                   60'第60分钟，苏宁也进行换人，张晓彬换下高天意
63'保利尼奥！！！                   60'第60分钟，苏宁也进行换人，张晓彬换下高天意
46'恒大前场失误，谢鹏飞拿球反击                   46'1分钟后，郑智原地反抢踢倒了埃德尔也吃到了黄牌
46'带球到中线，斜传左前场想给特谢拉                   46'1分钟后，郑智原地反抢踢倒了埃德尔也吃到了黄牌
46'张琳芃头球解围，球到郑智脚下                   46'1分钟后，郑智原地反抢踢倒了埃德尔也吃到了黄牌
46'郑智拿球反击，谢鹏飞过来逼抢                   46'1分钟后，郑智原地反抢踢倒了埃德尔也吃到了黄牌
47'郑智分球保利尼奥，没能停好，球先出边线                   46'1分钟后，郑智原地反抢踢倒了埃德尔也吃到了黄牌
47'苏宁中场失误，恒大前场进攻                   46'1分钟后，郑智原地反抢踢倒了埃德尔也吃到了黄牌
47'郑智中场拿球，分球右侧邓涵文                   46'1分钟后，郑智原地反抢踢倒了埃德尔也吃到了黄牌
47'再给阿兰，斜塞郑龙，被高天意解围                   46'1分钟后，郑智原地反抢踢倒了埃德尔也吃到了黄牌
48'恒大前场再攻，郑智拿球，分球右侧邓涵文                   46'1分钟后，郑智原地反抢踢倒了埃德尔也吃到了黄牌
48'邓涵文的下底传中到前点                   46'1分钟后，郑智原地反抢踢倒了埃德尔也吃到了黄牌
48'无人防守的郑龙头球，顶高了                   46'1分钟后，郑智原地反抢踢倒了埃德尔也吃到了黄牌
46'下半场比赛开始！！                   46'1分钟后，郑智原地反抢踢倒了埃德尔也吃到了黄牌
46'恒大开球，从左向右进攻！！                   46'1分钟后，郑智原地反抢踢倒了埃德尔也吃到了黄牌
46'黄博文换下的是钟义浩！！！                   46'1分钟后，郑智原地反抢踢倒了埃德尔也吃到了黄牌
46'李学鹏左路拿球，横传阿兰                   46'1分钟后，郑智原地反抢踢倒了埃德尔也吃到了黄牌
47'阿兰没停好，保利尼奥过来拿球                   46'1分钟后，郑智原地反抢踢倒了埃德尔也吃到了黄牌
47'中路控制，再给右侧的邓涵文                   46'1分钟后，郑智原地反抢踢倒了埃德尔也吃到了黄牌
47'内切遭遇夹击，再分给边上上来的黄博文                   46'1分钟后，郑智原地反抢踢倒了埃德尔也吃到了黄牌
47'黄博文的横传球，被挡出底线！！                   46'1分钟后，郑智原地反抢踢倒了埃德尔也吃到了黄牌
47'恒大获得了右侧角球机会！！                   46'1分钟后，郑智原地反抢踢倒了埃德尔也吃到了黄牌
48'黄博文主罚，开出到前点，被苏宁球员解围                   46'1分钟后，郑智原地反抢踢倒了埃德尔也吃到了黄牌
48'黄博文前场中路拿球，斜塞右路                   46'1分钟后，郑智原地反抢踢倒了埃德尔也吃到了黄牌
48'郑龙故意一漏，想给身后的邓涵文                   46'1分钟后，郑智原地反抢踢倒了埃德尔也吃到了黄牌
48'高天意回防抢断，回传杨笑天                   46'1分钟后，郑智原地反抢踢倒了埃德尔也吃到了黄牌
49'邓涵文原地反抢，卡位被杨笑天掀翻在地！                   46'1分钟后，郑智原地反抢踢倒了埃德尔也吃到了黄牌
49'恒大获得了前场右路的任意球机会！                   46'1分钟后，郑智原地反抢踢倒了埃德尔也吃到了黄牌
49'大禁区右上角，塔利斯卡主罚                   46'1分钟后，郑智原地反抢踢倒了埃德尔也吃到了黄牌
49'左脚任意球直接轰门，吴曦头球解围！！                   46'1分钟后，郑智原地反抢踢倒了埃德尔也吃到了黄牌
49'这球力道很足，吴曦也是头有些晕，倒地休息下                   46'1分钟后，郑智原地反抢踢倒了埃德尔也吃到了黄牌
64'郑智禁区外围拿球，分球右侧给塔利斯卡，塔利斯卡挑传到后点，保利尼奥力压张晓彬头球顶进！                   64'第64分钟，恒大扳回一分，郑智禁区外围拿球分右侧给塔利斯卡，塔利斯卡挑传到后点，保利尼奥力压张晓彬头球顶进
64'阿兰前场中路拿球强突，被放倒在地                   64'第64分钟，恒大扳回一分，郑智禁区外围拿球分右侧给塔利斯卡，塔利斯卡挑传到后点，保利尼奥力压张晓彬头球顶进
64'恒大再次获得了前场中路的任意球机会！！                   64'第64分钟，恒大扳回一分，郑智禁区外围拿球分右侧给塔利斯卡，塔利斯卡挑传到后点，保利尼奥力压张晓彬头球顶进
65'塔利斯卡准备主罚，搓传到禁区右侧                   64'第64分钟，恒大扳回一分，郑智禁区外围拿球分右侧给塔利斯卡，塔利斯卡挑传到后点，保利尼奥力压张晓彬头球顶进
65'冯潇霆的头球摆渡到中路，被帕莱塔解围                   64'第64分钟，恒大扳回一分，郑智禁区外围拿球分右侧给塔利斯卡，塔利斯卡挑传到后点，保利尼奥力压张晓彬头球顶进
65'恒大前场再攻，李学鹏的传中找没回防的冯潇霆                   64'第64分钟，恒大扳回一分，郑智禁区外围拿球分右侧给塔利斯卡，塔利斯卡挑传到后点，保利尼奥力压张晓彬头球顶进
66'冯潇霆的抢点头球，顶偏！                   64'第64分钟，恒大扳回一分，郑智禁区外围拿球分右侧给塔利斯卡，塔利斯卡挑传到后点，保利尼奥力压张晓彬头球顶进
66'保利尼奥前场右路内切打门，被帕莱塔挡出底线                   64'第64分钟，恒大扳回一分，郑智禁区外围拿球分右侧给塔利斯卡，塔利斯卡挑传到后点，保利尼奥力压张晓彬头球顶进
66'恒大的右侧角球机会，开出到禁区                   64'第64分钟，恒大扳回一分，郑智禁区外围拿球分右侧给塔利斯卡，塔利斯卡挑传到后点，保利尼奥力压张晓彬头球顶进
66'第一点被解围，保利尼奥左路拿球再组织                   64'第64分钟，恒大扳回一分，郑智禁区外围拿球分右侧给塔利斯卡，塔利斯卡挑传到后点，保利尼奥力压张晓彬头球顶进
67'分球上来的李学鹏，挑传禁区找黄博文                   64'第64分钟，恒大扳回一分，郑智禁区外围拿球分右侧给塔利斯卡，塔利斯卡挑传到后点，保利尼奥力压张晓彬头球顶进
67'周云抢先将球解围出来                   64'第64分钟，恒大扳回一分，郑智禁区外围拿球分右侧给塔利斯卡，塔利斯卡挑传到后点，保利尼奥力压张晓彬头球顶进
67'双方再抢，球出边线，苏宁球权                   64'第64分钟，恒大扳回一分，郑智禁区外围拿球分右侧给塔利斯卡，塔利斯卡挑传到后点，保利尼奥力压张晓彬头球顶进
65'塔利斯卡准备主罚，搓传到禁区右侧                   65'第65分钟，恒大前场再攻，李学鹏的传中找没回防的冯潇霆，冯潇霆的抢点头球顶偏了
65'冯潇霆的头球摆渡到中路，被帕莱塔解围                   65'第65分钟，恒大前场再攻，李学鹏的传中找没回防的冯潇霆，冯潇霆的抢点头球顶偏了
65'恒大前场再攻，李学鹏的传中找没回防的冯潇霆                   65'第65分钟，恒大前场再攻，李学鹏的传中找没回防的冯潇霆，冯潇霆的抢点头球顶偏了
66'冯潇霆的抢点头球，顶偏！                   65'第65分钟，恒大前场再攻，李学鹏的传中找没回防的冯潇霆，冯潇霆的抢点头球顶偏了
66'保利尼奥前场右路内切打门，被帕莱塔挡出底线                   65'第65分钟，恒大前场再攻，李学鹏的传中找没回防的冯潇霆，冯潇霆的抢点头球顶偏了
66'恒大的右侧角球机会，开出到禁区                   65'第65分钟，恒大前场再攻，李学鹏的传中找没回防的冯潇霆，冯潇霆的抢点头球顶偏了
66'第一点被解围，保利尼奥左路拿球再组织                   65'第65分钟，恒大前场再攻，李学鹏的传中找没回防的冯潇霆，冯潇霆的抢点头球顶偏了
67'分球上来的李学鹏，挑传禁区找黄博文                   65'第65分钟，恒大前场再攻，李学鹏的传中找没回防的冯潇霆，冯潇霆的抢点头球顶偏了
67'周云抢先将球解围出来                   65'第65分钟，恒大前场再攻，李学鹏的传中找没回防的冯潇霆，冯潇霆的抢点头球顶偏了
