8'赫罗纳的右侧角球机会！！                   8'第8分钟，贝尔送出直传，本泽马禁区左侧单刀破门因越位在先被判无效
19'皇马中场失误，赫罗纳的反击再来                   16'赫罗纳第16分钟取得领先，波罗传球，洛萨诺突入禁区右侧的射门被封堵，博尔哈-加西亚中路13码处射入右上角
19'加西亚左路拿球，卡塞米罗的上抢犯规！                   16'赫罗纳第16分钟取得领先，波罗传球，洛萨诺突入禁区右侧的射门被封堵，博尔哈-加西亚中路13码处射入右上角
19'赫罗纳快发任意球，洛萨诺中路拿球                   16'赫罗纳第16分钟取得领先，波罗传球，洛萨诺突入禁区右侧的射门被封堵，博尔哈-加西亚中路13码处射入右上角
19'斜塞身后找前插的波图格斯                   16'赫罗纳第16分钟取得领先，波罗传球，洛萨诺突入禁区右侧的射门被封堵，博尔哈-加西亚中路13码处射入右上角
19'单刀？裁判鸣哨了，越位在先！！                   16'赫罗纳第16分钟取得领先，波罗传球，洛萨诺突入禁区右侧的射门被封堵，博尔哈-加西亚中路13码处射入右上角
39'拉莫斯主罚，一蹴而就！！                   39'皇马第39分钟扳平，贝尔左路传中，伊斯科近距离捅射被博诺救出，本泽马小禁区前补射又被封堵，穆涅萨12码处绊倒阿森西奥被判极刑，拉莫斯主罚勺子点球命中，1-1
39'场上比分来到了1-1！！！                   39'皇马第39分钟扳平，贝尔左路传中，伊斯科近距离捅射被博诺救出，本泽马小禁区前补射又被封堵，穆涅萨12码处绊倒阿森西奥被判极刑，拉莫斯主罚勺子点球命中，1-1
40'这球拉莫斯虚晃，等待亚辛先动，打中路得手！！                   39'皇马第39分钟扳平，贝尔左路传中，伊斯科近距离捅射被博诺救出，本泽马小禁区前补射又被封堵，穆涅萨12码处绊倒阿森西奥被判极刑，拉莫斯主罚勺子点球命中，1-1
41'赫罗纳前场进攻，洛萨诺的右路内切打门，被挡出底线！                   39'皇马第39分钟扳平，贝尔左路传中，伊斯科近距离捅射被博诺救出，本泽马小禁区前补射又被封堵，穆涅萨12码处绊倒阿森西奥被判极刑，拉莫斯主罚勺子点球命中，1-1
42'赫罗纳获得右侧角球机会！！                   39'皇马第39分钟扳平，贝尔左路传中，伊斯科近距离捅射被博诺救出，本泽马小禁区前补射又被封堵，穆涅萨12码处绊倒阿森西奥被判极刑，拉莫斯主罚勺子点球命中，1-1
42'角球开出到后点，卡塞米罗头球解围                   39'皇马第39分钟扳平，贝尔左路传中，伊斯科近距离捅射被博诺救出，本泽马小禁区前补射又被封堵，穆涅萨12码处绊倒阿森西奥被判极刑，拉莫斯主罚勺子点球命中，1-1
42'马塞洛前场左路拿球，强突转身                   39'皇马第39分钟扳平，贝尔左路传中，伊斯科近距离捅射被博诺救出，本泽马小禁区前补射又被封堵，穆涅萨12码处绊倒阿森西奥被判极刑，拉莫斯主罚勺子点球命中，1-1
42'可惜球没拉过去，被波罗抢断                   39'皇马第39分钟扳平，贝尔左路传中，伊斯科近距离捅射被博诺救出，本泽马小禁区前补射又被封堵，穆涅萨12码处绊倒阿森西奥被判极刑，拉莫斯主罚勺子点球命中，1-1
42'波罗的反击，带过中线                   39'皇马第39分钟扳平，贝尔左路传中，伊斯科近距离捅射被博诺救出，本泽马小禁区前补射又被封堵，穆涅萨12码处绊倒阿森西奥被判极刑，拉莫斯主罚勺子点球命中，1-1
52'这次本泽马主罚，推射打进！！                   52'皇马第52分钟反超比分，庞斯禁区内传球被挡，阿森西奥断球突破后又被绊倒，本泽马点球低射右下角入网，2-1
52'皇马反超比分，2-1！！                   52'皇马第52分钟反超比分，庞斯禁区内传球被挡，阿森西奥断球突破后又被绊倒，本泽马点球低射右下角入网，2-1
52'拉莫斯将点球机会让给了本泽马，让射手找找感觉！！                   52'皇马第52分钟反超比分，庞斯禁区内传球被挡，阿森西奥断球突破后又被绊倒，本泽马点球低射右下角入网，2-1
53'本泽马助跑虚晃，博诺扑向自己的右侧，本泽马推射打进另一侧！！                   52'皇马第52分钟反超比分，庞斯禁区内传球被挡，阿森西奥断球突破后又被绊倒，本泽马点球低射右下角入网，2-1
54'波罗右路的过顶长传找波图                   52'皇马第52分钟反超比分，庞斯禁区内传球被挡，阿森西奥断球突破后又被绊倒，本泽马点球低射右下角入网，2-1
54'拉莫斯补防将球解围                   52'皇马第52分钟反超比分，庞斯禁区内传球被挡，阿森西奥断球突破后又被绊倒，本泽马点球低射右下角入网，2-1
54'马塞洛回防再拿，脚背一垫，结果直接出边线                   52'皇马第52分钟反超比分，庞斯禁区内传球被挡，阿森西奥断球突破后又被绊倒，本泽马点球低射右下角入网，2-1
54'赫罗纳前场左路的进攻，加西亚斜塞身后找前插的波图                   52'皇马第52分钟反超比分，庞斯禁区内传球被挡，阿森西奥断球突破后又被绊倒，本泽马点球低射右下角入网，2-1
55'纳瓦斯出击，倒地从波图脚下将球没收！                   52'皇马第52分钟反超比分，庞斯禁区内传球被挡，阿森西奥断球突破后又被绊倒，本泽马点球低射右下角入网，2-1
55'赫罗纳的左路传中到后点，马塞洛的回防将球解围出底线                   52'皇马第52分钟反超比分，庞斯禁区内传球被挡，阿森西奥断球突破后又被绊倒，本泽马点球低射右下角入网，2-1
55'赫罗纳本场第4个角球，比皇马多2个 ！！                   52'皇马第52分钟反超比分，庞斯禁区内传球被挡，阿森西奥断球突破后又被绊倒，本泽马点球低射右下角入网，2-1
59'狂奔到前场，面对卡瓦哈尔的补防                   59'皇马第59分钟扩大优势，伊斯科直传，贝尔外线速度超车并摆脱穆涅萨后禁区边缘单刀推射入网，3-1
59'变向摆脱，中路再突                   59'皇马第59分钟扩大优势，伊斯科直传，贝尔外线速度超车并摆脱穆涅萨后禁区边缘单刀推射入网，3-1
59'纳瓦斯出击到禁区外，一个滑铲将球破坏出边线                   59'皇马第59分钟扩大优势，伊斯科直传，贝尔外线速度超车并摆脱穆涅萨后禁区边缘单刀推射入网，3-1
59'纳瓦斯这个出击很关键啊！！                   59'皇马第59分钟扩大优势，伊斯科直传，贝尔外线速度超车并摆脱穆涅萨后禁区边缘单刀推射入网，3-1
59'赫罗纳的换人：7号斯图亚尼上，换下了19号洛萨诺！！                   59'皇马第59分钟扩大优势，伊斯科直传，贝尔外线速度超车并摆脱穆涅萨后禁区边缘单刀推射入网，3-1
59'皇马后场抢断，反击了                   59'皇马第59分钟扩大优势，伊斯科直传，贝尔外线速度超车并摆脱穆涅萨后禁区边缘单刀推射入网，3-1
60'长传球给到右路的贝尔                   59'皇马第59分钟扩大优势，伊斯科直传，贝尔外线速度超车并摆脱穆涅萨后禁区边缘单刀推射入网，3-1
60'外道超车，直奔禁区！！                   59'皇马第59分钟扩大优势，伊斯科直传，贝尔外线速度超车并摆脱穆涅萨后禁区边缘单刀推射入网，3-1
60'3-1！！！                   59'皇马第59分钟扩大优势，伊斯科直传，贝尔外线速度超车并摆脱穆涅萨后禁区边缘单刀推射入网，3-1
60'贝尔！！！                   59'皇马第59分钟扩大优势，伊斯科直传，贝尔外线速度超车并摆脱穆涅萨后禁区边缘单刀推射入网，3-1
61'皇马后场抢断，斜塞身后找贝尔，贝尔外道超车摆脱穆涅萨，带球直奔禁区，禁区线上面对出击的博诺，左脚推射打远角得分！！                   59'皇马第59分钟扩大优势，伊斯科直传，贝尔外线速度超车并摆脱穆涅萨后禁区边缘单刀推射入网，3-1
61'皇马完成换人：5号瓦拉内上，换下了12号马塞洛！！                   59'皇马第59分钟扩大优势，伊斯科直传，贝尔外线速度超车并摆脱穆涅萨后禁区边缘单刀推射入网，3-1
80'赫罗纳第三次换人：11号贝尼特兹上，换下了29号波罗！                   80'第80分钟，贝尔右路突破低传，本泽马小禁区前停球后劲射入网，4-1
80'皇马再进一个，4-1！！                   80'第80分钟，贝尔右路突破低传，本泽马小禁区前停球后劲射入网，4-1
80'本泽马！！                   80'第80分钟，贝尔右路突破低传，本泽马小禁区前停球后劲射入网，4-1
81'莫德里奇禁区右上角拿球，回传贝尔，贝尔右路强突，横传门前，本泽马跟进停球，推射打进！！                   80'第80分钟，贝尔右路突破低传，本泽马小禁区前停球后劲射入网，4-1
81'裁判再和视频裁判组沟通，看看本泽马是否越位！！                   80'第80分钟，贝尔右路突破低传，本泽马小禁区前停球后劲射入网，4-1
82'经过反复确认，裁判坚持判罚，进球有效！！！                   80'第80分钟，贝尔右路突破低传，本泽马小禁区前停球后劲射入网，4-1
83'卡瓦哈尔右路拿球，面对胡安佩的防守                   80'第80分钟，贝尔右路突破低传，本泽马小禁区前停球后劲射入网，4-1
83'人球分过，可惜没能成功                   80'第80分钟，贝尔右路突破低传，本泽马小禁区前停球后劲射入网，4-1
