1'比赛开始了，瓦伦西亚开球                   1'巴萨第1分钟展开积极攻势
15'梅西右路分给罗贝托，回敲皮克，在给小马哥                   12'第12分钟，梅西快发任意球长传，反越位成功的内马尔禁区边缘单刀凌空挑射，回退中的阿尔维斯奋力将皮球扑出
15'中间布斯克茨给小白，拉基蒂奇给右路                   12'第12分钟，梅西快发任意球长传，反越位成功的内马尔禁区边缘单刀凌空挑射，回退中的阿尔维斯奋力将皮球扑出
22'巴萨左路直塞，苏神拉边拿球                   22'巴萨第22分钟再次错过机会，马斯切拉诺前点接角球后蹭，但苏亚雷斯的近距离头球攻门稍稍高出
22'苏神转身强行往底线冲，造成角球                   22'巴萨第22分钟再次错过机会，马斯切拉诺前点接角球后蹭，但苏亚雷斯的近距离头球攻门稍稍高出
22'小白角球开出，小马哥前门柱头球一蹭                   22'巴萨第22分钟再次错过机会，马斯切拉诺前点接角球后蹭，但苏亚雷斯的近距离头球攻门稍稍高出
22'门前苏神距离大门1米的位置，头球顶高了                   22'巴萨第22分钟再次错过机会，马斯切拉诺前点接角球后蹭，但苏亚雷斯的近距离头球攻门稍稍高出
23'这个球小马哥蹭了一下之后球速很快，苏神也是反应不及                   22'巴萨第22分钟再次错过机会，马斯切拉诺前点接角球后蹭，但苏亚雷斯的近距离头球攻门稍稍高出
23'布斯克茨中场拿球被对手侵犯                   22'巴萨第22分钟再次错过机会，马斯切拉诺前点接角球后蹭，但苏亚雷斯的近距离头球攻门稍稍高出
23'小马哥后场给到皮克，罗贝托拿球，巴萨在后场倒脚                   22'巴萨第22分钟再次错过机会，马斯切拉诺前点接角球后蹭，但苏亚雷斯的近距离头球攻门稍稍高出
24'皮克长传打在对方身上出了边线                   22'巴萨第22分钟再次错过机会，马斯切拉诺前点接角球后蹭，但苏亚雷斯的近距离头球攻门稍稍高出
24'巴萨回敲门将布拉沃，左路给到阿尔巴                   22'巴萨第22分钟再次错过机会，马斯切拉诺前点接角球后蹭，但苏亚雷斯的近距离头球攻门稍稍高出
24'瓦伦西亚突然的前场高压逼抢                   22'巴萨第22分钟再次错过机会，马斯切拉诺前点接角球后蹭，但苏亚雷斯的近距离头球攻门稍稍高出
24'阿尔巴在帕雷霍的压力下停球打手犯规了                   22'巴萨第22分钟再次错过机会，马斯切拉诺前点接角球后蹭，但苏亚雷斯的近距离头球攻门稍稍高出
25'任意球开出，禁区内找后点                   22'巴萨第22分钟再次错过机会，马斯切拉诺前点接角球后蹭，但苏亚雷斯的近距离头球攻门稍稍高出
25'布拉沃出击把球摘下来                   22'巴萨第22分钟再次错过机会，马斯切拉诺前点接角球后蹭，但苏亚雷斯的近距离头球攻门稍稍高出
25'布拉沃大脚发起长传反击，准确给内少                   22'巴萨第22分钟再次错过机会，马斯切拉诺前点接角球后蹭，但苏亚雷斯的近距离头球攻门稍稍高出
25'内少大师级的停球，往前走                   22'巴萨第22分钟再次错过机会，马斯切拉诺前点接角球后蹭，但苏亚雷斯的近距离头球攻门稍稍高出
25'禁区前沿脚后跟传给梅西                   22'巴萨第22分钟再次错过机会，马斯切拉诺前点接角球后蹭，但苏亚雷斯的近距离头球攻门稍稍高出
25'梅西禁区外瞄准了打，阿尔维斯侧扑挡出                   22'巴萨第22分钟再次错过机会，马斯切拉诺前点接角球后蹭，但苏亚雷斯的近距离头球攻门稍稍高出
26'瓦伦西亚破门了                   26'瓦伦西亚第26分钟取得领先，帕雷霍分球，戈麦斯直传，西凯拉禁区左侧小角度射门打在封堵的拉基蒂奇腿上偏转入近角
26'西奎拉的破门                   26'瓦伦西亚第26分钟取得领先，帕雷霍分球，戈麦斯直传，西凯拉禁区左侧小角度射门打在封堵的拉基蒂奇腿上偏转入近角
27'中路帕雷霍前场分边到左侧的戈麦斯，在直塞插上的西奎拉，西奎拉左肋拿球突破到底线，拉基蒂奇在跟，西奎拉突然射向近角，布拉沃准备不足，没有扑到                   26'瓦伦西亚第26分钟取得领先，帕雷霍分球，戈麦斯直传，西凯拉禁区左侧小角度射门打在封堵的拉基蒂奇腿上偏转入近角
28'这个球大家都以为西奎拉会传中，但西奎拉突发奇想，搓了一脚直接奔向球门近角                   26'瓦伦西亚第26分钟取得领先，帕雷霍分球，戈麦斯直传，西凯拉禁区左侧小角度射门打在封堵的拉基蒂奇腿上偏转入近角
28'巴萨的进攻更加疯狂了                   26'瓦伦西亚第26分钟取得领先，帕雷霍分球，戈麦斯直传，西凯拉禁区左侧小角度射门打在封堵的拉基蒂奇腿上偏转入近角
28'左路底线附近的配合，再次赢得角球                   26'瓦伦西亚第26分钟取得领先，帕雷霍分球，戈麦斯直传，西凯拉禁区左侧小角度射门打在封堵的拉基蒂奇腿上偏转入近角
29'小白开入禁区，前点争了一下                   26'瓦伦西亚第26分钟取得领先，帕雷霍分球，戈麦斯直传，西凯拉禁区左侧小角度射门打在封堵的拉基蒂奇腿上偏转入近角
29'瓦伦西亚把球解围出来                   26'瓦伦西亚第26分钟取得领先，帕雷霍分球，戈麦斯直传，西凯拉禁区左侧小角度射门打在封堵的拉基蒂奇腿上偏转入近角
29'小白左路高速突破，对方有身体接触，小白倒地                   26'瓦伦西亚第26分钟取得领先，帕雷霍分球，戈麦斯直传，西凯拉禁区左侧小角度射门打在封堵的拉基蒂奇腿上偏转入近角
29'主裁没有吹                   26'瓦伦西亚第26分钟取得领先，帕雷霍分球，戈麦斯直传，西凯拉禁区左侧小角度射门打在封堵的拉基蒂奇腿上偏转入近角
29'罗贝托右路上来，给苏神，在回做一下                   26'瓦伦西亚第26分钟取得领先，帕雷霍分球，戈麦斯直传，西凯拉禁区左侧小角度射门打在封堵的拉基蒂奇腿上偏转入近角
47'瓦伦西亚阵地进攻，连续传递给到弧顶帕雷霍，米纳左肋插上，帕雷霍及时直塞很巧妙，米纳右脚推射远角，布拉沃碰了一下，但球还是进了                   47'巴萨第47分钟再次浪费机会，梅西直传，苏亚雷斯禁区右侧回敲，但拉基蒂奇12码处低射偏出近角
47'巴萨又是右侧防守出问题，两个球都是从右路罗贝托这边打进的                   47'巴萨第47分钟再次浪费机会，梅西直传，苏亚雷斯禁区右侧回敲，但拉基蒂奇12码处低射偏出近角
47'这个时候裁判吹响了上半场结束的哨音                   47'巴萨第47分钟再次浪费机会，梅西直传，苏亚雷斯禁区右侧回敲，但拉基蒂奇12码处低射偏出近角
47'梅西右路直塞，禁区内好机会                   47'巴萨第47分钟再次浪费机会，梅西直传，苏亚雷斯禁区右侧回敲，但拉基蒂奇12码处低射偏出近角
47'梅西准确的直塞给到插上的苏神，苏神下底，倒三角回来                   47'巴萨第47分钟再次浪费机会，梅西直传，苏亚雷斯禁区右侧回敲，但拉基蒂奇12码处低射偏出近角
47'拉基蒂奇跟上射门，偏了一些                   47'巴萨第47分钟再次浪费机会，梅西直传，苏亚雷斯禁区右侧回敲，但拉基蒂奇12码处低射偏出近角
48'拉基蒂奇这个球如果在冷静一些，横拨给位置更好的内少，那就更好了                   47'巴萨第47分钟再次浪费机会，梅西直传，苏亚雷斯禁区右侧回敲，但拉基蒂奇12码处低射偏出近角
48'小白前场得球，直塞进去                   47'巴萨第47分钟再次浪费机会，梅西直传，苏亚雷斯禁区右侧回敲，但拉基蒂奇12码处低射偏出近角
48'苏神禁区内高速奔跑，越位了                   47'巴萨第47分钟再次浪费机会，梅西直传，苏亚雷斯禁区右侧回敲，但拉基蒂奇12码处低射偏出近角
48'慢镜头来看，是探出半个身位                   47'巴萨第47分钟再次浪费机会，梅西直传，苏亚雷斯禁区右侧回敲，但拉基蒂奇12码处低射偏出近角
48'穆斯塔菲受伤倒地，刚才拼抢中应该是被苏神鞋钉碰了一下                   47'巴萨第47分钟再次浪费机会，梅西直传，苏亚雷斯禁区右侧回敲，但拉基蒂奇12码处低射偏出近角
49'西奎拉左路直塞给戈麦斯，后者越位了                   47'巴萨第47分钟再次浪费机会，梅西直传，苏亚雷斯禁区右侧回敲，但拉基蒂奇12码处低射偏出近角
49'阿卜杜努尔后场把球拦截                   47'巴萨第47分钟再次浪费机会，梅西直传，苏亚雷斯禁区右侧回敲，但拉基蒂奇12码处低射偏出近角
50'巴萨中场重新组织，左路长甩给身后，内少跟上                   47'巴萨第47分钟再次浪费机会，梅西直传，苏亚雷斯禁区右侧回敲，但拉基蒂奇12码处低射偏出近角
50'球分的比较大，出了底线                   47'巴萨第47分钟再次浪费机会，梅西直传，苏亚雷斯禁区右侧回敲，但拉基蒂奇12码处低射偏出近角
50'小马哥前场长传转移，找右路的拉基蒂奇                   47'巴萨第47分钟再次浪费机会，梅西直传，苏亚雷斯禁区右侧回敲，但拉基蒂奇12码处低射偏出近角
50'又是给大了，追不上了                   47'巴萨第47分钟再次浪费机会，梅西直传，苏亚雷斯禁区右侧回敲，但拉基蒂奇12码处低射偏出近角
63'被对方铲出边线                   63'巴萨第63分钟扳回一城，梅西突破斜传，阿尔巴禁区左侧传中，梅西10码处低射破门，1-2
63'巴萨禁区前沿的配合，布斯克茨转移左路                   63'巴萨第63分钟扳回一城，梅西突破斜传，阿尔巴禁区左侧传中，梅西10码处低射破门，1-2
63'阿尔巴在给内少，交给小白                   63'巴萨第63分钟扳回一城，梅西突破斜传，阿尔巴禁区左侧传中，梅西10码处低射破门，1-2
63'小白往中路敲，在送直塞到禁区内                   63'巴萨第63分钟扳回一城，梅西突破斜传，阿尔巴禁区左侧传中，梅西10码处低射破门，1-2
63'球给偏了                   63'巴萨第63分钟扳回一城，梅西突破斜传，阿尔巴禁区左侧传中，梅西10码处低射破门，1-2
64'巴萨进球了                   63'巴萨第63分钟扳回一城，梅西突破斜传，阿尔巴禁区左侧传中，梅西10码处低射破门，1-2
64'狂攻终于有收获，梅西的破门，个人生涯第500球                   63'巴萨第63分钟扳回一城，梅西突破斜传，阿尔巴禁区左侧传中，梅西10码处低射破门，1-2
64'梅西为巴萨打入450球，为国家队打入50球                   63'巴萨第63分钟扳回一城，梅西突破斜传，阿尔巴禁区左侧传中，梅西10码处低射破门，1-2
65'梅西禁区弧顶分左路，给到插上的阿尔巴，自己低头往禁区内插上，阿尔巴低球横敲进去，梅西推射打入右下角                   63'巴萨第63分钟扳回一城，梅西突破斜传，阿尔巴禁区左侧传中，梅西10码处低射破门，1-2
65'瓦伦西亚左路角球                   63'巴萨第63分钟扳回一城，梅西突破斜传，阿尔巴禁区左侧传中，梅西10码处低射破门，1-2
66'瓦伦西亚的球员动作很慢，巴萨这边着急啊                   63'巴萨第63分钟扳回一城，梅西突破斜传，阿尔巴禁区左侧传中，梅西10码处低射破门，1-2
66'恩里克提醒裁判，不管对方怎么耽搁，你要把时间给补回来                   63'巴萨第63分钟扳回一城，梅西突破斜传，阿尔巴禁区左侧传中，梅西10码处低射破门，1-2
66'角球开前点，巴萨挡出来                   63'巴萨第63分钟扳回一城，梅西突破斜传，阿尔巴禁区左侧传中，梅西10码处低射破门，1-2
66'外围跟上再射一脚，被拉基蒂奇挡出                   63'巴萨第63分钟扳回一城，梅西突破斜传，阿尔巴禁区左侧传中，梅西10码处低射破门，1-2
87'慢镜头显示，坎塞洛有表演成分啊，内少动作比较凶，但实际没碰到他                   87'瓦伦西亚第87分钟险些锁定胜局，帕科小禁区前错过罗德里戈的左路传中
87'帕雷霍带动全队和巴萨起冲突啊，就是勾火啊，这也是瓦伦西亚的战术                   87'瓦伦西亚第87分钟险些锁定胜局，帕科小禁区前错过罗德里戈的左路传中
88'瓦伦西亚有绝杀锁定胜局的机会啊                   87'瓦伦西亚第87分钟险些锁定胜局，帕科小禁区前错过罗德里戈的左路传中
88'前场左路，反击过来，传中到门前                   87'瓦伦西亚第87分钟险些锁定胜局，帕科小禁区前错过罗德里戈的左路传中
89'帕科后点无人盯防，推射居然打呲了，没有奔球门去啊                   87'瓦伦西亚第87分钟险些锁定胜局，帕科小禁区前错过罗德里戈的左路传中
89'罗德里格被替下，加亚登场                   87'瓦伦西亚第87分钟险些锁定胜局，帕科小禁区前错过罗德里戈的左路传中
89'皮克禁区内有机会啊                   87'瓦伦西亚第87分钟险些锁定胜局，帕科小禁区前错过罗德里戈的左路传中
89'小白左路突破杀到禁区边缘，起球到禁区内                   87'瓦伦西亚第87分钟险些锁定胜局，帕科小禁区前错过罗德里戈的左路传中
90'皮克胸部一停，小禁区前从容的打门，居然射偏了                   87'瓦伦西亚第87分钟险些锁定胜局，帕科小禁区前错过罗德里戈的左路传中
90'皮克现在压到了前面，当站桩中锋，效果不错，但这个机会太好了，居然没把握                   87'瓦伦西亚第87分钟险些锁定胜局，帕科小禁区前错过罗德里戈的左路传中
90'戈麦斯防守犯规                   87'瓦伦西亚第87分钟险些锁定胜局，帕科小禁区前错过罗德里戈的左路传中
90'下半场补时3分钟                   87'瓦伦西亚第87分钟险些锁定胜局，帕科小禁区前错过罗德里戈的左路传中
