1'索伦森将球处理出底线,国际米兰获得角球.                   1'赛前为撒丁岛洪灾遇难者默哀1分钟
45'坎帕尼亚罗为国际米兰赢得一个任意球.                   43'第43分钟，泰德尔禁区右侧低传穿过门前，佩雷拉后点小角度打门又没能过线，泰德尔远端越位
45'Diego Pérez为博洛尼亚赢得一个任意球.                   43'第43分钟，泰德尔禁区右侧低传穿过门前，佩雷拉后点小角度打门又没能过线，泰德尔远端越位
45'国际米兰球员阿尔瓦雷斯拼抢犯规,对手获得控球权.                   43'第43分钟，泰德尔禁区右侧低传穿过门前，佩雷拉后点小角度打门又没能过线，泰德尔远端越位
45'+1'博洛尼亚球员索伦森拼抢犯规,对手获得控球权.                   43'第43分钟，泰德尔禁区右侧低传穿过门前，佩雷拉后点小角度打门又没能过线，泰德尔远端越位
45'+1'帕拉西奥为国际米兰在左路,赢得一个任意球.                   43'第43分钟，泰德尔禁区右侧低传穿过门前，佩雷拉后点小角度打门又没能过线，泰德尔远端越位
45'+2'国际米兰球员瓜林大禁区外右脚射门,被防守球员封堵.                   43'第43分钟，泰德尔禁区右侧低传穿过门前，佩雷拉后点小角度打门又没能过线，泰德尔远端越位
45'+2'里斯塔尔多将球处理出底线,国际米兰获得角球.                   43'第43分钟，泰德尔禁区右侧低传穿过门前，佩雷拉后点小角度打门又没能过线，泰德尔远端越位
45'+2'上半场结束,博洛尼亚 1-0 国际米兰,稍事休息,我们一会来看看下半场两队的表现.                   43'第43分钟，泰德尔禁区右侧低传穿过门前，佩雷拉后点小角度打门又没能过线，泰德尔远端越位
45'博洛尼亚换人,比安奇上,里斯塔尔多因伤下场.                   43'第43分钟，泰德尔禁区右侧低传穿过门前，佩雷拉后点小角度打门又没能过线，泰德尔远端越位
46'P-科内为博洛尼亚在右路,赢得一个任意球.                   43'第43分钟，泰德尔禁区右侧低传穿过门前，佩雷拉后点小角度打门又没能过线，泰德尔远端越位
46'国际米兰球员佩雷拉拼抢犯规,对手获得控球权.                   43'第43分钟，泰德尔禁区右侧低传穿过门前，佩雷拉后点小角度打门又没能过线，泰德尔远端越位
51'进球啦！！！国际米兰球员若纳坦大禁区右侧右脚射门,球从右下角飞进球门,球进了!助攻的是瓜林. 博洛尼亚 1-1 国际米兰.                   51'开始6分钟，瓜林中路突破分球，若纳坦右肋突入禁区距门13米处斜射被瑟伦森左脚尖一捅变线入网，1比1
52'博洛尼亚球员Diego Pérez一脚直塞球给迪亚曼蒂,但是边裁举旗显示后者已经越位.                   51'开始6分钟，瓜林中路突破分球，若纳坦右肋突入禁区距门13米处斜射被瑟伦森左脚尖一捅变线入网，1比1
53'国际米兰球员阿尔瓦雷斯一脚直塞球给佩雷拉,但是边裁举旗显示后者已经越位.                   51'开始6分钟，瓜林中路突破分球，若纳坦右肋突入禁区距门13米处斜射被瑟伦森左脚尖一捅变线入网，1比1
54'射门!!!国际米兰球员坎比亚索大禁区外左脚射门,被对方守门员横身扑出.给他传球的是泰德尔.                   51'开始6分钟，瓜林中路突破分球，若纳坦右肋突入禁区距门13米处斜射被瑟伦森左脚尖一捅变线入网，1比1
60'国际米兰球员坎比亚索大禁区中央尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是科瓦契奇.                   60'第60分钟，科瓦契奇右路传中，坎比亚索前点距门7米处左大腿垫射偏出近门柱
61'博洛尼亚球员Diego Pérez一脚直塞球给比安奇,但是边裁举旗显示后者已经越位.                   60'第60分钟，科瓦契奇右路传中，坎比亚索前点距门7米处左大腿垫射偏出近门柱
62'国际米兰球员帕拉西奥大禁区右侧右脚射门,被防守球员封堵.给他传球的是坎比亚索.                   60'第60分钟，科瓦契奇右路传中，坎比亚索前点距门7米处左大腿垫射偏出近门柱
62'射门!!!国际米兰球员瓜林大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是阿尔瓦雷斯.                   60'第60分钟，科瓦契奇右路传中，坎比亚索前点距门7米处左大腿垫射偏出近门柱
62'索伦森将球处理出底线,国际米兰获得角球.                   60'第60分钟，科瓦契奇右路传中，坎比亚索前点距门7米处左大腿垫射偏出近门柱
62'博洛尼亚球员库尔奇被主裁判出示了一张黄牌.                   60'第60分钟，科瓦契奇右路传中，坎比亚索前点距门7米处左大腿垫射偏出近门柱
63'国际米兰球员阿尔瓦雷斯大禁区左侧尝试右脚射门,可惜皮球高出右上角球门.给他传球的是佩雷拉.                   60'第60分钟，科瓦契奇右路传中，坎比亚索前点距门7米处左大腿垫射偏出近门柱
71'国际米兰球员瓜林大禁区中央尝试右脚射门,可惜皮球偏出球门.给他传球的是若纳坦.                   71'第71分钟，若纳坦禁区右侧低传，瓜林点球点推射掠过横梁
85'博洛尼亚球员P-科内大禁区左侧尝试右脚射门,可惜皮球高出球门.给他传球的是迪亚曼蒂.                   85'第85分钟，迪亚曼蒂传球，科内禁区左侧倒钩高出
85'国际米兰换人,贝尔福迪换下坎帕尼亚罗                   85'第85分钟，迪亚曼蒂传球，科内禁区左侧倒钩高出
86'索伦森为博洛尼亚赢得一个任意球.                   85'第85分钟，迪亚曼蒂传球，科内禁区左侧倒钩高出
86'国际米兰球员瓜林拼抢犯规,对手获得控球权.                   85'第85分钟，迪亚曼蒂传球，科内禁区左侧倒钩高出
88'博洛尼亚球员P-科内大禁区外尝试右脚射门,可惜皮球高出右上角球门.给他传球的是科尔辛.                   85'第85分钟，迪亚曼蒂传球，科内禁区左侧倒钩高出
89'国际米兰球员阿尔瓦雷斯大禁区外尝试左脚射门,可惜皮球稍稍高出球门.给他传球的是瓜林.                   89'第89分钟，阿尔瓦雷斯禁区前沿左脚抽射偏出左门角
90'+1'纳塔利将球处理出底线,国际米兰获得角球.                   89'第89分钟，阿尔瓦雷斯禁区前沿左脚抽射偏出左门角
90'+1'射门!!!国际米兰球员罗兰多大禁区中央头球,被对方守门员横身扑出.给他传球的是若纳坦.                   89'第89分钟，阿尔瓦雷斯禁区前沿左脚抽射偏出左门角
90'+1'P-科内将球处理出底线,国际米兰获得角球.                   89'第89分钟，阿尔瓦雷斯禁区前沿左脚抽射偏出左门角
90'+1'比安奇将球处理出底线,国际米兰获得角球.                   89'第89分钟，阿尔瓦雷斯禁区前沿左脚抽射偏出左门角
90'+2'国际米兰球员胡安大禁区左侧左脚射门,命中门柱横梁.                   89'第89分钟，阿尔瓦雷斯禁区前沿左脚抽射偏出左门角
90'+3'下半场结束,博洛尼亚 1-1 国际米兰                   89'第89分钟，阿尔瓦雷斯禁区前沿左脚抽射偏出左门角
