1'傅明一声哨响，上半场比赛开始了                   1'第1分钟，主场作战的山东鲁能更占优势
22'鲁能是越战越勇啊，又是一次绝对的必进机会，被顾超拒之门外                   19'第19分钟，山东鲁能打破僵局
22'塔尔德利中路送出斜传，郑铮左侧插上形成单刀                   19'第19分钟，山东鲁能打破僵局
21'郑铮左路45度斜吊禁区，杨旭前点吸引防守但没有顶到，后点乌索后插上，摆脱范晓冬一记重重的头槌被顾超挡出，乌索第二下再补，打进                   21'第21分钟，山东鲁能错失良机
21'主场作战的鲁能顺利的打开了胜利之门                   21'第21分钟，山东鲁能错失良机
22'鲁能是越战越勇啊，又是一次绝对的必进机会，被顾超拒之门外                   21'第21分钟，山东鲁能错失良机
22'塔尔德利中路送出斜传，郑铮左侧插上形成单刀                   21'第21分钟，山东鲁能错失良机
23'郑铮面对出击的顾超，一记打门被封堵出来                   21'第21分钟，山东鲁能错失良机
23'绿城很快扳平了比分                   21'第21分钟，山东鲁能错失良机
23'小将罗竞进球                   21'第21分钟，山东鲁能错失良机
23'绿城在非常被动的局势下扳平了比分                   21'第21分钟，山东鲁能错失良机
24'博桑季奇禁区前沿拿球吸引防守，送出漂亮的助攻，罗竞右侧插入禁区内，虽然第一下没有停好，但面对出击的王大雷，罗竞铲射打穿了王大雷的小门入网                   21'第21分钟，山东鲁能错失良机
23'郑铮面对出击的顾超，一记打门被封堵出来                   23'第23分钟，杭州绿城快速反击，郑铮一侧失位，博桑季奇送出斜塞，罗竟快速插上单刀破门，场上比分变为1-1平
23'绿城很快扳平了比分                   23'第23分钟，杭州绿城快速反击，郑铮一侧失位，博桑季奇送出斜塞，罗竟快速插上单刀破门，场上比分变为1-1平
23'小将罗竞进球                   23'第23分钟，杭州绿城快速反击，郑铮一侧失位，博桑季奇送出斜塞，罗竟快速插上单刀破门，场上比分变为1-1平
23'绿城在非常被动的局势下扳平了比分                   23'第23分钟，杭州绿城快速反击，郑铮一侧失位，博桑季奇送出斜塞，罗竟快速插上单刀破门，场上比分变为1-1平
24'博桑季奇禁区前沿拿球吸引防守，送出漂亮的助攻，罗竞右侧插入禁区内，虽然第一下没有停好，但面对出击的王大雷，罗竞铲射打穿了王大雷的小门入网                   23'第23分钟，杭州绿城快速反击，郑铮一侧失位，博桑季奇送出斜塞，罗竟快速插上单刀破门，场上比分变为1-1平
25'两队打的甚是好看啊，连续的两个进球掀起了高潮                   23'第23分钟，杭州绿城快速反击，郑铮一侧失位，博桑季奇送出斜塞，罗竟快速插上单刀破门，场上比分变为1-1平
25'鲁能中路交给蒿俊闵，蒿俊闵转身突入禁区，一扣，被补防的后卫捅掉                   23'第23分钟，杭州绿城快速反击，郑铮一侧失位，博桑季奇送出斜塞，罗竟快速插上单刀破门，场上比分变为1-1平
25'塔尔德利禁区内还有，曹轩果断的铲抢，干脆利落的把球解围                   23'第23分钟，杭州绿城快速反击，郑铮一侧失位，博桑季奇送出斜塞，罗竟快速插上单刀破门，场上比分变为1-1平
26'鲁能前场获得一个定位球                   23'第23分钟，杭州绿城快速反击，郑铮一侧失位，博桑季奇送出斜塞，罗竟快速插上单刀破门，场上比分变为1-1平
26'鲁能把球搓入禁区内，乌索头球摆渡，冯刚解围出边线                   23'第23分钟，杭州绿城快速反击，郑铮一侧失位，博桑季奇送出斜塞，罗竟快速插上单刀破门，场上比分变为1-1平
26'金敬道右路传球意图比较明显，被对方解围出来                   23'第23分钟，杭州绿城快速反击，郑铮一侧失位，博桑季奇送出斜塞，罗竟快速插上单刀破门，场上比分变为1-1平
29'谢鹏飞禁区内得球，尤西雷防守有些乱，谢鹏飞转身一记抽射，打高了                   29'第29分钟，山东鲁能后卫解围失误，谢鹏飞断球晃过尤西雷小角度射门，球稍稍高出横梁
30'鲁能的防线要注意了，绿城一共也没几次进攻，但威胁却制造的不小                   29'第29分钟，山东鲁能后卫解围失误，谢鹏飞断球晃过尤西雷小角度射门，球稍稍高出横梁
30'罗竞前场拼抢积极，从身后绊倒了尤西雷犯规                   29'第29分钟，山东鲁能后卫解围失误，谢鹏飞断球晃过尤西雷小角度射门，球稍稍高出横梁
30'小将罗竞今天表现的很是兴奋                   29'第29分钟，山东鲁能后卫解围失误，谢鹏飞断球晃过尤西雷小角度射门，球稍稍高出横梁
31'鲁能左路突破，郑铮插上下底，强行传中                   29'第29分钟，山东鲁能后卫解围失误，谢鹏飞断球晃过尤西雷小角度射门，球稍稍高出横梁
31'这个球球速比较慢，被出击的顾超轻松没收                   29'第29分钟，山东鲁能后卫解围失误，谢鹏飞断球晃过尤西雷小角度射门，球稍稍高出横梁
31'绿城反击打右路                   29'第29分钟，山东鲁能后卫解围失误，谢鹏飞断球晃过尤西雷小角度射门，球稍稍高出横梁
31'博桑季奇带到前场，面对李松益强突被绊倒                   29'第29分钟，山东鲁能后卫解围失误，谢鹏飞断球晃过尤西雷小角度射门，球稍稍高出横梁
32'冯刚中路组织一下，回敲给曹轩                   29'第29分钟，山东鲁能后卫解围失误，谢鹏飞断球晃过尤西雷小角度射门，球稍稍高出横梁
32'谢鹏飞前场突破，面对金敬道的防守，回敲给博桑季奇                   29'第29分钟，山东鲁能后卫解围失误，谢鹏飞断球晃过尤西雷小角度射门，球稍稍高出横梁
32'乌索的抢断，交给塔尔德利，塔尔德利急停摆脱防守                   29'第29分钟，山东鲁能后卫解围失误，谢鹏飞断球晃过尤西雷小角度射门，球稍稍高出横梁
37'鲁能进攻从中路走，杨旭和塔尔德利拉边吸引防守                   37'第37分钟，杨旭禁区内回做，无人防守的的郑铮大力抽射，球飞到了边线
37'蒿俊闵弧顶内起脚打门，没有发上力，被顾超没收                   37'第37分钟，杨旭禁区内回做，无人防守的的郑铮大力抽射，球飞到了边线
38'鲁能的进攻非常注重地面的短传配合，进攻边中结合                   37'第37分钟，杨旭禁区内回做，无人防守的的郑铮大力抽射，球飞到了边线
39'绿城中场传控出现失误，博桑季奇拼抢犯规                   37'第37分钟，杨旭禁区内回做，无人防守的的郑铮大力抽射，球飞到了边线
39'鲁能快发任意球，被曹轩直接抢断了                   37'第37分钟，杨旭禁区内回做，无人防守的的郑铮大力抽射，球飞到了边线
39'绿城的进攻给到右侧没有造成威胁                   37'第37分钟，杨旭禁区内回做，无人防守的的郑铮大力抽射，球飞到了边线
39'鲁能的反击来了，塔尔德利左路突破，给到禁区前沿的蒿俊闵                   37'第37分钟，杨旭禁区内回做，无人防守的的郑铮大力抽射，球飞到了边线
40'蒿俊闵在交到王永珀脚下，王永珀直塞到禁区内的塔尔德利，塔尔德利想做给乌索，被对方提前解围                   37'第37分钟，杨旭禁区内回做，无人防守的的郑铮大力抽射，球飞到了边线
40'黄希扬后场拿球组织被对手踢倒                   37'第37分钟，杨旭禁区内回做，无人防守的的郑铮大力抽射，球飞到了边线
54'张文钊突破下底，扣一下内切过来脚下有点软，传球失误了                   54'第54分钟，杭州绿城左路进攻，黄希扬禁区内得球小角度劲射，球被王大雷没收
54'绿城的反击，博桑季奇横拨给谢鹏飞                   54'第54分钟，杭州绿城左路进攻，黄希扬禁区内得球小角度劲射，球被王大雷没收
55'谢鹏飞在分边，绿城的传中没有制造出威胁                   54'第54分钟，杭州绿城左路进攻，黄希扬禁区内得球小角度劲射，球被王大雷没收
55'右路张文钊拿球被范晓冬踢倒在地                   54'第54分钟，杭州绿城左路进攻，黄希扬禁区内得球小角度劲射，球被王大雷没收
55'绿城再次从左路进攻，这次是冯刚拿球组织                   54'第54分钟，杭州绿城左路进攻，黄希扬禁区内得球小角度劲射，球被王大雷没收
55'冯刚一记直塞，给到禁区内插上的谢鹏飞                   54'第54分钟，杭州绿城左路进攻，黄希扬禁区内得球小角度劲射，球被王大雷没收
56'谢鹏飞转身小角度的抽射，王大雷很好的封堵了近角，没给对方机会                   54'第54分钟，杭州绿城左路进攻，黄希扬禁区内得球小角度劲射，球被王大雷没收
56'王永珀中路一脚远射，颇具威胁啊，擦着横梁飞出                   54'第54分钟，杭州绿城左路进攻，黄希扬禁区内得球小角度劲射，球被王大雷没收
56'鲁能再次进球，超出比分                   54'第54分钟，杭州绿城左路进攻，黄希扬禁区内得球小角度劲射，球被王大雷没收
57'进球的是王永珀                   54'第54分钟，杭州绿城左路进攻，黄希扬禁区内得球小角度劲射，球被王大雷没收
56'谢鹏飞转身小角度的抽射，王大雷很好的封堵了近角，没给对方机会                   56'第56分钟，蒿俊闵边路过人后底线附近送出弧线球传中，王永珀中路插上抢点甩头攻门将球打进，场上比分变为2-1
56'王永珀中路一脚远射，颇具威胁啊，擦着横梁飞出                   56'第56分钟，蒿俊闵边路过人后底线附近送出弧线球传中，王永珀中路插上抢点甩头攻门将球打进，场上比分变为2-1
56'鲁能再次进球，超出比分                   56'第56分钟，蒿俊闵边路过人后底线附近送出弧线球传中，王永珀中路插上抢点甩头攻门将球打进，场上比分变为2-1
57'进球的是王永珀                   56'第56分钟，蒿俊闵边路过人后底线附近送出弧线球传中，王永珀中路插上抢点甩头攻门将球打进，场上比分变为2-1
58'蒿俊闵右路插上助攻，突破到禁区内的传中，落点非常好，王永珀摆脱了斯皮拉诺维奇的防守，小禁区内一记回头望月把球送入网窝                   56'第56分钟，蒿俊闵边路过人后底线附近送出弧线球传中，王永珀中路插上抢点甩头攻门将球打进，场上比分变为2-1
59'主场作战的鲁能再次超出了比分，不知道这次防守能否给力扛住对方的反攻                   56'第56分钟，蒿俊闵边路过人后底线附近送出弧线球传中，王永珀中路插上抢点甩头攻门将球打进，场上比分变为2-1
59'谢鹏飞禁区前沿得球，横拨给赵宇豪，赵宇豪挑入禁区                   56'第56分钟，蒿俊闵边路过人后底线附近送出弧线球传中，王永珀中路插上抢点甩头攻门将球打进，场上比分变为2-1
85'后点塔尔德利争顶，被后卫先蹭了一下，出了边线                   85'第85分钟，李微换下体能透支的王永珀
85'...鲁能也做出第三个换人调整，王永珀下来，李微替补登场                   85'第85分钟，李微换下体能透支的王永珀
87'斯皮拉诺维奇后场拿球，鲁能前场的逼抢也不含糊，虽然领先，但并没有回缩保守的意思                   85'第85分钟，李微换下体能透支的王永珀
87'绿城右路获得一个角球的机会                   85'第85分钟，李微换下体能透支的王永珀
87'谢鹏飞角球给到禁区后点，曹轩包抄抢点对李松益犯规了                   85'第85分钟，李微换下体能透支的王永珀
88'安塔尔中场拿球，直塞给罗竞，罗竞不停球，想直接做给右路的谢鹏飞，没有给好                   85'第85分钟，李微换下体能透支的王永珀
88'尤西雷中路组织一下，分给右路的蒿俊闵                   85'第85分钟，李微换下体能透支的王永珀
88'鲁能这边经验很老道，不急于向前                   85'第85分钟，李微换下体能透支的王永珀
