1'上半场比赛开始，皇马开球                   1'皇马第1分钟就利用主场之利占据主动
28'卡卡前场拿球，又是一脚远射，被后卫挡出边线                   26'皇马第26分钟扩大比分，本泽马右路内切传球，卡卡回敲，C-罗纳尔多闪过马杜罗后右路25码处左脚劲射远角入网
29'孔德比亚后场拿球，单骑闯关，晃开了拉莫斯分边到左路给到雷耶斯                   26'皇马第26分钟扩大比分，本泽马右路内切传球，卡卡回敲，C-罗纳尔多闪过马杜罗后右路25码处左脚劲射远角入网
29'雷耶斯的边路传中被皇马球员解围                   26'皇马第26分钟扩大比分，本泽马右路内切传球，卡卡回敲，C-罗纳尔多闪过马杜罗后右路25码处左脚劲射远角入网
30'塞维利亚左路的进攻，雷耶斯带球横切，突然的起脚抽射，迭戈-洛佩兹将球稳稳揽入怀中                   30'第30分钟，纳瓦罗传球，纳瓦斯25码处劲射被迭戈-洛佩斯没收
31'塞维利亚右路的进攻，赢得角球机会                   30'第30分钟，纳瓦罗传球，纳瓦斯25码处劲射被迭戈-洛佩斯没收
31'纳瓦斯角球开到禁区中路，法奇奥的头球攻门，顶高了                   30'第30分钟，纳瓦罗传球，纳瓦斯25码处劲射被迭戈-洛佩斯没收
32'莫德里奇中场的逼抢，身后铲翻了孔德比亚，犯规                   30'第30分钟，纳瓦罗传球，纳瓦斯25码处劲射被迭戈-洛佩斯没收
33'纳瓦斯右路拿球，向前一趟，摆脱科恩特朗的防守                   30'第30分钟，纳瓦罗传球，纳瓦斯25码处劲射被迭戈-洛佩斯没收
33'纳瓦斯下底横传，雷耶斯包抄得球，闪开角度一脚抽射                   30'第30分钟，纳瓦罗传球，纳瓦斯25码处劲射被迭戈-洛佩斯没收
33'打的太正，洛佩兹出击，将球收入怀中                   30'第30分钟，纳瓦罗传球，纳瓦斯25码处劲射被迭戈-洛佩斯没收
32'莫德里奇中场的逼抢，身后铲翻了孔德比亚，犯规                   32'第32分钟，纳瓦斯禁区右侧边缘传中，雷耶斯14码处低射被迭戈-洛佩斯没收
33'纳瓦斯右路拿球，向前一趟，摆脱科恩特朗的防守                   32'第32分钟，纳瓦斯禁区右侧边缘传中，雷耶斯14码处低射被迭戈-洛佩斯没收
33'纳瓦斯下底横传，雷耶斯包抄得球，闪开角度一脚抽射                   32'第32分钟，纳瓦斯禁区右侧边缘传中，雷耶斯14码处低射被迭戈-洛佩斯没收
33'打的太正，洛佩兹出击，将球收入怀中                   32'第32分钟，纳瓦斯禁区右侧边缘传中，雷耶斯14码处低射被迭戈-洛佩斯没收
34'尽管塞维利亚2球落后，但是他们打的并不保守，机会还是有的                   32'第32分钟，纳瓦斯禁区右侧边缘传中，雷耶斯14码处低射被迭戈-洛佩斯没收
34'莫德里奇中场拿球分边给到右路的本泽马                   32'第32分钟，纳瓦斯禁区右侧边缘传中，雷耶斯14码处低射被迭戈-洛佩斯没收
35'本泽马拿球，边路45度斜传禁区，第一点被塞维利亚球员解围                   32'第32分钟，纳瓦斯禁区右侧边缘传中，雷耶斯14码处低射被迭戈-洛佩斯没收
35'塞维利亚的反击，梅德尔拿球，卡卡回防放倒了梅德尔，犯规                   32'第32分钟，纳瓦斯禁区右侧边缘传中，雷耶斯14码处低射被迭戈-洛佩斯没收
35'塞维利亚的前场任意球，吊入禁区，埃辛将球解围出底线                   32'第32分钟，纳瓦斯禁区右侧边缘传中，雷耶斯14码处低射被迭戈-洛佩斯没收
39'塞维利亚连续角球机会，本场第五个                   39'第39分钟，伊瓜因禁区前手球犯规被罚黄牌，雷耶斯25码处任意球正入迭戈-洛佩斯怀中
39'角球开到禁区到前点，又是埃辛头球解围了                   39'第39分钟，伊瓜因禁区前手球犯规被罚黄牌，雷耶斯25码处任意球正入迭戈-洛佩斯怀中
40'伊瓜因禁区外围停球，手球了                   39'第39分钟，伊瓜因禁区前手球犯规被罚黄牌，雷耶斯25码处任意球正入迭戈-洛佩斯怀中
40'主裁判给了伊瓜因一张黄牌，这有点严重了啊                   39'第39分钟，伊瓜因禁区前手球犯规被罚黄牌，雷耶斯25码处任意球正入迭戈-洛佩斯怀中
40'伊瓜因的停球却是是手球，可是是无意的啊，黄牌太牵强                   39'第39分钟，伊瓜因禁区前手球犯规被罚黄牌，雷耶斯25码处任意球正入迭戈-洛佩斯怀中
41'塞维利亚禁区弧左侧的任意球机会，位置相当不错                   39'第39分钟，伊瓜因禁区前手球犯规被罚黄牌，雷耶斯25码处任意球正入迭戈-洛佩斯怀中
41'雷耶斯的任意球打门，迭戈-洛佩兹在球门线上横移将球揽入怀中                   39'第39分钟，伊瓜因禁区前手球犯规被罚黄牌，雷耶斯25码处任意球正入迭戈-洛佩斯怀中
41'纳瓦斯右路拿球强突，科恩特朗放铲，铲翻了纳瓦斯，犯规                   39'第39分钟，伊瓜因禁区前手球犯规被罚黄牌，雷耶斯25码处任意球正入迭戈-洛佩斯怀中
42'塞维利亚右路的任意球机会，吊到禁区，被皇马球员解围                   39'第39分钟，伊瓜因禁区前手球犯规被罚黄牌，雷耶斯25码处任意球正入迭戈-洛佩斯怀中
42'皇马的反击，本泽马前场拿球，纳瓦斯回防伸腿绊倒了本泽马                   39'第39分钟，伊瓜因禁区前手球犯规被罚黄牌，雷耶斯25码处任意球正入迭戈-洛佩斯怀中
42'纳瓦斯被主裁判出示黄牌警告                   39'第39分钟，伊瓜因禁区前手球犯规被罚黄牌，雷耶斯25码处任意球正入迭戈-洛佩斯怀中
52'内格雷多拿球内切，横拨回给纳瓦斯                   52'第52分钟，拉莫斯禁区边缘外犯规，内格雷多20码处任意球低射被人墙封堵
52'阿尔比奥尔上抢，撞倒了纳瓦斯                   52'第52分钟，拉莫斯禁区边缘外犯规，内格雷多20码处任意球低射被人墙封堵
52'塞维利亚获得禁区外的任意球机会                   52'第52分钟，拉莫斯禁区边缘外犯规，内格雷多20码处任意球低射被人墙封堵
52'位置相当不错，就在禁区弧右边一点点                   52'第52分钟，拉莫斯禁区边缘外犯规，内格雷多20码处任意球低射被人墙封堵
53'内格雷多任意球攻门，球打在人墙上弹出                   52'第52分钟，拉莫斯禁区边缘外犯规，内格雷多20码处任意球低射被人墙封堵
53'内格雷多的直传球找纳瓦斯，卡卡身后上抢成功                   52'第52分钟，拉莫斯禁区边缘外犯规，内格雷多20码处任意球低射被人墙封堵
54'三球领先，皇马打的也不着急了，后场控球                   52'第52分钟，拉莫斯禁区边缘外犯规，内格雷多20码处任意球低射被人墙封堵
54'拉莫斯拿球，面对对方的逼抢，将球回传给到迭戈-洛佩兹                   52'第52分钟，拉莫斯禁区边缘外犯规，内格雷多20码处任意球低射被人墙封堵
55'迭戈-洛佩兹大脚将球开到前场，本泽马拿球下底传中                   52'第52分钟，拉莫斯禁区边缘外犯规，内格雷多20码处任意球低射被人墙封堵
55'中路包抄的伊瓜因没能顶到，球被塞维利亚球员控制                   52'第52分钟，拉莫斯禁区边缘外犯规，内格雷多20码处任意球低射被人墙封堵
59'塞维利亚获得前场右路的任意球机会                   59'第59分钟，C-罗纳尔多反击中突破直传，伊瓜因禁区右侧传中，C-罗纳尔多远点近距离捅射入网，4-0
59'任意球开到后点，法奇奥包抄没能顶到                   59'第59分钟，C-罗纳尔多反击中突破直传，伊瓜因禁区右侧传中，C-罗纳尔多远点近距离捅射入网，4-0
59'皇马的反击~~                   59'第59分钟，C-罗纳尔多反击中突破直传，伊瓜因禁区右侧传中，C-罗纳尔多远点近距离捅射入网，4-0
59'C罗上演帽子戏法                   59'第59分钟，C-罗纳尔多反击中突破直传，伊瓜因禁区右侧传中，C-罗纳尔多远点近距离捅射入网，4-0
60'C罗前场拿球，分边右路给到伊瓜因，伊瓜因穿裆横传到后点，C罗包抄轻松推射得手                   59'第59分钟，C-罗纳尔多反击中突破直传，伊瓜因禁区右侧传中，C-罗纳尔多远点近距离捅射入网，4-0
62'塞维利亚的反击，雷耶斯禁区外的打门，洛佩兹将球没收                   59'第59分钟，C-罗纳尔多反击中突破直传，伊瓜因禁区右侧传中，C-罗纳尔多远点近距离捅射入网，4-0
62'梅德尔中场的防守被吹了拉人犯规                   59'第59分钟，C-罗纳尔多反击中突破直传，伊瓜因禁区右侧传中，C-罗纳尔多远点近距离捅射入网，4-0
62'C罗前场右路拿球，斜传后点找伊瓜因                   59'第59分钟，C-罗纳尔多反击中突破直传，伊瓜因禁区右侧传中，C-罗纳尔多远点近距离捅射入网，4-0
66'下半场比赛来到了20分钟，比分4-0 ，皇马大比分领先                   66'第66分钟，伊瓜因前场对纳瓦罗犯规累计两张黄牌被罚下
66'纳瓦罗后场拿球，伊瓜因上抢，直接踩到了纳瓦罗的脚上                   66'第66分钟，伊瓜因前场对纳瓦罗犯规累计两张黄牌被罚下
67'纳瓦罗重重的倒在了地上，很痛苦哦                   66'第66分钟，伊瓜因前场对纳瓦罗犯规累计两张黄牌被罚下
67'伊瓜因为这次犯规也是付出了黄牌的代价，结果两黄变一红，离场休息了                   66'第66分钟，伊瓜因前场对纳瓦罗犯规累计两张黄牌被罚下
68'大比分领先，球队主力前锋竟然红牌出场，这是啥情况啊                   66'第66分钟，伊瓜因前场对纳瓦罗犯规累计两张黄牌被罚下
68'皇马换人：佩佩换下卡卡，卡列洪换下本泽马                   66'第66分钟，伊瓜因前场对纳瓦罗犯规累计两张黄牌被罚下
69'这样皇马的换人就用完了，该休息的休息了，看看剩下这二十几分钟双方的表现吧                   66'第66分钟，伊瓜因前场对纳瓦罗犯规累计两张黄牌被罚下
69'佩佩前场右路拿球，纳瓦罗身后上抢撞倒了佩佩，犯规                   66'第66分钟，伊瓜因前场对纳瓦罗犯规累计两张黄牌被罚下
69'皇马获得前场右路的任意球，莫德里奇主罚                   66'第66分钟，伊瓜因前场对纳瓦罗犯规累计两张黄牌被罚下
73'纳瓦斯角球开出到禁区，皇马后卫将球解围                   73'第73分钟，斯帕西奇传球，替补出场的马努30码外远射被迭戈-洛佩斯扑挡后没收
73'球还在塞维利亚球员脚下，右边路的传中，洛佩兹出击将球没收                   73'第73分钟，斯帕西奇传球，替补出场的马努30码外远射被迭戈-洛佩斯扑挡后没收
74'塞维利亚的前场抢断，莫拉拿球，外围远射，洛佩兹扑救脱手                   73'第73分钟，斯帕西奇传球，替补出场的马努30码外远射被迭戈-洛佩斯扑挡后没收
74'好在第二反应不错，在内格雷多补射之前将球收入怀中                   73'第73分钟，斯帕西奇传球，替补出场的马努30码外远射被迭戈-洛佩斯扑挡后没收
75'莫拉塔前场左路拿球，强突，可惜自己趟球趟大，被塞维利亚后卫抢断                   73'第73分钟，斯帕西奇传球，替补出场的马努30码外远射被迭戈-洛佩斯扑挡后没收
75'塞维利亚的反击，过顶斜传给到内格雷多                   73'第73分钟，斯帕西奇传球，替补出场的马努30码外远射被迭戈-洛佩斯扑挡后没收
76'反越位，内格雷多拿球，禁区左上角的打门，稍微偏了一点点                   73'第73分钟，斯帕西奇传球，替补出场的马努30码外远射被迭戈-洛佩斯扑挡后没收
81'埃辛前场右路拿球，马杜罗侧向放铲，直接将埃辛铲翻在地                   80'第80分钟，马杜罗对埃辛铲球犯规也累计两张黄牌下场
81'马杜罗被主裁判出示第二张黄牌，也是随伊瓜因一起，两黄变一红下场度假了                   80'第80分钟，马杜罗对埃辛铲球犯规也累计两张黄牌下场
82'双方人员平等，皇马前场任意球                   80'第80分钟，马杜罗对埃辛铲球犯规也累计两张黄牌下场
82'莫德里奇任意球吊到禁区，第一点被塞维利亚球员解围                   80'第80分钟，马杜罗对埃辛铲球犯规也累计两张黄牌下场
82'塞维利亚的反击，内格雷多前场左路拿球，出球后被回防的阿韦罗亚踢倒在地                   80'第80分钟，马杜罗对埃辛铲球犯规也累计两张黄牌下场
83'阿韦罗亚再被裁判送来黄袍穿上身                   80'第80分钟，马杜罗对埃辛铲球犯规也累计两张黄牌下场
83'比赛已经失去悬念，但这段时间的红黄牌却是不少                   80'第80分钟，马杜罗对埃辛铲球犯规也累计两张黄牌下场
84'皇马的进攻，埃辛拿球，进度弧内分边给到左路的卡列洪                   84'第84分钟，埃辛反击中传球，卡列洪禁区左侧12码处劲射被贝托单手托出底线
85'卡列洪拿球，一脚推射，贝托单掌将球托出横梁                   84'第84分钟，埃辛反击中传球，卡列洪禁区左侧12码处劲射被贝托单手托出底线
85'皇马获得右侧角球机会，莫德里奇主罚                   84'第84分钟，埃辛反击中传球，卡列洪禁区左侧12码处劲射被贝托单手托出底线
85'莫德里奇角球开到后点，莫拉塔停球准备打门，可惜被后卫抢先解围                   84'第84分钟，埃辛反击中传球，卡列洪禁区左侧12码处劲射被贝托单手托出底线
86'塞维利亚后场的过顶球，拉莫斯骑着内格雷多争顶头球，被吹压人犯规                   84'第84分钟，埃辛反击中传球，卡列洪禁区左侧12码处劲射被贝托单手托出底线
86'塞维利亚获得前场任意球机会                   84'第84分钟，埃辛反击中传球，卡列洪禁区左侧12码处劲射被贝托单手托出底线
86'塞维利亚球员将球摆好，莫德里奇上去一脚又将球踢远                   84'第84分钟，埃辛反击中传球，卡列洪禁区左侧12码处劲射被贝托单手托出底线
87'莫德里奇的这次不冷静，也是领到了黄牌警告                   84'第84分钟，埃辛反击中传球，卡列洪禁区左侧12码处劲射被贝托单手托出底线
87'塞维利亚扳回一城~~                   84'第84分钟，埃辛反击中传球，卡列洪禁区左侧12码处劲射被贝托单手托出底线
87'莫德里奇的这次不冷静，也是领到了黄牌警告                   87'塞维利亚第87分钟挽回颜面，纳瓦罗头球前顶，马努突入禁区内12码处射入右下角，1-4
87'塞维利亚扳回一城~~                   87'塞维利亚第87分钟挽回颜面，纳瓦罗头球前顶，马努突入禁区内12码处射入右下角，1-4
88'莫拉的左脚斜射远角，挽回颜面                   87'塞维利亚第87分钟挽回颜面，纳瓦罗头球前顶，马努突入禁区内12码处射入右下角，1-4
89'内格雷多前场斜塞给到莫拉，莫拉拿球趟了一步，左脚抽射远角，球从洛佩兹腋下滚过，击中右侧立柱内侧进网                   87'塞维利亚第87分钟挽回颜面，纳瓦罗头球前顶，马努突入禁区内12码处射入右下角，1-4
89'莫拉塔边路的逼抢，放翻了塞维利亚的球员                   87'塞维利亚第87分钟挽回颜面，纳瓦罗头球前顶，马努突入禁区内12码处射入右下角，1-4
90'莫拉塔这次犯规，和用伊瓜因的第二张黄牌犯规很相似，结果也相同，领回了黄袍                   87'塞维利亚第87分钟挽回颜面，纳瓦罗头球前顶，马努突入禁区内12码处射入右下角，1-4
90'塞维利亚左路进攻，赢得角球，不过并没什么威胁                   87'塞维利亚第87分钟挽回颜面，纳瓦罗头球前顶，马努突入禁区内12码处射入右下角，1-4
90'下半场比赛补时2分钟                   87'塞维利亚第87分钟挽回颜面，纳瓦罗头球前顶，马努突入禁区内12码处射入右下角，1-4
