3'沙奇里外围来一脚远射，球被挡出来                   3'第3分钟，阿瑙托维奇直传，沙奇里12码处单刀推射破门因越位在先被判无效
50'被犯规                   48'利物浦3分钟连入2球，第70分钟，斯托克城防线勉强解围，库蒂尼奥14码处射入左下角
50'皮球来到中线                   48'利物浦3分钟连入2球，第70分钟，斯托克城防线勉强解围，库蒂尼奥14码处射入左下角
50'随后一个长传                   48'利物浦3分钟连入2球，第70分钟，斯托克城防线勉强解围，库蒂尼奥14码处射入左下角
50'洛夫伦分球右路                   48'利物浦3分钟连入2球，第70分钟，斯托克城防线勉强解围，库蒂尼奥14码处射入左下角
51'利物浦边线球掷出                   48'利物浦3分钟连入2球，第70分钟，斯托克城防线勉强解围，库蒂尼奥14码处射入左下角
51'库蒂尼奥碰球出界                   48'利物浦3分钟连入2球，第70分钟，斯托克城防线勉强解围，库蒂尼奥14码处射入左下角
51'把球给到沙利奇                   48'利物浦3分钟连入2球，第70分钟，斯托克城防线勉强解围，库蒂尼奥14码处射入左下角
74'阿劳托维奇传球禁区，贝拉希诺跟进来一脚                   74'第74分钟，阿瑙托维奇禁区左侧斜传，贝拉希诺小禁区边缘铲射被米尼奥莱神勇用腿挡出
74'没打上力量，球被门将双拳击出                   74'第74分钟，阿瑙托维奇禁区左侧斜传，贝拉希诺小禁区边缘铲射被米尼奥莱神勇用腿挡出
75'利物浦控制球权                   74'第74分钟，阿瑙托维奇禁区左侧斜传，贝拉希诺小禁区边缘铲射被米尼奥莱神勇用腿挡出
75'斯图利奇拿球，球被踢出了边线                   74'第74分钟，阿瑙托维奇禁区左侧斜传，贝拉希诺小禁区边缘铲射被米尼奥莱神勇用腿挡出
77'詹长传球                   74'第74分钟，阿瑙托维奇禁区左侧斜传，贝拉希诺小禁区边缘铲射被米尼奥莱神勇用腿挡出
77'皮特斯将球控制下来                   74'第74分钟，阿瑙托维奇禁区左侧斜传，贝拉希诺小禁区边缘铲射被米尼奥莱神勇用腿挡出
77'维纳尔杜姆将球断下来                   74'第74分钟，阿瑙托维奇禁区左侧斜传，贝拉希诺小禁区边缘铲射被米尼奥莱神勇用腿挡出
