8' 杨立瑜接球就是一脚远射，大飞了                   8'第8分钟阿奇姆彭门前挑传，小禁区内石柯抢在米克尔之前把球踢出
46'上半场补时2分钟                   45'第45分钟天津队后场解围失误，胡尔克意外获得单刀机会，但他的射门被杜佳神奇扑住
47'潘喜明后场断球给到身前                   45'第45分钟天津队后场解围失误，胡尔克意外获得单刀机会，但他的射门被杜佳神奇扑住
47'胡人天接应被放倒了                   45'第45分钟天津队后场解围失误，胡尔克意外获得单刀机会，但他的射门被杜佳神奇扑住
47'古德利开出定位球，被傅欢断掉                   45'第45分钟天津队后场解围失误，胡尔克意外获得单刀机会，但他的射门被杜佳神奇扑住
48'胡尔克上抢形成单刀，杜佳直接拿到皮球                   45'第45分钟天津队后场解围失误，胡尔克意外获得单刀机会，但他的射门被杜佳神奇扑住
46'阿奇姆彭中圈发球                   45'第45分钟天津队后场解围失误，胡尔克意外获得单刀机会，但他的射门被杜佳神奇扑住
46' 回给后场中路的买提江                   45'第45分钟天津队后场解围失误，胡尔克意外获得单刀机会，但他的射门被杜佳神奇扑住
46' 潘喜明分到右路的赵宏略                   45'第45分钟天津队后场解围失误，胡尔克意外获得单刀机会，但他的射门被杜佳神奇扑住
47'赵宏略挑传向前，被王燊超破坏                   45'第45分钟天津队后场解围失误，胡尔克意外获得单刀机会，但他的射门被杜佳神奇扑住
48' 亿利获得右侧角球机会                   45'第45分钟天津队后场解围失误，胡尔克意外获得单刀机会，但他的射门被杜佳神奇扑住
48'阿奇姆彭角球开出来，后点被破坏出去                   45'第45分钟天津队后场解围失误，胡尔克意外获得单刀机会，但他的射门被杜佳神奇扑住
55'潘喜明后场长传球                   54'下半场刚开始，客队王秋明就给出一记质量不低的头球攻门，第54分钟天津队从右路打进，但王秋明射门时脚下绊蒜
55'球被于海破坏                   54'下半场刚开始，客队王秋明就给出一记质量不低的头球攻门，第54分钟天津队从右路打进，但王秋明射门时脚下绊蒜
55'胡人天在于海出球后被放倒了                   54'下半场刚开始，客队王秋明就给出一记质量不低的头球攻门，第54分钟天津队从右路打进，但王秋明射门时脚下绊蒜
56'埃尔克森争顶时被放倒了                   54'下半场刚开始，客队王秋明就给出一记质量不低的头球攻门，第54分钟天津队从右路打进，但王秋明射门时脚下绊蒜
58'潘喜明倒在了地上                   57'第57分钟胡尔克展开身体和古德利争顶头球，不慎伸出的手臂把潘喜明打倒在地，好在事情不大
59'埃尔克森将球踢出边线                   57'第57分钟胡尔克展开身体和古德利争顶头球，不慎伸出的手臂把潘喜明打倒在地，好在事情不大
63'于海分到禁区附近                   63'第63分钟换下李源一换下胡人天
63'奥斯卡带球带大了                   63'第63分钟换下李源一换下胡人天
64' 王秋明禁区外左侧远射高射炮，打高了                   63'第63分钟换下李源一换下胡人天
65'亿利换人，李源一替下赵宏略                   63'第63分钟换下李源一换下胡人天
66'上港也换人了                   63'第63分钟换下李源一换下胡人天
66'林创益替下于海                   63'第63分钟换下李源一换下胡人天
67'亿利扳回一城                   67'第67分钟古德利开出左路角球，还在坚持作战的潘喜明，人群中抢前点飞身冲顶，皮球飞入门内，2比1，天津追上一球
67' 古德利左侧角球开出来，前点潘喜明头球破门                   67'第67分钟古德利开出左路角球，还在坚持作战的潘喜明，人群中抢前点飞身冲顶，皮球飞入门内，2比1，天津追上一球
70'惠家康左路传中到了后点                   67'第67分钟古德利开出左路角球，还在坚持作战的潘喜明，人群中抢前点飞身冲顶，皮球飞入门内，2比1，天津追上一球
70'王秋明禁区打门，踢呲了                   67'第67分钟古德利开出左路角球，还在坚持作战的潘喜明，人群中抢前点飞身冲顶，皮球飞入门内，2比1，天津追上一球
75'王燊超发球出来，给到中圈                   74'第74分钟潘喜明抽筋，但天津队已经换满三人，潘喜明只能咬牙坚持
75'埃尔克森停球被潘喜明断下                   74'第74分钟潘喜明抽筋，但天津队已经换满三人，潘喜明只能咬牙坚持
76'蔡慧康分球中圈的胡尔克                   74'第74分钟潘喜明抽筋，但天津队已经换满三人，潘喜明只能咬牙坚持
76'胡尔克这球被亿利球员断了                   74'第74分钟潘喜明抽筋，但天津队已经换满三人，潘喜明只能咬牙坚持
81'胡尔克向前给了一脚直塞球， 埃尔克森禁区外弧顶处接球，一脚打门得手                   81'第81分钟上港用张一换下受伤被担架队抬出的傅欢
83'上港换人，张一替下傅欢                   81'第81分钟上港用张一换下受伤被担架队抬出的傅欢
83'傅欢似乎有点受伤啊                   81'第81分钟上港用张一换下受伤被担架队抬出的傅欢
87'王燊超回给身后的贺惯                   87'第87分钟上港右路起球，武磊左路跟进射门被杜佳扑出，胡尔克拉开架势再射，但球被杜佳再次扑住
88'贺惯大范围转移，奥斯卡停球出了边线                   87'第87分钟上港右路起球，武磊左路跟进射门被杜佳扑出，胡尔克拉开架势再射，但球被杜佳再次扑住
88'张一右路传中，后点武磊打门被杜佳拿到                   87'第87分钟上港右路起球，武磊左路跟进射门被杜佳扑出，胡尔克拉开架势再射，但球被杜佳再次扑住
90' 阿奇姆彭分到禁区                   87'第87分钟上港右路起球，武磊左路跟进射门被杜佳扑出，胡尔克拉开架势再射，但球被杜佳再次扑住
90' 买提江边路插进去                   87'第87分钟上港右路起球，武磊左路跟进射门被杜佳扑出，胡尔克拉开架势再射，但球被杜佳再次扑住
90'球被补防上去的石柯解围出底线                   87'第87分钟上港右路起球，武磊左路跟进射门被杜佳扑出，胡尔克拉开架势再射，但球被杜佳再次扑住
90' 阿奇姆彭分到禁区                   89'第89分钟上港后场长传进攻，武磊迎球快上，但由于奔得太快，最后一脚抽射未能把握好，近门一脚打高
90' 买提江边路插进去                   89'第89分钟上港后场长传进攻，武磊迎球快上，但由于奔得太快，最后一脚抽射未能把握好，近门一脚打高
90'球被补防上去的石柯解围出底线                   89'第89分钟上港后场长传进攻，武磊迎球快上，但由于奔得太快，最后一脚抽射未能把握好，近门一脚打高
91' 王燊超挑传到禁区，武磊插上单刀打高了                   89'第89分钟上港后场长传进攻，武磊迎球快上，但由于奔得太快，最后一脚抽射未能把握好，近门一脚打高
91'下半场补时4分钟                   89'第89分钟上港后场长传进攻，武磊迎球快上，但由于奔得太快，最后一脚抽射未能把握好，近门一脚打高
92'赵宏略传球被奥斯卡破坏掉                   89'第89分钟上港后场长传进攻，武磊迎球快上，但由于奔得太快，最后一脚抽射未能把握好，近门一脚打高
92'亿利获得前场定位球                   89'第89分钟上港后场长传进攻，武磊迎球快上，但由于奔得太快，最后一脚抽射未能把握好，近门一脚打高
92'赵宏略传球被奥斯卡破坏掉                   92'第92分钟古德利远距离吊射稍稍偏出
92'亿利获得前场定位球                   92'第92分钟古德利远距离吊射稍稍偏出
93'买提江任意球开到禁区，埃尔克森头球解围                   92'第92分钟古德利远距离吊射稍稍偏出
94'古德利禁区外围远射打偏                   92'第92分钟古德利远距离吊射稍稍偏出
95'赵宏略给到身边的古德利                   92'第92分钟古德利远距离吊射稍稍偏出
