1'上半场比赛开始！                   1'国安在第1分钟给出积极拼抢姿态，申花方面徐亮、哈蒂布接连被侵犯
14'宋博轩趟一步在禁区前送直塞，力量稍大被门将没收                   12'第12分钟，格隆策动国安右路攻势，张稀哲斜传禁区皮球划过申花门前，利马与王皓前后两点包抄均错过皮球
14'格隆前场在和李建滨的拼抢中有些受伤                   12'第12分钟，格隆策动国安右路攻势，张稀哲斜传禁区皮球划过申花门前，利马与王皓前后两点包抄均错过皮球
19'这样戴琳回收进来打到中卫位置，王长庆应该来到右路                   19'第19分钟，达迪为申花赢得中路射程内任意球，徐亮弧线球攻门打高
19'王寿挺前场争头球犯规了                   19'第19分钟，达迪为申花赢得中路射程内任意球，徐亮弧线球攻门打高
19'国安长传前场左路，格隆没有把球停下                   19'第19分钟，达迪为申花赢得中路射程内任意球，徐亮弧线球攻门打高
20'哈蒂布前场胸部做球给到达迪，达迪回扣一步被徐云龙绊倒                   19'第19分钟，达迪为申花赢得中路射程内任意球，徐亮弧线球攻门打高
20'申花获得禁区前靠左一点的任意球机会                   19'第19分钟，达迪为申花赢得中路射程内任意球，徐亮弧线球攻门打高
21'徐亮任意球直接射门，打高了！                   19'第19分钟，达迪为申花赢得中路射程内任意球，徐亮弧线球攻门打高
22'莫雷诺中场过人不成，反抢被吹了犯规                   19'第19分钟，达迪为申花赢得中路射程内任意球，徐亮弧线球攻门打高
22'徐云龙任意球高吊禁区，王大雷双拳把球击出                   19'第19分钟，达迪为申花赢得中路射程内任意球，徐亮弧线球攻门打高
28'格隆拿球回带，跟防的戴琳犯规了                   28'第28分钟，国安任意球冲击被申花挡出，杨运中场长传申花禁区左侧，张稀哲背身脚后跟向中路做球，格隆小禁区线附近停球后面对王大雷攻门打偏
28'张稀哲任意球旋入禁区，戴琳头球解围                   28'第28分钟，国安任意球冲击被申花挡出，杨运中场长传申花禁区左侧，张稀哲背身脚后跟向中路做球，格隆小禁区线附近停球后面对王大雷攻门打偏
29'国安左路传中到门前，格隆扛住后卫，面对倒地的王大雷调整一步推射竟然打偏了！                   28'第28分钟，国安任意球冲击被申花挡出，杨运中场长传申花禁区左侧，张稀哲背身脚后跟向中路做球，格隆小禁区线附近停球后面对王大雷攻门打偏
30'斯基亚维长传前场，哈蒂布被对手断球                   28'第28分钟，国安任意球冲击被申花挡出，杨运中场长传申花禁区左侧，张稀哲背身脚后跟向中路做球，格隆小禁区线附近停球后面对王大雷攻门打偏
30'利马回撤出来拿球，直线送身后被柏佳骏解围                   28'第28分钟，国安任意球冲击被申花挡出，杨运中场长传申花禁区左侧，张稀哲背身脚后跟向中路做球，格隆小禁区线附近停球后面对王大雷攻门打偏
31'雷腾龙右路45度角传中进禁区，利马卸球转身倒钩，手球在先了                   28'第28分钟，国安任意球冲击被申花挡出，杨运中场长传申花禁区左侧，张稀哲背身脚后跟向中路做球，格隆小禁区线附近停球后面对王大雷攻门打偏
31'哈蒂布禁区前接高球，卡住身位，射门被封堵                   28'第28分钟，国安任意球冲击被申花挡出，杨运中场长传申花禁区左侧，张稀哲背身脚后跟向中路做球，格隆小禁区线附近停球后面对王大雷攻门打偏
31'戴琳中场上抢，过掉拦截，分给徐亮                   28'第28分钟，国安任意球冲击被申花挡出，杨运中场长传申花禁区左侧，张稀哲背身脚后跟向中路做球，格隆小禁区线附近停球后面对王大雷攻门打偏
31'雷腾龙右路45度角传中进禁区，利马卸球转身倒钩，手球在先了                   31'第31分钟，哈蒂布中路低射被国安防线封堵；申花就此展开持续冲击，宋博轩左路强突传中至后点，莫雷诺头球冲顶皮球击中立柱弹回
31'哈蒂布禁区前接高球，卡住身位，射门被封堵                   31'第31分钟，哈蒂布中路低射被国安防线封堵；申花就此展开持续冲击，宋博轩左路强突传中至后点，莫雷诺头球冲顶皮球击中立柱弹回
31'戴琳中场上抢，过掉拦截，分给徐亮                   31'第31分钟，哈蒂布中路低射被国安防线封堵；申花就此展开持续冲击，宋博轩左路强突传中至后点，莫雷诺头球冲顶皮球击中立柱弹回
32'宋博轩左路晃动之后下底传中去后点，莫雷诺鱼跃头球攻门砸在立柱上弹回来！                   31'第31分钟，哈蒂布中路低射被国安防线封堵；申花就此展开持续冲击，宋博轩左路强突传中至后点，莫雷诺头球冲顶皮球击中立柱弹回
32'达迪第二点转身补射打偏了！                   31'第31分钟，哈蒂布中路低射被国安防线封堵；申花就此展开持续冲击，宋博轩左路强突传中至后点，莫雷诺头球冲顶皮球击中立柱弹回
32'莫雷诺中路拿球强突，分球有些晚了                   31'第31分钟，哈蒂布中路低射被国安防线封堵；申花就此展开持续冲击，宋博轩左路强突传中至后点，莫雷诺头球冲顶皮球击中立柱弹回
33'格隆右路接应，自己脚下拌蒜，球出边线                   31'第31分钟，哈蒂布中路低射被国安防线封堵；申花就此展开持续冲击，宋博轩左路强突传中至后点，莫雷诺头球冲顶皮球击中立柱弹回
33'戴琳补防左路，阻挡格隆犯规                   31'第31分钟，哈蒂布中路低射被国安防线封堵；申花就此展开持续冲击，宋博轩左路强突传中至后点，莫雷诺头球冲顶皮球击中立柱弹回
34'张稀哲任意球开门前，达迪头球解围                   31'第31分钟，哈蒂布中路低射被国安防线封堵；申花就此展开持续冲击，宋博轩左路强突传中至后点，莫雷诺头球冲顶皮球击中立柱弹回
34'格隆右路拿球面对包夹，宋博轩把球踢出边线                   31'第31分钟，哈蒂布中路低射被国安防线封堵；申花就此展开持续冲击，宋博轩左路强突传中至后点，莫雷诺头球冲顶皮球击中立柱弹回
36'朴成禁区前拿球远射，戴琳堵抢眼把球挡出底线                   36'第36分钟，朴成外围远射被戴琳挡偏出底线
36'张稀哲角球开门前，王大雷出击直接把球摘下                   36'第36分钟，朴成外围远射被戴琳挡偏出底线
37'格隆身下稍微扛了一下王大雷，应该没有大碍                   36'第36分钟，朴成外围远射被戴琳挡偏出底线
37'达迪前场断球，争抢身位推倒了徐云龙犯规                   36'第36分钟，朴成外围远射被戴琳挡偏出底线
38'格隆拉到左路拿球，斯基亚维把球破坏出边线                   36'第36分钟，朴成外围远射被戴琳挡偏出底线
38'张稀哲禁区左侧角上直接起脚远射，球打得太正被王大雷没收                   36'第36分钟，朴成外围远射被戴琳挡偏出底线
39'王皓右路拿球突击，趟入禁区被斯基亚维补防把球铲截                   36'第36分钟，朴成外围远射被戴琳挡偏出底线
39'朴成前场中路带球突破陷入了包夹，球被破坏                   36'第36分钟，朴成外围远射被戴琳挡偏出底线
38'格隆拉到左路拿球，斯基亚维把球破坏出边线                   38'第38分钟，利马妙传助王皓沿右翼切入，王皓攻门时被补防的斯基亚维封堵
38'张稀哲禁区左侧角上直接起脚远射，球打得太正被王大雷没收                   38'第38分钟，利马妙传助王皓沿右翼切入，王皓攻门时被补防的斯基亚维封堵
39'王皓右路拿球突击，趟入禁区被斯基亚维补防把球铲截                   38'第38分钟，利马妙传助王皓沿右翼切入，王皓攻门时被补防的斯基亚维封堵
39'朴成前场中路带球突破陷入了包夹，球被破坏                   38'第38分钟，利马妙传助王皓沿右翼切入，王皓攻门时被补防的斯基亚维封堵
40'哈蒂布前场拿球反击，球被徐云龙破坏出边线                   38'第38分钟，利马妙传助王皓沿右翼切入，王皓攻门时被补防的斯基亚维封堵
40'徐亮前场断球，离门很远直接大力抽射打偏了！                   38'第38分钟，利马妙传助王皓沿右翼切入，王皓攻门时被补防的斯基亚维封堵
40'利马前场争头球被吹了犯规                   38'第38分钟，利马妙传助王皓沿右翼切入，王皓攻门时被补防的斯基亚维封堵
41'达迪背身接应，球被身后的徐云龙破坏                   38'第38分钟，利马妙传助王皓沿右翼切入，王皓攻门时被补防的斯基亚维封堵
46'上半场补时2分钟！                   46'第46分钟，宋博轩左侧内切后低射打偏
47'徐云龙左路头球后蹭解围失误，球到禁区前申花控制区                   46'第46分钟，宋博轩左侧内切后低射打偏
47'莫雷诺直接迎球抽射，打得太正被杨智扑个正着                   46'第46分钟，宋博轩左侧内切后低射打偏
47'宋博轩左边路附近接应被雷腾龙绊倒，任意球                   46'第46分钟，宋博轩左侧内切后低射打偏
48'徐亮任意球开后点，达迪头球攻门顶偏！                   46'第46分钟，宋博轩左侧内切后低射打偏
48'上半场比赛结束！                   46'第46分钟，宋博轩左侧内切后低射打偏
49'双方半场暂时打成0-0平！                   46'第46分钟，宋博轩左侧内切后低射打偏
46'下半场比赛开始！                   46'第46分钟，宋博轩左侧内切后低射打偏
46'申花中圈开球                   46'第46分钟，宋博轩左侧内切后低射打偏
46'柏佳骏左路推传被雷腾龙拦截                   46'第46分钟，宋博轩左侧内切后低射打偏
46'利马前场拿球接应，横敲给拦截                   46'第46分钟，宋博轩左侧内切后低射打偏
47'宋博轩左路拿球内切，左脚低射擦远门柱偏出！                   46'第46分钟，宋博轩左侧内切后低射打偏
47'斯基亚维后场冒顶了，戴琳补防把球破坏                   46'第46分钟，宋博轩左侧内切后低射打偏
48'哈蒂布中场转身摆脱，和达迪做2过1时被拉拽了                   46'第46分钟，宋博轩左侧内切后低射打偏
49'郎中右路防守卡住宋博轩身位，把球解围出边线                   46'第46分钟，宋博轩左侧内切后低射打偏
49'莫雷诺右路和队友做配合，空中把球停在界内，但是边裁示意球空中出界                   46'第46分钟，宋博轩左侧内切后低射打偏
52'王长庆中场拿球摆脱，被朴成绊倒了                   52'第52分钟，宋博轩左侧传中被于洋顶出禁区，徐亮外围凌空抽射打偏
52'宋博轩左路拿球，反向做直塞球被杨运踢出边线                   52'第52分钟，宋博轩左侧传中被于洋顶出禁区，徐亮外围凌空抽射打偏
53'宋博轩左路接徐亮分球，下底传中被头球解围                   52'第52分钟，宋博轩左侧传中被于洋顶出禁区，徐亮外围凌空抽射打偏
53'外围徐亮直接迎球凌空抽射打偏！                   52'第52分钟，宋博轩左侧传中被于洋顶出禁区，徐亮外围凌空抽射打偏
54'格隆右路突破下底横扫门前，王长庆倒地堵门                   52'第52分钟，宋博轩左侧传中被于洋顶出禁区，徐亮外围凌空抽射打偏
55'达迪回防，解围踢在对手脚上出了底线                   52'第52分钟，宋博轩左侧传中被于洋顶出禁区，徐亮外围凌空抽射打偏
59'格隆右路下底，似传似射打门前，球打在了边网上                   59'此后格隆连续于右翼策动冲击，第59分钟，格隆右翼摆脱两人防守后小角度劲射打在了边网上
60'达迪左侧肋部撤出来拿球，送直塞找哈蒂布，徐云龙卡住了身位                   59'此后格隆连续于右翼策动冲击，第59分钟，格隆右翼摆脱两人防守后小角度劲射打在了边网上
61'朴成中场拿球，内切一步选择远射打高！                   59'此后格隆连续于右翼策动冲击，第59分钟，格隆右翼摆脱两人防守后小角度劲射打在了边网上
62'柏佳骏左路助攻，王皓铲球犯规了                   59'此后格隆连续于右翼策动冲击，第59分钟，格隆右翼摆脱两人防守后小角度劲射打在了边网上
63'徐亮任意球开门前，杨智鱼跃把球击出                   63'第63分钟，申花取得入球――申花前场左侧界外球开出后，哈蒂布边路快进传中，莫雷诺头球攻门被杨智挡下，莫雷诺近距离补射破门，申花1-0领先
63'申花进球了！！！                   63'第63分钟，申花取得入球――申花前场左侧界外球开出后，哈蒂布边路快进传中，莫雷诺头球攻门被杨智挡下，莫雷诺近距离补射破门，申花1-0领先
63'进球的是莫雷诺！！！                   63'第63分钟，申花取得入球――申花前场左侧界外球开出后，哈蒂布边路快进传中，莫雷诺头球攻门被杨智挡下，莫雷诺近距离补射破门，申花1-0领先
64'哈蒂布左边路转身加速下底，传中到门前，莫雷诺高高跃起头槌攻门被杨智挡出，但是第二下莫雷诺直接垫射空门得手！                   63'第63分钟，申花取得入球――申花前场左侧界外球开出后，哈蒂布边路快进传中，莫雷诺头球攻门被杨智挡下，莫雷诺近距离补射破门，申花1-0领先
64'上海申花1-0领先北京国安！                   63'第63分钟，申花取得入球――申花前场左侧界外球开出后，哈蒂布边路快进传中，莫雷诺头球攻门被杨智挡下，莫雷诺近距离补射破门，申花1-0领先
65'雷腾龙送右路身后，斯基亚维抢在格隆前解围                   63'第63分钟，申花取得入球――申花前场左侧界外球开出后，哈蒂布边路快进传中，莫雷诺头球攻门被杨智挡下，莫雷诺近距离补射破门，申花1-0领先
66'国安右边路边线球抛入禁区，王寿挺头球解围                   63'第63分钟，申花取得入球――申花前场左侧界外球开出后，哈蒂布边路快进传中，莫雷诺头球攻门被杨智挡下，莫雷诺近距离补射破门，申花1-0领先
66'达迪中场斜传右路的哈蒂布，徐云龙把球拦截                   63'第63分钟，申花取得入球――申花前场左侧界外球开出后，哈蒂布边路快进传中，莫雷诺头球攻门被杨智挡下，莫雷诺近距离补射破门，申花1-0领先
81'托兰佐推左路底线前，可惜力量太大，先出了底线                   81'第81分钟，斯基亚维在禁区弧内被判定侵犯利马，国安获得任意球良机，邵佳一低射被申花人墙挡出
82'斯基亚维后场解围踢疵，戴琳跟上解围                   81'第81分钟，斯基亚维在禁区弧内被判定侵犯利马，国安获得任意球良机，邵佳一低射被申花人墙挡出
83'申花禁区前，裁判给了国安一个任意球机会                   81'第81分钟，斯基亚维在禁区弧内被判定侵犯利马，国安获得任意球良机，邵佳一低射被申花人墙挡出
83'邵佳一任意球高度不够，没有过人墙                   81'第81分钟，斯基亚维在禁区弧内被判定侵犯利马，国安获得任意球良机，邵佳一低射被申花人墙挡出
84'李翰博左路拿球被莫雷诺和王长庆合力拦截                   81'第81分钟，斯基亚维在禁区弧内被判定侵犯利马，国安获得任意球良机，邵佳一低射被申花人墙挡出
86'莫雷诺前场卸球被郎征踢倒，任意球                   86'第86分钟，申花前场左侧任意球也是快速发出，莫雷诺大力扫传皮球划过国安门前
87'莫雷诺左路横扫门前，队友包抄慢了                   86'第86分钟，申花前场左侧任意球也是快速发出，莫雷诺大力扫传皮球划过国安门前
87'国安右路传中被斯基亚维挡出禁区                   86'第86分钟，申花前场左侧任意球也是快速发出，莫雷诺大力扫传皮球划过国安门前
88'利马禁区角上有射门机会，王大雷倒地扑出                   86'第86分钟，申花前场左侧任意球也是快速发出，莫雷诺大力扫传皮球划过国安门前
88'后点国安还有补射机会被王寿挺封堵                   86'第86分钟，申花前场左侧任意球也是快速发出，莫雷诺大力扫传皮球划过国安门前
89'国安后场起高球，斯基亚维头球解围出底线                   86'第86分钟，申花前场左侧任意球也是快速发出，莫雷诺大力扫传皮球划过国安门前
89'国安后场起高球，斯基亚维头球解围出底线                   89'第89分钟，国安长传被斯基亚维破坏出底线；国安左侧角球传入后，谭天澄抢在王大雷之前头球攻门顶高
90'李翰博角球开门前，谭天澄头球顶高了                   89'第89分钟，国安长传被斯基亚维破坏出底线；国安左侧角球传入后，谭天澄抢在王大雷之前头球攻门顶高
90'申花换人，莫雷诺被姜坤换下                   89'第89分钟，国安长传被斯基亚维破坏出底线；国安左侧角球传入后，谭天澄抢在王大雷之前头球攻门顶高
91'托兰佐右路断下对手的斜传，推进被挡出边线                   89'第89分钟，国安长传被斯基亚维破坏出底线；国安左侧角球传入后，谭天澄抢在王大雷之前头球攻门顶高
91'下半场补时5分钟！                   89'第89分钟，国安长传被斯基亚维破坏出底线；国安左侧角球传入后，谭天澄抢在王大雷之前头球攻门顶高
92'巴蒂斯塔质疑为何补时长达5分钟                   89'第89分钟，国安长传被斯基亚维破坏出底线；国安左侧角球传入后，谭天澄抢在王大雷之前头球攻门顶高
92'裁判把他罚上了看台                   89'第89分钟，国安长传被斯基亚维破坏出底线；国安左侧角球传入后，谭天澄抢在王大雷之前头球攻门顶高
49'双方半场暂时打成0-0平！                   49'补时第4分钟，托兰佐外围劲射打出高水准，皮球碰横梁上沿飞出
49'郎中右路防守卡住宋博轩身位，把球解围出边线                   49'补时第4分钟，托兰佐外围劲射打出高水准，皮球碰横梁上沿飞出
49'莫雷诺右路和队友做配合，空中把球停在界内，但是边裁示意球空中出界                   49'补时第4分钟，托兰佐外围劲射打出高水准，皮球碰横梁上沿飞出
50'国安长传左路身后，球直接出了底线                   49'补时第4分钟，托兰佐外围劲射打出高水准，皮球碰横梁上沿飞出
50'利马中场争头球，推人犯规了                   49'补时第4分钟，托兰佐外围劲射打出高水准，皮球碰横梁上沿飞出
50'裁判黄牌警告了利马                   49'补时第4分钟，托兰佐外围劲射打出高水准，皮球碰横梁上沿飞出
51'莫雷诺中场过渡，把球交给达迪，后者第一下停球没有停好                   49'补时第4分钟，托兰佐外围劲射打出高水准，皮球碰横梁上沿飞出
52'王长庆中场拿球摆脱，被朴成绊倒了                   49'补时第4分钟，托兰佐外围劲射打出高水准，皮球碰横梁上沿飞出
52'宋博轩左路拿球，反向做直塞球被杨运踢出边线                   49'补时第4分钟，托兰佐外围劲射打出高水准，皮球碰横梁上沿飞出
