4'申鑫获得有路角球机会，角球到门前前点被定出来，外围再打被曾诚没收                   3'第3分钟巴兰特斯禁区外右路射门被曾诚没收
58'球进了！进球的是罗比尼奥                   57'第57分钟恒大快速进攻，罗比尼奥分球到右路，于汉超调整后再回传给罗比尼奥，乔尼上前拦截， 罗比尼奥带了两下后果断起脚射门，球从张一诺双腿之间滚入大门，2比0，罗比尼奥打进中超第一球
59' 罗比尼奥带球突破后分到右路的于汉超，于汉超再分到左边，罗比尼奥盘过上抢的乔尼，低射打穿了张一诺的小门入网                    57'第57分钟恒大快速进攻，罗比尼奥分球到右路，于汉超调整后再回传给罗比尼奥，乔尼上前拦截， 罗比尼奥带了两下后果断起脚射门，球从张一诺双腿之间滚入大门，2比0，罗比尼奥打进中超第一球
60'申鑫这边扳回一球                   57'第57分钟恒大快速进攻，罗比尼奥分球到右路，于汉超调整后再回传给罗比尼奥，乔尼上前拦截， 罗比尼奥带了两下后果断起脚射门，球从张一诺双腿之间滚入大门，2比0，罗比尼奥打进中超第一球
60'进球的是巴兰特斯                   57'第57分钟恒大快速进攻，罗比尼奥分球到右路，于汉超调整后再回传给罗比尼奥，乔尼上前拦截， 罗比尼奥带了两下后果断起脚射门，球从张一诺双腿之间滚入大门，2比0，罗比尼奥打进中超第一球
62'乔尼禁区前沿做球，巴兰特斯跟进大力轰门入网得分                   62'第62分钟恒大用王上源换下郑龙
62'恒大前场反击制造一个角球                   62'第62分钟恒大用王上源换下郑龙
62'罗比尼奥主罚战术角球，左路横传禁区，直接从后点偏出底线                   62'第62分钟恒大用王上源换下郑龙
64'恒大换人，王上源替下郑龙                   62'第62分钟恒大用王上源换下郑龙
65'恒大任意球，罗比尼奥罚向门前，高拉特抢点攻门被挡出                   62'第62分钟恒大用王上源换下郑龙
65'恒大任意球，罗比尼奥罚向门前，高拉特抢点攻门被挡出                   65'第65分钟王上源拉倒池忠国吃到黄牌
66'王上源回追拉倒了叶重秋，黄牌                   65'第65分钟王上源拉倒池忠国吃到黄牌
68'王上源禁区右侧大力射门，皮球高出横梁                   65'第65分钟王上源拉倒池忠国吃到黄牌
71'恒大角球机会，罗比尼奥罚角球向禁区的后点，防守球员挡出来                   70'第70分钟罗比尼奥左路射门打得太正
72'保利尼奥和于汉超的二过一配合被踢出界外                   70'第70分钟罗比尼奥左路射门打得太正
72'吴毅臻在左边路反越位突破杀到禁区，小角度射门被挡出                   70'第70分钟罗比尼奥左路射门打得太正
72'高拉特中场送出直传，于汉超启动稍慢一步                   70'第70分钟罗比尼奥左路射门打得太正
75'申鑫换人，张文涛替下黄威                   75'第75分钟恒大打进第三球，邹正左路得球后横传中路，于汉超抢在乔尼之前，轻松捅射破门，3比1，恒大扩大比分
76' 进球了                   75'第75分钟恒大打进第三球，邹正左路得球后横传中路，于汉超抢在乔尼之前，轻松捅射破门，3比1，恒大扩大比分
76'于汉超                   75'第75分钟恒大打进第三球，邹正左路得球后横传中路，于汉超抢在乔尼之前，轻松捅射破门，3比1，恒大扩大比分
77'恒大中场直传身后，邹正前插下底传中，于汉超抢点推射空门得手                   75'第75分钟恒大打进第三球，邹正左路得球后横传中路，于汉超抢在乔尼之前，轻松捅射破门，3比1，恒大扩大比分
80'  高拉特前场直传禁区，罗比尼奥插上面对门将推射小门得手                   78'第78分钟高拉特禁区内轻传，罗比尼奥从叶重秋身后杀出，面对张仪一诺直接射门，皮球再次从张一诺双腿之间滚入大门，4比1
80'双方这是进球大战啊                   78'第78分钟高拉特禁区内轻传，罗比尼奥从叶重秋身后杀出，面对张仪一诺直接射门，皮球再次从张一诺双腿之间滚入大门，4比1
81'高拉特斜传配合，罗比尼奥右侧带球一路杀到禁区右肋冷静推射破门                   78'第78分钟高拉特禁区内轻传，罗比尼奥从叶重秋身后杀出，面对张仪一诺直接射门，皮球再次从张一诺双腿之间滚入大门，4比1
81'罗比尼奥梅开二度啊                   78'第78分钟高拉特禁区内轻传，罗比尼奥从叶重秋身后杀出，面对张仪一诺直接射门，皮球再次从张一诺双腿之间滚入大门，4比1
81'罗比尼奥梅开二度，还连打了门将两次穿裆破门                   78'第78分钟高拉特禁区内轻传，罗比尼奥从叶重秋身后杀出，面对张仪一诺直接射门，皮球再次从张一诺双腿之间滚入大门，4比1
81'申鑫换人，贾天子换下叶重秋                    78'第78分钟高拉特禁区内轻传，罗比尼奥从叶重秋身后杀出，面对张仪一诺直接射门，皮球再次从张一诺双腿之间滚入大门，4比1
81'比赛已经没有悬念了                   78'第78分钟高拉特禁区内轻传，罗比尼奥从叶重秋身后杀出，面对张仪一诺直接射门，皮球再次从张一诺双腿之间滚入大门，4比1
81'高拉特斜传配合，罗比尼奥右侧带球一路杀到禁区右肋冷静推射破门                   81' 第81分钟巴兰特斯在左路小角度果断起脚，曾诚连扑两下把球抓稳
81'罗比尼奥梅开二度啊                   81' 第81分钟巴兰特斯在左路小角度果断起脚，曾诚连扑两下把球抓稳
81'罗比尼奥梅开二度，还连打了门将两次穿裆破门                   81' 第81分钟巴兰特斯在左路小角度果断起脚，曾诚连扑两下把球抓稳
81'申鑫换人，贾天子换下叶重秋                    81' 第81分钟巴兰特斯在左路小角度果断起脚，曾诚连扑两下把球抓稳
81'比赛已经没有悬念了                   81' 第81分钟巴兰特斯在左路小角度果断起脚，曾诚连扑两下把球抓稳
83' 吴毅臻左边路抽射球门，曾诚将球得到，丹尼斯补射踢在了曾诚身上，主裁判口头警告一下                   81' 第81分钟巴兰特斯在左路小角度果断起脚，曾诚连扑两下把球抓稳
84'罗比尼奥右路突破后横敲，荣昊跟进抽射打在了横梁上弹出底线                   81' 第81分钟巴兰特斯在左路小角度果断起脚，曾诚连扑两下把球抓稳
86'荣昊外围一脚劲射，被门将得到                   86'第86分钟没有放弃的申鑫也取得进球，丹尼尔前场形成右路单刀，最后他选择传中，贾天子前点被梅方推倒，点球
86'申鑫获得点球机会                   86'第86分钟没有放弃的申鑫也取得进球，丹尼尔前场形成右路单刀，最后他选择传中，贾天子前点被梅方推倒，点球
87' 丹尼斯右路突入禁区传中，张琳芃推人犯规被判点球                     86'第86分钟没有放弃的申鑫也取得进球，丹尼尔前场形成右路单刀，最后他选择传中，贾天子前点被梅方推倒，点球
87'巴兰特斯点球一蹴而就                   86'第86分钟没有放弃的申鑫也取得进球，丹尼尔前场形成右路单刀，最后他选择传中，贾天子前点被梅方推倒，点球
89'巴兰特斯点球打右侧，被曾诚判断对了方向，但是皮球球速很快打入                    86'第86分钟没有放弃的申鑫也取得进球，丹尼尔前场形成右路单刀，最后他选择传中，贾天子前点被梅方推倒，点球
89'巴兰特斯也是梅开二度                   86'第86分钟没有放弃的申鑫也取得进球，丹尼尔前场形成右路单刀，最后他选择传中，贾天子前点被梅方推倒，点球
48'恒大继续进行，罗比尼奥禁区外射门打在后卫身上出了底线                   48'比赛补时3分钟，第91分钟，张琳芃右路传中，荣昊禁区内剪刀脚射门打疵
49'恒大右侧战术角球，皮球罚向禁区，乔尼顶出来                   48'比赛补时3分钟，第91分钟，张琳芃右路传中，荣昊禁区内剪刀脚射门打疵
49'丹尼斯带球突入禁区，摔倒在禁区，主裁判没有理会                   48'比赛补时3分钟，第91分钟，张琳芃右路传中，荣昊禁区内剪刀脚射门打疵
