4'曼联前场进攻，鲁尼拿球，转身直塞找范佩西                   4'第4分钟，瓦伦西亚犯错险些送给桑切斯机会
43'吉布斯左路拿球，下底传中打在麦克奈尔身上出底线                   43'第43分钟，维尔贝克角球混战中小禁区前脚后跟射门偏出
43'阿森纳获得左侧角球机会，桑切斯主罚                   43'第43分钟，维尔贝克角球混战中小禁区前脚后跟射门偏出
44'角球开出到后点，拉姆塞凌空垫传中间，维尔贝克脚后跟攻门，打偏                   43'第43分钟，维尔贝克角球混战中小禁区前脚后跟射门偏出
44'上半场比赛进入尾声，比分依旧是0-0                   43'第43分钟，维尔贝克角球混战中小禁区前脚后跟射门偏出
45'迪马利亚前场拿球，稍不注意，被拉姆塞上来成功断掉                   43'第43分钟，维尔贝克角球混战中小禁区前脚后跟射门偏出
45'钱伯斯的直塞球找前插的张伯伦                   43'第43分钟，维尔贝克角球混战中小禁区前脚后跟射门偏出
46'阿什利-扬回防，抢在张伯伦停球转身前，将球解围出边线                   43'第43分钟，维尔贝克角球混战中小禁区前脚后跟射门偏出
46'钱伯斯右路拿球，犹豫中的下底传中，直接出了底线                   43'第43分钟，维尔贝克角球混战中小禁区前脚后跟射门偏出
46'上半场比赛补时2分钟                   43'第43分钟，维尔贝克角球混战中小禁区前脚后跟射门偏出
46'下半场比赛开始，阿森纳开球                   43'第43分钟，维尔贝克角球混战中小禁区前脚后跟射门偏出
46'阿什利-扬左路的直塞球，被威尔谢尔抢断                   43'第43分钟，维尔贝克角球混战中小禁区前脚后跟射门偏出
49'阿森纳获得右侧角球机会，开出到禁区，张伯伦的打门，打在曼联球员身上出底线                   49'第49分钟，张伯伦传球，维尔贝克强突麦克奈尔后禁区左侧小角度射门被德赫亚救出
49'阿森纳继续角球，传中到禁区，默特萨克力压费莱尼，起脚打门，打飞                   49'第49分钟，张伯伦传球，维尔贝克强突麦克奈尔后禁区左侧小角度射门被德赫亚救出
50'阿森纳中场抢断，斜传过顶找左前场的维尔贝克                   49'第49分钟，张伯伦传球，维尔贝克强突麦克奈尔后禁区左侧小角度射门被德赫亚救出
50'维尔贝克拿球摆脱回防的麦克奈尔，进入禁区，小禁区角上的打门，被德赫亚倒地扑出底线                   49'第49分钟，张伯伦传球，维尔贝克强突麦克奈尔后禁区左侧小角度射门被德赫亚救出
50'德赫亚再次拯救了曼联                   49'第49分钟，张伯伦传球，维尔贝克强突麦克奈尔后禁区左侧小角度射门被德赫亚救出
51'阿森纳的左侧角球机会，可惜没能形成威胁                   49'第49分钟，张伯伦传球，维尔贝克强突麦克奈尔后禁区左侧小角度射门被德赫亚救出
51'费莱尼后场回传失误，威尔谢尔拿球反击                   49'第49分钟，张伯伦传球，维尔贝克强突麦克奈尔后禁区左侧小角度射门被德赫亚救出
51'禁区弧内被布莱克特放铲将球捅出                   49'第49分钟，张伯伦传球，维尔贝克强突麦克奈尔后禁区左侧小角度射门被德赫亚救出
52'威尔谢尔受伤倒地，倒在了禁区弧内，表情很痛苦                   49'第49分钟，张伯伦传球，维尔贝克强突麦克奈尔后禁区左侧小角度射门被德赫亚救出
52'队医进场，威尔谢尔半天没起来，痛苦的捂着脸                   49'第49分钟，张伯伦传球，维尔贝克强突麦克奈尔后禁区左侧小角度射门被德赫亚救出
52'比赛暂时中断，威尔谢尔坐在地上接受队友的查看                   49'第49分钟，张伯伦传球，维尔贝克强突麦克奈尔后禁区左侧小角度射门被德赫亚救出
56'阿什利-扬左路的传中到后点，默特萨克头球解围                   56'曼联第56分钟打破僵局，阿什利-扬左路传中，吉布斯同斯泽斯尼相撞双双倒地，瓦伦西亚禁区右侧传中又被吉布斯伸腿挡入远角
56'进球啦！！！                   56'曼联第56分钟打破僵局，阿什利-扬左路传中，吉布斯同斯泽斯尼相撞双双倒地，瓦伦西亚禁区右侧传中又被吉布斯伸腿挡入远角
56'[此时此刻值得来杯嘉士伯]                   56'曼联第56分钟打破僵局，阿什利-扬左路传中，吉布斯同斯泽斯尼相撞双双倒地，瓦伦西亚禁区右侧传中又被吉布斯伸腿挡入远角
57'吉布斯的乌龙大礼！！！                   56'曼联第56分钟打破僵局，阿什利-扬左路传中，吉布斯同斯泽斯尼相撞双双倒地，瓦伦西亚禁区右侧传中又被吉布斯伸腿挡入远角
57'阿什利-扬左侧起球到禁区，吉布斯头球解围，瓦伦西亚右路得球横扫门前，坐在地上的吉布斯伸脚一挡，将球挡进了自家大门，这乌龙踢得很漂亮哦                   56'曼联第56分钟打破僵局，阿什利-扬左路传中，吉布斯同斯泽斯尼相撞双双倒地，瓦伦西亚禁区右侧传中又被吉布斯伸腿挡入远角
58'阿森纳失球了，门将斯泽斯尼还受伤了                   56'曼联第56分钟打破僵局，阿什利-扬左路传中，吉布斯同斯泽斯尼相撞双双倒地，瓦伦西亚禁区右侧传中又被吉布斯伸腿挡入远角
58'担架进场了，斯泽斯尼也不能坚持了？                   56'曼联第56分钟打破僵局，阿什利-扬左路传中，吉布斯同斯泽斯尼相撞双双倒地，瓦伦西亚禁区右侧传中又被吉布斯伸腿挡入远角
59'斯泽斯尼出击时和解围的吉布斯撞在了一起                   56'曼联第56分钟打破僵局，阿什利-扬左路传中，吉布斯同斯泽斯尼相撞双双倒地，瓦伦西亚禁区右侧传中又被吉布斯伸腿挡入远角
59'斯泽斯尼认为自己还能坚持，让担架出场，但是队医认为不能坚持了                   56'曼联第56分钟打破僵局，阿什利-扬左路传中，吉布斯同斯泽斯尼相撞双双倒地，瓦伦西亚禁区右侧传中又被吉布斯伸腿挡入远角
59'斯泽斯尼捂着斯泽斯尼腰部在队医的陪伴下出场                   56'曼联第56分钟打破僵局，阿什利-扬左路传中，吉布斯同斯泽斯尼相撞双双倒地，瓦伦西亚禁区右侧传中又被吉布斯伸腿挡入远角
62'阿森纳前场进攻，左侧的挑传到后点                   62'第62分钟，张伯伦右路传中，桑切斯12码处头球攻门被德赫亚没收
62'阿什利-扬回防，头球解围出禁区                   62'第62分钟，张伯伦右路传中，桑切斯12码处头球攻门被德赫亚没收
64'张伯伦右路强突，下底传中到门前                   62'第62分钟，张伯伦右路传中，桑切斯12码处头球攻门被德赫亚没收
64'桑切斯的头球攻门，太正了，德赫亚在门线上将球拿到                   62'第62分钟，张伯伦右路传中，桑切斯12码处头球攻门被德赫亚没收
64'阿森纳继续前场进攻，又是桑切斯的攻门，可惜打偏了                   62'第62分钟，张伯伦右路传中，桑切斯12码处头球攻门被德赫亚没收
65'曼联后场抢断，阿什利-扬拿球反击，卡索拉身后推人犯规                   62'第62分钟，张伯伦右路传中，桑切斯12码处头球攻门被德赫亚没收
65'卡索拉被主裁判出示了黄牌警告！！！                   62'第62分钟，张伯伦右路传中，桑切斯12码处头球攻门被德赫亚没收
65'迪马利亚禁区外拿球，直塞给到鲁尼                   62'第62分钟，张伯伦右路传中，桑切斯12码处头球攻门被德赫亚没收
75'鲁尼前场拿球，分边给左侧上来的阿什利-扬                   75'第75分钟，范佩西被威尔逊换下，主队球迷送上嘘声
75'阿什利-扬斜塞禁区找前插的威尔逊，马丁内斯出击，将球没收                   75'第75分钟，范佩西被威尔逊换下，主队球迷送上嘘声
76'阿森纳第三个换人：16号拉姆塞被换下，换上12号吉鲁                   75'第75分钟，范佩西被威尔逊换下，主队球迷送上嘘声
77'张伯伦右路拿球，面对斯马林的防守，挑传打在斯马林身上出底线                   75'第75分钟，范佩西被威尔逊换下，主队球迷送上嘘声
77'阿森纳右侧角球机会，开出到禁区，吉鲁头球顶高                   75'第75分钟，范佩西被威尔逊换下，主队球迷送上嘘声
78'费莱尼中场争顶时撞翻了阿尔特塔，犯规                   75'第75分钟，范佩西被威尔逊换下，主队球迷送上嘘声
85'鲁尼单刀赴会，破门得分！！！                   85'曼联第85分钟扩大比分，费莱尼后场直传，迪马利亚面对防线最后一人的蒙雷亚尔及时斜传，鲁尼突入12码处单刀挑射破门，2-0
86'费莱尼后场抢断，直塞右侧给到前插的迪马利亚，迪马利亚拿球横传给鲁尼，鲁尼得球单刀赴会，面对出击的马丁内斯，一脚挑射破门！！！                   85'曼联第85分钟扩大比分，费莱尼后场直传，迪马利亚面对防线最后一人的蒙雷亚尔及时斜传，鲁尼突入12码处单刀挑射破门，2-0
86'温格坐在场边很着急，场面占据了优势，可惜比分上两球落后                   85'曼联第85分钟扩大比分，费莱尼后场直传，迪马利亚面对防线最后一人的蒙雷亚尔及时斜传，鲁尼突入12码处单刀挑射破门，2-0
88'阿尔特塔中场拿球，斜传分边右侧，给阿什利-扬挡出边线                   85'曼联第85分钟扩大比分，费莱尼后场直传，迪马利亚面对防线最后一人的蒙雷亚尔及时斜传，鲁尼突入12码处单刀挑射破门，2-0
88'钱伯斯右路拿球，45度斜传，又被曼联球员挡出了边线                   85'曼联第85分钟扩大比分，费莱尼后场直传，迪马利亚面对防线最后一人的蒙雷亚尔及时斜传，鲁尼突入12码处单刀挑射破门，2-0
53'担架进场，空着出场，威尔谢尔一瘸一拐，跟着队医出场治疗                   53'伤停补时长达8分钟
53'阿森纳获得右侧角球机会，开出到禁区，鲁尼将球解围                   53'伤停补时长达8分钟
55'卡里克左路拿球，面对逼抢，转身解围，打在上抢的张伯伦身上弹出底线                   53'伤停补时长达8分钟
55'威尔谢尔登场后，又坐在了草地上，看来无法坚持了                   53'伤停补时长达8分钟
55'阿森纳被迫换人：卡索拉上，换下受伤的威尔谢尔                   53'伤停补时长达8分钟
56'阿什利-扬左路的传中到后点，默特萨克头球解围                   53'伤停补时长达8分钟
56'进球啦！！！                   53'伤停补时长达8分钟
56'[此时此刻值得来杯嘉士伯]                   53'伤停补时长达8分钟
95'迪马利亚拿球单刀赴会，面对出击的马丁内斯，左脚挑射，打偏                   95'阿森纳第95分钟扳回一城，阿尔特塔传球，吉鲁禁区左侧半凌空抽射入左上角，1-2
95'这球迪马利亚丧失了扩大领先优势的机会啊                   95'阿森纳第95分钟扳回一城，阿尔特塔传球，吉鲁禁区左侧半凌空抽射入左上角，1-2
95'阿森纳扳回一个！！！                   95'阿森纳第95分钟扳回一城，阿尔特塔传球，吉鲁禁区左侧半凌空抽射入左上角，1-2
96'吉鲁禁区外的怒射，打进近角！！！                   95'阿森纳第95分钟扳回一城，阿尔特塔传球，吉鲁禁区左侧半凌空抽射入左上角，1-2
96'[此时此刻值得来杯嘉士伯]                   95'阿森纳第95分钟扳回一城，阿尔特塔传球，吉鲁禁区左侧半凌空抽射入左上角，1-2
96'补时刚刚到5分钟，还有时间哦                   95'阿森纳第95分钟扳回一城，阿尔特塔传球，吉鲁禁区左侧半凌空抽射入左上角，1-2
97'阿森纳中场的挑传打身后，吉鲁停球，连球门都没看，停球后左脚直接抽射近角，越过德赫亚的封堵，钻进网窝左上角！！！                   95'阿森纳第95分钟扳回一城，阿尔特塔传球，吉鲁禁区左侧半凌空抽射入左上角，1-2
97'迪马利亚左路拿球，维尔贝克回防将球破坏出边线                   95'阿森纳第95分钟扳回一城，阿尔特塔传球，吉鲁禁区左侧半凌空抽射入左上角，1-2
98'迪马利亚躺在地上，被钱伯斯拉了起来                   95'阿森纳第95分钟扳回一城，阿尔特塔传球，吉鲁禁区左侧半凌空抽射入左上角，1-2
98'迪马利亚很不爽，和钱伯斯发生摩擦，好在被队友及时拉开                   95'阿森纳第95分钟扳回一城，阿尔特塔传球，吉鲁禁区左侧半凌空抽射入左上角，1-2
