2'切尔西后场的过顶长传找托雷斯，被本菲卡球员拦截                   2'开场仅2分钟，阿尔梅达右路传中，无人防守的卡多佐11码处头球攻门高出
33'阿图尔主机，在马塔之前将球没收                   33'第33分钟，盖坦禁区弧边缘左脚外脚背弹射偏出
34'本菲卡的前场进攻，禁区左侧的倒三角传递，盖坦的跟上打门，踢飞                   33'第33分钟，盖坦禁区弧边缘左脚外脚背弹射偏出
34'伊万诺维奇后场的传球失误，本菲卡控球组织                   33'第33分钟，盖坦禁区弧边缘左脚外脚背弹射偏出
35'梅尔加雷霍和盖坦的配合                   33'第33分钟，盖坦禁区弧边缘左脚外脚背弹射偏出
35'梅尔加雷霍的左边路传中，第一点被切尔西后卫解围                   33'第33分钟，盖坦禁区弧边缘左脚外脚背弹射偏出
36'路易斯的后场防守被吹犯规，放倒了盖坦                   33'第33分钟，盖坦禁区弧边缘左脚外脚背弹射偏出
36'上半场比赛已经36分钟，比分还是0-0                   33'第33分钟，盖坦禁区弧边缘左脚外脚背弹射偏出
42'本菲卡右路的进攻，45度斜传球到禁区找卡多索                   42'第42分钟，恩佐-佩雷斯右路传中，卡多佐8码处冲顶被卡希尔挡出底线
42'卡希尔力压卡多索将球解围出底线                   42'第42分钟，恩佐-佩雷斯右路传中，卡多佐8码处冲顶被卡希尔挡出底线
42'本菲卡获得右侧角球机会，战术角球                   42'第42分钟，恩佐-佩雷斯右路传中，卡多佐8码处冲顶被卡希尔挡出底线
43'莫雷诺边路传中，被切尔西球员解围                   42'第42分钟，恩佐-佩雷斯右路传中，卡多佐8码处冲顶被卡希尔挡出底线
43'但是解围不远，球被盖坦控制                   42'第42分钟，恩佐-佩雷斯右路传中，卡多佐8码处冲顶被卡希尔挡出底线
43'本菲卡继续组织进攻，右边路的大范围转移球到左路，力量稍大，直接出界                   42'第42分钟，恩佐-佩雷斯右路传中，卡多佐8码处冲顶被卡希尔挡出底线
43'上半场比赛进入尾声，比分还是0-0                   42'第42分钟，恩佐-佩雷斯右路传中，卡多佐8码处冲顶被卡希尔挡出底线
44'卡多索禁区内包抄打门，没打上力量，切赫出击将球拿到                   42'第42分钟，恩佐-佩雷斯右路传中，卡多佐8码处冲顶被卡希尔挡出底线
44'拉米雷斯右路拿球，准备传中被马蒂奇将球解围出边线                   42'第42分钟，恩佐-佩雷斯右路传中，卡多佐8码处冲顶被卡希尔挡出底线
45'托雷斯右边路和阿兹皮里库塔的传切配合，可惜后者越位在先                   42'第42分钟，恩佐-佩雷斯右路传中，卡多佐8码处冲顶被卡希尔挡出底线
45'上半场补时1分钟                   42'第42分钟，恩佐-佩雷斯右路传中，卡多佐8码处冲顶被卡希尔挡出底线
49'拉米雷斯后场右路防守中放倒了梅尔加雷霍，犯规                   49'第49分钟，罗德里戈头球摆渡，盖坦禁区边缘外弹射偏出
49'本菲卡左边路的任意球机会                   49'第49分钟，罗德里戈头球摆渡，盖坦禁区边缘外弹射偏出
49'任意球斜传禁区，切赫出击将球解围                   49'第49分钟，罗德里戈头球摆渡，盖坦禁区边缘外弹射偏出
50'但球权还在本菲卡球员脚下                   49'第49分钟，罗德里戈头球摆渡，盖坦禁区边缘外弹射偏出
50'盖坦，禁区左上角接到队友的头球摆渡，起脚打门，踢偏                   49'第49分钟，罗德里戈头球摆渡，盖坦禁区边缘外弹射偏出
50'本菲卡中场抢断，反击                   49'第49分钟，罗德里戈头球摆渡，盖坦禁区边缘外弹射偏出
51'卡多索禁区内背身拿球，面对伊万诺维奇的防守，转身横传                   49'第49分钟，罗德里戈头球摆渡，盖坦禁区边缘外弹射偏出
51'莫雷诺中路跟上的打门，被回防的阿兹皮里库塔挡出底线                   49'第49分钟，罗德里戈头球摆渡，盖坦禁区边缘外弹射偏出
51'本菲卡的右侧角球机会                   49'第49分钟，罗德里戈头球摆渡，盖坦禁区边缘外弹射偏出
51'进球啦，卡多索，不过边裁举旗，卡多索越位在先，进球无效！！！                   49'第49分钟，罗德里戈头球摆渡，盖坦禁区边缘外弹射偏出
52'本菲卡角球开出，第一点被切尔西球员解围，莫雷诺右边路拿球再传禁区，卡多索前点包抄头球破门，可惜越位在先                   49'第49分钟，罗德里戈头球摆渡，盖坦禁区边缘外弹射偏出
51'卡多索禁区内背身拿球，面对伊万诺维奇的防守，转身横传                   51'第51分钟，盖坦右路传中，卡多佐头球破门因越位在先被判无效
51'莫雷诺中路跟上的打门，被回防的阿兹皮里库塔挡出底线                   51'第51分钟，盖坦右路传中，卡多佐头球破门因越位在先被判无效
51'本菲卡的右侧角球机会                   51'第51分钟，盖坦右路传中，卡多佐头球破门因越位在先被判无效
51'进球啦，卡多索，不过边裁举旗，卡多索越位在先，进球无效！！！                   51'第51分钟，盖坦右路传中，卡多佐头球破门因越位在先被判无效
52'本菲卡角球开出，第一点被切尔西球员解围，莫雷诺右边路拿球再传禁区，卡多索前点包抄头球破门，可惜越位在先                   51'第51分钟，盖坦右路传中，卡多佐头球破门因越位在先被判无效
53'马塔右路拿球进攻，被回防的加雷放倒在地                   51'第51分钟，盖坦右路传中，卡多佐头球破门因越位在先被判无效
53'切尔西中场的过顶球找拉米雷斯，边裁再次举起，拉米雷斯越位                   51'第51分钟，盖坦右路传中，卡多佐头球破门因越位在先被判无效
53'今天切尔西的越位次数不少了啊，至少3次以上                   51'第51分钟，盖坦右路传中，卡多佐头球破门因越位在先被判无效
54'activeandbrave:枫浪，给说说，卡索多到底越位与否（越位半个身位，判罚准确）                   51'第51分钟，盖坦右路传中，卡多佐头球破门因越位在先被判无效
68'萨尔维奥的头球，打在阿兹皮里库塔手臂上                   68'本菲卡第68分钟扳平比分，阿斯皮利奎塔禁区内手球犯规，卡多佐主罚点球命中，1-1
68'点球！！！                   68'本菲卡第68分钟扳平比分，阿斯皮利奎塔禁区内手球犯规，卡多佐主罚点球命中，1-1
68'本菲卡获得点球机会                   68'本菲卡第68分钟扳平比分，阿斯皮利奎塔禁区内手球犯规，卡多佐主罚点球命中，1-1
69'点球命中，卡多索！！！                   68'本菲卡第68分钟扳平比分，阿斯皮利奎塔禁区内手球犯规，卡多佐主罚点球命中，1-1
69'卡多索主罚，假动作，切赫扑向右侧，卡多索重炮打中路得手                   68'本菲卡第68分钟扳平比分，阿斯皮利奎塔禁区内手球犯规，卡多佐主罚点球命中，1-1
69'卡多索这次发力太狠，自己还有点抽筋的感觉，坐在切尔西禁区内                   68'本菲卡第68分钟扳平比分，阿斯皮利奎塔禁区内手球犯规，卡多佐主罚点球命中，1-1
70'切尔西中场的长传球到前场右路找拉米雷斯，力量稍大，出界                   68'本菲卡第68分钟扳平比分，阿斯皮利奎塔禁区内手球犯规，卡多佐主罚点球命中，1-1
71'阿姆斯特丹球场爆棚啊！！！                   68'本菲卡第68分钟扳平比分，阿斯皮利奎塔禁区内手球犯规，卡多佐主罚点球命中，1-1
75'双方战平再次站到同一起跑线，场上的节奏也是明显慢了                   75'第75分钟，托雷斯禁区内摆脱路易松时摔倒，裁判未予判罚
75'拉米雷斯中场拿球，马蒂奇身后回防放倒了拉米雷斯                   75'第75分钟，托雷斯禁区内摆脱路易松时摔倒，裁判未予判罚
76'切尔西的直传球给到托雷斯，托雷斯进入禁区在和路易松的对抗中摔倒在地                   75'第75分钟，托雷斯禁区内摆脱路易松时摔倒，裁判未予判罚
76'主裁判没有表示，托雷斯这倒地太假啦                   75'第75分钟，托雷斯禁区内摆脱路易松时摔倒，裁判未予判罚
76'加雷在这次回防中还受伤了，倒在了禁区内                   75'第75分钟，托雷斯禁区内摆脱路易松时摔倒，裁判未予判罚
77'加雷经过队医的处理，起身一瘸一拐的从底线出场                   75'第75分钟，托雷斯禁区内摆脱路易松时摔倒，裁判未予判罚
77'坐在场边，一脸痛苦表情，估计不能坚持啦                   75'第75分钟，托雷斯禁区内摆脱路易松时摔倒，裁判未予判罚
78'本菲卡被迫换人：亚德尔换下受伤的加雷                   75'第75分钟，托雷斯禁区内摆脱路易松时摔倒，裁判未予判罚
78'这样本菲卡三个换人名额全部用完，而切尔西一个未动                   75'第75分钟，托雷斯禁区内摆脱路易松时摔倒，裁判未予判罚
82'卡多索禁区弧顶的一脚撩射，切赫单掌将球托出横梁                   82'第82分钟，利马传球，卡多佐禁区弧顶外的半凌空抽射被切赫神勇托出横梁
82'卡多索这脚打门非常的漂亮，本菲卡角球机会                   82'第82分钟，利马传球，卡多佐禁区弧顶外的半凌空抽射被切赫神勇托出横梁
83'角球开出到后点，包抄的本菲卡球员打门被挡出                   82'第82分钟，利马传球，卡多佐禁区弧顶外的半凌空抽射被切赫神勇托出横梁
83'球权还在本菲卡球员脚下，右路的横传球，科尔将球碰出底线                   82'第82分钟，利马传球，卡多佐禁区弧顶外的半凌空抽射被切赫神勇托出横梁
83'本菲卡右侧角球机会，亚德尔头球攻门顶高                   82'第82分钟，利马传球，卡多佐禁区弧顶外的半凌空抽射被切赫神勇托出横梁
84'本菲卡中路的抢断，左路的反击机会                   82'第82分钟，利马传球，卡多佐禁区弧顶外的半凌空抽射被切赫神勇托出横梁
84'约翰的横传球被切尔西球员抢断                   82'第82分钟，利马传球，卡多佐禁区弧顶外的半凌空抽射被切赫神勇托出横梁
85'拉米雷斯右路拿球反击，进入禁区，右脚的打门，路易松倒地将球碰出底线                   82'第82分钟，利马传球，卡多佐禁区弧顶外的半凌空抽射被切赫神勇托出横梁
85'切尔西右侧角球机会，卡希尔头球攻门顶偏                   82'第82分钟，利马传球，卡多佐禁区弧顶外的半凌空抽射被切赫神勇托出横梁
88'本菲卡前场进攻赢得左侧任意球机会                   88'切尔西第88分钟险些破门，马塔传球，兰帕德25码处劲射打中右上角横梁
88'盖坦任意球斜传禁区，切赫出击将球拿到                   88'切尔西第88分钟险些破门，马塔传球，兰帕德25码处劲射打中右上角横梁
88'切尔西的反击，兰帕德禁区外的远射，击中球门右侧立柱弹出                   88'切尔西第88分钟险些破门，马塔传球，兰帕德25码处劲射打中右上角横梁
89'神灯差点完成绝杀，可惜了啊                   88'切尔西第88分钟险些破门，马塔传球，兰帕德25码处劲射打中右上角横梁
89'据悉神灯兰帕德已经和切尔西达成协议，降薪续约                   88'切尔西第88分钟险些破门，马塔传球，兰帕德25码处劲射打中右上角横梁
89'本菲卡右路的进攻，萨尔维奥拿球底线内切                   88'切尔西第88分钟险些破门，马塔传球，兰帕德25码处劲射打中右上角横梁
90'科尔回防伸脚将球解围出边线                   88'切尔西第88分钟险些破门，马塔传球，兰帕德25码处劲射打中右上角横梁
90'萨尔维奥界外球大力掷进禁区，卡多索头球回摆给到萨尔维奥                   88'切尔西第88分钟险些破门，马塔传球，兰帕德25码处劲射打中右上角横梁
90'萨尔维奥的边路传中，被切尔西球员解围                   88'切尔西第88分钟险些破门，马塔传球，兰帕德25码处劲射打中右上角横梁
91'托雷斯前场的拼抢中，放倒了回防的佩雷斯                   88'切尔西第88分钟险些破门，马塔传球，兰帕德25码处劲射打中右上角横梁
91'下半场比赛补时3分钟                   88'切尔西第88分钟险些破门，马塔传球，兰帕德25码处劲射打中右上角横梁
90'科尔回防伸脚将球解围出边线                   90'第90分钟，萨尔维奥传中，路易松的头球攻门又被封堵
90'萨尔维奥界外球大力掷进禁区，卡多索头球回摆给到萨尔维奥                   90'第90分钟，萨尔维奥传中，路易松的头球攻门又被封堵
90'萨尔维奥的边路传中，被切尔西球员解围                   90'第90分钟，萨尔维奥传中，路易松的头球攻门又被封堵
91'托雷斯前场的拼抢中，放倒了回防的佩雷斯                   90'第90分钟，萨尔维奥传中，路易松的头球攻门又被封堵
91'下半场比赛补时3分钟                   90'第90分钟，萨尔维奥传中，路易松的头球攻门又被封堵
92'绿军之纳什:蓝8绝杀，干掉本非卡（离绝杀就差一个立柱）                   90'第90分钟，萨尔维奥传中，路易松的头球攻门又被封堵
92'拉米雷斯右路拿球下底传中，亚德尔将球碰出底线                   90'第90分钟，萨尔维奥传中，路易松的头球攻门又被封堵
92'切尔西右侧角球机会，马塔主罚                   90'第90分钟，萨尔维奥传中，路易松的头球攻门又被封堵
93'绝杀                   90'第90分钟，萨尔维奥传中，路易松的头球攻门又被封堵
93'1                   90'第90分钟，萨尔维奥传中，路易松的头球攻门又被封堵
