4'比利亚雷亚尔（4-5-1）：阿森霍；马里奥，阿尔瓦罗，鲁伊斯，豪梅-科斯塔；罗德里戈，塞梅多，索里亚诺，特里格罗斯，拉瓦；塞德里克-巴坎布                   4'开场仅4分钟，皮克角球混战中头球攻门击中横梁
75'角球开出来                   72'巴萨第72分钟打破僵局，梅西传球，苏亚雷斯同帕科踢墙配合后在小禁区前趟过门将射入空门
75'没有什么威胁                   72'巴萨第72分钟打破僵局，梅西传球，苏亚雷斯同帕科踢墙配合后在小禁区前趟过门将射入空门
83'0-2！！！                   83'巴萨第83分钟扩大比分，布斯克茨前场拦截后直传，梅西甩开2人后10码处单刀推射入网，2-0
83'梅西！！！                   83'巴萨第83分钟扩大比分，布斯克茨前场拦截后直传，梅西甩开2人后10码处单刀推射入网，2-0
83'巴萨前场断球，队友直塞给到禁区，梅西禁区内接球过掉两名防守球员后面对门将冷静推射破门！！                   83'巴萨第83分钟扩大比分，布斯克茨前场拦截后直传，梅西甩开2人后10码处单刀推射入网，2-0
83'这球比利亚雷亚尔的后防要付一定的责任                   83'巴萨第83分钟扩大比分，布斯克茨前场拦截后直传，梅西甩开2人后10码处单刀推射入网，2-0
84'巴萨这边换人了                   83'巴萨第83分钟扩大比分，布斯克茨前场拦截后直传，梅西甩开2人后10码处单刀推射入网，2-0
84'布斯克茨被换下                   83'巴萨第83分钟扩大比分，布斯克茨前场拦截后直传，梅西甩开2人后10码处单刀推射入网，2-0
85'阿尔瓦罗这边也是得到一张黄牌！                   83'巴萨第83分钟扩大比分，布斯克茨前场拦截后直传，梅西甩开2人后10码处单刀推射入网，2-0
85'中场拦截比达尔的时候犯规                   83'巴萨第83分钟扩大比分，布斯克茨前场拦截后直传，梅西甩开2人后10码处单刀推射入网，2-0
86'巴萨右路又是进攻上来                   83'巴萨第83分钟扩大比分，布斯克茨前场拦截后直传，梅西甩开2人后10码处单刀推射入网，2-0
86'边路的传球被挡了出去                   83'巴萨第83分钟扩大比分，布斯克茨前场拦截后直传，梅西甩开2人后10码处单刀推射入网，2-0
