3'莫德里奇再分边右侧给贝尔，贝尔停球没停好，被泰森破坏                   3'开场仅3分钟，皇马角球混战中伊斯科禁区左侧的射门稍稍高出
14'卡瓦哈尔不停球，直接横传球到禁区中路                   14'皇马第14分钟错失良机，摩德里奇传球，C-罗纳尔多在数人包夹中转身摆脱后送出直传，本泽马晃过门将皮亚托夫面对空门，但却在小禁区右上角稍稍射高出横梁
14'贝尔跟进，脚后跟的巧射，皮亚托夫倒地将球没收                   14'皇马第14分钟错失良机，摩德里奇传球，C-罗纳尔多在数人包夹中转身摆脱后送出直传，本泽马晃过门将皮亚托夫面对空门，但却在小禁区右上角稍稍射高出横梁
14'哎呀，本泽马的空门，打飞啦                   14'皇马第14分钟错失良机，摩德里奇传球，C-罗纳尔多在数人包夹中转身摆脱后送出直传，本泽马晃过门将皮亚托夫面对空门，但却在小禁区右上角稍稍射高出横梁
16'精彩回放：C罗禁区弧顶背身拿球，转身遭遇夹击，斜塞打身后找本泽马，本泽马停球一趟，过掉出击的皮亚托夫，禁区右侧小角度抽射，打飞！！！                   14'皇马第14分钟错失良机，摩德里奇传球，C-罗纳尔多在数人包夹中转身摆脱后送出直传，本泽马晃过门将皮亚托夫面对空门，但却在小禁区右上角稍稍射高出横梁
16'克罗斯中场拿球，直塞给到C罗                   14'皇马第14分钟错失良机，摩德里奇传球，C-罗纳尔多在数人包夹中转身摆脱后送出直传，本泽马晃过门将皮亚托夫面对空门，但却在小禁区右上角稍稍射高出横梁
16'C罗背身拿球，回传给跟进的伊斯科                   14'皇马第14分钟错失良机，摩德里奇传球，C-罗纳尔多在数人包夹中转身摆脱后送出直传，本泽马晃过门将皮亚托夫面对空门，但却在小禁区右上角稍稍射高出横梁
16'伊斯科左路拿球，面对逼抢，一扣，再挑传球到后点                   14'皇马第14分钟错失良机，摩德里奇传球，C-罗纳尔多在数人包夹中转身摆脱后送出直传，本泽马晃过门将皮亚托夫面对空门，但却在小禁区右上角稍稍射高出横梁
17'C罗右脚脚尖停球，接着转身一脚抽射，打偏                   14'皇马第14分钟错失良机，摩德里奇传球，C-罗纳尔多在数人包夹中转身摆脱后送出直传，本泽马晃过门将皮亚托夫面对空门，但却在小禁区右上角稍稍射高出横梁
17'上半场17分钟，皇马已经完成了7次射门，矿工只有1次                   14'皇马第14分钟错失良机，摩德里奇传球，C-罗纳尔多在数人包夹中转身摆脱后送出直传，本泽马晃过门将皮亚托夫面对空门，但却在小禁区右上角稍稍射高出横梁
30'赫塞在场边做热身，准备登场啦                   30'皇马第30分钟取得领先，伊斯科左路突破传中，皮亚托夫出击扑救脱手，本泽马10码处打入空门
30'皇马进球啦！！！                   30'皇马第30分钟取得领先，伊斯科左路突破传中，皮亚托夫出击扑救脱手，本泽马10码处打入空门
30'本泽马，推射空门得手！！！                   30'皇马第30分钟取得领先，伊斯科左路突破传中，皮亚托夫出击扑救脱手，本泽马10码处打入空门
32'伊斯科左路拿球，强突遭遇夹击，挑传球到禁区，拉基茨基头球冒顶，皮亚托夫出击没能打远，本泽马跟进推射空门打进！！！                   30'皇马第30分钟取得领先，伊斯科左路突破传中，皮亚托夫出击扑救脱手，本泽马10码处打入空门
32'皇马换人：16号科瓦契奇上，换下了受伤的11号贝尔                   30'皇马第30分钟取得领先，伊斯科左路突破传中，皮亚托夫出击扑救脱手，本泽马10码处打入空门
33'C罗前场拿球，一个变向横切，被斯捷潘内克拉倒在地                   30'皇马第30分钟取得领先，伊斯科左路突破传中，皮亚托夫出击扑救脱手，本泽马10码处打入空门
33'斯捷潘内克被主裁判出示了黄牌警告！！！                   30'皇马第30分钟取得领先，伊斯科左路突破传中，皮亚托夫出击扑救脱手，本泽马10码处打入空门
33'皇马获得前场中路的任意球机会                   30'皇马第30分钟取得领先，伊斯科左路突破传中，皮亚托夫出击扑救脱手，本泽马10码处打入空门
50'马洛斯前场右路拿球，分边右侧给到上来的斯尔纳                   50'矿工第50分钟遭遇打击，斯特潘年科对拉莫斯犯规累计两张黄牌被罚下
51'斯尔纳拿球斜传禁区，第一点被皇马球员解围                   50'矿工第50分钟遭遇打击，斯特潘年科对拉莫斯犯规累计两张黄牌被罚下
51'拉莫斯控球反击，斯捷潘内克上抢，身后放倒了拉莫斯                   50'矿工第50分钟遭遇打击，斯特潘年科对拉莫斯犯规累计两张黄牌被罚下
51'斯捷潘内克被主裁判出示黄牌警告，两黄变一红，被罚出场！！！                   50'矿工第50分钟遭遇打击，斯特潘年科对拉莫斯犯规累计两张黄牌被罚下
52'斯捷潘内克这次放铲，直接正面铲翻了拉莫斯，拉莫斯很痛苦啊                   50'矿工第50分钟遭遇打击，斯特潘年科对拉莫斯犯规累计两张黄牌被罚下
53'拉莫斯倒地时肩部先着地，起身在队医的陪伴下，摸着肩膀出场治疗                   50'矿工第50分钟遭遇打击，斯特潘年科对拉莫斯犯规累计两张黄牌被罚下
53'伊斯科右路拿球，横切后回传克罗斯                   50'矿工第50分钟遭遇打击，斯特潘年科对拉莫斯犯规累计两张黄牌被罚下
63'球到了莫德里奇脚下，莫德里奇直塞再给马塞洛                   63'第63分钟，卡瓦哈尔抢断造成阿泽维多禁区内手球犯规，C-罗纳尔多再罚点球射入相同角度，3-0
63'马塞洛左路起球到禁区，拉基茨基头球解围                   63'第63分钟，卡瓦哈尔抢断造成阿泽维多禁区内手球犯规，C-罗纳尔多再罚点球射入相同角度，3-0
63'皇马前场再攻，卡瓦哈尔禁区内胸部停球，打在了斯尔纳手臂上                   63'第63分钟，卡瓦哈尔抢断造成阿泽维多禁区内手球犯规，C-罗纳尔多再罚点球射入相同角度，3-0
63'皇马再次获得点球！！！                   63'第63分钟，卡瓦哈尔抢断造成阿泽维多禁区内手球犯规，C-罗纳尔多再罚点球射入相同角度，3-0
64'回放显示，这次球确实打在了手臂上，判罚无误                   63'第63分钟，卡瓦哈尔抢断造成阿泽维多禁区内手球犯规，C-罗纳尔多再罚点球射入相同角度，3-0
65'C罗主罚，助跑，右脚劲射打球门左侧死角，皮亚托夫判断错了方向，3-0！！！                   63'第63分钟，卡瓦哈尔抢断造成阿泽维多禁区内手球犯规，C-罗纳尔多再罚点球射入相同角度，3-0
65'两个点球，C罗打了同一角度，皮亚托夫一次判断准确，手指还碰到了球，一次直接判断错了方向                   63'第63分钟，卡瓦哈尔抢断造成阿泽维多禁区内手球犯规，C-罗纳尔多再罚点球射入相同角度，3-0
66'C罗的两个点球破门，目前欧冠个人进球已经达到了79个，力压梅西独居欧冠射手榜榜首                   63'第63分钟，卡瓦哈尔抢断造成阿泽维多禁区内手球犯规，C-罗纳尔多再罚点球射入相同角度，3-0
81'马塞洛虚跑，C罗任意球攻门，打在人墙上弹出了底线                   81'第81分钟，C-罗纳尔多20码处任意球射门被人墙挡出，马塞洛角球混战中外围远射被皮亚托夫勉强扑出，C-罗纳尔多近距离头球攻门补射入网，4-0
81'皇马再次获得右侧角球机会                   81'第81分钟，C-罗纳尔多20码处任意球射门被人墙挡出，马塞洛角球混战中外围远射被皮亚托夫勉强扑出，C-罗纳尔多近距离头球攻门补射入网，4-0
81'进球啦，4-0！！！                   81'第81分钟，C-罗纳尔多20码处任意球射门被人墙挡出，马塞洛角球混战中外围远射被皮亚托夫勉强扑出，C-罗纳尔多近距离头球攻门补射入网，4-0
81'C罗的补射，上演帽子戏法，其中两个点球                   81'第81分钟，C-罗纳尔多20码处任意球射门被人墙挡出，马塞洛角球混战中外围远射被皮亚托夫勉强扑出，C-罗纳尔多近距离头球攻门补射入网，4-0
82'伊斯科角球开出到禁区，第一点被矿工球员解围，马塞洛禁区弧顶得球，左脚怒射，皮亚托夫奋力扑出，C罗跟进，头球补射顶进！！！                   81'第81分钟，C-罗纳尔多20码处任意球射门被人墙挡出，马塞洛角球混战中外围远射被皮亚托夫勉强扑出，C-罗纳尔多近距离头球攻门补射入网，4-0
83'矿工再次换人：10号伯纳德上，换下21号格拉德基                   81'第81分钟，C-罗纳尔多20码处任意球射门被人墙挡出，马塞洛角球混战中外围远射被皮亚托夫勉强扑出，C-罗纳尔多近距离头球攻门补射入网，4-0
83'这样双方的换人名额都用完了，看看最后几分钟矿工能否扳回一个吧                   81'第81分钟，C-罗纳尔多20码处任意球射门被人墙挡出，马塞洛角球混战中外围远射被皮亚托夫勉强扑出，C-罗纳尔多近距离头球攻门补射入网，4-0
84'本泽马的抽射，皮亚托夫世界级扑救，将球打出底线                   81'第81分钟，C-罗纳尔多20码处任意球射门被人墙挡出，马塞洛角球混战中外围远射被皮亚托夫勉强扑出，C-罗纳尔多近距离头球攻门补射入网，4-0
