3'维拉右路拿球下底，这球边裁给了一个门球                   3'第3分钟，莫雷诺左路传中远点，马尔科维奇禁区右侧射门高出
50'下半场比赛，利物浦明显加强了进攻                   47'第47分钟，马尔科维奇突破传球，库迪尼奥20码处劲射被克莱维利挡出
50'维拉现在是全线退防                   47'第47分钟，马尔科维奇突破传球，库迪尼奥20码处劲射被克莱维利挡出
50'利物浦这边又获得角球机会                   47'第47分钟，马尔科维奇突破传球，库迪尼奥20码处劲射被克莱维利挡出
50'角球送前点                   47'第47分钟，马尔科维奇突破传球，库迪尼奥20码处劲射被克莱维利挡出
50'亨德森头球攻门将球顶高                   47'第47分钟，马尔科维奇突破传球，库迪尼奥20码处劲射被克莱维利挡出
53'中场休息的时候，两队都没有进行人员上的调整                   51'第51分钟，杰拉德开出角球，亨德森前点头球顶高
53'利物浦下半场能扳回比分吗？[qiangda]                   51'第51分钟，杰拉德开出角球，亨德森前点头球顶高
54'利物浦左路突破赢得角球机会                   51'第51分钟，杰拉德开出角球，亨德森前点头球顶高
67'利物浦中场大范围转移                   66'第66分钟，莫雷诺传球，但斯特林禁区前射偏
67'禁区外围闪开空挡的一脚打门被挡了出来                   66'第66分钟，莫雷诺传球，但斯特林禁区前射偏
67'利物浦现在办法不多啊                   66'第66分钟，莫雷诺传球，但斯特林禁区前射偏
67'利物浦将球打到禁区内                   66'第66分钟，莫雷诺传球，但斯特林禁区前射偏
68'结果队友都是跑到了前点                   66'第66分钟，莫雷诺传球，但斯特林禁区前射偏
69'利物浦反击传球机会啊                   66'第66分钟，莫雷诺传球，但斯特林禁区前射偏
69'这球传的有些大                   66'第66分钟，莫雷诺传球，但斯特林禁区前射偏
69'古赞在禁区内先将球拿了下来                   66'第66分钟，莫雷诺传球，但斯特林禁区前射偏
79'利物浦现在开始有点着急了                   79'第79分钟，库迪尼奥开出角球，洛夫伦头球攻门仍然偏出
80'全场比赛80分钟了，场上的比分还是维拉1-0领先利物浦                   79'第79分钟，库迪尼奥开出角球，洛夫伦头球攻门仍然偏出
80'维拉前场左路拿球，直塞送到底线                   79'第79分钟，库迪尼奥开出角球，洛夫伦头球攻门仍然偏出
80'低平球再送前点                   79'第79分钟，库迪尼奥开出角球，洛夫伦头球攻门仍然偏出
80'这球被利物浦球员直接解围了                   79'第79分钟，库迪尼奥开出角球，洛夫伦头球攻门仍然偏出
81'利物浦打门击中了立柱！！                   79'第79分钟，库迪尼奥开出角球，洛夫伦头球攻门仍然偏出
81'再补射打在队友的脚后跟上！！                   79'第79分钟，库迪尼奥开出角球，洛夫伦头球攻门仍然偏出
82'库蒂尼奥左路拿球，经过两次变向后兜远角，球是重重的砸在了立柱上！                   79'第79分钟，库迪尼奥开出角球，洛夫伦头球攻门仍然偏出
