7'高拉特将球控制下来                   4'第4分钟，阿兰突入禁区小角度射门被王大雷扑出底线
47'裁判哨响，上半场比赛结束                   45'第45分钟，尤西雷传球失误，广州恒大直接反击，阿兰试图摆脱门将射空门，但王大雷快速出击将球挡出
47'恒大依靠高拉特的进球和廖力生的进球，暂时2比0领先                   45'第45分钟，尤西雷传球失误，广州恒大直接反击，阿兰试图摆脱门将射空门，但王大雷快速出击将球挡出
47'OK，下半场开始                   45'第45分钟，尤西雷传球失误，广州恒大直接反击，阿兰试图摆脱门将射空门，但王大雷快速出击将球挡出
47'鲁能的进攻                   45'第45分钟，尤西雷传球失误，广州恒大直接反击，阿兰试图摆脱门将射空门，但王大雷快速出击将球挡出
47'赵明剑直接长传球，找西塞                   45'第45分钟，尤西雷传球失误，广州恒大直接反击，阿兰试图摆脱门将射空门，但王大雷快速出击将球挡出
47'球被郑智解围出来                   45'第45分钟，尤西雷传球失误，广州恒大直接反击，阿兰试图摆脱门将射空门，但王大雷快速出击将球挡出
48'鲁能这边半场休息的时候做了人员调整，张弛换下了蒿俊闵                   45'第45分钟，尤西雷传球失误，广州恒大直接反击，阿兰试图摆脱门将射空门，但王大雷快速出击将球挡出
48'鲁能定位球开出来，找佩莱，球被解围出来                   45'第45分钟，尤西雷传球失误，广州恒大直接反击，阿兰试图摆脱门将射空门，但王大雷快速出击将球挡出
50'中场张文钊将球控制下来                   50'第50分钟，广州恒大获得点球，高拉特送出直塞，阿兰抹过李松益形成单刀，宋龙情急之下拉人犯规被判罚点球，阿兰亲自操刀主罚骗过王大雷一蹴而就，阿兰打入个人本赛季第14球，广州恒大3-0领先
50'郑智拿球，给前场高拉特                   50'第50分钟，广州恒大获得点球，高拉特送出直塞，阿兰抹过李松益形成单刀，宋龙情急之下拉人犯规被判罚点球，阿兰亲自操刀主罚骗过王大雷一蹴而就，阿兰打入个人本赛季第14球，广州恒大3-0领先
50'再挑传禁区，找阿兰                   50'第50分钟，广州恒大获得点球，高拉特送出直塞，阿兰抹过李松益形成单刀，宋龙情急之下拉人犯规被判罚点球，阿兰亲自操刀主罚骗过王大雷一蹴而就，阿兰打入个人本赛季第14球，广州恒大3-0领先
51'倒地了，裁判果断给点球                   50'第50分钟，广州恒大获得点球，高拉特送出直塞，阿兰抹过李松益形成单刀，宋龙情急之下拉人犯规被判罚点球，阿兰亲自操刀主罚骗过王大雷一蹴而就，阿兰打入个人本赛季第14球，广州恒大3-0领先
51'这球是宋龙的犯规                   50'第50分钟，广州恒大获得点球，高拉特送出直塞，阿兰抹过李松益形成单刀，宋龙情急之下拉人犯规被判罚点球，阿兰亲自操刀主罚骗过王大雷一蹴而就，阿兰打入个人本赛季第14球，广州恒大3-0领先
51'还吃到了黄牌                   50'第50分钟，广州恒大获得点球，高拉特送出直塞，阿兰抹过李松益形成单刀，宋龙情急之下拉人犯规被判罚点球，阿兰亲自操刀主罚骗过王大雷一蹴而就，阿兰打入个人本赛季第14球，广州恒大3-0领先
51'阿兰自己来主罚点球                   50'第50分钟，广州恒大获得点球，高拉特送出直塞，阿兰抹过李松益形成单刀，宋龙情急之下拉人犯规被判罚点球，阿兰亲自操刀主罚骗过王大雷一蹴而就，阿兰打入个人本赛季第14球，广州恒大3-0领先
52'助跑打门，王大雷判断错了方向，打进！！！！！！！1111                   50'第50分钟，广州恒大获得点球，高拉特送出直塞，阿兰抹过李松益形成单刀，宋龙情急之下拉人犯规被判罚点球，阿兰亲自操刀主罚骗过王大雷一蹴而就，阿兰打入个人本赛季第14球，广州恒大3-0领先
52'这比赛几乎没有悬念了                   50'第50分钟，广州恒大获得点球，高拉特送出直塞，阿兰抹过李松益形成单刀，宋龙情急之下拉人犯规被判罚点球，阿兰亲自操刀主罚骗过王大雷一蹴而就，阿兰打入个人本赛季第14球，广州恒大3-0领先
53'继续看比赛                   50'第50分钟，广州恒大获得点球，高拉特送出直塞，阿兰抹过李松益形成单刀，宋龙情急之下拉人犯规被判罚点球，阿兰亲自操刀主罚骗过王大雷一蹴而就，阿兰打入个人本赛季第14球，广州恒大3-0领先
63'还是前点，找高拉特，头球一蹭，没人插上，球出了底线                   63'第63分钟，廖力生角球传中，高拉特头球后蹭，阿兰门前顶空门未能顶到皮球
63'王大雷大脚将球开出来，中场争抢                   63'第63分钟，廖力生角球传中，高拉特头球后蹭，阿兰门前顶空门未能顶到皮球
63'球被鲁能控制下来                   63'第63分钟，廖力生角球传中，高拉特头球后蹭，阿兰门前顶空门未能顶到皮球
64'宋龙直传找张弛，球被挡出底线                   63'第63分钟，廖力生角球传中，高拉特头球后蹭，阿兰门前顶空门未能顶到皮球
64'鲁能换人了                   63'第63分钟，廖力生角球传中，高拉特头球后蹭，阿兰门前顶空门未能顶到皮球
64'戴琳换下了王彤                   63'第63分钟，廖力生角球传中，高拉特头球后蹭，阿兰门前顶空门未能顶到皮球
64'角球开出来，王上源头球解围出来                   63'第63分钟，廖力生角球传中，高拉特头球后蹭，阿兰门前顶空门未能顶到皮球
65'郑智拿到，给张文钊，回敲郑智，突破禁区                   63'第63分钟，廖力生角球传中，高拉特头球后蹭，阿兰门前顶空门未能顶到皮球
65'裁判哨响，吹了郑智的推人犯规                   63'第63分钟，廖力生角球传中，高拉特头球后蹭，阿兰门前顶空门未能顶到皮球
66'王大雷大脚将球开出来                   63'第63分钟，廖力生角球传中，高拉特头球后蹭，阿兰门前顶空门未能顶到皮球
66'中场争抢，吹了佩莱的争抢犯规                   63'第63分钟，廖力生角球传中，高拉特头球后蹭，阿兰门前顶空门未能顶到皮球
66'王大雷大脚将球开出来                   66'第66分钟，保利尼奥拿球内切吸引防守后做球，高拉特拿球晃开防守队员后弧线球远射，球绕过王大雷防守直奔死角，广州恒大4-0领先
66'中场争抢，吹了佩莱的争抢犯规                   66'第66分钟，保利尼奥拿球内切吸引防守后做球，高拉特拿球晃开防守队员后弧线球远射，球绕过王大雷防守直奔死角，广州恒大4-0领先
67'保利尼奥拿到球，给高拉特，直接拔起怒射，球进了！！！！！！！！！！！                   66'第66分钟，保利尼奥拿球内切吸引防守后做球，高拉特拿球晃开防守队员后弧线球远射，球绕过王大雷防守直奔死角，广州恒大4-0领先
67'高拉特梅开二度                   66'第66分钟，保利尼奥拿球内切吸引防守后做球，高拉特拿球晃开防守队员后弧线球远射，球绕过王大雷防守直奔死角，广州恒大4-0领先
69'继续看比赛，鲁能的进攻                   66'第66分钟，保利尼奥拿球内切吸引防守后做球，高拉特拿球晃开防守队员后弧线球远射，球绕过王大雷防守直奔死角，广州恒大4-0领先
69'戴琳拿球，禁区前沿的打门                   66'第66分钟，保利尼奥拿球内切吸引防守后做球，高拉特拿球晃开防守队员后弧线球远射，球绕过王大雷防守直奔死角，广州恒大4-0领先
69'一脚飞机                   66'第66分钟，保利尼奥拿球内切吸引防守后做球，高拉特拿球晃开防守队员后弧线球远射，球绕过王大雷防守直奔死角，广州恒大4-0领先
69'继续看比赛，鲁能的进攻                   69'第69分钟，张文钊手球犯规被主裁判黄牌警告
69'戴琳拿球，禁区前沿的打门                   69'第69分钟，张文钊手球犯规被主裁判黄牌警告
69'一脚飞机                   69'第69分钟，张文钊手球犯规被主裁判黄牌警告
70'刘殿座大脚将球开出来，中场争抢，西塞拿球                   69'第69分钟，张文钊手球犯规被主裁判黄牌警告
70'禁区外直接来一脚射门，球被刘殿座抱住                   69'第69分钟，张文钊手球犯规被主裁判黄牌警告
70'中场鲁能继续断球                   69'第69分钟，张文钊手球犯规被主裁判黄牌警告
71'吴兴涵拿球，往禁区传，球被解围出来                   69'第69分钟，张文钊手球犯规被主裁判黄牌警告
72'阿兰拿球，前场和队友打撞墙配合，然后自己插上的射门                   69'第69分钟，张文钊手球犯规被主裁判黄牌警告
72'打偏了                   69'第69分钟，张文钊手球犯规被主裁判黄牌警告
46'张文钊传球阿兰，突破禁区，准备躺球过人，球被挡出底线                   46'1分钟后，广州恒大获得二打一机会，阿兰无私助攻，但张文钊小角度射门将球打偏
46'角球开出来，前点，球被解围出来                   46'1分钟后，广州恒大获得二打一机会，阿兰无私助攻，但张文钊小角度射门将球打偏
46'中场附近有人倒地了                   46'1分钟后，广州恒大获得二打一机会，阿兰无私助攻，但张文钊小角度射门将球打偏
47'给了恒大定位球机会                   46'1分钟后，广州恒大获得二打一机会，阿兰无私助攻，但张文钊小角度射门将球打偏
47'保利尼奥传球禁区，球被解围出出来                   46'1分钟后，广州恒大获得二打一机会，阿兰无私助攻，但张文钊小角度射门将球打偏
47'裁判哨响，上半场比赛结束                   46'1分钟后，广州恒大获得二打一机会，阿兰无私助攻，但张文钊小角度射门将球打偏
47'恒大依靠高拉特的进球和廖力生的进球，暂时2比0领先                   46'1分钟后，广州恒大获得二打一机会，阿兰无私助攻，但张文钊小角度射门将球打偏
47'OK，下半场开始                   46'1分钟后，广州恒大获得二打一机会，阿兰无私助攻，但张文钊小角度射门将球打偏
47'鲁能的进攻                   46'1分钟后，广州恒大获得二打一机会，阿兰无私助攻，但张文钊小角度射门将球打偏
47'赵明剑直接长传球，找西塞                   46'1分钟后，广州恒大获得二打一机会，阿兰无私助攻，但张文钊小角度射门将球打偏
47'球被郑智解围出来                   46'1分钟后，广州恒大获得二打一机会，阿兰无私助攻，但张文钊小角度射门将球打偏
48'鲁能这边半场休息的时候做了人员调整，张弛换下了蒿俊闵                   46'1分钟后，广州恒大获得二打一机会，阿兰无私助攻，但张文钊小角度射门将球打偏
48'鲁能定位球开出来，找佩莱，球被解围出来                   46'1分钟后，广州恒大获得二打一机会，阿兰无私助攻，但张文钊小角度射门将球打偏
49'鲁能获得角球机会                   46'1分钟后，广州恒大获得二打一机会，阿兰无私助攻，但张文钊小角度射门将球打偏
49'赵明剑来主罚，后点，球被再次被解围出来                   46'1分钟后，广州恒大获得二打一机会，阿兰无私助攻，但张文钊小角度射门将球打偏
78'恒大换人了，邹正换下了陈泽鹏                   78'第78分钟，邹正换下体能不足的陈泽鹏
79'赵明剑给佩莱，拔脚射门，直接被门将刘殿座抱住                   78'第78分钟，邹正换下体能不足的陈泽鹏
79'张文钊拿球，直传廖力生，转身过来，直接射门了                   78'第78分钟，邹正换下体能不足的陈泽鹏
79'打偏了                   78'第78分钟，邹正换下体能不足的陈泽鹏
80'戴琳中场拿球                   78'第78分钟，邹正换下体能不足的陈泽鹏
81'给边路的赵明剑，一个虚晃，给佩莱，低射，球被挡出来                   78'第78分钟，邹正换下体能不足的陈泽鹏
81'赵明剑拿球，内切一步，传中，没人包抄呀                   78'第78分钟，邹正换下体能不足的陈泽鹏
83'可惜偏了                   83'第83分钟，戴琳禁区外扣过防守后远射高出
83'鲁能的长传球被断下                   83'第83分钟，戴琳禁区外扣过防守后远射高出
83'中场拼抢，尤西雷反断回来                   83'第83分钟，戴琳禁区外扣过防守后远射高出
83'给中路戴琳，拔脚就射射门，球高出了横梁                   83'第83分钟，戴琳禁区外扣过防守后远射高出
84'阿兰拿球，挑传禁区，高拉特拿球，躺球过人，球出了边线                   83'第83分钟，戴琳禁区外扣过防守后远射高出
85'恒大这边要换人了                   83'第83分钟，戴琳禁区外扣过防守后远射高出
85'张奥凯上场换下了郑智                   83'第83分钟，戴琳禁区外扣过防守后远射高出
86'郑智直接把队长袖标给了张奥凯                   83'第83分钟，戴琳禁区外扣过防守后远射高出
86'16岁就当一支中超6连冠球队的队长哈哈，荣誉                   83'第83分钟，戴琳禁区外扣过防守后远射高出
86'赵明剑禁区外的传中球，球被解围出来                   83'第83分钟，戴琳禁区外扣过防守后远射高出
88'躺球过人，球是过了，人没过                   88'第88分钟，宋龙倒地情况下传中，佩莱禁区内小角度劲射被门框挡出
88'戴琳外围拿球，给宋龙，禁区线上的打门                   88'第88分钟，宋龙倒地情况下传中，佩莱禁区内小角度劲射被门框挡出
88'又是横梁                   88'第88分钟，宋龙倒地情况下传中，佩莱禁区内小角度劲射被门框挡出
88'球弹出来，佩莱拿球，给边路吴兴涵                   88'第88分钟，宋龙倒地情况下传中，佩莱禁区内小角度劲射被门框挡出
89'下底传中，球被解围出来                   88'第88分钟，宋龙倒地情况下传中，佩莱禁区内小角度劲射被门框挡出
90'刘殿座大脚将球开出来，鲁能将球控制下来                   88'第88分钟，宋龙倒地情况下传中，佩莱禁区内小角度劲射被门框挡出
90'宋龙拿球，传中，没人抢到                   88'第88分钟，宋龙倒地情况下传中，佩莱禁区内小角度劲射被门框挡出
90'出了底线                   88'第88分钟，宋龙倒地情况下传中，佩莱禁区内小角度劲射被门框挡出
90'比赛已经接近尾声了                   88'第88分钟，宋龙倒地情况下传中，佩莱禁区内小角度劲射被门框挡出
90'下半场补时2分钟                   88'第88分钟，宋龙倒地情况下传中，佩莱禁区内小角度劲射被门框挡出
91'保利尼奥送出直塞球，找高拉特，球被解围出来                   88'第88分钟，宋龙倒地情况下传中，佩莱禁区内小角度劲射被门框挡出
91'中场鲁能控球                   88'第88分钟，宋龙倒地情况下传中，佩莱禁区内小角度劲射被门框挡出
91'吴兴涵带球突破，被保利尼奥直接断下                   88'第88分钟，宋龙倒地情况下传中，佩莱禁区内小角度劲射被门框挡出
91'解围出来                   88'第88分钟，宋龙倒地情况下传中，佩莱禁区内小角度劲射被门框挡出
