1'上半场比赛开始                   1'双方第1分钟打出谨慎的缓慢开局
29'桑切斯带多了，差点被对方断下                   26'切尔西第26分钟打破僵局，佩德罗分球，阿斯皮利奎塔右路传中，洛夫图斯-奇克12码处第一时间推射，皮球打在莱斯科特腿上偏转入网
29'西索科左路推进交给阿尤                   26'切尔西第26分钟打破僵局，佩德罗分球，阿斯皮利奎塔右路传中，洛夫图斯-奇克12码处第一时间推射，皮球打在莱斯科特腿上偏转入网
59'帕托远射被古赞扑得不远，佩德罗补射球进！                   59'第59分钟，奥斯卡传球，帕托禁区左侧边缘内射门被古赞勉强扑出，佩德罗小禁区右侧小角度补射空门入网，4-0
59'此时此刻值得来杯嘉士伯！                   59'第59分钟，奥斯卡传球，帕托禁区左侧边缘内射门被古赞勉强扑出，佩德罗小禁区右侧小角度补射空门入网，4-0
60'阿斯顿维拉球迷发出嘘声                   59'第59分钟，奥斯卡传球，帕托禁区左侧边缘内射门被古赞勉强扑出，佩德罗小禁区右侧小角度补射空门入网，4-0
60'pound histroywhat future？的标语再次举起                   59'第59分钟，奥斯卡传球，帕托禁区左侧边缘内射门被古赞勉强扑出，佩德罗小禁区右侧小角度补射空门入网，4-0
61'切克突破加速为，被拉在身后的桑切斯拉人犯规                   59'第59分钟，奥斯卡传球，帕托禁区左侧边缘内射门被古赞勉强扑出，佩德罗小禁区右侧小角度补射空门入网，4-0
62'桑切斯被黄牌警告！                   59'第59分钟，奥斯卡传球，帕托禁区左侧边缘内射门被古赞勉强扑出，佩德罗小禁区右侧小角度补射空门入网，4-0
62'维拉争取进一球来激励一下士气                   59'第59分钟，奥斯卡传球，帕托禁区左侧边缘内射门被古赞勉强扑出，佩德罗小禁区右侧小角度补射空门入网，4-0
85'哈顿停球大了后，飞铲铲向切克                   85'第85分钟，胡顿飞铲洛夫图斯-奇克累计两张黄牌被罚下
85'哈顿吃到第二张黄牌变红牌罚下                   85'第85分钟，胡顿飞铲洛夫图斯-奇克累计两张黄牌被罚下
86'格里利什控球，法布雷加斯断下                   85'第85分钟，胡顿飞铲洛夫图斯-奇克累计两张黄牌被罚下
86'分到左路，巴巴加速突，韦斯特伍德绊倒了对方                   85'第85分钟，胡顿飞铲洛夫图斯-奇克累计两张黄牌被罚下
86'维拉球员动作越来越大                   85'第85分钟，胡顿飞铲洛夫图斯-奇克累计两张黄牌被罚下
87'主裁判黄牌警告韦斯特伍德                   85'第85分钟，胡顿飞铲洛夫图斯-奇克累计两张黄牌被罚下
87'法布雷加斯传中，古赞将球摘下                   85'第85分钟，胡顿飞铲洛夫图斯-奇克累计两张黄牌被罚下
