5'迪马利亚右侧内切！                   5'第5分钟，小维阿分球，迪马利亚大禁区前沿右侧起脚远射，球高出了横梁
17'巴黎右侧进攻拿到角球！                   15'第15分钟，小维阿突入禁区左路传中，迪马利亚拿球后脚后跟射门，球被防守球员封堵
17'战术角球给内马尔！                   15'第15分钟，小维阿突入禁区左路传中，迪马利亚拿球后脚后跟射门，球被防守球员封堵
18'横敲迪马利亚！直塞禁区中路被断了！                   15'第15分钟，小维阿突入禁区左路传中，迪马利亚拿球后脚后跟射门，球被防守球员封堵
18'甘冈反击直传前场左侧！失误了！                   15'第15分钟，小维阿突入禁区左路传中，迪马利亚拿球后脚后跟射门，球被防守球员封堵
18'马尔基尼奥斯得球分左侧达巴！                   15'第15分钟，小维阿突入禁区左路传中，迪马利亚拿球后脚后跟射门，球被防守球员封堵
18'长传转移右侧！出了边线！                   15'第15分钟，小维阿突入禁区左路传中，迪马利亚拿球后脚后跟射门，球被防守球员封堵
23'图拉姆左侧横传中路！                   23'第23分钟，小图拉姆传中，鲁斯直接凌空抽射，球高出了横梁
23'贝内泽凌空垫射！！                   23'第23分钟，小图拉姆传中，鲁斯直接凌空抽射，球高出了横梁
23'球打高了！！                   23'第23分钟，小图拉姆传中，鲁斯直接凌空抽射，球高出了横梁
23'布冯长传中场右侧！拼抢后默尼耶回传给马尔基尼奥斯！                   23'第23分钟，小图拉姆传中，鲁斯直接凌空抽射，球高出了横梁
23'回传给蒂亚戈-席尔瓦！直传中场恩昆库！                   23'第23分钟，小图拉姆传中，鲁斯直接凌空抽射，球高出了横梁
24'斜传右侧迪马利亚！直塞前场右侧！                   23'第23分钟，小图拉姆传中，鲁斯直接凌空抽射，球高出了横梁
24'球被解围出了底线！                   23'第23分钟，小图拉姆传中，鲁斯直接凌空抽射，球高出了横梁
25'图拉姆左侧反击！突破底线传中！                   23'第23分钟，小图拉姆传中，鲁斯直接凌空抽射，球高出了横梁
26'中路队友包抄破门！！                   23'第23分钟，小图拉姆传中，鲁斯直接凌空抽射，球高出了横梁
26'裁判在听VAR的意见！                   23'第23分钟，小图拉姆传中，鲁斯直接凌空抽射，球高出了横梁
46'斜传左侧内马尔！内切横传弧顶右侧！                   46'上半场补时第1分钟，恩昆库远射稍稍偏出球门
46'迪马利亚得球回做！被断了！                   46'上半场补时第1分钟，恩昆库远射稍稍偏出球门
46'拉比奥特反抢回来！回传给中路！                   46'上半场补时第1分钟，恩昆库远射稍稍偏出球门
46'恩昆库得球直接远射！偏出左侧底线！                   46'上半场补时第1分钟，恩昆库远射稍稍偏出球门
47'约翰松长传中场！贝内德争顶出了边线！                   46'上半场补时第1分钟，恩昆库远射稍稍偏出球门
47'贝内泽左侧得球！横传给图拉姆！                   46'上半场补时第1分钟，恩昆库远射稍稍偏出球门
47'图拉姆交给布拉斯！边路横传！                   46'上半场补时第1分钟，恩昆库远射稍稍偏出球门
47'科科挑传禁区左侧！被破坏出去！                   46'上半场补时第1分钟，恩昆库远射稍稍偏出球门
48'图拉姆得球左侧斜突禁区！                   46'上半场补时第1分钟，恩昆库远射稍稍偏出球门
48'拉都拉不住！                   46'上半场补时第1分钟，恩昆库远射稍稍偏出球门
48'一脚推射远角！！                   46'上半场补时第1分钟，恩昆库远射稍稍偏出球门
48'偏出右侧立柱！！                   46'上半场补时第1分钟，恩昆库远射稍稍偏出球门
49'默尼耶右侧分球被挡出边线！                   46'上半场补时第1分钟，恩昆库远射稍稍偏出球门
49'裁判哨响！全场比赛结束！                   46'上半场补时第1分钟，恩昆库远射稍稍偏出球门
49'裁判哨响！上半场比赛结束！                   46'上半场补时第1分钟，恩昆库远射稍稍偏出球门
46'姆巴佩换下维阿！                   46'上半场补时第1分钟，恩昆库远射稍稍偏出球门
46'内马尔中路得球！直接一脚吊射！                   46'上半场补时第1分钟，恩昆库远射稍稍偏出球门
46'球被门将抱住了！                   46'上半场补时第1分钟，恩昆库远射稍稍偏出球门
48'分禁区左侧迪马利亚！                   46'上半场补时第1分钟，恩昆库远射稍稍偏出球门
48'扫射打高了！                   46'上半场补时第1分钟，恩昆库远射稍稍偏出球门
48'拉比奥特挑传前场左侧！                   46'上半场补时第1分钟，恩昆库远射稍稍偏出球门
48'迪马利亚得球横传！失误了！                   46'上半场补时第1分钟，恩昆库远射稍稍偏出球门
49'拉比奥特反抢回来！挑传前场左侧！                   46'上半场补时第1分钟，恩昆库远射稍稍偏出球门
49'伊科科得球分右侧诺兰-鲁！                   46'上半场补时第1分钟，恩昆库远射稍稍偏出球门
49'边路推进被断了！                   46'上半场补时第1分钟，恩昆库远射稍稍偏出球门
46'斜传左侧内马尔！内切横传弧顶右侧！                   46'第46分钟，恩昆库分球到禁区左侧，迪马利亚射门被门将约翰松扑出，他跟上补射又将球打高
46'迪马利亚得球回做！被断了！                   46'第46分钟，恩昆库分球到禁区左侧，迪马利亚射门被门将约翰松扑出，他跟上补射又将球打高
46'拉比奥特反抢回来！回传给中路！                   46'第46分钟，恩昆库分球到禁区左侧，迪马利亚射门被门将约翰松扑出，他跟上补射又将球打高
46'恩昆库得球直接远射！偏出左侧底线！                   46'第46分钟，恩昆库分球到禁区左侧，迪马利亚射门被门将约翰松扑出，他跟上补射又将球打高
47'约翰松长传中场！贝内德争顶出了边线！                   46'第46分钟，恩昆库分球到禁区左侧，迪马利亚射门被门将约翰松扑出，他跟上补射又将球打高
47'贝内泽左侧得球！横传给图拉姆！                   46'第46分钟，恩昆库分球到禁区左侧，迪马利亚射门被门将约翰松扑出，他跟上补射又将球打高
47'图拉姆交给布拉斯！边路横传！                   46'第46分钟，恩昆库分球到禁区左侧，迪马利亚射门被门将约翰松扑出，他跟上补射又将球打高
47'科科挑传禁区左侧！被破坏出去！                   46'第46分钟，恩昆库分球到禁区左侧，迪马利亚射门被门将约翰松扑出，他跟上补射又将球打高
48'图拉姆得球左侧斜突禁区！                   46'第46分钟，恩昆库分球到禁区左侧，迪马利亚射门被门将约翰松扑出，他跟上补射又将球打高
48'拉都拉不住！                   46'第46分钟，恩昆库分球到禁区左侧，迪马利亚射门被门将约翰松扑出，他跟上补射又将球打高
48'一脚推射远角！！                   46'第46分钟，恩昆库分球到禁区左侧，迪马利亚射门被门将约翰松扑出，他跟上补射又将球打高
48'偏出右侧立柱！！                   46'第46分钟，恩昆库分球到禁区左侧，迪马利亚射门被门将约翰松扑出，他跟上补射又将球打高
49'默尼耶右侧分球被挡出边线！                   46'第46分钟，恩昆库分球到禁区左侧，迪马利亚射门被门将约翰松扑出，他跟上补射又将球打高
49'裁判哨响！全场比赛结束！                   46'第46分钟，恩昆库分球到禁区左侧，迪马利亚射门被门将约翰松扑出，他跟上补射又将球打高
49'裁判哨响！上半场比赛结束！                   46'第46分钟，恩昆库分球到禁区左侧，迪马利亚射门被门将约翰松扑出，他跟上补射又将球打高
46'姆巴佩换下维阿！                   46'第46分钟，恩昆库分球到禁区左侧，迪马利亚射门被门将约翰松扑出，他跟上补射又将球打高
46'内马尔中路得球！直接一脚吊射！                   46'第46分钟，恩昆库分球到禁区左侧，迪马利亚射门被门将约翰松扑出，他跟上补射又将球打高
46'球被门将抱住了！                   46'第46分钟，恩昆库分球到禁区左侧，迪马利亚射门被门将约翰松扑出，他跟上补射又将球打高
48'分禁区左侧迪马利亚！                   46'第46分钟，恩昆库分球到禁区左侧，迪马利亚射门被门将约翰松扑出，他跟上补射又将球打高
48'扫射打高了！                   46'第46分钟，恩昆库分球到禁区左侧，迪马利亚射门被门将约翰松扑出，他跟上补射又将球打高
48'拉比奥特挑传前场左侧！                   46'第46分钟，恩昆库分球到禁区左侧，迪马利亚射门被门将约翰松扑出，他跟上补射又将球打高
48'迪马利亚得球横传！失误了！                   46'第46分钟，恩昆库分球到禁区左侧，迪马利亚射门被门将约翰松扑出，他跟上补射又将球打高
49'拉比奥特反抢回来！挑传前场左侧！                   46'第46分钟，恩昆库分球到禁区左侧，迪马利亚射门被门将约翰松扑出，他跟上补射又将球打高
49'伊科科得球分右侧诺兰-鲁！                   46'第46分钟，恩昆库分球到禁区左侧，迪马利亚射门被门将约翰松扑出，他跟上补射又将球打高
49'边路推进被断了！                   46'第46分钟，恩昆库分球到禁区左侧，迪马利亚射门被门将约翰松扑出，他跟上补射又将球打高
54'拉比奥特长传前场左侧！                   54'第54分钟，姆巴佩穿裆过掉两人后传中，甘冈解围失误，迪马利亚拿球后劲射被约翰松扑出
54'迪马利亚二过一配合！                   54'第54分钟，姆巴佩穿裆过掉两人后传中，甘冈解围失误，迪马利亚拿球后劲射被约翰松扑出
54'回传给内马尔！内马尔横传中路拉比奥特！                   54'第54分钟，姆巴佩穿裆过掉两人后传中，甘冈解围失误，迪马利亚拿球后劲射被约翰松扑出
54'拉比奥特分右侧贝内德！长传禁区左侧！                   54'第54分钟，姆巴佩穿裆过掉两人后传中，甘冈解围失误，迪马利亚拿球后劲射被约翰松扑出
54'姆巴佩底角得球！一个人球分过！                   54'第54分钟，姆巴佩穿裆过掉两人后传中，甘冈解围失误，迪马利亚拿球后劲射被约翰松扑出
55'找到一秒后的自己！横传禁区右侧！                   54'第54分钟，姆巴佩穿裆过掉两人后传中，甘冈解围失误，迪马利亚拿球后劲射被约翰松扑出
55'被挡了一下！迪马利亚凌空抽射！                   54'第54分钟，姆巴佩穿裆过掉两人后传中，甘冈解围失误，迪马利亚拿球后劲射被约翰松扑出
55'球被门将扑出了底线！                   54'第54分钟，姆巴佩穿裆过掉两人后传中，甘冈解围失误，迪马利亚拿球后劲射被约翰松扑出
55'巴黎右侧角球给前点被破坏出去！                   54'第54分钟，姆巴佩穿裆过掉两人后传中，甘冈解围失误，迪马利亚拿球后劲射被约翰松扑出
55'图拉姆左侧得球反击！快速推进！                   54'第54分钟，姆巴佩穿裆过掉两人后传中，甘冈解围失误，迪马利亚拿球后劲射被约翰松扑出
55'回传给布拉斯！分左侧雷博舒！                   54'第54分钟，姆巴佩穿裆过掉两人后传中，甘冈解围失误，迪马利亚拿球后劲射被约翰松扑出
56'直塞左侧底线！球出了底线！                   54'第54分钟，姆巴佩穿裆过掉两人后传中，甘冈解围失误，迪马利亚拿球后劲射被约翰松扑出
56'拉比奥特推进横传中路姆巴佩！单骑闯关！                   54'第54分钟，姆巴佩穿裆过掉两人后传中，甘冈解围失误，迪马利亚拿球后劲射被约翰松扑出
56'球被铲了出去！                   54'第54分钟，姆巴佩穿裆过掉两人后传中，甘冈解围失误，迪马利亚拿球后劲射被约翰松扑出
57'中路迪马利亚得球！直传身前拉比奥特！                   54'第54分钟，姆巴佩穿裆过掉两人后传中，甘冈解围失误，迪马利亚拿球后劲射被约翰松扑出
57'回传给蒂亚戈-席尔瓦！分右侧贝内德！                   54'第54分钟，姆巴佩穿裆过掉两人后传中，甘冈解围失误，迪马利亚拿球后劲射被约翰松扑出
57'直塞禁区右侧！                   54'第54分钟，姆巴佩穿裆过掉两人后传中，甘冈解围失误，迪马利亚拿球后劲射被约翰松扑出
57'球出了底线！                   54'第54分钟，姆巴佩穿裆过掉两人后传中，甘冈解围失误，迪马利亚拿球后劲射被约翰松扑出
57'约翰松长传前场！拼抢后诺兰-鲁得球！                   54'第54分钟，姆巴佩穿裆过掉两人后传中，甘冈解围失误，迪马利亚拿球后劲射被约翰松扑出
46'斜传左侧内马尔！内切横传弧顶右侧！                   46'1分钟后，姆巴佩接到队友长传后铲射被挡出
46'迪马利亚得球回做！被断了！                   46'1分钟后，姆巴佩接到队友长传后铲射被挡出
46'拉比奥特反抢回来！回传给中路！                   46'1分钟后，姆巴佩接到队友长传后铲射被挡出
46'恩昆库得球直接远射！偏出左侧底线！                   46'1分钟后，姆巴佩接到队友长传后铲射被挡出
47'约翰松长传中场！贝内德争顶出了边线！                   46'1分钟后，姆巴佩接到队友长传后铲射被挡出
47'贝内泽左侧得球！横传给图拉姆！                   46'1分钟后，姆巴佩接到队友长传后铲射被挡出
47'图拉姆交给布拉斯！边路横传！                   46'1分钟后，姆巴佩接到队友长传后铲射被挡出
47'科科挑传禁区左侧！被破坏出去！                   46'1分钟后，姆巴佩接到队友长传后铲射被挡出
48'图拉姆得球左侧斜突禁区！                   46'1分钟后，姆巴佩接到队友长传后铲射被挡出
48'拉都拉不住！                   46'1分钟后，姆巴佩接到队友长传后铲射被挡出
48'一脚推射远角！！                   46'1分钟后，姆巴佩接到队友长传后铲射被挡出
48'偏出右侧立柱！！                   46'1分钟后，姆巴佩接到队友长传后铲射被挡出
49'默尼耶右侧分球被挡出边线！                   46'1分钟后，姆巴佩接到队友长传后铲射被挡出
49'裁判哨响！全场比赛结束！                   46'1分钟后，姆巴佩接到队友长传后铲射被挡出
49'裁判哨响！上半场比赛结束！                   46'1分钟后，姆巴佩接到队友长传后铲射被挡出
46'姆巴佩换下维阿！                   46'1分钟后，姆巴佩接到队友长传后铲射被挡出
46'内马尔中路得球！直接一脚吊射！                   46'1分钟后，姆巴佩接到队友长传后铲射被挡出
46'球被门将抱住了！                   46'1分钟后，姆巴佩接到队友长传后铲射被挡出
48'分禁区左侧迪马利亚！                   46'1分钟后，姆巴佩接到队友长传后铲射被挡出
48'扫射打高了！                   46'1分钟后，姆巴佩接到队友长传后铲射被挡出
48'拉比奥特挑传前场左侧！                   46'1分钟后，姆巴佩接到队友长传后铲射被挡出
48'迪马利亚得球横传！失误了！                   46'1分钟后，姆巴佩接到队友长传后铲射被挡出
49'拉比奥特反抢回来！挑传前场左侧！                   46'1分钟后，姆巴佩接到队友长传后铲射被挡出
49'伊科科得球分右侧诺兰-鲁！                   46'1分钟后，姆巴佩接到队友长传后铲射被挡出
49'边路推进被断了！                   46'1分钟后，姆巴佩接到队友长传后铲射被挡出
67'这段时间巴黎突然效率低下了！                   67'第67分钟，巴黎获得禁区前任意球，迪马利亚直接打门，球稍稍偏出
67'内马尔中路得球横向突破！被阻挡犯规了！                   67'第67分钟，巴黎获得禁区前任意球，迪马利亚直接打门，球稍稍偏出
70'内马尔禁区右侧拿球！被包夹了！                   67'第67分钟，巴黎获得禁区前任意球，迪马利亚直接打门，球稍稍偏出
70'球被解围出去！                   67'第67分钟，巴黎获得禁区前任意球，迪马利亚直接打门，球稍稍偏出
80'这边甘冈有球员拼抢倒地！                   78'第78分钟，内马尔开出左侧角球，迪马利亚抢点射门被对方在门线上挡出
81'巴黎换人了！洛塞尔索换下贝内德！                   78'第78分钟，内马尔开出左侧角球，迪马利亚抢点射门被对方在门线上挡出
81'布冯后场得球！交给马尔基尼奥斯！                   78'第78分钟，内马尔开出左侧角球，迪马利亚抢点射门被对方在门线上挡出
81'短传拉比奥特！给左侧蒂亚戈-席尔瓦！                   78'第78分钟，内马尔开出左侧角球，迪马利亚抢点射门被对方在门线上挡出
81'横传右侧迪马利亚！                   78'第78分钟，内马尔开出左侧角球，迪马利亚抢点射门被对方在门线上挡出
81'给中路拉比奥特！                   78'第78分钟，内马尔开出左侧角球，迪马利亚抢点射门被对方在门线上挡出
82'回传蒂亚戈-席尔瓦！中路短传姆巴佩！                   82'第82分钟，巴黎反超比分，迪马利亚斜传禁区，姆巴佩反越位成功，单刀面对约翰松推射破门，巴黎2-1领先甘冈
82'交给弧顶迪马利亚！直塞禁区左侧！                   82'第82分钟，巴黎反超比分，迪马利亚斜传禁区，姆巴佩反越位成功，单刀面对约翰松推射破门，巴黎2-1领先甘冈
82'姆巴佩插上单刀推射！！                   82'第82分钟，巴黎反超比分，迪马利亚斜传禁区，姆巴佩反越位成功，单刀面对约翰松推射破门，巴黎2-1领先甘冈
82'GOOOOOOOOOOOOOOAL！！                   82'第82分钟，巴黎反超比分，迪马利亚斜传禁区，姆巴佩反越位成功，单刀面对约翰松推射破门，巴黎2-1领先甘冈
82'姆巴佩！！！                   82'第82分钟，巴黎反超比分，迪马利亚斜传禁区，姆巴佩反越位成功，单刀面对约翰松推射破门，巴黎2-1领先甘冈
90'巴黎中路反击！直塞禁区左侧！                   90'第90分钟，巴黎再进一球锁定胜局，内马尔分球给姆巴佩，姆巴佩过人后突入禁区左侧面对约翰松挑射破门，巴黎3-1领先甘冈
91'姆巴佩得球抹过防守！突然加速！                   90'第90分钟，巴黎再进一球锁定胜局，内马尔分球给姆巴佩，姆巴佩过人后突入禁区左侧面对约翰松挑射破门，巴黎3-1领先甘冈
91'面对出击的门将选择挑射！！                   90'第90分钟，巴黎再进一球锁定胜局，内马尔分球给姆巴佩，姆巴佩过人后突入禁区左侧面对约翰松挑射破门，巴黎3-1领先甘冈
91'GOOOOOOOOOAL！！                   90'第90分钟，巴黎再进一球锁定胜局，内马尔分球给姆巴佩，姆巴佩过人后突入禁区左侧面对约翰松挑射破门，巴黎3-1领先甘冈
92'下半场补时4分钟！                   90'第90分钟，巴黎再进一球锁定胜局，内马尔分球给姆巴佩，姆巴佩过人后突入禁区左侧面对约翰松挑射破门，巴黎3-1领先甘冈
92'蒂亚戈-席尔瓦中场得球短传洛塞尔索！                   90'第90分钟，巴黎再进一球锁定胜局，内马尔分球给姆巴佩，姆巴佩过人后突入禁区左侧面对约翰松挑射破门，巴黎3-1领先甘冈
92'洛塞尔索被犯规了！                   90'第90分钟，巴黎再进一球锁定胜局，内马尔分球给姆巴佩，姆巴佩过人后突入禁区左侧面对约翰松挑射破门，巴黎3-1领先甘冈
93'迪亚洛中路分禁区右侧姆巴佩！                   90'第90分钟，巴黎再进一球锁定胜局，内马尔分球给姆巴佩，姆巴佩过人后突入禁区左侧面对约翰松挑射破门，巴黎3-1领先甘冈
93'挑传中路内马尔！球被破坏出去！                   90'第90分钟，巴黎再进一球锁定胜局，内马尔分球给姆巴佩，姆巴佩过人后突入禁区左侧面对约翰松挑射破门，巴黎3-1领先甘冈
93'萨利布尔右侧反击趟球突破！                   90'第90分钟，巴黎再进一球锁定胜局，内马尔分球给姆巴佩，姆巴佩过人后突入禁区左侧面对约翰松挑射破门，巴黎3-1领先甘冈
