4'看到特维斯和略伦特的搭档我们就知道今天尤文势必要用一场胜利来庆祝冠军了。                   4'开场4分钟，特维斯突入禁区射门被西尔维斯特里得到
17'现在16分钟已经两球领先，尤文图斯真的要华丽加冕了。                   15'][第15分钟，皮尔洛右侧开出角球，博努奇前点头球蹭到中路，孔蒂停球失误，略伦特在门前5米处停球推进门内，2比0，他将西班牙球员单赛季意甲进球纪录改写为16球
17'博努奇犯规了，孔帝主罚任意球，没有处理好。                   15'][第15分钟，皮尔洛右侧开出角球，博努奇前点头球蹭到中路，孔蒂停球失误，略伦特在门前5米处停球推进门内，2比0，他将西班牙球员单赛季意甲进球纪录改写为16球
18'[qiangda]尤文图斯目前积分是多少？                   15'][第15分钟，皮尔洛右侧开出角球，博努奇前点头球蹭到中路，孔蒂停球失误，略伦特在门前5米处停球推进门内，2比0，他将西班牙球员单赛季意甲进球纪录改写为16球
18'尤文大脚开到前场，特维斯没有追上，也是因为之前被卡利亚里球员碰了一下。                   15'][第15分钟，皮尔洛右侧开出角球，博努奇前点头球蹭到中路，孔蒂停球失误，略伦特在门前5米处停球推进门内，2比0，他将西班牙球员单赛季意甲进球纪录改写为16球
40'马尔基西奥！！！漂亮！！！                   40'第40分钟，略伦特禁区右侧背身倚人勾到中路，马尔基西奥巧妙挑球转身摆脱防守，在门前8米处凌空抽射入网，3比0
41'这个球打的非常精彩啊，禁区内背身将球一钩直接凌空打门！门将毫无办法！                   40'第40分钟，略伦特禁区右侧背身倚人勾到中路，马尔基西奥巧妙挑球转身摆脱防守，在门前8米处凌空抽射入网，3比0
41'这个球略伦特的吸引防守对员的作用也非常大！                   40'第40分钟，略伦特禁区右侧背身倚人勾到中路，马尔基西奥巧妙挑球转身摆脱防守，在门前8米处凌空抽射入网，3比0
42'手机用户3156962822 :我文4球屠杀------已经很接近了。                   40'第40分钟，略伦特禁区右侧背身倚人勾到中路，马尔基西奥巧妙挑球转身摆脱防守，在门前8米处凌空抽射入网，3比0
42'特维斯左路内切打门，力量十足啊！又被门将挡了出去！                   40'第40分钟，略伦特禁区右侧背身倚人勾到中路，马尔基西奥巧妙挑球转身摆脱防守，在门前8米处凌空抽射入网，3比0
43'角球直接给禁区外，阿萨莫阿接球凌空打门，又被扑出。                   40'第40分钟，略伦特禁区右侧背身倚人勾到中路，马尔基西奥巧妙挑球转身摆脱防守，在门前8米处凌空抽射入网，3比0
54'本赛季鲁比尼奥也是第一次上场，这也是对于第三门将的一种奖励吧。                   54'下半时开始9分钟，布冯在掌声中被鲁比尼奥换下，将队长袖标交给马尔基西奥
54'下半时回到上半时中段平淡状态中，上半时最后阶段的疯狂暂时平静，3球领先对于尤文来说，足够了                   54'下半时开始9分钟，布冯在掌声中被鲁比尼奥换下，将队长袖标交给马尔基西奥
55'布冯在场下也是非常的开心，这场轻松的比赛对他来说也是很开心。                   54'下半时开始9分钟，布冯在掌声中被鲁比尼奥换下，将队长袖标交给马尔基西奥
56'布冯下场以后，马尔基西奥带上了队长袖标。                   54'下半时开始9分钟，布冯在掌声中被鲁比尼奥换下，将队长袖标交给马尔基西奥
56'利希施泰纳在边路的传中太大了，略伦特拿不到。                   54'下半时开始9分钟，布冯在掌声中被鲁比尼奥换下，将队长袖标交给马尔基西奥
57'特维斯在禁区内将球带的很深回传给略伦特，被后卫放倒但是裁判还是没有表示。                   54'下半时开始9分钟，布冯在掌声中被鲁比尼奥换下，将队长袖标交给马尔基西奥
68'手机用户2075117821 :有直播真是太好了！谢谢！意大利今年会进八强的！呵呵O(∩_∩)O------这里肯定很多都是意大利球迷~                   68'第68分钟，替补出场的伊布赖米左脚抽射偏出近门柱
69'意大利都灵手机用户 :雯雯你好，问个问题，马罗内什么时候回尤文啊，入选国家队了吗？------这个还真不是很清楚，有球迷朋友知道么？                   68'第68分钟，替补出场的伊布赖米左脚抽射偏出近门柱
69'奥斯瓦尔多太专注禁区里抢点，缺少略伦特的支点作用，波巴很喜欢秀突破技术，这次利希施泰纳给他的传球大了                   68'第68分钟，替补出场的伊布赖米左脚抽射偏出近门柱
70'今天尤文角球机会也是很多，并且略伦特也是打进了一球。                   68'第68分钟，替补出场的伊布赖米左脚抽射偏出近门柱
71'博努奇在刚才的角球争夺中似乎受伤了，表情很痛苦。                   68'第68分钟，替补出场的伊布赖米左脚抽射偏出近门柱
