10'达尼洛右路的过顶长传找阿森西奥                   10'开场10分钟，本泽马在禁区两肋的突破均被埃瓦尔后卫贴防逼出底线
53'埃斯卡兰特斜传球到禁区，恩里克的抽射                   51'皇马6分钟连入2球扩大比分，第25分钟，J罗右路任意球传中，甩开防线的本泽马近距离凌空捅射入网，2-0
53'达尼洛的倒地封堵，用身体将球挡出                   51'皇马6分钟连入2球扩大比分，第25分钟，J罗右路任意球传中，甩开防线的本泽马近距离凌空捅射入网，2-0
54'皇马的反击，赢得左侧角球机会！！                   51'皇马6分钟连入2球扩大比分，第25分钟，J罗右路任意球传中，甩开防线的本泽马近距离凌空捅射入网，2-0
54'角球开出到禁区，没能形成威胁！！                   51'皇马6分钟连入2球扩大比分，第25分钟，J罗右路任意球传中，甩开防线的本泽马近距离凌空捅射入网，2-0
60'佩尼亚转身回带，分边给左侧上来的阿尔比拉                   60'第60分钟，阿森西奥传球，J罗10码处射门憾中左侧立柱弹回，阿森西奥禁区左侧补射入网，4-0
60'4-0！！！阿森西奥！                   60'第60分钟，阿森西奥传球，J罗10码处射门憾中左侧立柱弹回，阿森西奥禁区左侧补射入网，4-0
61'佩佩后场抢断，分球本泽马，本泽马带球到中线位置，过顶打身后，阿森西奥拿球内切，禁区线上横传右侧，巴斯克斯插上起脚打门，击中左侧立柱弹出，阿森西奥补射打进空门！                   60'第60分钟，阿森西奥传球，J罗10码处射门憾中左侧立柱弹回，阿森西奥禁区左侧补射入网，4-0
61'这球阿森西奥身体已经失去了平衡，但还是将球打进！                   60'第60分钟，阿森西奥传球，J罗10码处射门憾中左侧立柱弹回，阿森西奥禁区左侧补射入网，4-0
62'埃瓦尔左路的传中球到禁区弧顶，卡塞米罗放铲解围                   60'第60分钟，阿森西奥传球，J罗10码处射门憾中左侧立柱弹回，阿森西奥禁区左侧补射入网，4-0
62'皇马的反击，本泽马拿球                   60'第60分钟，阿森西奥传球，J罗10码处射门憾中左侧立柱弹回，阿森西奥禁区左侧补射入网，4-0
63'本泽马内切横传，巴斯克斯停球远射，被挡出                   60'第60分钟，阿森西奥传球，J罗10码处射门憾中左侧立柱弹回，阿森西奥禁区左侧补射入网，4-0
63'埃瓦尔的反击，纳乔回防犯规                   60'第60分钟，阿森西奥传球，J罗10码处射门憾中左侧立柱弹回，阿森西奥禁区左侧补射入网，4-0
63'纳乔被主裁判出示了黄牌警告！！                   60'第60分钟，阿森西奥传球，J罗10码处射门憾中左侧立柱弹回，阿森西奥禁区左侧补射入网，4-0
63'纳乔从身后直接拉倒了带球的卡帕！！                   60'第60分钟，阿森西奥传球，J罗10码处射门憾中左侧立柱弹回，阿森西奥禁区左侧补射入网，4-0
68'埃瓦尔前场进攻，赢得左侧角球机会！！                   68'第68分钟，恩里克角球混战中近距离头球攻门被纳瓦斯勉强扑出，多斯-桑托斯的补射打在越位位置的埃斯卡兰特身上偏转入网，进球无效
69'角球开出到禁区，恩里奇头球，被纳瓦斯倒地挡出                   68'第68分钟，恩里克角球混战中近距离头球攻门被纳瓦斯勉强扑出，多斯-桑托斯的补射打在越位位置的埃斯卡兰特身上偏转入网，进球无效
69'埃斯卡兰特再补，补射打进，可惜越位无效！！                   68'第68分钟，恩里克角球混战中近距离头球攻门被纳瓦斯勉强扑出，多斯-桑托斯的补射打在越位位置的埃斯卡兰特身上偏转入网，进球无效
69'慢镜回放，这个判罚很准确啊！！                   68'第68分钟，恩里克角球混战中近距离头球攻门被纳瓦斯勉强扑出，多斯-桑托斯的补射打在越位位置的埃斯卡兰特身上偏转入网，进球无效
70'更正一下：阿森西奥的补射，之前是J罗的打门击中立柱弹出                   68'第68分钟，恩里克角球混战中近距离头球攻门被纳瓦斯勉强扑出，多斯-桑托斯的补射打在越位位置的埃斯卡兰特身上偏转入网，进球无效
70'莱昂前场右路拿球，内切的一脚打门，打高                   68'第68分钟，恩里克角球混战中近距离头球攻门被纳瓦斯勉强扑出，多斯-桑托斯的补射打在越位位置的埃斯卡兰特身上偏转入网，进球无效
71'皇马换人：16号科瓦契奇上，换下19号莫德里奇！                   68'第68分钟，恩里克角球混战中近距离头球攻门被纳瓦斯勉强扑出，多斯-桑托斯的补射打在越位位置的埃斯卡兰特身上偏转入网，进球无效
71'埃瓦尔进球，1-4！！                   68'第68分钟，恩里克角球混战中近距离头球攻门被纳瓦斯勉强扑出，多斯-桑托斯的补射打在越位位置的埃斯卡兰特身上偏转入网，进球无效
72'佩尼亚的头球！！                   72'埃瓦尔第72分钟挽回颜面，佩德罗-莱昂右路摆脱纳乔后传中远点，佩尼亚从达尼洛身后超出撞射入网，1-4
73'卡帕右路直塞给莱昂，莱昂转身摆脱纳乔，下底传中到后点，佩尼亚抢在达尼洛身前头球顶进远角！                   72'埃瓦尔第72分钟挽回颜面，佩德罗-莱昂右路摆脱纳乔后传中远点，佩尼亚从达尼洛身后超出撞射入网，1-4
73'这球纳乔防守，莱昂转身时伸手打在了纳乔脸上，纳乔倒地未起                   72'埃瓦尔第72分钟挽回颜面，佩德罗-莱昂右路摆脱纳乔后传中远点，佩尼亚从达尼洛身后超出撞射入网，1-4
74'皇马前场进攻，赢得左侧的任意球机会！！                   72'埃瓦尔第72分钟挽回颜面，佩德罗-莱昂右路摆脱纳乔后传中远点，佩尼亚从达尼洛身后超出撞射入网，1-4
74'J罗的任意球搓传到后点，法里亚诺的头球，顶偏！！                   72'埃瓦尔第72分钟挽回颜面，佩德罗-莱昂右路摆脱纳乔后传中远点，佩尼亚从达尼洛身后超出撞射入网，1-4
74'纳乔左路拿球，直塞给到法里亚诺                   72'埃瓦尔第72分钟挽回颜面，佩德罗-莱昂右路摆脱纳乔后传中远点，佩尼亚从达尼洛身后超出撞射入网，1-4
74'法里亚诺不停球想给阿森西奥，力量太轻，被断啦                   72'埃瓦尔第72分钟挽回颜面，佩德罗-莱昂右路摆脱纳乔后传中远点，佩尼亚从达尼洛身后超出撞射入网，1-4
75'皇马第三个换人：22号伊斯科上，换下10号J罗                   72'埃瓦尔第72分钟挽回颜面，佩德罗-莱昂右路摆脱纳乔后传中远点，佩尼亚从达尼洛身后超出撞射入网，1-4
75'多斯桑托斯后场拿球，伊斯科上抢犯规！！！                   72'埃瓦尔第72分钟挽回颜面，佩德罗-莱昂右路摆脱纳乔后传中远点，佩尼亚从达尼洛身后超出撞射入网，1-4
