4'利物浦有人受伤啦？                   4'第4分钟，斯特灵突破被曼城队长孔帕尼拦截，跟进的杰拉德25码处再射仍然偏出
25'利物浦在进攻中并没有投入多少兵力                   25'第25分钟，巴洛特利抢断科茨赢得任意球，纳斯里开出，特维斯远点错过头球机会
25'德容的传球直接传给了利物浦的后卫                   25'第25分钟，巴洛特利抢断科茨赢得任意球，纳斯里开出，特维斯远点错过头球机会
25'巴洛特利前场抢断，凯利放倒了巴神                   25'第25分钟，巴洛特利抢断科茨赢得任意球，纳斯里开出，特维斯远点错过头球机会
25'曼城获得了一个禁区左上角的定位球                   25'第25分钟，巴洛特利抢断科茨赢得任意球，纳斯里开出，特维斯远点错过头球机会
26'巴神今天真够积极的                   25'第25分钟，巴洛特利抢断科茨赢得任意球，纳斯里开出，特维斯远点错过头球机会
26'纳斯里的传中给后点，雷纳出击并没有碰到                   25'第25分钟，巴洛特利抢断科茨赢得任意球，纳斯里开出，特维斯远点错过头球机会
26'这传中球速实在太快，大家都没有人碰到                   25'第25分钟，巴洛特利抢断科茨赢得任意球，纳斯里开出，特维斯远点错过头球机会
27'罗杰斯也有写小抄的习惯哪                   25'第25分钟，巴洛特利抢断科茨赢得任意球，纳斯里开出，特维斯远点错过头球机会
28'利物浦攻到了对方禁区前，球员的位置站死了                   25'第25分钟，巴洛特利抢断科茨赢得任意球，纳斯里开出，特维斯远点错过头球机会
28'约翰逊传球被断之后就地反抢，被吹了犯规                   25'第25分钟，巴洛特利抢断科茨赢得任意球，纳斯里开出，特维斯远点错过头球机会
30'苏亚雷斯面对科洛图雷，假动作没有凑效                   30'第30分钟，谢尔维传球，苏亚雷斯禁区前射门被博里尼封堵
30'利物浦这几分钟士气正旺                   30'第30分钟，谢尔维传球，苏亚雷斯禁区前射门被博里尼封堵
30'斯特林禁区弧顶的推射也打在了后卫头顶上弹出                   30'第30分钟，谢尔维传球，苏亚雷斯禁区前射门被博里尼封堵
31'苏亚雷斯停球转身，被孔帕尼干扰了一下                   30'第30分钟，谢尔维传球，苏亚雷斯禁区前射门被博里尼封堵
32'曼城断球后长传反击，巴洛特利小禁区前劲射，球打高了                   30'第30分钟，谢尔维传球，苏亚雷斯禁区前射门被博里尼封堵
32'场边国家队队友卡罗尔和莱斯科特都在热身                   30'第30分钟，谢尔维传球，苏亚雷斯禁区前射门被博里尼封堵
33'斯特林挑传球没能骗过孔帕尼，头球解围出去                   30'第30分钟，谢尔维传球，苏亚雷斯禁区前射门被博里尼封堵
33'苏亚雷斯到了禁区右路，传中球被科洛图雷顶到了                   30'第30分钟，谢尔维传球，苏亚雷斯禁区前射门被博里尼封堵
33'利物浦继续传中，中间没人哪                   30'第30分钟，谢尔维传球，苏亚雷斯禁区前射门被博里尼封堵
33'差点乌龙！                   30'第30分钟，谢尔维传球，苏亚雷斯禁区前射门被博里尼封堵
33'孔帕尼！                   30'第30分钟，谢尔维传球，苏亚雷斯禁区前射门被博里尼封堵
33'斯特林挑传球没能骗过孔帕尼，头球解围出去                   33'第33分钟，杰拉德右路传中，孔帕尼前点解围险些自摆乌龙，皮球擦横梁高出
33'苏亚雷斯到了禁区右路，传中球被科洛图雷顶到了                   33'第33分钟，杰拉德右路传中，孔帕尼前点解围险些自摆乌龙，皮球擦横梁高出
33'利物浦继续传中，中间没人哪                   33'第33分钟，杰拉德右路传中，孔帕尼前点解围险些自摆乌龙，皮球擦横梁高出
33'差点乌龙！                   33'第33分钟，杰拉德右路传中，孔帕尼前点解围险些自摆乌龙，皮球擦横梁高出
33'孔帕尼！                   33'第33分钟，杰拉德右路传中，孔帕尼前点解围险些自摆乌龙，皮球擦横梁高出
34'杰拉德的45度传中球，弹地之后被孔帕尼挡了一下，擦着横梁飞出底线                   33'第33分钟，杰拉德右路传中，孔帕尼前点解围险些自摆乌龙，皮球擦横梁高出
34'这球只要再低一点，乔哈特也是无能为力的                   33'第33分钟，杰拉德右路传中，孔帕尼前点解围险些自摆乌龙，皮球擦横梁高出
34'斯科特尔！                   33'第33分钟，杰拉德右路传中，孔帕尼前点解围险些自摆乌龙，皮球擦横梁高出
35'利物浦利用这次角球机会，杰拉德传向中路，斯科特尔的冲顶！！！太近了，乔哈特真的无能为力                   33'第33分钟，杰拉德右路传中，孔帕尼前点解围险些自摆乌龙，皮球擦横梁高出
36'利物浦这下要起势了                   33'第33分钟，杰拉德右路传中，孔帕尼前点解围险些自摆乌龙，皮球擦横梁高出
36'正在兴头上，而且领先了                   33'第33分钟，杰拉德右路传中，孔帕尼前点解围险些自摆乌龙，皮球擦横梁高出
42'利物浦继续压缩曼城的防线                   42'第42分钟，乔-艾伦传球，苏亚雷斯20码处射门偏出
42'苏亚雷斯！漂亮的搓射！                   42'第42分钟，乔-艾伦传球，苏亚雷斯20码处射门偏出
42'禁区线上想兜个弧线打球门右上角，可惜偏了                   42'第42分钟，乔-艾伦传球，苏亚雷斯20码处射门偏出
43'镜头又给到沙欣，到了英超希望能有好运吧                   42'第42分钟，乔-艾伦传球，苏亚雷斯20码处射门偏出
43'曼城获得了一个角球机会                   42'第42分钟，乔-艾伦传球，苏亚雷斯20码处射门偏出
44'曼城传中找前点，斯科特尔的头球顶出界外                   42'第42分钟，乔-艾伦传球，苏亚雷斯20码处射门偏出
45'曼城继续获得角球机会                   42'第42分钟，乔-艾伦传球，苏亚雷斯20码处射门偏出
45'曼城的传中球还是被后卫解围                   42'第42分钟，乔-艾伦传球，苏亚雷斯20码处射门偏出
63'巴神今天的错误就是用后卫的觉悟在踢前锋                   63'曼城第63分钟扳平比分，哲科分球右路，特维斯传中，雷纳出击失误，凯利远点将皮球挡回，亚亚-图雷小禁区边缘抽射破门
63'特维斯下底传中，好机会                   63'曼城第63分钟扳平比分，哲科分球右路，特维斯传中，雷纳出击失误，凯利远点将皮球挡回，亚亚-图雷小禁区边缘抽射破门
63'丫丫！！！                   63'曼城第63分钟扳平比分，哲科分球右路，特维斯传中，雷纳出击失误，凯利远点将皮球挡回，亚亚-图雷小禁区边缘抽射破门
64'雷纳这一次出击又冒失了，球砸在了凯利的大腿上，化作了乌龙助攻，丫丫门前倒地射门！球进了                   63'曼城第63分钟扳平比分，哲科分球右路，特维斯传中，雷纳出击失误，凯利远点将皮球挡回，亚亚-图雷小禁区边缘抽射破门
65'这下胜负有些难料了                   63'曼城第63分钟扳平比分，哲科分球右路，特维斯传中，雷纳出击失误，凯利远点将皮球挡回，亚亚-图雷小禁区边缘抽射破门
65'曼奇尼的调整见效很快啊                   63'曼城第63分钟扳平比分，哲科分球右路，特维斯传中，雷纳出击失误，凯利远点将皮球挡回，亚亚-图雷小禁区边缘抽射破门
65'杰拉德远射打在了罗德维尔的手臂上！                   63'曼城第63分钟扳平比分，哲科分球右路，特维斯传中，雷纳出击失误，凯利远点将皮球挡回，亚亚-图雷小禁区边缘抽射破门
65'利物浦获得了一个定位球                   63'曼城第63分钟扳平比分，哲科分球右路，特维斯传中，雷纳出击失误，凯利远点将皮球挡回，亚亚-图雷小禁区边缘抽射破门
66'快速开出，裁判却鸣哨示意要等待他的哨音                   63'曼城第63分钟扳平比分，哲科分球右路，特维斯传中，雷纳出击失误，凯利远点将皮球挡回，亚亚-图雷小禁区边缘抽射破门
66'利物浦也做出人员调整，凯利被恩里克换下                   63'曼城第63分钟扳平比分，哲科分球右路，特维斯传中，雷纳出击失误，凯利远点将皮球挡回，亚亚-图雷小禁区边缘抽射破门
66'苏亚雷斯！！！                   63'曼城第63分钟扳平比分，哲科分球右路，特维斯传中，雷纳出击失误，凯利远点将皮球挡回，亚亚-图雷小禁区边缘抽射破门
66'快速开出，裁判却鸣哨示意要等待他的哨音                   66'利物浦第66分钟再度超出比分，罗德维尔禁区前手球犯规，苏亚雷斯28码处任意球直接射门，皮球绕过人墙一侧弹地后入右下死角
66'利物浦也做出人员调整，凯利被恩里克换下                   66'利物浦第66分钟再度超出比分，罗德维尔禁区前手球犯规，苏亚雷斯28码处任意球直接射门，皮球绕过人墙一侧弹地后入右下死角
66'苏亚雷斯！！！                   66'利物浦第66分钟再度超出比分，罗德维尔禁区前手球犯规，苏亚雷斯28码处任意球直接射门，皮球绕过人墙一侧弹地后入右下死角
67'利物浦再次领先！！！                   66'利物浦第66分钟再度超出比分，罗德维尔禁区前手球犯规，苏亚雷斯28码处任意球直接射门，皮球绕过人墙一侧弹地后入右下死角
67'定位球机会，苏亚雷斯直接打门！！！球绕过人墙的右下方，反弹球让哈特触不及防，擦着立柱飞入球门！                   66'利物浦第66分钟再度超出比分，罗德维尔禁区前手球犯规，苏亚雷斯28码处任意球直接射门，皮球绕过人墙一侧弹地后入右下死角
68'忠爱梦剧场:我去了，去拿个水果就有进球，谁传的---特维斯的传中，砸在了凯利的腿上，算是凯利的乌龙助攻吧                   66'利物浦第66分钟再度超出比分，罗德维尔禁区前手球犯规，苏亚雷斯28码处任意球直接射门，皮球绕过人墙一侧弹地后入右下死角
68'这比赛精彩了                   66'利物浦第66分钟再度超出比分，罗德维尔禁区前手球犯规，苏亚雷斯28码处任意球直接射门，皮球绕过人墙一侧弹地后入右下死角
68'曼奇尼又坐不住了                   66'利物浦第66分钟再度超出比分，罗德维尔禁区前手球犯规，苏亚雷斯28码处任意球直接射门，皮球绕过人墙一侧弹地后入右下死角
69'两队现在都只剩下一个换人名额                   66'利物浦第66分钟再度超出比分，罗德维尔禁区前手球犯规，苏亚雷斯28码处任意球直接射门，皮球绕过人墙一侧弹地后入右下死角
69'又是好机会，博里尼突破到了禁区内                   66'利物浦第66分钟再度超出比分，罗德维尔禁区前手球犯规，苏亚雷斯28码处任意球直接射门，皮球绕过人墙一侧弹地后入右下死角
76'终于要换上席尔瓦了，换下了米尔纳                   76'第76分钟，席尔瓦换下米尔纳
76'这下曼城的中场足够强大了，能扭转局势了么                   76'第76分钟，席尔瓦换下米尔纳
77'利物浦围攻对方禁区哪，只是始终没有找到起脚射门的机会                   76'第76分钟，席尔瓦换下米尔纳
77'曼城大举反扑了，前场投入兵力不少                   76'第76分钟，席尔瓦换下米尔纳
78'哲科抹过了后卫，传中球却出了底线                   76'第76分钟，席尔瓦换下米尔纳
78'科洛图雷倒地都没有阻挡住苏亚雷斯的图片                   76'第76分钟，席尔瓦换下米尔纳
79'可惜苏亚雷斯的突破最后还是被后卫解围了                   76'第76分钟，席尔瓦换下米尔纳
79'曼城的又一脚攻门，被斯科特尔门前救险                   76'第76分钟，席尔瓦换下米尔纳
79'场上丫丫突然倒地受伤了                   76'第76分钟，席尔瓦换下米尔纳
80'时间越来越少，利物浦玩火了！                   80'曼城第80分钟扳平比分，斯科特尔回传失误，特维斯晃过雷纳射入空门，2-2
80'这下好玩了！                   80'曼城第80分钟扳平比分，斯科特尔回传失误，特维斯晃过雷纳射入空门，2-2
80'特维斯！！！                   80'曼城第80分钟扳平比分，斯科特尔回传失误，特维斯晃过雷纳射入空门，2-2
80'斯科特尔卧底了！                   80'曼城第80分钟扳平比分，斯科特尔回传失误，特维斯晃过雷纳射入空门，2-2
81'回传球没有看到特维斯，阿根廷人抢断之后单刀面对雷纳...接下来就简单了，晃开之后推射空门                   80'曼城第80分钟扳平比分，斯科特尔回传失误，特维斯晃过雷纳射入空门，2-2
81'利物浦丢了两个球，都是自己人给对方助攻的                   80'曼城第80分钟扳平比分，斯科特尔回传失误，特维斯晃过雷纳射入空门，2-2
81'第一个是凯利，那个太突然还可以原谅                   80'曼城第80分钟扳平比分，斯科特尔回传失误，特维斯晃过雷纳射入空门，2-2
81'斯科特尔这个传球，简直就是坑爹啊                   80'曼城第80分钟扳平比分，斯科特尔回传失误，特维斯晃过雷纳射入空门，2-2
82'利物浦的赛季首胜难道要打了水漂了么                   80'曼城第80分钟扳平比分，斯科特尔回传失误，特维斯晃过雷纳射入空门，2-2
82'斯特林内切没有打门机会再给谢尔维，一脚劲射擦着横梁飞出底线                   80'曼城第80分钟扳平比分，斯科特尔回传失误，特维斯晃过雷纳射入空门，2-2
83'哲科尝试了一脚远射，左脚的打门偏出立柱                   80'曼城第80分钟扳平比分，斯科特尔回传失误，特维斯晃过雷纳射入空门，2-2
83'利物浦换下博里尼，换上卡罗尔                   80'曼城第80分钟扳平比分，斯科特尔回传失误，特维斯晃过雷纳射入空门，2-2
83'最后一搏了                   80'曼城第80分钟扳平比分，斯科特尔回传失误，特维斯晃过雷纳射入空门，2-2
82'利物浦的赛季首胜难道要打了水漂了么                   82'第82分钟，杰拉德传球，谢尔维20码处左脚劲射稍稍高出横梁
82'斯特林内切没有打门机会再给谢尔维，一脚劲射擦着横梁飞出底线                   82'第82分钟，杰拉德传球，谢尔维20码处左脚劲射稍稍高出横梁
83'哲科尝试了一脚远射，左脚的打门偏出立柱                   82'第82分钟，杰拉德传球，谢尔维20码处左脚劲射稍稍高出横梁
83'利物浦换下博里尼，换上卡罗尔                   82'第82分钟，杰拉德传球，谢尔维20码处左脚劲射稍稍高出横梁
83'最后一搏了                   82'第82分钟，杰拉德传球，谢尔维20码处左脚劲射稍稍高出横梁
85'最后几分钟会有奇迹么                   82'第82分钟，杰拉德传球，谢尔维20码处左脚劲射稍稍高出横梁
85'苏亚雷斯禁区内穿裆过人，不过被席尔瓦回来把球断走了                   82'第82分钟，杰拉德传球，谢尔维20码处左脚劲射稍稍高出横梁
86'龅牙苏今天也挺努力的，突破起来那叫一个气势啊                   86'第86分钟，科拉罗夫左路传中，哲科前点小禁区边缘垫射偏出近角
87'曼城左路低平球传中，门前哲科包抄到位左脚推射，几乎是个空门居然打偏了                   86'第86分钟，科拉罗夫左路传中，哲科前点小禁区边缘垫射偏出近角
87'这球都不进，曼城的运气难道用尽了么                   86'第86分钟，科拉罗夫左路传中，哲科前点小禁区边缘垫射偏出近角
87'利物浦再次获得了角球机会                   86'第86分钟，科拉罗夫左路传中，哲科前点小禁区边缘垫射偏出近角
88'传中球给到禁区外，斯科特尔停下来搓射一脚，被科洛图雷头球顶出底线，还是角球                   86'第86分钟，科拉罗夫左路传中，哲科前点小禁区边缘垫射偏出近角
88'苏亚雷斯接球左脚打门，被后卫挡了出去                   86'第86分钟，科拉罗夫左路传中，哲科前点小禁区边缘垫射偏出近角
88'利物浦连续传中，卡罗尔高点头球攻门，被门前的后卫顶了出去                   86'第86分钟，科拉罗夫左路传中，哲科前点小禁区边缘垫射偏出近角
89'罗德维尔立功了                   86'第86分钟，科拉罗夫左路传中，哲科前点小禁区边缘垫射偏出近角
89'这球要是没顶到，不是进就是个助攻了                   86'第86分钟，科拉罗夫左路传中，哲科前点小禁区边缘垫射偏出近角
93'科拉罗夫的远射被后卫伸腿挡了一下，角球                   93'第93分钟，曼城连续解围角球，特维斯远射偏出
93'曼城最后的机会了                   93'第93分钟，曼城连续解围角球，特维斯远射偏出
94'席尔瓦主罚的角球被后卫顶出，弧顶处特维斯一脚凌空打门，偏了                   93'第93分钟，曼城连续解围角球，特维斯远射偏出
94'利物浦最后一次攻门，阿伦的远射打高了                   93'第93分钟，曼城连续解围角球，特维斯远射偏出
95'之前苏亚雷斯因为犯规还领到了一张黄牌                   93'第93分钟，曼城连续解围角球，特维斯远射偏出
