7'泰特左侧内切突破禁区！                   7'第7分钟，默尼耶右路挑传禁区，卡瓦尼小角度射门越过门将后被后卫解围
27'球被阿雷奥拉轻松没收了！                   24'第24分钟，卡瓦尼下底传中，内马尔头球攻门打在芒索手上，内马尔索要点球裁判没有理会
51'球被门将阿雷奥拉拿到！                   51'第51分钟巴黎扩大比分，巴黎前场连续传递，迪马利亚左路45度将球吊入禁区，姆巴佩凌空扫射将球打入球门左下角，巴黎2-1再次领先昂热
51'拉比奥特中路短传内马尔！                   51'第51分钟巴黎扩大比分，巴黎前场连续传递，迪马利亚左路45度将球吊入禁区，姆巴佩凌空扫射将球打入球门左下角，巴黎2-1再次领先昂热
52'分左侧内马尔！                   51'第51分钟巴黎扩大比分，巴黎前场连续传递，迪马利亚左路45度将球吊入禁区，姆巴佩凌空扫射将球打入球门左下角，巴黎2-1再次领先昂热
52'长传禁区右侧！                   51'第51分钟巴黎扩大比分，巴黎前场连续传递，迪马利亚左路45度将球吊入禁区，姆巴佩凌空扫射将球打入球门左下角，巴黎2-1再次领先昂热
52'姆巴佩凌空扫射！                   51'第51分钟巴黎扩大比分，巴黎前场连续传递，迪马利亚左路45度将球吊入禁区，姆巴佩凌空扫射将球打入球门左下角，巴黎2-1再次领先昂热
52'GOOOOOOOOOOOOOAL！                   51'第51分钟巴黎扩大比分，巴黎前场连续传递，迪马利亚左路45度将球吊入禁区，姆巴佩凌空扫射将球打入球门左下角，巴黎2-1再次领先昂热
64'恩索基中圈拼抢踢人犯规！                   64'第64分钟，迪马利亚带球到禁区弧顶前分给左路卡瓦尼，卡瓦尼劲射球高高飞出了横梁
64'裁判给了黄牌！                   64'第64分钟，迪马利亚带球到禁区弧顶前分给左路卡瓦尼，卡瓦尼劲射球高高飞出了横梁
65'迪马利亚中路断球反击快速推进！                   64'第64分钟，迪马利亚带球到禁区弧顶前分给左路卡瓦尼，卡瓦尼劲射球高高飞出了横梁
65'直塞禁区左侧！                   64'第64分钟，迪马利亚带球到禁区弧顶前分给左路卡瓦尼，卡瓦尼劲射球高高飞出了横梁
65'卡瓦尼侧身推射！！                   64'第64分钟，迪马利亚带球到禁区弧顶前分给左路卡瓦尼，卡瓦尼劲射球高高飞出了横梁
65'球！居然打飞了！                   64'第64分钟，迪马利亚带球到禁区弧顶前分给左路卡瓦尼，卡瓦尼劲射球高高飞出了横梁
66'不亏快乐足球代表！                   64'第64分钟，迪马利亚带球到禁区弧顶前分给左路卡瓦尼，卡瓦尼劲射球高高飞出了横梁
66'姆巴佩右侧突破！                   64'第64分钟，迪马利亚带球到禁区弧顶前分给左路卡瓦尼，卡瓦尼劲射球高高飞出了横梁
66'转身回传内马尔！                   64'第64分钟，迪马利亚带球到禁区弧顶前分给左路卡瓦尼，卡瓦尼劲射球高高飞出了横梁
66'内马尔中路推射左下角！                   64'第64分钟，迪马利亚带球到禁区弧顶前分给左路卡瓦尼，卡瓦尼劲射球高高飞出了横梁
66'GOOOOOOOOOOAL！                   64'第64分钟，迪马利亚带球到禁区弧顶前分给左路卡瓦尼，卡瓦尼劲射球高高飞出了横梁
72'迪马利亚左侧反击！                   69'第69分钟，恩多耶禁区前突然起脚远射，阿雷奥拉飞身将球扑出
72'禁区左侧犄角直接选择吊射！                   69'第69分钟，恩多耶禁区前突然起脚远射，阿雷奥拉飞身将球扑出
72'球高出横梁！                   69'第69分钟，恩多耶禁区前突然起脚远射，阿雷奥拉飞身将球扑出
85'默尼耶右侧挑传禁区！                   85'第85分钟，姆巴佩左路中圈附近拿球后一路突入禁区小角度射门，球被比特勒用腿挡出
85'姆巴佩侧身扫射！                   85'第85分钟，姆巴佩左路中圈附近拿球后一路突入禁区小角度射门，球被比特勒用腿挡出
85'球打中边网！                   85'第85分钟，姆巴佩左路中圈附近拿球后一路突入禁区小角度射门，球被比特勒用腿挡出
85'但是越位在先了！                   85'第85分钟，姆巴佩左路中圈附近拿球后一路突入禁区小角度射门，球被比特勒用腿挡出
86'德拉克斯勒换下迪马利亚！                   85'第85分钟，姆巴佩左路中圈附近拿球后一路突入禁区小角度射门，球被比特勒用腿挡出
86'拉比奥特分左侧恩索基！斜传禁区！                   85'第85分钟，姆巴佩左路中圈附近拿球后一路突入禁区小角度射门，球被比特勒用腿挡出
86'球被门将比托洛没收了！                   85'第85分钟，姆巴佩左路中圈附近拿球后一路突入禁区小角度射门，球被比特勒用腿挡出
87'拉比奥特后场得球！在逼抢下把球踢到对方脚上出界了！                   85'第85分钟，姆巴佩左路中圈附近拿球后一路突入禁区小角度射门，球被比特勒用腿挡出
87'姆巴佩左侧反击突破禁区！                   85'第85分钟，姆巴佩左路中圈附近拿球后一路突入禁区小角度射门，球被比特勒用腿挡出
88'一个涡轮增压超车后卫！                   85'第85分钟，姆巴佩左路中圈附近拿球后一路突入禁区小角度射门，球被比特勒用腿挡出
88'左脚小角度推射！                   85'第85分钟，姆巴佩左路中圈附近拿球后一路突入禁区小角度射门，球被比特勒用腿挡出
88'球被门将伸腿挡出底线！                   85'第85分钟，姆巴佩左路中圈附近拿球后一路突入禁区小角度射门，球被比特勒用腿挡出
88'巴黎左侧角球短传出来！                   85'第85分钟，姆巴佩左路中圈附近拿球后一路突入禁区小角度射门，球被比特勒用腿挡出
88'回传后场倒脚一下！                   85'第85分钟，姆巴佩左路中圈附近拿球后一路突入禁区小角度射门，球被比特勒用腿挡出
88'交给右侧默尼耶！回传中圈蒂亚戈-席尔瓦！                   85'第85分钟，姆巴佩左路中圈附近拿球后一路突入禁区小角度射门，球被比特勒用腿挡出
