11'塞尔塔这边传球被姆希塔良挡出边线                   11'塞尔塔第11分钟错过机会，拉多哈右路传中远点，但瓦斯的头球攻门偏出
67'布林德站在了球前                   67'曼联第67分钟打破僵局，马略禁区前对拉什福德犯规，费莱尼挤在人墙中干扰，布林德假射虚晃，拉什福德右路禁区前任意球射入远角，看守远角一侧的门将却未能做出成功扑救
67'拉什福德也在球前                   67'曼联第67分钟打破僵局，马略禁区前对拉什福德犯规，费莱尼挤在人墙中干扰，布林德假射虚晃，拉什福德右路禁区前任意球射入远角，看守远角一侧的门将却未能做出成功扑救
67'拉什福德！！！                   67'曼联第67分钟打破僵局，马略禁区前对拉什福德犯规，费莱尼挤在人墙中干扰，布林德假射虚晃，拉什福德右路禁区前任意球射入远角，看守远角一侧的门将却未能做出成功扑救
67'0-1！！！                   67'曼联第67分钟打破僵局，马略禁区前对拉什福德犯规，费莱尼挤在人墙中干扰，布林德假射虚晃，拉什福德右路禁区前任意球射入远角，看守远角一侧的门将却未能做出成功扑救
68'阿尔瓦雷斯拉什福德助跑后直接打门了，右脚直接转远端将球打进！！                   67'曼联第67分钟打破僵局，马略禁区前对拉什福德犯规，费莱尼挤在人墙中干扰，布林德假射虚晃，拉什福德右路禁区前任意球射入远角，看守远角一侧的门将却未能做出成功扑救
68'拉什福德助跑后直接打门了，右脚直接转远端将球打进！！                    67'曼联第67分钟打破僵局，马略禁区前对拉什福德犯规，费莱尼挤在人墙中干扰，布林德假射虚晃，拉什福德右路禁区前任意球射入远角，看守远角一侧的门将却未能做出成功扑救
68'阿尔瓦雷斯这边判断上出现了一些失误                   67'曼联第67分钟打破僵局，马略禁区前对拉什福德犯规，费莱尼挤在人墙中干扰，布林德假射虚晃，拉什福德右路禁区前任意球射入远角，看守远角一侧的门将却未能做出成功扑救
68'重心先是往左后看到来球不对                   67'曼联第67分钟打破僵局，马略禁区前对拉什福德犯规，费莱尼挤在人墙中干扰，布林德假射虚晃，拉什福德右路禁区前任意球射入远角，看守远角一侧的门将却未能做出成功扑救
68'再反应的时候已经来不及了                   67'曼联第67分钟打破僵局，马略禁区前对拉什福德犯规，费莱尼挤在人墙中干扰，布林德假射虚晃，拉什福德右路禁区前任意球射入远角，看守远角一侧的门将却未能做出成功扑救
69'曼联这边收获一粒客场进球                   67'曼联第67分钟打破僵局，马略禁区前对拉什福德犯规，费莱尼挤在人墙中干扰，布林德假射虚晃，拉什福德右路禁区前任意球射入远角，看守远角一侧的门将却未能做出成功扑救
70'塞尔塔这边获得角球机会                   67'曼联第67分钟打破僵局，马略禁区前对拉什福德犯规，费莱尼挤在人墙中干扰，布林德假射虚晃，拉什福德右路禁区前任意球射入远角，看守远角一侧的门将却未能做出成功扑救
70'角球给到前点                   67'曼联第67分钟打破僵局，马略禁区前对拉什福德犯规，费莱尼挤在人墙中干扰，布林德假射虚晃，拉什福德右路禁区前任意球射入远角，看守远角一侧的门将却未能做出成功扑救
90'曼联最近的伤病太多了                   90'第90分钟，刚刚替换上场的阿什利-扬受伤被斯马林换下
90'下半场补时5分钟！！                   90'第90分钟，刚刚替换上场的阿什利-扬受伤被斯马林换下
91'塞尔塔将球转移到左路                   90'第90分钟，刚刚替换上场的阿什利-扬受伤被斯马林换下
91'边路起球送禁区                   90'第90分钟，刚刚替换上场的阿什利-扬受伤被斯马林换下
91'直接出了远端底线                   90'第90分钟，刚刚替换上场的阿什利-扬受伤被斯马林换下
91'塞尔塔这边也换人                   90'第90分钟，刚刚替换上场的阿什利-扬受伤被斯马林换下
92'马略下，布维上！                   90'第90分钟，刚刚替换上场的阿什利-扬受伤被斯马林换下
92'塞尔塔这边也是抓紧时间进攻                   90'第90分钟，刚刚替换上场的阿什利-扬受伤被斯马林换下
92'曼联这边后场断球                   90'第90分钟，刚刚替换上场的阿什利-扬受伤被斯马林换下
93'往前送也是不着急打                   90'第90分钟，刚刚替换上场的阿什利-扬受伤被斯马林换下
93'塞尔塔这边回追犯规                   90'第90分钟，刚刚替换上场的阿什利-扬受伤被斯马林换下
93'塞尔塔这边底线断球了                   90'第90分钟，刚刚替换上场的阿什利-扬受伤被斯马林换下
