3'查尔斯前场左路头球摆渡，找隆干友彦                   3'3分钟后，查尔斯头球回摆，莫雷诺禁区边缘劲射被卡西利亚沉稳没收
18'C罗停球转身，横切一步，禁区弧顶起脚打门                   18'皇马第18分钟取得领先，阿森西奥右路战术角球传中，奥利维拉小禁区前力压拉莫斯头球解围却自摆乌龙
18'没能踢中部位，放了高射炮！！                   18'皇马第18分钟取得领先，阿森西奥右路战术角球传中，奥利维拉小禁区前力压拉莫斯头球解围却自摆乌龙
18'不过打在了防守球员身上，裁判给了角球                   18'皇马第18分钟取得领先，阿森西奥右路战术角球传中，奥利维拉小禁区前力压拉莫斯头球解围却自摆乌龙
19'皇马1-0！！                   18'皇马第18分钟取得领先，阿森西奥右路战术角球传中，奥利维拉小禁区前力压拉莫斯头球解围却自摆乌龙
19'奥利维拉的乌龙球！！                   18'皇马第18分钟取得领先，阿森西奥右路战术角球传中，奥利维拉小禁区前力压拉莫斯头球解围却自摆乌龙
20'伊斯科和阿森西奥战术角球配合，阿森西奥拿球内切，左脚传中到前点，奥利维拉和拉莫斯争抢，奥利维拉将球顶进！！                   18'皇马第18分钟取得领先，阿森西奥右路战术角球传中，奥利维拉小禁区前力压拉莫斯头球解围却自摆乌龙
21'隆班后场拿球，面对C罗的逼抢                   18'皇马第18分钟取得领先，阿森西奥右路战术角球传中，奥利维拉小禁区前力压拉莫斯头球解围却自摆乌龙
21'隆班直接转身回传给到门将迪米特洛维奇                   18'皇马第18分钟取得领先，阿森西奥右路战术角球传中，奥利维拉小禁区前力压拉莫斯头球解围却自摆乌龙
28'纳乔横传塞巴略斯，再给莫德里奇                   28'皇马第28分钟扩大比分，伊斯科左路传中，阿森西奥前点12码处第一时间凌空扫射，皮球穿裆后从门将脚边滑入大门，2-0
28'莫德里奇斜塞左路给前插的伊斯科                   28'皇马第28分钟扩大比分，伊斯科左路传中，阿森西奥前点12码处第一时间凌空扫射，皮球穿裆后从门将脚边滑入大门，2-0
28'伊斯科的横传球                   28'皇马第28分钟扩大比分，伊斯科左路传中，阿森西奥前点12码处第一时间凌空扫射，皮球穿裆后从门将脚边滑入大门，2-0
29'2-0，阿森西奥！！！                   28'皇马第28分钟扩大比分，伊斯科左路传中，阿森西奥前点12码处第一时间凌空扫射，皮球穿裆后从门将脚边滑入大门，2-0
29'莫德里奇斜塞左侧给到前插的伊斯科，伊斯科横传到前点，阿森西奥插上左脚抽射，打进！！                   28'皇马第28分钟扩大比分，伊斯科左路传中，阿森西奥前点12码处第一时间凌空扫射，皮球穿裆后从门将脚边滑入大门，2-0
30'纳乔前场右路拿球，强突下底                   28'皇马第28分钟扩大比分，伊斯科左路传中，阿森西奥前点12码处第一时间凌空扫射，皮球穿裆后从门将脚边滑入大门，2-0
30'面对回防的阿尔比拉，急停脚后跟回做                   28'皇马第28分钟扩大比分，伊斯科左路传中，阿森西奥前点12码处第一时间凌空扫射，皮球穿裆后从门将脚边滑入大门，2-0
31'没有队友跟进，球被阿尔比拉转身控制                   28'皇马第28分钟扩大比分，伊斯科左路传中，阿森西奥前点12码处第一时间凌空扫射，皮球穿裆后从门将脚边滑入大门，2-0
31'阿森西奥右路拿球，横传塞巴略斯                   28'皇马第28分钟扩大比分，伊斯科左路传中，阿森西奥前点12码处第一时间凌空扫射，皮球穿裆后从门将脚边滑入大门，2-0
31'塞巴略斯推给身前的伊斯科                   28'皇马第28分钟扩大比分，伊斯科左路传中，阿森西奥前点12码处第一时间凌空扫射，皮球穿裆后从门将脚边滑入大门，2-0
31'伊斯科大范围转移球到左侧给特奥                   28'皇马第28分钟扩大比分，伊斯科左路传中，阿森西奥前点12码处第一时间凌空扫射，皮球穿裆后从门将脚边滑入大门，2-0
31'特奥再横传莫德里奇                   28'皇马第28分钟扩大比分，伊斯科左路传中，阿森西奥前点12码处第一时间凌空扫射，皮球穿裆后从门将脚边滑入大门，2-0
31'莫德里奇过顶斜传打身后                   28'皇马第28分钟扩大比分，伊斯科左路传中，阿森西奥前点12码处第一时间凌空扫射，皮球穿裆后从门将脚边滑入大门，2-0
66'外脚背一扣，摆脱了上抢的莫雷诺                   66'皇马第66分钟错过机会，摩德里奇送出直传，C罗突入禁区右肋10码处射门被扑出，本泽马禁区右侧补射打高
66'禁区弧左侧的抽射，打偏了！！                   66'皇马第66分钟错过机会，摩德里奇送出直传，C罗突入禁区右肋10码处射门被扑出，本泽马禁区右侧补射打高
66'莫德里奇中圈抢断，一脚斜塞找到前插的C罗                   66'皇马第66分钟错过机会，摩德里奇送出直传，C罗突入禁区右肋10码处射门被扑出，本泽马禁区右侧补射打高
67'C罗拿球进入禁区，单刀了                   66'皇马第66分钟错过机会，摩德里奇送出直传，C罗突入禁区右肋10码处射门被扑出，本泽马禁区右侧补射打高
67'面对迪米特洛维奇，右脚推射，被封堵了                   66'皇马第66分钟错过机会，摩德里奇送出直传，C罗突入禁区右肋10码处射门被扑出，本泽马禁区右侧补射打高
67'本泽马跟进再补，打飞！！                   66'皇马第66分钟错过机会，摩德里奇送出直传，C罗突入禁区右肋10码处射门被扑出，本泽马禁区右侧补射打高
67'塞巴略斯中场拿球，分球莫德里奇                   66'皇马第66分钟错过机会，摩德里奇送出直传，C罗突入禁区右肋10码处射门被扑出，本泽马禁区右侧补射打高
68'莫德里奇停球转身，过顶球找C罗                   66'皇马第66分钟错过机会，摩德里奇送出直传，C罗突入禁区右肋10码处射门被扑出，本泽马禁区右侧补射打高
68'力量太大了，C罗没能拿到，直接出底线！！                   66'皇马第66分钟错过机会，摩德里奇送出直传，C罗突入禁区右肋10码处射门被扑出，本泽马禁区右侧补射打高
69'卡帕前场右路拿球，内切到中路                   66'皇马第66分钟错过机会，摩德里奇送出直传，C罗突入禁区右肋10码处射门被扑出，本泽马禁区右侧补射打高
69'一脚直塞打身后                   66'皇马第66分钟错过机会，摩德里奇送出直传，C罗突入禁区右肋10码处射门被扑出，本泽马禁区右侧补射打高
69'基克前插接应，边裁举旗，基克越位在先                   66'皇马第66分钟错过机会，摩德里奇送出直传，C罗突入禁区右肋10码处射门被扑出，本泽马禁区右侧补射打高
82'佩尼亚的传中球，被挡出！！                   82'皇马第82分钟锁定胜局，本泽马传球，马塞洛禁区左侧16码处射入远角，3-0
82'皇马再进一个，3-0！！！！                   82'皇马第82分钟锁定胜局，本泽马传球，马塞洛禁区左侧16码处射入远角，3-0
82'马塞洛的进球！！！                   82'皇马第82分钟锁定胜局，本泽马传球，马塞洛禁区左侧16码处射入远角，3-0
83'特奥左路拿球，强突横传给到马塞洛，马塞洛背身拿球，回传本泽马，本泽马再推马塞洛，马塞洛停球转身，左脚抽射，打进远角！                   82'皇马第82分钟锁定胜局，本泽马传球，马塞洛禁区左侧16码处射入远角，3-0
84'世界级前锋的脚法，出现在了后卫马塞洛的身上，齐达内可以考虑一下了，哈哈！！                   82'皇马第82分钟锁定胜局，本泽马传球，马塞洛禁区左侧16码处射入远角，3-0
84'本泽马前场拿球，强突分球巴斯克斯                   82'皇马第82分钟锁定胜局，本泽马传球，马塞洛禁区左侧16码处射入远角，3-0
84'可惜没成功，球被防守球员破坏                   82'皇马第82分钟锁定胜局，本泽马传球，马塞洛禁区左侧16码处射入远角，3-0
85'乾贵士前场中路拿球，分球右侧给佩尼亚                   82'皇马第82分钟锁定胜局，本泽马传球，马塞洛禁区左侧16码处射入远角，3-0
85'佩尼亚再给乾贵士，分球里维拉                   82'皇马第82分钟锁定胜局，本泽马传球，马塞洛禁区左侧16码处射入远角，3-0
