1'上半场比赛开始                   1'双方第1分钟打出快节奏且争夺激烈
76'热刺再次换人：本-戴维斯上，换下罗斯                   75'第75分钟，阿扎尔脚后跟传球，阿斯皮利奎塔16码处推射被洛里斯扑出
77'凯恩前场边路拿球，面对逼抢，倒地                   75'第75分钟，阿扎尔脚后跟传球，阿斯皮利奎塔16码处推射被洛里斯扑出
77'卡希尔身后上抢，直接一脚踢在了坐在地上的凯恩背上，着急了啊                   75'第75分钟，阿扎尔脚后跟传球，阿斯皮利奎塔16码处推射被洛里斯扑出
77'5-2！！！                   75'第75分钟，阿扎尔脚后跟传球，阿斯皮利奎塔16码处推射被洛里斯扑出
78'[此时此刻值得来杯嘉士伯]                   75'第75分钟，阿扎尔脚后跟传球，阿斯皮利奎塔16码处推射被洛里斯扑出
78'查德利的进球！！！                   75'第75分钟，阿扎尔脚后跟传球，阿斯皮利奎塔16码处推射被洛里斯扑出
84'切尔西中场抢断，反击，拉米雷斯前插，小禁区左侧拿球起脚打门，滑门而过，出了右侧底线                   84'第84分钟，法布雷加斯直传，拉米雷斯突破至小禁区左上角外斜射，皮球擦右侧立柱偏出
84'阿扎尔前场中路拿球，强突禁区，横传中间给萨拉赫                   84'第84分钟，法布雷加斯直传，拉米雷斯突破至小禁区左上角外斜射，皮球擦右侧立柱偏出
85'萨拉赫左脚凌空直接打门，被洛里斯倒地将球拿到                   84'第84分钟，法布雷加斯直传，拉米雷斯突破至小禁区左上角外斜射，皮球擦右侧立柱偏出
86'下半场比赛40分钟，比分5-2，热刺领先                   84'第84分钟，法布雷加斯直传，拉米雷斯突破至小禁区左上角外斜射，皮球擦右侧立柱偏出
86'进球啦！！！5-3！！！                   84'第84分钟，法布雷加斯直传，拉米雷斯突破至小禁区左上角外斜射，皮球擦右侧立柱偏出
87'[此时此刻值得来杯嘉士伯]                   84'第84分钟，法布雷加斯直传，拉米雷斯突破至小禁区左上角外斜射，皮球擦右侧立柱偏出
87'特里后点包抄推射空门得分                   84'第84分钟，法布雷加斯直传，拉米雷斯突破至小禁区左上角外斜射，皮球擦右侧立柱偏出
