5'巴勒莫球员莫加内拉拼抢犯规,对手获得控球权.                   2'开场2分钟，皮尔洛左侧开出角球，博努奇前点险些顶到
28'基耶利尼将球处理出底线,巴勒莫获得角球.                   25'第25分钟，伊利契奇与利希施泰纳相撞，鼻梁受伤出血，接受处理后回到场内，脖子受到撞击的利希施泰纳也重新投入比赛
36'尤文图斯球员马尔基西奥大禁区中央左脚射门,被防守球员封堵.给他传球的是马特里.                   36'尤文第36分钟险些破门，比达尔右路下底传中，马特里胸部回做，马尔基西奥在门前12米处左脚抽射被穆尼奥斯中途伸脚一挡变线，武齐尼奇在门前6米处勉力捅射空门击中右门柱底部
36'尤文图斯球员武齐尼奇球门线跟前右脚射门,命中门柱右侧立柱.                   36'尤文第36分钟险些破门，比达尔右路下底传中，马特里胸部回做，马尔基西奥在门前12米处左脚抽射被穆尼奥斯中途伸脚一挡变线，武齐尼奇在门前6米处勉力捅射空门击中右门柱底部
36'尤文图斯球员利西斯泰纳手球犯规,对手获得球权.                   36'尤文第36分钟险些破门，比达尔右路下底传中，马特里胸部回做，马尔基西奥在门前12米处左脚抽射被穆尼奥斯中途伸脚一挡变线，武齐尼奇在门前6米处勉力捅射空门击中右门柱底部
37'黄牌！尤文图斯球员利西斯泰纳因为故意手球,被主裁判出示黄牌.                   36'尤文第36分钟险些破门，比达尔右路下底传中，马特里胸部回做，马尔基西奥在门前12米处左脚抽射被穆尼奥斯中途伸脚一挡变线，武齐尼奇在门前6米处勉力捅射空门击中右门柱底部
39'巴勒莫球员米科利拼抢犯规,对手获得控球权.                   36'尤文第36分钟险些破门，比达尔右路下底传中，马特里胸部回做，马尔基西奥在门前12米处左脚抽射被穆尼奥斯中途伸脚一挡变线，武齐尼奇在门前6米处勉力捅射空门击中右门柱底部
39'皮尔洛为尤文图斯赢得一个任意球.                   36'尤文第36分钟险些破门，比达尔右路下底传中，马特里胸部回做，马尔基西奥在门前12米处左脚抽射被穆尼奥斯中途伸脚一挡变线，武齐尼奇在门前6米处勉力捅射空门击中右门柱底部
40'尤文图斯球员基耶利尼大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是巴尔扎利.                   40'第40分钟，基耶利尼突至禁区前沿左脚斜射偏出右门柱
42'加西亚将球处理出底线,尤文图斯获得角球.                   40'第40分钟，基耶利尼突至禁区前沿左脚斜射偏出右门柱
50'进球啦！！！尤文图斯球员利西斯泰纳大禁区中央右脚射门,球从左下角飞进球门,球进了!助攻的是武齐尼奇. 巴勒莫 0-1 尤文图斯.                   50'尤文第50分钟打破僵局，皮尔洛右路起球，武齐尼奇胸部停球脚后跟妙传，利希施泰纳在门前12米处推射入左下角，1比0
60'尤文图斯球员马特里大禁区右侧尝试右脚射门,可惜皮球偏出球门.给他传球的是马尔基西奥.                   60'第60分钟，马尔基西奥前场抢断成功，马特里右侧距门14米处抽射偏出近门柱
61'莫加内拉为巴勒莫赢得一个任意球.                   60'第60分钟，马尔基西奥前场抢断成功，马特里右侧距门14米处抽射偏出近门柱
61'尤文图斯球员基耶利尼拼抢犯规,对手获得控球权.                   60'第60分钟，马尔基西奥前场抢断成功，马特里右侧距门14米处抽射偏出近门柱
61'多纳蒂为巴勒莫赢得一个任意球.                   60'第60分钟，马尔基西奥前场抢断成功，马特里右侧距门14米处抽射偏出近门柱
61'尤文图斯球员武齐尼奇拼抢犯规,对手获得控球权.                   60'第60分钟，马尔基西奥前场抢断成功，马特里右侧距门14米处抽射偏出近门柱
62'射门!!!尤文图斯球员皮尔洛大禁区外右脚射门,被对方守门员横身扑出.给他传球的是武齐尼奇.                   60'第60分钟，马尔基西奥前场抢断成功，马特里右侧距门14米处抽射偏出近门柱
72'巴勒莫球员迪巴拉大禁区外尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是E-巴雷托.                   72'第72分钟，迪巴拉右路内切左脚抽射偏出远门柱
73'尤文图斯换人,本特纳换下马特里                   72'第72分钟，迪巴拉右路内切左脚抽射偏出远门柱
73'尤文图斯球员本特纳大禁区右侧尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是武齐尼奇.                   72'第72分钟，迪巴拉右路内切左脚抽射偏出远门柱
74'巴勒莫球员布里恩扎拼抢犯规,对手获得控球权.                   72'第72分钟，迪巴拉右路内切左脚抽射偏出远门柱
74'皮尔洛为尤文图斯赢得一个任意球.                   72'第72分钟，迪巴拉右路内切左脚抽射偏出远门柱
74'巴勒莫换人,维奥拉换下库尔蒂奇                   72'第72分钟，迪巴拉右路内切左脚抽射偏出远门柱
75'巴勒莫球员莫加内拉拼抢犯规,对手获得控球权.                   72'第72分钟，迪巴拉右路内切左脚抽射偏出远门柱
75'阿萨莫阿为尤文图斯在对方半场,赢得一个任意球.                   72'第72分钟，迪巴拉右路内切左脚抽射偏出远门柱
75'巴勒莫球员莫加内拉因为恶意犯规,被裁判出示了第二张黄牌.                   72'第72分钟，迪巴拉右路内切左脚抽射偏出远门柱
73'尤文图斯换人,本特纳换下马特里                   73'第73分钟，武齐尼奇直传，本特纳禁区右侧射门偏出右门柱
73'尤文图斯球员本特纳大禁区右侧尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是武齐尼奇.                   73'第73分钟，武齐尼奇直传，本特纳禁区右侧射门偏出右门柱
74'巴勒莫球员布里恩扎拼抢犯规,对手获得控球权.                   73'第73分钟，武齐尼奇直传，本特纳禁区右侧射门偏出右门柱
74'皮尔洛为尤文图斯赢得一个任意球.                   73'第73分钟，武齐尼奇直传，本特纳禁区右侧射门偏出右门柱
74'巴勒莫换人,维奥拉换下库尔蒂奇                   73'第73分钟，武齐尼奇直传，本特纳禁区右侧射门偏出右门柱
75'巴勒莫球员莫加内拉拼抢犯规,对手获得控球权.                   73'第73分钟，武齐尼奇直传，本特纳禁区右侧射门偏出右门柱
75'阿萨莫阿为尤文图斯在对方半场,赢得一个任意球.                   73'第73分钟，武齐尼奇直传，本特纳禁区右侧射门偏出右门柱
75'巴勒莫球员莫加内拉因为恶意犯规,被裁判出示了第二张黄牌.                   73'第73分钟，武齐尼奇直传，本特纳禁区右侧射门偏出右门柱
75'巴勒莫球员莫加内拉拼抢犯规,对手获得控球权.                   75'第75分钟，莫尔加内拉被阿萨莫阿突破后拉人，累计2张黄牌被罚下
75'阿萨莫阿为尤文图斯在对方半场,赢得一个任意球.                   75'第75分钟，莫尔加内拉被阿萨莫阿突破后拉人，累计2张黄牌被罚下
75'巴勒莫球员莫加内拉因为恶意犯规,被裁判出示了第二张黄牌.                   75'第75分钟，莫尔加内拉被阿萨莫阿突破后拉人，累计2张黄牌被罚下
77'加西亚为巴勒莫赢得一个任意球.                   75'第75分钟，莫尔加内拉被阿萨莫阿突破后拉人，累计2张黄牌被罚下
77'尤文图斯球员皮尔洛拼抢犯规,对手获得控球权.                   75'第75分钟，莫尔加内拉被阿萨莫阿突破后拉人，累计2张黄牌被罚下
78'黄牌！尤文图斯球员皮尔洛因为恶意犯规,被主裁判出示黄牌.                   75'第75分钟，莫尔加内拉被阿萨莫阿突破后拉人，累计2张黄牌被罚下
79'巴勒莫球员维奥拉拼抢犯规,对手获得控球权.                   79'第79分钟，马尔基西奥直传，本特纳单刀射进，但越位在先
79'博格巴为尤文图斯赢得一个任意球.                   79'第79分钟，马尔基西奥直传，本特纳单刀射进，但越位在先
79'尤文图斯球员马尔基西奥一脚直塞球给本特纳,但是边裁举旗显示后者已经越位.                   79'第79分钟，马尔基西奥直传，本特纳单刀射进，但越位在先
80'基耶利尼将球处理出底线,巴勒莫获得角球.                   79'第79分钟，马尔基西奥直传，本特纳单刀射进，但越位在先
82'巴勒莫球员米科利大禁区右侧尝试右脚射门,可惜皮球稍稍高出球门.给他传球的是伊利西奇.                   79'第79分钟，马尔基西奥直传，本特纳单刀射进，但越位在先
87'尤文图斯球员博努奇在禁区内摔倒了,但裁判判他假摔！                   87'第87分钟，博努奇反越位获得单刀，禁区左侧遇乌伊卡尼扑救倒地，被判假摔吃到黄牌，下轮无缘出战亚特兰大
87'尤文图斯球员博努奇被主裁判出示了一张黄牌.                   87'第87分钟，博努奇反越位获得单刀，禁区左侧遇乌伊卡尼扑救倒地，被判假摔吃到黄牌，下轮无缘出战亚特兰大
88'巴勒莫球员维奥拉拼抢犯规,对手获得控球权.                   87'第87分钟，博努奇反越位获得单刀，禁区左侧遇乌伊卡尼扑救倒地，被判假摔吃到黄牌，下轮无缘出战亚特兰大
88'武齐尼奇为尤文图斯在对方半场,赢得一个任意球.                   87'第87分钟，博努奇反越位获得单刀，禁区左侧遇乌伊卡尼扑救倒地，被判假摔吃到黄牌，下轮无缘出战亚特兰大
89'尤文图斯球员马尔基西奥大禁区外尝试左脚射门,可惜皮球偏出球门.                   87'第87分钟，博努奇反越位获得单刀，禁区左侧遇乌伊卡尼扑救倒地，被判假摔吃到黄牌，下轮无缘出战亚特兰大
90'射门!!!尤文图斯球员武齐尼奇大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是马尔基西奥.                   87'第87分钟，博努奇反越位获得单刀，禁区左侧遇乌伊卡尼扑救倒地，被判假摔吃到黄牌，下轮无缘出战亚特兰大
90'+1'尤文图斯球员武齐尼奇大禁区左侧尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是本特纳.                   87'第87分钟，博努奇反越位获得单刀，禁区左侧遇乌伊卡尼扑救倒地，被判假摔吃到黄牌，下轮无缘出战亚特兰大
90'+1'迪巴拉为巴勒莫在对方半场,赢得一个任意球.                   87'第87分钟，博努奇反越位获得单刀，禁区左侧遇乌伊卡尼扑救倒地，被判假摔吃到黄牌，下轮无缘出战亚特兰大
90'+1'尤文图斯球员皮尔洛拼抢犯规,对手获得控球权.                   87'第87分钟，博努奇反越位获得单刀，禁区左侧遇乌伊卡尼扑救倒地，被判假摔吃到黄牌，下轮无缘出战亚特兰大
90'+2'基耶利尼将球处理出底线,巴勒莫获得角球.                   87'第87分钟，博努奇反越位获得单刀，禁区左侧遇乌伊卡尼扑救倒地，被判假摔吃到黄牌，下轮无缘出战亚特兰大
90'+2'巴勒莫球员E-巴雷托大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.                   87'第87分钟，博努奇反越位获得单刀，禁区左侧遇乌伊卡尼扑救倒地，被判假摔吃到黄牌，下轮无缘出战亚特兰大
90'+3'巴勒莫球员迪巴拉拼抢犯规,对手获得控球权.                   87'第87分钟，博努奇反越位获得单刀，禁区左侧遇乌伊卡尼扑救倒地，被判假摔吃到黄牌，下轮无缘出战亚特兰大
90'+3'基耶利尼为尤文图斯在对方半场,赢得一个任意球.                   87'第87分钟，博努奇反越位获得单刀，禁区左侧遇乌伊卡尼扑救倒地，被判假摔吃到黄牌，下轮无缘出战亚特兰大
90'+4'下半场结束,巴勒莫 0-1 尤文图斯                   87'第87分钟，博努奇反越位获得单刀，禁区左侧遇乌伊卡尼扑救倒地，被判假摔吃到黄牌，下轮无缘出战亚特兰大
