2'颜骏凌大脚开出来                   2'第2分钟莫雷诺中场带球强行冲击被武磊放倒，瓜林33米外任意球打在人墙里弹出
9'现在申花打的还是比较稳的                   9'第9分钟申花截球成功，莫雷诺得球从右路奔袭，石柯飞铲吃到黄牌，这次铲球给莫雷诺造成不小伤害，3分钟后才重新回到阵中
10'瓜林中场拿球，直塞球，被孔卡断下                   9'第9分钟申花截球成功，莫雷诺得球从右路奔袭，石柯飞铲吃到黄牌，这次铲球给莫雷诺造成不小伤害，3分钟后才重新回到阵中
10'孔卡准备大脚往前传球，瓜林马上反抢过来，反击                   9'第9分钟申花截球成功，莫雷诺得球从右路奔袭，石柯飞铲吃到黄牌，这次铲球给莫雷诺造成不小伤害，3分钟后才重新回到阵中
11'石柯直接放倒了瓜林，裁判直接给了黄牌                   9'第9分钟申花截球成功，莫雷诺得球从右路奔袭，石柯飞铲吃到黄牌，这次铲球给莫雷诺造成不小伤害，3分钟后才重新回到阵中
11'这个犯规有点大呀，红牌动作，但是裁判还是给了黄牌，石柯直接从后面铲球                   9'第9分钟申花截球成功，莫雷诺得球从右路奔袭，石柯飞铲吃到黄牌，这次铲球给莫雷诺造成不小伤害，3分钟后才重新回到阵中
12'莫雷诺倒地不起，刚才是莫雷诺被放倒呀                   9'第9分钟申花截球成功，莫雷诺得球从右路奔袭，石柯飞铲吃到黄牌，这次铲球给莫雷诺造成不小伤害，3分钟后才重新回到阵中
12'队医上来了                   9'第9分钟申花截球成功，莫雷诺得球从右路奔袭，石柯飞铲吃到黄牌，这次铲球给莫雷诺造成不小伤害，3分钟后才重新回到阵中
12'刚才的进球功臣现在被放倒在地，被抬出场外了                   9'第9分钟申花截球成功，莫雷诺得球从右路奔袭，石柯飞铲吃到黄牌，这次铲球给莫雷诺造成不小伤害，3分钟后才重新回到阵中
12'申花前场任意球                   9'第9分钟申花截球成功，莫雷诺得球从右路奔袭，石柯飞铲吃到黄牌，这次铲球给莫雷诺造成不小伤害，3分钟后才重新回到阵中
15'登巴巴站在点球点位置上，看看怎么样                   15'申花开场猛打猛冲15分钟之后，劲头略缓，上港也慢慢找到对攻的感觉，场面顿时陷入僵持，第18分钟孔卡左路传中，埃尔克森和吉安两点都没抢到球
15'上港的防线问题很大呀                   15'申花开场猛打猛冲15分钟之后，劲头略缓，上港也慢慢找到对攻的感觉，场面顿时陷入僵持，第18分钟孔卡左路传中，埃尔克森和吉安两点都没抢到球
15'登爸爸稍作调整，一脚射门，直接高射炮                   15'申花开场猛打猛冲15分钟之后，劲头略缓，上港也慢慢找到对攻的感觉，场面顿时陷入僵持，第18分钟孔卡左路传中，埃尔克森和吉安两点都没抢到球
15'哎呀，怎么了，脚滑了吗                   15'申花开场猛打猛冲15分钟之后，劲头略缓，上港也慢慢找到对攻的感觉，场面顿时陷入僵持，第18分钟孔卡左路传中，埃尔克森和吉安两点都没抢到球
16'颜骏凌大脚开出来，中场拼抢中于海将曹赟定放倒                   15'申花开场猛打猛冲15分钟之后，劲头略缓，上港也慢慢找到对攻的感觉，场面顿时陷入僵持，第18分钟孔卡左路传中，埃尔克森和吉安两点都没抢到球
16'双方球员又围过来来了                   15'申花开场猛打猛冲15分钟之后，劲头略缓，上港也慢慢找到对攻的感觉，场面顿时陷入僵持，第18分钟孔卡左路传中，埃尔克森和吉安两点都没抢到球
16'今天场上火药味很重呀                   15'申花开场猛打猛冲15分钟之后，劲头略缓，上港也慢慢找到对攻的感觉，场面顿时陷入僵持，第18分钟孔卡左路传中，埃尔克森和吉安两点都没抢到球
17'慢镜头回放，登巴巴想打球门死角，但是力量用大了，直接高射炮了                   15'申花开场猛打猛冲15分钟之后，劲头略缓，上港也慢慢找到对攻的感觉，场面顿时陷入僵持，第18分钟孔卡左路传中，埃尔克森和吉安两点都没抢到球
17'OK比赛继续恢复，申花球权                   15'申花开场猛打猛冲15分钟之后，劲头略缓，上港也慢慢找到对攻的感觉，场面顿时陷入僵持，第18分钟孔卡左路传中，埃尔克森和吉安两点都没抢到球
17'直接长传到前场，还是想找登巴巴，被防守球员解围出来                   15'申花开场猛打猛冲15分钟之后，劲头略缓，上港也慢慢找到对攻的感觉，场面顿时陷入僵持，第18分钟孔卡左路传中，埃尔克森和吉安两点都没抢到球
18'埃尔克森拿球，李运球抢球，球出界                   15'申花开场猛打猛冲15分钟之后，劲头略缓，上港也慢慢找到对攻的感觉，场面顿时陷入僵持，第18分钟孔卡左路传中，埃尔克森和吉安两点都没抢到球
18'申花球权                   15'申花开场猛打猛冲15分钟之后，劲头略缓，上港也慢慢找到对攻的感觉，场面顿时陷入僵持，第18分钟孔卡左路传中，埃尔克森和吉安两点都没抢到球
18'界外球开出来，柏佳骏直接吊向禁区，力量大了，出了底线                   15'申花开场猛打猛冲15分钟之后，劲头略缓，上港也慢慢找到对攻的感觉，场面顿时陷入僵持，第18分钟孔卡左路传中，埃尔克森和吉安两点都没抢到球
18'颜骏凌大脚开出来，莫雷诺拿球，蔡慧康背后将莫雷诺放倒，犯规                   15'申花开场猛打猛冲15分钟之后，劲头略缓，上港也慢慢找到对攻的感觉，场面顿时陷入僵持，第18分钟孔卡左路传中，埃尔克森和吉安两点都没抢到球
30'现在上港慢慢掌握了场上优势                   30'第30分钟莫雷诺30米外远射打偏，随即瓜林的远射也打偏，开场头30分钟，更为积极主动的申花获得不少射门机会，而主场作战的上港一次有效射门都没有
30'金周荣将球传到禁区，找吉安，球被顶出来                   30'第30分钟莫雷诺30米外远射打偏，随即瓜林的远射也打偏，开场头30分钟，更为积极主动的申花获得不少射门机会，而主场作战的上港一次有效射门都没有
30'瓜林拿球，往前带，横传，给到柏佳骏，没机会，回给门将李帅                   30'第30分钟莫雷诺30米外远射打偏，随即瓜林的远射也打偏，开场头30分钟，更为积极主动的申花获得不少射门机会，而主场作战的上港一次有效射门都没有
31'李帅给到李建滨，通过中场组织，再给前场莫雷诺，拿球稍作调整，来一记远射，打偏了                   30'第30分钟莫雷诺30米外远射打偏，随即瓜林的远射也打偏，开场头30分钟，更为积极主动的申花获得不少射门机会，而主场作战的上港一次有效射门都没有
31'有了大脚开出来，吉安和秦升争抢，裁判哨响吉安犯规了                   30'第30分钟莫雷诺30米外远射打偏，随即瓜林的远射也打偏，开场头30分钟，更为积极主动的申花获得不少射门机会，而主场作战的上港一次有效射门都没有
32'瓜林中场拿球，分曹赟定，再给禁区登巴巴，被防守球员顶出来，瓜林拿球来一脚，直接高射炮                   30'第30分钟莫雷诺30米外远射打偏，随即瓜林的远射也打偏，开场头30分钟，更为积极主动的申花获得不少射门机会，而主场作战的上港一次有效射门都没有
32'颜骏凌大脚开出来，吉安顶到第一点后，被申花球员断下                   30'第30分钟莫雷诺30米外远射打偏，随即瓜林的远射也打偏，开场头30分钟，更为积极主动的申花获得不少射门机会，而主场作战的上港一次有效射门都没有
33'瓜林控制住球权，大范围转移，找到曹赟定，边路内切，再给柏佳骏，传中，后点，被于海断下                   30'第30分钟莫雷诺30米外远射打偏，随即瓜林的远射也打偏，开场头30分钟，更为积极主动的申花获得不少射门机会，而主场作战的上港一次有效射门都没有
33'于海给到孔卡，再给边路插上的王燊超，传到禁区，被防守球员顶出边线                   30'第30分钟莫雷诺30米外远射打偏，随即瓜林的远射也打偏，开场头30分钟，更为积极主动的申花获得不少射门机会，而主场作战的上港一次有效射门都没有
33'王燊超发边线球，往禁区里传，吉安争顶，没有抢到                   30'第30分钟莫雷诺30米外远射打偏，随即瓜林的远射也打偏，开场头30分钟，更为积极主动的申花获得不少射门机会，而主场作战的上港一次有效射门都没有
40'李帅大脚开出来，给到李建滨，再给瓜林                   40'第40分钟上港左路任意球由孔卡开入禁区，于海出人意料后脚跟磕传，武磊跟上怒射打在申花队员身上稍稍高出
40'上港现在前场逼抢非常厉害呀                   40'第40分钟上港左路任意球由孔卡开入禁区，于海出人意料后脚跟磕传，武磊跟上怒射打在申花队员身上稍稍高出
41'孔卡中场断球，曹赟定无奈犯规了，上港前场定位球                   40'第40分钟上港左路任意球由孔卡开入禁区，于海出人意料后脚跟磕传，武磊跟上怒射打在申花队员身上稍稍高出
41'孔卡主罚                   40'第40分钟上港左路任意球由孔卡开入禁区，于海出人意料后脚跟磕传，武磊跟上怒射打在申花队员身上稍稍高出
41'定位球开出来，前点，球被顶出来                   40'第40分钟上港左路任意球由孔卡开入禁区，于海出人意料后脚跟磕传，武磊跟上怒射打在申花队员身上稍稍高出
42'球进了蔡慧康！！！！！！！                   40'第40分钟上港左路任意球由孔卡开入禁区，于海出人意料后脚跟磕传，武磊跟上怒射打在申花队员身上稍稍高出
42'1比1，上港扳平比分                   40'第40分钟上港左路任意球由孔卡开入禁区，于海出人意料后脚跟磕传，武磊跟上怒射打在申花队员身上稍稍高出
42'孔卡定位球开出来，防守球员顶出来，埃神禁区附近打门打在横梁上，蔡慧康头球直接顶入网窝                   40'第40分钟上港左路任意球由孔卡开入禁区，于海出人意料后脚跟磕传，武磊跟上怒射打在申花队员身上稍稍高出
42'蔡慧康头球时，身边无人防守呀                   40'第40分钟上港左路任意球由孔卡开入禁区，于海出人意料后脚跟磕传，武磊跟上怒射打在申花队员身上稍稍高出
43'吕征拿球，石柯将球碰出边线                   40'第40分钟上港左路任意球由孔卡开入禁区，于海出人意料后脚跟磕传，武磊跟上怒射打在申花队员身上稍稍高出
43'李帅大脚开出来，给到中场瓜林，横穿，找柏佳骏，带球过来                   40'第40分钟上港左路任意球由孔卡开入禁区，于海出人意料后脚跟磕传，武磊跟上怒射打在申花队员身上稍稍高出
46'吕征拿球，武磊防守，一对一，武磊将球碰出界外                   46'第46分钟莫雷诺前场突然大力射门，球打在正往前跑的曹赟定身上弹出
46'李运球大脚往前给到，找到莫雷诺，回敲，瓜林，再给边路莫雷诺，带球突破，球被断下                   46'第46分钟莫雷诺前场突然大力射门，球打在正往前跑的曹赟定身上弹出
47'孔卡中场慢慢拿球，分边路王燊超，回敲中场孔卡，裁判哨响，上半场比赛结束                   46'第46分钟莫雷诺前场突然大力射门，球打在正往前跑的曹赟定身上弹出
48'上半场两队战成1比1平，一开场申花就用凌厉的进攻压制上港，但是自从登巴巴点球不进后，势头转为上港这边，随后蔡慧康头球将比分扳平                   46'第46分钟莫雷诺前场突然大力射门，球打在正往前跑的曹赟定身上弹出
46'下半场比赛开始                   46'第46分钟莫雷诺前场突然大力射门，球打在正往前跑的曹赟定身上弹出
46'上港率先进攻                   46'第46分钟莫雷诺前场突然大力射门，球打在正往前跑的曹赟定身上弹出
46'于海中路拿球，往禁区内传，被瓜林断下                   46'第46分钟莫雷诺前场突然大力射门，球打在正往前跑的曹赟定身上弹出
46'马丁斯中路拿球，分球李运球，突破传中，找登巴巴，被解围出来                   46'第46分钟莫雷诺前场突然大力射门，球打在正往前跑的曹赟定身上弹出
47'吉安中路拿球，横敲孔卡，再给前场找埃神，被防守球员破坏出界                   46'第46分钟莫雷诺前场突然大力射门，球打在正往前跑的曹赟定身上弹出
47'孙祥发边线球，给到吉安，想和埃神2过2，可惜球被断下                   46'第46分钟莫雷诺前场突然大力射门，球打在正往前跑的曹赟定身上弹出
47'登巴巴前场拿球，和吕征，也是一个2过2配合，可惜吕征传球没传好                   46'第46分钟莫雷诺前场突然大力射门，球打在正往前跑的曹赟定身上弹出
48'武磊前场拿球，想给插上的于海，推人犯规了                   46'第46分钟莫雷诺前场突然大力射门，球打在正往前跑的曹赟定身上弹出
48'李帅大脚开出来，找到前场马丁斯，不过裁判哨响，马丁斯抢球犯规                   46'第46分钟莫雷诺前场突然大力射门，球打在正往前跑的曹赟定身上弹出
49'孔卡拿球，马丁斯一脚铲下来，分球吕征，带球突破，孙祥抢球，出界，裁判给了门球                   46'第46分钟莫雷诺前场突然大力射门，球打在正往前跑的曹赟定身上弹出
49'颜骏凌大脚开出来，吉安头球一顶，给到于海                   46'第46分钟莫雷诺前场突然大力射门，球打在正往前跑的曹赟定身上弹出
49'于海往前传，找武磊，李运球犯规了                   46'第46分钟莫雷诺前场突然大力射门，球打在正往前跑的曹赟定身上弹出
49'孔卡拿球，马丁斯一脚铲下来，分球吕征，带球突破，孙祥抢球，出界，裁判给了门球                   49'第49分钟孔卡左路任意球传中，吉安头球偏出
49'颜骏凌大脚开出来，吉安头球一顶，给到于海                   49'第49分钟孔卡左路任意球传中，吉安头球偏出
49'于海往前传，找武磊，李运球犯规了                   49'第49分钟孔卡左路任意球传中，吉安头球偏出
50'上港前场定位球，孔卡主罚                   49'第49分钟孔卡左路任意球传中，吉安头球偏出
50'发出来，吉安头球一顶，没发上力量，球直接被李帅抱住                   49'第49分钟孔卡左路任意球传中，吉安头球偏出
51'李帅大脚开出来，登巴巴抢球犯规                   49'第49分钟孔卡左路任意球传中，吉安头球偏出
51'孔卡直接给到前场武磊，球被防守球员碰出边线                   49'第49分钟孔卡左路任意球传中，吉安头球偏出
51'王燊超发边线球，给到孙祥，横传球，失误了                   49'第49分钟孔卡左路任意球传中，吉安头球偏出
51'曹赟定拿球突破，过掉一人后，传球，被断掉                   49'第49分钟孔卡左路任意球传中，吉安头球偏出
52'金周荣直塞球，给大了，球被柏佳骏断下，想给瓜林，埃神回抢将球断下                   49'第49分钟孔卡左路任意球传中，吉安头球偏出
52'给到孔卡，再给吉安，分边路王燊超，再给埃神，往门前传，李帅直接拿球抱住                   49'第49分钟孔卡左路任意球传中，吉安头球偏出
53'李帅大脚开出来                   53'第53分钟金周荣把反抢到皮球的登巴巴铲倒吃到黄牌
53'登巴巴和金周荣争抢，瓜林拿球，分边路吕征                   53'第53分钟金周荣把反抢到皮球的登巴巴铲倒吃到黄牌
53'吕征再找登巴巴，登巴巴禁区内拿球，分球边路吕征，传中，马丁斯头球，顶的太正                   53'第53分钟金周荣把反抢到皮球的登巴巴铲倒吃到黄牌
54'于海中场拿球，交给孔卡，再给蔡慧康，在分边路王燊超，和柏佳骏争抢，球出界                   53'第53分钟金周荣把反抢到皮球的登巴巴铲倒吃到黄牌
54'申花球权                   53'第53分钟金周荣把反抢到皮球的登巴巴铲倒吃到黄牌
55'马丁斯拿球，回敲柏佳骏，再给前场登巴巴，金周荣犯规了                   53'第53分钟金周荣把反抢到皮球的登巴巴铲倒吃到黄牌
55'裁判毫不犹豫对金周荣出示了黄牌                   53'第53分钟金周荣把反抢到皮球的登巴巴铲倒吃到黄牌
55'申花前场定位球                   53'第53分钟金周荣把反抢到皮球的登巴巴铲倒吃到黄牌
55'马丁斯拿球，分球曹赟定，出现失误，直接出了边线                   53'第53分钟金周荣把反抢到皮球的登巴巴铲倒吃到黄牌
56'埃神中场拿球，瓜林上抢，裁判吹了犯规                   53'第53分钟金周荣把反抢到皮球的登巴巴铲倒吃到黄牌
56'颜骏凌大脚开出来，埃神拿球，横敲，找吉安，吉安背身过来，没拿住球                   53'第53分钟金周荣把反抢到皮球的登巴巴铲倒吃到黄牌
66'于海中场拿球，分武磊，再给中路孔卡，准备突破，吕征阻挡犯规了                   66'第66分钟孔卡左路任意球送入禁区，弹跳惊人的吉安再次抢到头机会，但这次顶偏出界
66'孔卡给到禁区，吉安头球一顶，不过偏出球门                   66'第66分钟孔卡左路任意球送入禁区，弹跳惊人的吉安再次抢到头机会，但这次顶偏出界
67'李帅大脚开出来                   66'第66分钟孔卡左路任意球送入禁区，弹跳惊人的吉安再次抢到头机会，但这次顶偏出界
67'马丁斯拿球，脚后跟一蹭给到登巴巴，登巴巴拿球，边路内切射门                   66'第66分钟孔卡左路任意球送入禁区，弹跳惊人的吉安再次抢到头机会，但这次顶偏出界
67'球被颜骏凌稳稳抱住                   66'第66分钟孔卡左路任意球送入禁区，弹跳惊人的吉安再次抢到头机会，但这次顶偏出界
68'孔卡中场拿球，给到禁区找还是吉安，秦升将球顶出来                   66'第66分钟孔卡左路任意球送入禁区，弹跳惊人的吉安再次抢到头机会，但这次顶偏出界
68'武磊中场拿球，分于海，往前带，再给吉安，李建滨拉人犯规了                   66'第66分钟孔卡左路任意球送入禁区，弹跳惊人的吉安再次抢到头机会，但这次顶偏出界
69'上港继续前场定位球                   66'第66分钟孔卡左路任意球送入禁区，弹跳惊人的吉安再次抢到头机会，但这次顶偏出界
69'孔卡继续主罚                   66'第66分钟孔卡左路任意球送入禁区，弹跳惊人的吉安再次抢到头机会，但这次顶偏出界
69'孔卡定位球开出来，吉安继续抢到，头球一顶，球打到了武磊身上出了边线，哎呀                   66'第66分钟孔卡左路任意球送入禁区，弹跳惊人的吉安再次抢到头机会，但这次顶偏出界
72'瓜林中场拿球，给到马丁斯                   72'第72分钟曹赟定从身后推倒孔卡犯规，李运秋为曹赟定出头，结果吃到黄牌
72'马丁斯往前传，球失误了                   72'第72分钟曹赟定从身后推倒孔卡犯规，李运秋为曹赟定出头，结果吃到黄牌
72'孔卡给到前场吉安，再给禁区前沿的武磊，球被顶出来了                   72'第72分钟曹赟定从身后推倒孔卡犯规，李运秋为曹赟定出头，结果吃到黄牌
72'曹赟定对孔卡犯规了                   72'第72分钟曹赟定从身后推倒孔卡犯规，李运秋为曹赟定出头，结果吃到黄牌
73'申花球员全部围上去和裁判理论，裁判套牌了                   72'第72分钟曹赟定从身后推倒孔卡犯规，李运秋为曹赟定出头，结果吃到黄牌
73'裁判给了李运球一个犯规，应该是说的太多了                   72'第72分钟曹赟定从身后推倒孔卡犯规，李运秋为曹赟定出头，结果吃到黄牌
73'这球还是孔卡主罚，位置很不错呀                   72'第72分钟曹赟定从身后推倒孔卡犯规，李运秋为曹赟定出头，结果吃到黄牌
74'距离球门26米，看看孔卡                   72'第72分钟曹赟定从身后推倒孔卡犯规，李运秋为曹赟定出头，结果吃到黄牌
74'孔卡助跑打门，远角，球弹地出了底线                   72'第72分钟曹赟定从身后推倒孔卡犯规，李运秋为曹赟定出头，结果吃到黄牌
74'李帅大脚开出来                   72'第72分钟曹赟定从身后推倒孔卡犯规，李运秋为曹赟定出头，结果吃到黄牌
75'瓜林拿球，直接吊向禁区找马丁斯，颜骏凌将球抱住                   72'第72分钟曹赟定从身后推倒孔卡犯规，李运秋为曹赟定出头，结果吃到黄牌
75'颜骏凌大脚开出来                   72'第72分钟曹赟定从身后推倒孔卡犯规，李运秋为曹赟定出头，结果吃到黄牌
75'武磊没有抢到第一点，被金基熙拿到，吉安上抢将球碰出边线                   72'第72分钟曹赟定从身后推倒孔卡犯规，李运秋为曹赟定出头，结果吃到黄牌
75'头球争抢中，瓜林犯规了                   72'第72分钟曹赟定从身后推倒孔卡犯规，李运秋为曹赟定出头，结果吃到黄牌
76'埃神前场拿球，突破，出了边线                   76'第76分钟申花用王赟换下曹赟定
76'李运球界外球发出来，直接送到孔卡脚下                   76'第76分钟申花用王赟换下曹赟定
77'孔卡给到边路插上的埃尔克森，和李运球抢球，李运球倒地，埃神犯规了                   76'第76分钟申花用王赟换下曹赟定
77'申花换人了，王赟换下曹赟定                   76'第76分钟申花用王赟换下曹赟定
78'曹赟定将队长袖标给了王赟                   76'第76分钟申花用王赟换下曹赟定
78'还有13分钟常规比赛时间到                   76'第76分钟申花用王赟换下曹赟定
79'登巴巴中路拿球，给到吕征，边路插上，扣一下，金周荣将球断下，吕征抢球犯规了                   76'第76分钟申花用王赟换下曹赟定
79'颜骏凌大脚开出来，李建滨拿球                   76'第76分钟申花用王赟换下曹赟定
79'给到吕征，胸部停球后给到瓜林，再给前场马丁斯，一对一，突然传中，球被解围出来                   76'第76分钟申花用王赟换下曹赟定
85'距离常规时间还有6分钟                   85'第85分钟登巴巴推倒孔卡，瓜林在哨响之后把球踢出，结果吃到黄牌
85'瓜林中场拿球，分王赟，球被蔡慧康踢出边线                   85'第85分钟登巴巴推倒孔卡，瓜林在哨响之后把球踢出，结果吃到黄牌
86'秦升继续发边线球，这次没手榴弹了                   85'第85分钟登巴巴推倒孔卡，瓜林在哨响之后把球踢出，结果吃到黄牌
86'瓜林拿球，脚后跟一磕，秦升没能跟上，球被断下                   85'第85分钟登巴巴推倒孔卡，瓜林在哨响之后把球踢出，结果吃到黄牌
86'反击，孔卡中场拿球，登巴巴瓜林包夹，犯规了                   85'第85分钟登巴巴推倒孔卡，瓜林在哨响之后把球踢出，结果吃到黄牌
86'裁判对瓜林出示了一张黄牌                   85'第85分钟登巴巴推倒孔卡，瓜林在哨响之后把球踢出，结果吃到黄牌
87'上港再次出现换人                   85'第85分钟登巴巴推倒孔卡，瓜林在哨响之后把球踢出，结果吃到黄牌
87'汪佳捷换下于海                   85'第85分钟登巴巴推倒孔卡，瓜林在哨响之后把球踢出，结果吃到黄牌
87'登巴巴中场拿球，分球瓜林，带球突破，回敲王赟                   85'第85分钟登巴巴推倒孔卡，瓜林在哨响之后把球踢出，结果吃到黄牌
87'登巴巴拿球，再给前场马丁斯，比那路突破，传中，球被金周荣挡下                   85'第85分钟登巴巴推倒孔卡，瓜林在哨响之后把球踢出，结果吃到黄牌
88'前场反抢，秦升将球踢出界外                   85'第85分钟登巴巴推倒孔卡，瓜林在哨响之后把球踢出，结果吃到黄牌
88'王燊超边线球，瓜林断下                   85'第85分钟登巴巴推倒孔卡，瓜林在哨响之后把球踢出，结果吃到黄牌
88'瓜林往前场传，给到登巴巴，再给边路马丁斯，突一步射门了                   85'第85分钟登巴巴推倒孔卡，瓜林在哨响之后把球踢出，结果吃到黄牌
88'球被颜骏凌挡出底线，角球                   85'第85分钟登巴巴推倒孔卡，瓜林在哨响之后把球踢出，结果吃到黄牌
88'瓜林主罚角球                   85'第85分钟登巴巴推倒孔卡，瓜林在哨响之后把球踢出，结果吃到黄牌
87'上港再次出现换人                   87'第87分钟登巴巴禁区外送球，马丁斯快速切入禁区后射门被颜骏凌扑出底线
87'汪佳捷换下于海                   87'第87分钟登巴巴禁区外送球，马丁斯快速切入禁区后射门被颜骏凌扑出底线
87'登巴巴中场拿球，分球瓜林，带球突破，回敲王赟                   87'第87分钟登巴巴禁区外送球，马丁斯快速切入禁区后射门被颜骏凌扑出底线
87'登巴巴拿球，再给前场马丁斯，比那路突破，传中，球被金周荣挡下                   87'第87分钟登巴巴禁区外送球，马丁斯快速切入禁区后射门被颜骏凌扑出底线
88'前场反抢，秦升将球踢出界外                   87'第87分钟登巴巴禁区外送球，马丁斯快速切入禁区后射门被颜骏凌扑出底线
88'王燊超边线球，瓜林断下                   87'第87分钟登巴巴禁区外送球，马丁斯快速切入禁区后射门被颜骏凌扑出底线
88'瓜林往前场传，给到登巴巴，再给边路马丁斯，突一步射门了                   87'第87分钟登巴巴禁区外送球，马丁斯快速切入禁区后射门被颜骏凌扑出底线
88'球被颜骏凌挡出底线，角球                   87'第87分钟登巴巴禁区外送球，马丁斯快速切入禁区后射门被颜骏凌扑出底线
88'瓜林主罚角球                   87'第87分钟登巴巴禁区外送球，马丁斯快速切入禁区后射门被颜骏凌扑出底线
89'角球开出来，后点，无人抢到                   87'第87分钟登巴巴禁区外送球，马丁斯快速切入禁区后射门被颜骏凌扑出底线
89'孔卡中路拿球，给到前场埃弗拉，一对四，犯规了                   87'第87分钟登巴巴禁区外送球，马丁斯快速切入禁区后射门被颜骏凌扑出底线
89'上港继续定位球，继续孔卡主罚                   87'第87分钟登巴巴禁区外送球，马丁斯快速切入禁区后射门被颜骏凌扑出底线
90'定位球开出来，传到禁区，埃弗拉直接头球，偏出球门                   87'第87分钟登巴巴禁区外送球，马丁斯快速切入禁区后射门被颜骏凌扑出底线
90'还有不到一分钟常规时间结束                   87'第87分钟登巴巴禁区外送球，马丁斯快速切入禁区后射门被颜骏凌扑出底线
90'李帅大脚开出来                   87'第87分钟登巴巴禁区外送球，马丁斯快速切入禁区后射门被颜骏凌扑出底线
90'埃弗拉头球一顶，到了瓜林脚下                   87'第87分钟登巴巴禁区外送球，马丁斯快速切入禁区后射门被颜骏凌扑出底线
89'角球开出来，后点，无人抢到                   89'本场补时只有两分钟，第89分钟上港禁区人仰马翻，蔡慧康和登巴巴都倒地不起，好在问题都不大
89'孔卡中路拿球，给到前场埃弗拉，一对四，犯规了                   89'本场补时只有两分钟，第89分钟上港禁区人仰马翻，蔡慧康和登巴巴都倒地不起，好在问题都不大
89'上港继续定位球，继续孔卡主罚                   89'本场补时只有两分钟，第89分钟上港禁区人仰马翻，蔡慧康和登巴巴都倒地不起，好在问题都不大
90'定位球开出来，传到禁区，埃弗拉直接头球，偏出球门                   89'本场补时只有两分钟，第89分钟上港禁区人仰马翻，蔡慧康和登巴巴都倒地不起，好在问题都不大
90'还有不到一分钟常规时间结束                   89'本场补时只有两分钟，第89分钟上港禁区人仰马翻，蔡慧康和登巴巴都倒地不起，好在问题都不大
90'李帅大脚开出来                   89'本场补时只有两分钟，第89分钟上港禁区人仰马翻，蔡慧康和登巴巴都倒地不起，好在问题都不大
90'埃弗拉头球一顶，到了瓜林脚下                   89'本场补时只有两分钟，第89分钟上港禁区人仰马翻，蔡慧康和登巴巴都倒地不起，好在问题都不大
91'给到前场登巴巴，一对2，过来了，再给瓜林，往门前传，球出界了                   89'本场补时只有两分钟，第89分钟上港禁区人仰马翻，蔡慧康和登巴巴都倒地不起，好在问题都不大
91'下半场不是2分钟                   89'本场补时只有两分钟，第89分钟上港禁区人仰马翻，蔡慧康和登巴巴都倒地不起，好在问题都不大
91'蔡慧康和登巴巴都倒在禁区内                   89'本场补时只有两分钟，第89分钟上港禁区人仰马翻，蔡慧康和登巴巴都倒地不起，好在问题都不大
91'没事了，申花界外球                   89'本场补时只有两分钟，第89分钟上港禁区人仰马翻，蔡慧康和登巴巴都倒地不起，好在问题都不大
91'最后的机会，还会产生进球吗？                   89'本场补时只有两分钟，第89分钟上港禁区人仰马翻，蔡慧康和登巴巴都倒地不起，好在问题都不大
92'秦升手榴弹进了，球被蔡慧康顶出界外，角球                   89'本场补时只有两分钟，第89分钟上港禁区人仰马翻，蔡慧康和登巴巴都倒地不起，好在问题都不大
