5'米洛维奇低平球传 到前场，转移到左侧                   3'开场3分钟，姜宁禁区边路拿球回做，李行禁区外大力远射高出横梁
47'李行转移球到右侧，直接出了边线                   47'第47分钟，阿洛伊西奥禁区外拿球选择直接远射，可惜再次偏出
48'卡库塔断球，转移到阿洛伊西奥的脚下，后者强行推 进没有成功                   47'第47分钟，阿洛伊西奥禁区外拿球选择直接远射，可惜再次偏出
49'谭望嵩速写示突入禁区内，转移给吴庆，球被罗森文给断下来                   47'第47分钟，阿洛伊西奥禁区外拿球选择直接远射，可惜再次偏出
49'卡库塔一脚传 球被破坏出边线                   47'第47分钟，阿洛伊西奥禁区外拿球选择直接远射，可惜再次偏出
49'河北华夏队界外球掷到场内，转移到阿洛伊西奥的脚下，再挑传 禁区内，力量大了，出了底线                   47'第47分钟，阿洛伊西奥禁区外拿球选择直接远射，可惜再次偏出
63'河北华夏队快速反击，阿洛伊西奥杀到禁区内，对方后卫合力挡出来                   63'第63分钟，河北华夏打出快速反击，卡库塔送出斜塞，阿洛伊西奥快速插上禁区线附近射门被回防的两名防守球员同时铲球阻断，跟进的张利峰未能及时射门，错失机会
63'姜宁再控球准备调整，又被破坏                    63'第63分钟，河北华夏打出快速反击，卡库塔送出斜塞，阿洛伊西奥快速插上禁区线附近射门被回防的两名防守球员同时铲球阻断，跟进的张利峰未能及时射门，错失机会
64'对方三人夹击呀！阿洛伊西奥没办法打门，不过姜宁可惜了，老想调整，浪费机会了                   63'第63分钟，河北华夏打出快速反击，卡库塔送出斜塞，阿洛伊西奥快速插上禁区线附近射门被回防的两名防守球员同时铲球阻断，跟进的张利峰未能及时射门，错失机会
64'比赛进行65分钟了                   63'第63分钟，河北华夏打出快速反击，卡库塔送出斜塞，阿洛伊西奥快速插上禁区线附近射门被回防的两名防守球员同时铲球阻断，跟进的张利峰未能及时射门，错失机会
64'重庆力帆队中场控球，转移球到右侧，丁捷传 球被破坏出来                   63'第63分钟，河北华夏打出快速反击，卡库塔送出斜塞，阿洛伊西奥快速插上禁区线附近射门被回防的两名防守球员同时铲球阻断，跟进的张利峰未能及时射门，错失机会
64'廖均健把球破坏出来                   63'第63分钟，河北华夏打出快速反击，卡库塔送出斜塞，阿洛伊西奥快速插上禁区线附近射门被回防的两名防守球员同时铲球阻断，跟进的张利峰未能及时射门，错失机会
64'重庆力帆队进球！！卡尔德克！！！                   63'第63分钟，河北华夏打出快速反击，卡库塔送出斜塞，阿洛伊西奥快速插上禁区线附近射门被回防的两名防守球员同时铲球阻断，跟进的张利峰未能及时射门，错失机会
65'费尔南多右侧拿球，一步晃过廖均健传 到禁区内，卡尔德克高高跃起力压防守队员头球攻门，球弹地进入球门                   63'第63分钟，河北华夏打出快速反击，卡库塔送出斜塞，阿洛伊西奥快速插上禁区线附近射门被回防的两名防守球员同时铲球阻断，跟进的张利峰未能及时射门，错失机会
66'姆比亚犯规被主裁判 黄牌警告                   63'第63分钟，河北华夏打出快速反击，卡库塔送出斜塞，阿洛伊西奥快速插上禁区线附近射门被回防的两名防守球员同时铲球阻断，跟进的张利峰未能及时射门，错失机会
68'廖均健控球，转移到姆比亚的脚下，再横敲球找杜威                   67'失球之后，河北华夏情绪更加急躁，第67分钟，姆比亚争抢时对卡尔德克犯规，姆比亚被主裁判黄牌警告
69'高准翼控球，转移到杜威的脚下，分球给姆比亚，回敲球交到杜威的脚下                   67'失球之后，河北华夏情绪更加急躁，第67分钟，姆比亚争抢时对卡尔德克犯规，姆比亚被主裁判黄牌警告
69'高准翼低平球传 给卡库塔，再分球到左侧给阿洛伊西奥                   67'失球之后，河北华夏情绪更加急躁，第67分钟，姆比亚争抢时对卡尔德克犯规，姆比亚被主裁判黄牌警告
69'阿洛伊西奥一脚吊门，球被丁捷破坏出底线                   67'失球之后，河北华夏情绪更加急躁，第67分钟，姆比亚争抢时对卡尔德克犯规，姆比亚被主裁判黄牌警告
70'河北华夏队获得 角球机会，开到前点，米洛维奇头球顶出边线                   67'失球之后，河北华夏情绪更加急躁，第67分钟，姆比亚争抢时对卡尔德克犯规，姆比亚被主裁判黄牌警告
70'比赛进行70分钟了～                   67'失球之后，河北华夏情绪更加急躁，第67分钟，姆比亚争抢时对卡尔德克犯规，姆比亚被主裁判黄牌警告
73'姜宁回敲球转移给姆比亚，再交到罗森文的脚下                   73'第73分钟，卡库塔传中，阿洛伊西奥停球后凌空倒钩射门稍稍偏出远端立柱
74'河北华夏队右路直传 找卡库塔，球被对方后卫倒地铲出了底线                   73'第73分钟，卡库塔传中，阿洛伊西奥停球后凌空倒钩射门稍稍偏出远端立柱
74'河北华夏队角球机会                   73'第73分钟，卡库塔传中，阿洛伊西奥停球后凌空倒钩射门稍稍偏出远端立柱
74'张利锋来主罚角球，开到禁区内，第一点被防守队员抢到顶出来                   73'第73分钟，卡库塔传中，阿洛伊西奥停球后凌空倒钩射门稍稍偏出远端立柱
74'外控球再吊向禁区内，丁捷禁区内犯规                   73'第73分钟，卡库塔传中，阿洛伊西奥停球后凌空倒钩射门稍稍偏出远端立柱
74'丁捷吃到黄牌                   73'第73分钟，卡库塔传中，阿洛伊西奥停球后凌空倒钩射门稍稍偏出远端立柱
75'阿洛伊西奥真拼呀！抢点时被丁捷给拉倒在地上                   73'第73分钟，卡库塔传中，阿洛伊西奥停球后凌空倒钩射门稍稍偏出远端立柱
75'点球！                   73'第73分钟，卡库塔传中，阿洛伊西奥停球后凌空倒钩射门稍稍偏出远端立柱
75'比赛进行75分钟了！                   73'第73分钟，卡库塔传中，阿洛伊西奥停球后凌空倒钩射门稍稍偏出远端立柱
76'阿洛伊西奥来主罚点球，骗过门将罚进！                   73'第73分钟，卡库塔传中，阿洛伊西奥停球后凌空倒钩射门稍稍偏出远端立柱
76'阿洛伊西奥进球之后又冲过去踹角旗杆去了！                   73'第73分钟，卡库塔传中，阿洛伊西奥停球后凌空倒钩射门稍稍偏出远端立柱
76'双方回到同一起跑线上                   73'第73分钟，卡库塔传中，阿洛伊西奥停球后凌空倒钩射门稍稍偏出远端立柱
80'重庆力帆队换人：冯劲上场换下吴庆                   80'第80分钟，重庆力帆用冯劲换下吴庆
80'比赛进行80分钟了                   80'第80分钟，重庆力帆用冯劲换下吴庆
80'河北华夏队直传球，阿洛伊西奥越位了～                   80'第80分钟，重庆力帆用冯劲换下吴庆
81'徐洋拿球遭到对方的夹击球被断了                   80'第80分钟，重庆力帆用冯劲换下吴庆
82'郑又荣犯规，河北华夏队获得 任意球机会                   80'第80分钟，重庆力帆用冯劲换下吴庆
82'任意球开到禁区内，徐洋抢点破坏出来                   80'第80分钟，重庆力帆用冯劲换下吴庆
82'阿洛伊西奥快速掷界外球，扔到禁区内，杜威头球攻门被邓小飞没收                   80'第80分钟，重庆力帆用冯劲换下吴庆
86'姜宁控球快速的推进，王维成犯规                   86'第86分钟，姜宁中场拿球连续摆脱4人防守后被王维成身后铲球放倒在地，王维成被黄牌警告
86'王维成被主裁判黄牌警告                   86'第86分钟，姜宁中场拿球连续摆脱4人防守后被王维成身后铲球放倒在地，王维成被黄牌警告
86'河北华夏队获得 前场左路的任意球机会                   86'第86分钟，姜宁中场拿球连续摆脱4人防守后被王维成身后铲球放倒在地，王维成被黄牌警告
86'罗森文抽筋了                   86'第86分钟，姜宁中场拿球连续摆脱4人防守后被王维成身后铲球放倒在地，王维成被黄牌警告
87'费尔南多在帮助罗森文                   86'第86分钟，姜宁中场拿球连续摆脱4人防守后被王维成身后铲球放倒在地，王维成被黄牌警告
87'罗森文下场换上了杜文洋                   86'第86分钟，姜宁中场拿球连续摆脱4人防守后被王维成身后铲球放倒在地，王维成被黄牌警告
88'比赛进行88分钟了                   86'第86分钟，姜宁中场拿球连续摆脱4人防守后被王维成身后铲球放倒在地，王维成被黄牌警告
88'河北华夏队左侧控球，廖均健转移球给李行，再转移给姆比亚                   86'第86分钟，姜宁中场拿球连续摆脱4人防守后被王维成身后铲球放倒在地，王维成被黄牌警告
89'重庆力帆队中场抢断，费尔南多拿球横向盘带，转移球到郑又荣的脚下                   86'第86分钟，姜宁中场拿球连续摆脱4人防守后被王维成身后铲球放倒在地，王维成被黄牌警告
89'河北华夏队断球，转移到右侧，球出了边线                   86'第86分钟，姜宁中场拿球连续摆脱4人防守后被王维成身后铲球放倒在地，王维成被黄牌警告
