1'上半场比赛开始！！                   1'第1分钟，纳瓦斯击中头部，虽然留在了场上，但瓦拉内此后开始热身
29'罗马的反击，萨拉赫禁区右侧面对纳瓦斯的出击，右脚劲射，打在边网上！！                   28'第28分钟，达尼洛被迪涅铲倒，但波兰主裁判马奇尼亚克没有中断比赛，哲科精准斜塞空档，萨拉赫禁区右侧距门13米处推射偏出近门柱
30'皇马上下对于这个吹罚很不满，贝尔当面质问主裁判！！                   28'第28分钟，达尼洛被迪涅铲倒，但波兰主裁判马奇尼亚克没有中断比赛，哲科精准斜塞空档，萨拉赫禁区右侧距门13米处推射偏出近门柱
30'J罗中场拿球，转身强突，被上抢的迪涅放倒在地                   28'第28分钟，达尼洛被迪涅铲倒，但波兰主裁判马奇尼亚克没有中断比赛，哲科精准斜塞空档，萨拉赫禁区右侧距门13米处推射偏出近门柱
30'上半场比赛30分钟，比分依旧是0-0！！                   28'第28分钟，达尼洛被迪涅铲倒，但波兰主裁判马奇尼亚克没有中断比赛，哲科精准斜塞空档，萨拉赫禁区右侧距门13米处推射偏出近门柱
31'马塞洛左路拿球，斜传给到上来接应的莫德里奇                   28'第28分钟，达尼洛被迪涅铲倒，但波兰主裁判马奇尼亚克没有中断比赛，哲科精准斜塞空档，萨拉赫禁区右侧距门13米处推射偏出近门柱
31'莫德里奇再给克罗斯，克罗斯直塞贝尔                   28'第28分钟，达尼洛被迪涅铲倒，但波兰主裁判马奇尼亚克没有中断比赛，哲科精准斜塞空档，萨拉赫禁区右侧距门13米处推射偏出近门柱
31'贝尔拿球强突，摆脱三人围抢，禁区外自己起脚，放了高射炮！！                   28'第28分钟，达尼洛被迪涅铲倒，但波兰主裁判马奇尼亚克没有中断比赛，哲科精准斜塞空档，萨拉赫禁区右侧距门13米处推射偏出近门柱
34'凯塔前场中路前场，搓传禁区，纳瓦斯出击，骑着佩佩单拳打出                   34'第34分钟，摩德里奇穿裆过掉皮亚尼奇传出，贝尔左路直塞禁区，C罗前插距门8米处左脚推射被斯琴斯尼出击封出底线
34'皇马的反击，克罗斯直塞球给到J罗                   34'第34分钟，摩德里奇穿裆过掉皮亚尼奇传出，贝尔左路直塞禁区，C罗前插距门8米处左脚推射被斯琴斯尼出击封出底线
35'J罗再给莫德里奇，莫德里奇穿裆过掉凯塔，带球过中线                   34'第34分钟，摩德里奇穿裆过掉皮亚尼奇传出，贝尔左路直塞禁区，C罗前插距门8米处左脚推射被斯琴斯尼出击封出底线
35'莫德里奇斜塞给到C罗，C罗禁区左侧面对出击的斯泽斯尼，左脚劲射，被挡出底线！！                   34'第34分钟，摩德里奇穿裆过掉皮亚尼奇传出，贝尔左路直塞禁区，C罗前插距门8米处左脚推射被斯琴斯尼出击封出底线
35'皇马再次获得左侧角球，依旧没能形成威胁啊！！                   34'第34分钟，摩德里奇穿裆过掉皮亚尼奇传出，贝尔左路直塞禁区，C罗前插距门8米处左脚推射被斯琴斯尼出击封出底线
36'马塞洛左路拿球，带球到中线位置，分球克罗斯                   34'第34分钟，摩德里奇穿裆过掉皮亚尼奇传出，贝尔左路直塞禁区，C罗前插距门8米处左脚推射被斯琴斯尼出击封出底线
36'克罗斯再给C罗，C罗回传莫德里奇                   34'第34分钟，摩德里奇穿裆过掉皮亚尼奇传出，贝尔左路直塞禁区，C罗前插距门8米处左脚推射被斯琴斯尼出击封出底线
36'莫德里奇斜传右路找J罗，J罗内切，再传左侧，被断啦                   34'第34分钟，摩德里奇穿裆过掉皮亚尼奇传出，贝尔左路直塞禁区，C罗前插距门8米处左脚推射被斯琴斯尼出击封出底线
37'卡塞米罗前场抢断，自己盘带，遭遇三人围抢                   34'第34分钟，摩德里奇穿裆过掉皮亚尼奇传出，贝尔左路直塞禁区，C罗前插距门8米处左脚推射被斯琴斯尼出击封出底线
37'球被迪涅出脚解围，沙拉维拿球反击                   34'第34分钟，摩德里奇穿裆过掉皮亚尼奇传出，贝尔左路直塞禁区，C罗前插距门8米处左脚推射被斯琴斯尼出击封出底线
37'达尼洛原地反抢，身后放倒了沙拉维，犯规！！                   34'第34分钟，摩德里奇穿裆过掉皮亚尼奇传出，贝尔左路直塞禁区，C罗前插距门8米处左脚推射被斯琴斯尼出击封出底线
37'达尼洛被主裁判出示了黄牌警告！！                   34'第34分钟，摩德里奇穿裆过掉皮亚尼奇传出，贝尔左路直塞禁区，C罗前插距门8米处左脚推射被斯琴斯尼出击封出底线
50'C罗禁区左侧拿球，横传马塞洛                   50'第50分钟，哲科禁区前沿积极拼抢，萨拉赫得球单挑纳瓦斯，距门11米处推射稍偏出右门柱
50'马塞洛停球，混战中打门，被挡出                   50'第50分钟，哲科禁区前沿积极拼抢，萨拉赫得球单挑纳瓦斯，距门11米处推射稍偏出右门柱
50'马塞洛继续拿球，回敲C罗                   50'第50分钟，哲科禁区前沿积极拼抢，萨拉赫得球单挑纳瓦斯，距门11米处推射稍偏出右门柱
50'C罗挑传中路，J罗凌空扫射，被斯泽斯尼挡出！！                   50'第50分钟，哲科禁区前沿积极拼抢，萨拉赫得球单挑纳瓦斯，距门11米处推射稍偏出右门柱
51'皇马后场失误，萨拉赫点球点附近的抽射，再次打偏啦！！                   50'第50分钟，哲科禁区前沿积极拼抢，萨拉赫得球单挑纳瓦斯，距门11米处推射稍偏出右门柱
51'罗马又一次浪费了绝佳机会啊！！                   50'第50分钟，哲科禁区前沿积极拼抢，萨拉赫得球单挑纳瓦斯，距门11米处推射稍偏出右门柱
53'如今的这场面，托蒂会有机会出场嘛？[qiangda]                   50'第50分钟，哲科禁区前沿积极拼抢，萨拉赫得球单挑纳瓦斯，距门11米处推射稍偏出右门柱
53'萨拉赫右路拿球，内切后横传找中间的沙拉维                   50'第50分钟，哲科禁区前沿积极拼抢，萨拉赫得球单挑纳瓦斯，距门11米处推射稍偏出右门柱
53'沙拉维停球没停好，被达尼洛抢断                   50'第50分钟，哲科禁区前沿积极拼抢，萨拉赫得球单挑纳瓦斯，距门11米处推射稍偏出右门柱
53'达尼洛的反击，过了中线，分球中间给卡塞米罗                   50'第50分钟，哲科禁区前沿积极拼抢，萨拉赫得球单挑纳瓦斯，距门11米处推射稍偏出右门柱
57'强突，禁区弧顶变向摆脱拉莫斯的上抢                   57'第57分钟，哲科直传，弗洛伦齐人球分过距门13米处大力抽射被纳瓦斯托出，罗马右侧角球到了后点，马诺拉斯在门前5米处左脚小角度推射被纳瓦斯挡出底线
57'面对放铲的佩佩，起脚打门，被纳瓦斯鱼跃挡出底线！！                   57'第57分钟，哲科直传，弗洛伦齐人球分过距门13米处大力抽射被纳瓦斯托出，罗马右侧角球到了后点，马诺拉斯在门前5米处左脚小角度推射被纳瓦斯挡出底线
57'罗马获得右侧角球机会！！                   57'第57分钟，哲科直传，弗洛伦齐人球分过距门13米处大力抽射被纳瓦斯托出，罗马右侧角球到了后点，马诺拉斯在门前5米处左脚小角度推射被纳瓦斯挡出底线
57'角球开出到禁区，哲科头球，再被纳瓦斯单掌打出底线                   57'第57分钟，哲科直传，弗洛伦齐人球分过距门13米处大力抽射被纳瓦斯托出，罗马右侧角球到了后点，马诺拉斯在门前5米处左脚小角度推射被纳瓦斯挡出底线
58'罗马再次获得左侧角球，佩罗蒂主罚                   57'第57分钟，哲科直传，弗洛伦齐人球分过距门13米处大力抽射被纳瓦斯托出，罗马右侧角球到了后点，马诺拉斯在门前5米处左脚小角度推射被纳瓦斯挡出底线
58'这次没能形成威胁！！                   57'第57分钟，哲科直传，弗洛伦齐人球分过距门13米处大力抽射被纳瓦斯托出，罗马右侧角球到了后点，马诺拉斯在门前5米处左脚小角度推射被纳瓦斯挡出底线
58'莫德里奇禁区右侧的劲射，打在苏卡诺维奇腿上折射，差点破门啊                   57'第57分钟，哲科直传，弗洛伦齐人球分过距门13米处大力抽射被纳瓦斯托出，罗马右侧角球到了后点，马诺拉斯在门前5米处左脚小角度推射被纳瓦斯挡出底线
59'皇马获得左侧角球机会，并未形成威胁！！                   57'第57分钟，哲科直传，弗洛伦齐人球分过距门13米处大力抽射被纳瓦斯托出，罗马右侧角球到了后点，马诺拉斯在门前5米处左脚小角度推射被纳瓦斯挡出底线
60'皇马前场进攻，克罗斯的远射，打偏！！                   57'第57分钟，哲科直传，弗洛伦齐人球分过距门13米处大力抽射被纳瓦斯托出，罗马右侧角球到了后点，马诺拉斯在门前5米处左脚小角度推射被纳瓦斯挡出底线
60'皇马中场抢断，过顶长传到前场左侧给C罗                   57'第57分钟，哲科直传，弗洛伦齐人球分过距门13米处大力抽射被纳瓦斯托出，罗马右侧角球到了后点，马诺拉斯在门前5米处左脚小角度推射被纳瓦斯挡出底线
64'可惜包抄的队友没能碰到，球被纳瓦斯拿到                   64'第64分钟，摩德里奇外脚背分球，巴斯克斯右路切入禁区踩单车闪开迪涅传中，C罗在门前5米处推射入网，1比0，C罗连续6个赛季至少打进40球，欧冠对阵意大利球队打进13球，与劳尔并列首位
64'1-0！！                   64'第64分钟，摩德里奇外脚背分球，巴斯克斯右路切入禁区踩单车闪开迪涅传中，C罗在门前5米处推射入网，1比0，C罗连续6个赛季至少打进40球，欧冠对阵意大利球队打进13球，与劳尔并列首位
64'C罗的进球！！                   64'第64分钟，摩德里奇外脚背分球，巴斯克斯右路切入禁区踩单车闪开迪涅传中，C罗在门前5米处推射入网，1比0，C罗连续6个赛季至少打进40球，欧冠对阵意大利球队打进13球，与劳尔并列首位
65'莫德里奇前场中路拿球，禁区弧顶分右侧给巴斯克斯，巴斯克斯拿球内切，搓传门前，C罗插上抢点，抢在出击的斯泽斯尼和苏卡诺维奇之前凌空扫射打进！                   64'第64分钟，摩德里奇外脚背分球，巴斯克斯右路切入禁区踩单车闪开迪涅传中，C罗在门前5米处推射入网，1比0，C罗连续6个赛季至少打进40球，欧冠对阵意大利球队打进13球，与劳尔并列首位
66'斯泽斯尼出击时也是和队友苏卡诺维奇相撞，有些受伤啦！！                   64'第64分钟，摩德里奇外脚背分球，巴斯克斯右路切入禁区踩单车闪开迪涅传中，C罗在门前5米处推射入网，1比0，C罗连续6个赛季至少打进40球，欧冠对阵意大利球队打进13球，与劳尔并列首位
67'卡塞米罗后场过顶长传想给前场右侧的巴斯克斯                   64'第64分钟，摩德里奇外脚背分球，巴斯克斯右路切入禁区踩单车闪开迪涅传中，C罗在门前5米处推射入网，1比0，C罗连续6个赛季至少打进40球，欧冠对阵意大利球队打进13球，与劳尔并列首位
67'2-0！！                   64'第64分钟，摩德里奇外脚背分球，巴斯克斯右路切入禁区踩单车闪开迪涅传中，C罗在门前5米处推射入网，1比0，C罗连续6个赛季至少打进40球，欧冠对阵意大利球队打进13球，与劳尔并列首位
49'C罗背身拿球，回敲克罗斯                   49'仅过4分钟，C罗分球到禁区左侧，J罗距门8米处左脚推射从斯琴斯尼裆下入近角，2比0，他成为法尔考和杰克逊-马丁内斯(2球)之后，第3位在欧冠淘汰赛进球的哥伦比亚人，他上次欧冠破门还是2014年9月代表皇马欧冠首秀
49'克罗斯再斜传左侧找马塞洛，马塞洛内切再分给上来的佩佩                   49'仅过4分钟，C罗分球到禁区左侧，J罗距门8米处左脚推射从斯琴斯尼裆下入近角，2比0，他成为法尔考和杰克逊-马丁内斯(2球)之后，第3位在欧冠淘汰赛进球的哥伦比亚人，他上次欧冠破门还是2014年9月代表皇马欧冠首秀
49'佩佩禁区左侧起球到后点，苏卡诺维奇抢在C罗之前，头球解围出底线！！                   49'仅过4分钟，C罗分球到禁区左侧，J罗距门8米处左脚推射从斯琴斯尼裆下入近角，2比0，他成为法尔考和杰克逊-马丁内斯(2球)之后，第3位在欧冠淘汰赛进球的哥伦比亚人，他上次欧冠破门还是2014年9月代表皇马欧冠首秀
49'皇马右侧角球机会，并未形成威胁！！                   49'仅过4分钟，C罗分球到禁区左侧，J罗距门8米处左脚推射从斯琴斯尼裆下入近角，2比0，他成为法尔考和杰克逊-马丁内斯(2球)之后，第3位在欧冠淘汰赛进球的哥伦比亚人，他上次欧冠破门还是2014年9月代表皇马欧冠首秀
50'C罗禁区左侧拿球，横传马塞洛                   49'仅过4分钟，C罗分球到禁区左侧，J罗距门8米处左脚推射从斯琴斯尼裆下入近角，2比0，他成为法尔考和杰克逊-马丁内斯(2球)之后，第3位在欧冠淘汰赛进球的哥伦比亚人，他上次欧冠破门还是2014年9月代表皇马欧冠首秀
50'马塞洛停球，混战中打门，被挡出                   49'仅过4分钟，C罗分球到禁区左侧，J罗距门8米处左脚推射从斯琴斯尼裆下入近角，2比0，他成为法尔考和杰克逊-马丁内斯(2球)之后，第3位在欧冠淘汰赛进球的哥伦比亚人，他上次欧冠破门还是2014年9月代表皇马欧冠首秀
50'马塞洛继续拿球，回敲C罗                   49'仅过4分钟，C罗分球到禁区左侧，J罗距门8米处左脚推射从斯琴斯尼裆下入近角，2比0，他成为法尔考和杰克逊-马丁内斯(2球)之后，第3位在欧冠淘汰赛进球的哥伦比亚人，他上次欧冠破门还是2014年9月代表皇马欧冠首秀
50'C罗挑传中路，J罗凌空扫射，被斯泽斯尼挡出！！                   49'仅过4分钟，C罗分球到禁区左侧，J罗距门8米处左脚推射从斯琴斯尼裆下入近角，2比0，他成为法尔考和杰克逊-马丁内斯(2球)之后，第3位在欧冠淘汰赛进球的哥伦比亚人，他上次欧冠破门还是2014年9月代表皇马欧冠首秀
51'皇马后场失误，萨拉赫点球点附近的抽射，再次打偏啦！！                   49'仅过4分钟，C罗分球到禁区左侧，J罗距门8米处左脚推射从斯琴斯尼裆下入近角，2比0，他成为法尔考和杰克逊-马丁内斯(2球)之后，第3位在欧冠淘汰赛进球的哥伦比亚人，他上次欧冠破门还是2014年9月代表皇马欧冠首秀
51'罗马又一次浪费了绝佳机会啊！！                   49'仅过4分钟，C罗分球到禁区左侧，J罗距门8米处左脚推射从斯琴斯尼裆下入近角，2比0，他成为法尔考和杰克逊-马丁内斯(2球)之后，第3位在欧冠淘汰赛进球的哥伦比亚人，他上次欧冠破门还是2014年9月代表皇马欧冠首秀
88'皇马获得右侧角球机会，并未形成威胁                   88'第88分钟，萨拉赫右路传中，佩罗蒂后点距门10米处射门击中近门柱底部弹回
88'罗马前场再攻，右路起球到后点                   88'第88分钟，萨拉赫右路传中，佩罗蒂后点距门10米处射门击中近门柱底部弹回
88'佩罗蒂凌空抽射，击中左侧立柱弹回，打在纳瓦斯身上弹出                   88'第88分钟，萨拉赫右路传中，佩罗蒂后点距门10米处射门击中近门柱底部弹回
89'这球萨拉赫的传中落点很好，佩罗蒂扫射角度很刁钻，可惜还是没能改写比分                   88'第88分钟，萨拉赫右路传中，佩罗蒂后点距门10米处射门击中近门柱底部弹回
90'皇马前场进攻，再次赢得角球！！                   88'第88分钟，萨拉赫右路传中，佩罗蒂后点距门10米处射门击中近门柱底部弹回
91'角球开出，第一点被罗马球员解围                   88'第88分钟，萨拉赫右路传中，佩罗蒂后点距门10米处射门击中近门柱底部弹回
91'下半场比赛补时3分钟！！                   88'第88分钟，萨拉赫右路传中，佩罗蒂后点距门10米处射门击中近门柱底部弹回
91'麦孔后场拿球，过了中线，横传给到托蒂                   88'第88分钟，萨拉赫右路传中，佩罗蒂后点距门10米处射门击中近门柱底部弹回
