1'上半场比赛开始！！                   1'巴萨第1分钟积极施压，塞尔塔则小心谨慎展开稳守反击
20'巴萨的角球机会                   19'巴萨第19分钟险些破门，皮克传球，苏亚雷斯人球分过突破至禁区边缘的射门击中右侧立柱弹回，梅西禁区右侧补射仍然击中近角立柱，皮球弹回打在塞尔吉奥身上偏转出底线
20'角球开出，威胁并不大                   19'巴萨第19分钟险些破门，皮克传球，苏亚雷斯人球分过突破至禁区边缘的射门击中右侧立柱弹回，梅西禁区右侧补射仍然击中近角立柱，皮球弹回打在塞尔吉奥身上偏转出底线
20'维戈塞尔塔这边反击的机会                   19'巴萨第19分钟险些破门，皮克传球，苏亚雷斯人球分过突破至禁区边缘的射门击中右侧立柱弹回，梅西禁区右侧补射仍然击中近角立柱，皮球弹回打在塞尔吉奥身上偏转出底线
21'布斯克茨边路防守犯规                   19'巴萨第19分钟险些破门，皮克传球，苏亚雷斯人球分过突破至禁区边缘的射门击中右侧立柱弹回，梅西禁区右侧补射仍然击中近角立柱，皮球弹回打在塞尔吉奥身上偏转出底线
21'布斯克茨得到一张黄牌！！                   19'巴萨第19分钟险些破门，皮克传球，苏亚雷斯人球分过突破至禁区边缘的射门击中右侧立柱弹回，梅西禁区右侧补射仍然击中近角立柱，皮球弹回打在塞尔吉奥身上偏转出底线
21'维戈塞尔塔左侧禁区边缘的任意球                   19'巴萨第19分钟险些破门，皮克传球，苏亚雷斯人球分过突破至禁区边缘的射门击中右侧立柱弹回，梅西禁区右侧补射仍然击中近角立柱，皮球弹回打在塞尔吉奥身上偏转出底线
21'任意球给到后点                   19'巴萨第19分钟险些破门，皮克传球，苏亚雷斯人球分过突破至禁区边缘的射门击中右侧立柱弹回，梅西禁区右侧补射仍然击中近角立柱，皮球弹回打在塞尔吉奥身上偏转出底线
21'双方形成了混战                   19'巴萨第19分钟险些破门，皮克传球，苏亚雷斯人球分过突破至禁区边缘的射门击中右侧立柱弹回，梅西禁区右侧补射仍然击中近角立柱，皮球弹回打在塞尔吉奥身上偏转出底线
21'隆卡利亚小禁区线上抽射打偏了！！                   19'巴萨第19分钟险些破门，皮克传球，苏亚雷斯人球分过突破至禁区边缘的射门击中右侧立柱弹回，梅西禁区右侧补射仍然击中近角立柱，皮球弹回打在塞尔吉奥身上偏转出底线
22'这球隆卡利亚没有吃准部位                   19'巴萨第19分钟险些破门，皮克传球，苏亚雷斯人球分过突破至禁区边缘的射门击中右侧立柱弹回，梅西禁区右侧补射仍然击中近角立柱，皮球弹回打在塞尔吉奥身上偏转出底线
24'1-0！！！                   24'巴萨第24分钟取得领先，布斯克茨传球，梅西突破至禁区边缘推射反弹球入左下角
24'梅西！！！                   24'巴萨第24分钟取得领先，布斯克茨传球，梅西突破至禁区边缘推射反弹球入左下角
24'关键时刻还是得看梅西啊                   24'巴萨第24分钟取得领先，布斯克茨传球，梅西突破至禁区边缘推射反弹球入左下角
25'梅西中场背身接球后转身摆脱防守，带球到了禁区弧顶推射一脚将球打进！！                   24'巴萨第24分钟取得领先，布斯克茨传球，梅西突破至禁区边缘推射反弹球入左下角
25'完全是凭借着个人能力啊                   24'巴萨第24分钟取得领先，布斯克茨传球，梅西突破至禁区边缘推射反弹球入左下角
27'内马尔左路带球连续的摆脱                   24'巴萨第24分钟取得领先，布斯克茨传球，梅西突破至禁区边缘推射反弹球入左下角
27'给到禁区弧顶的梅西                   24'巴萨第24分钟取得领先，布斯克茨传球，梅西突破至禁区边缘推射反弹球入左下角
27'梅西这边在调整被破坏                   24'巴萨第24分钟取得领先，布斯克茨传球，梅西突破至禁区边缘推射反弹球入左下角
40'上半场比赛已经接近尾声了                   40'巴萨第40分钟扩大比分，梅西送出直传，内马尔禁区左肋10码处挑射入网，2-0
40'梅西前场拿球给到边路                   40'巴萨第40分钟扩大比分，梅西送出直传，内马尔禁区左肋10码处挑射入网，2-0
40'2-0！！！                   40'巴萨第40分钟扩大比分，梅西送出直传，内马尔禁区左肋10码处挑射入网，2-0
40'内马尔！！                   40'巴萨第40分钟扩大比分，梅西送出直传，内马尔禁区左肋10码处挑射入网，2-0
41'梅西禁区弧顶送直塞到禁区，内马尔前插后面对出击的门将轻轻一挑将球打进！！                   40'巴萨第40分钟扩大比分，梅西送出直传，内马尔禁区左肋10码处挑射入网，2-0
41'这次的配合是一气呵成，没有过多的停球                   40'巴萨第40分钟扩大比分，梅西送出直传，内马尔禁区左肋10码处挑射入网，2-0
58'内马尔左路拿球往禁区里走，回敲给到梅西，梅西停球推中路，拉菲尼亚停球直接到了拉基蒂奇脚下，拉基蒂奇小角度推射将球打进！！                   58'巴萨第58分钟锁定胜局，内马尔突入禁区左侧回传，梅西直传，拉菲尼亚停球稍大，越位位置的拉基蒂奇小禁区左侧低射近角入网，3-0
58'这球通过慢镜头来看是越位了                   58'巴萨第58分钟锁定胜局，内马尔突入禁区左侧回传，梅西直传，拉菲尼亚停球稍大，越位位置的拉基蒂奇小禁区左侧低射近角入网，3-0
61'巴萨这边也进行人员调整                   58'巴萨第58分钟锁定胜局，内马尔突入禁区左侧回传，梅西直传，拉菲尼亚停球稍大，越位位置的拉基蒂奇小禁区左侧低射近角入网，3-0
61'布斯克茨下，马斯切拉诺上！                   58'巴萨第58分钟锁定胜局，内马尔突入禁区左侧回传，梅西直传，拉菲尼亚停球稍大，越位位置的拉基蒂奇小禁区左侧低射近角入网，3-0
61'巴萨这边角球机会                   58'巴萨第58分钟锁定胜局，内马尔突入禁区左侧回传，梅西直传，拉菲尼亚停球稍大，越位位置的拉基蒂奇小禁区左侧低射近角入网，3-0
61'打了一个战术                   58'巴萨第58分钟锁定胜局，内马尔突入禁区左侧回传，梅西直传，拉菲尼亚停球稍大，越位位置的拉基蒂奇小禁区左侧低射近角入网，3-0
61'4-0！！！                   58'巴萨第58分钟锁定胜局，内马尔突入禁区左侧回传，梅西直传，拉菲尼亚停球稍大，越位位置的拉基蒂奇小禁区左侧低射近角入网，3-0
61'乌姆蒂蒂！！！                   58'巴萨第58分钟锁定胜局，内马尔突入禁区左侧回传，梅西直传，拉菲尼亚停球稍大，越位位置的拉基蒂奇小禁区左侧低射近角入网，3-0
61'巴萨这边也进行人员调整                   61'第61分钟，梅西战术角球禁区左侧传中，乌姆蒂蒂近距离捅射入网，4-0
61'布斯克茨下，马斯切拉诺上！                   61'第61分钟，梅西战术角球禁区左侧传中，乌姆蒂蒂近距离捅射入网，4-0
61'巴萨这边角球机会                   61'第61分钟，梅西战术角球禁区左侧传中，乌姆蒂蒂近距离捅射入网，4-0
61'打了一个战术                   61'第61分钟，梅西战术角球禁区左侧传中，乌姆蒂蒂近距离捅射入网，4-0
61'4-0！！！                   61'第61分钟，梅西战术角球禁区左侧传中，乌姆蒂蒂近距离捅射入网，4-0
61'乌姆蒂蒂！！！                   61'第61分钟，梅西战术角球禁区左侧传中，乌姆蒂蒂近距离捅射入网，4-0
62'巴萨角球开出，梅西跟队友做了一个撞墙禁区里梅西横敲中路，乌姆蒂蒂铲射破门得分！！                   61'第61分钟，梅西战术角球禁区左侧传中，乌姆蒂蒂近距离捅射入网，4-0
62'恩里克在场边也是非常的高兴                   61'第61分钟，梅西战术角球禁区左侧传中，乌姆蒂蒂近距离捅射入网，4-0
62'维戈塞尔塔这边再次换人                   61'第61分钟，梅西战术角球禁区左侧传中，乌姆蒂蒂近距离捅射入网，4-0
63'桑切斯被换上                   61'第61分钟，梅西战术角球禁区左侧传中，乌姆蒂蒂近距离捅射入网，4-0
63'比赛的胜负已经基本明朗了                   61'第61分钟，梅西战术角球禁区左侧传中，乌姆蒂蒂近距离捅射入网，4-0
63'阿斯帕斯前场拿球到了禁区                   61'第61分钟，梅西战术角球禁区左侧传中，乌姆蒂蒂近距离捅射入网，4-0
63'横向的摆脱晃开防守空挡                   61'第61分钟，梅西战术角球禁区左侧传中，乌姆蒂蒂近距离捅射入网，4-0
64'最后的打门是打疵了                   61'第61分钟，梅西战术角球禁区左侧传中，乌姆蒂蒂近距离捅射入网，4-0
64'5-0！！！                   61'第61分钟，梅西战术角球禁区左侧传中，乌姆蒂蒂近距离捅射入网，4-0
64'梅西！！！                   61'第61分钟，梅西战术角球禁区左侧传中，乌姆蒂蒂近距离捅射入网，4-0
64'梅西打进了本场比赛的第二粒进球                   61'第61分钟，梅西战术角球禁区左侧传中，乌姆蒂蒂近距离捅射入网，4-0
64'最后的打门是打疵了                   64'第64分钟，阿斯帕斯横切时滑倒错过机会，梅西快速反击中右路内切至禁区右肋14码处低射近角入网，5-0
64'5-0！！！                   64'第64分钟，阿斯帕斯横切时滑倒错过机会，梅西快速反击中右路内切至禁区右肋14码处低射近角入网，5-0
64'梅西！！！                   64'第64分钟，阿斯帕斯横切时滑倒错过机会，梅西快速反击中右路内切至禁区右肋14码处低射近角入网，5-0
64'梅西打进了本场比赛的第二粒进球                   64'第64分钟，阿斯帕斯横切时滑倒错过机会，梅西快速反击中右路内切至禁区右肋14码处低射近角入网，5-0
65'巴萨中场拿球送直塞给到右路，梅西高速跟进后到了禁区，横向打了一步后低射近角破门！！                   64'第64分钟，阿斯帕斯横切时滑倒错过机会，梅西快速反击中右路内切至禁区右肋14码处低射近角入网，5-0
65'塞尔吉奥这边几乎没有反应                   64'第64分钟，阿斯帕斯横切时滑倒错过机会，梅西快速反击中右路内切至禁区右肋14码处低射近角入网，5-0
65'维戈塞尔塔右路又是出现空挡                   64'第64分钟，阿斯帕斯横切时滑倒错过机会，梅西快速反击中右路内切至禁区右肋14码处低射近角入网，5-0
66'内马尔挑传到禁区                   64'第64分钟，阿斯帕斯横切时滑倒错过机会，梅西快速反击中右路内切至禁区右肋14码处低射近角入网，5-0
66'前点被维戈塞尔塔球员解围                   64'第64分钟，阿斯帕斯横切时滑倒错过机会，梅西快速反击中右路内切至禁区右肋14码处低射近角入网，5-0
66'维戈塞尔塔这边也有机会啊                   64'第64分钟，阿斯帕斯横切时滑倒错过机会，梅西快速反击中右路内切至禁区右肋14码处低射近角入网，5-0
66'禁区内队友停球后打近角                   64'第64分钟，阿斯帕斯横切时滑倒错过机会，梅西快速反击中右路内切至禁区右肋14码处低射近角入网，5-0
66'偏啦                   64'第64分钟，阿斯帕斯横切时滑倒错过机会，梅西快速反击中右路内切至禁区右肋14码处低射近角入网，5-0
66'巴萨这边要准备继续换人                   64'第64分钟，阿斯帕斯横切时滑倒错过机会，梅西快速反击中右路内切至禁区右肋14码处低射近角入网，5-0
67'塞尔吉-罗伯托下，伊涅斯塔上！                   64'第64分钟，阿斯帕斯横切时滑倒错过机会，梅西快速反击中右路内切至禁区右肋14码处低射近角入网，5-0
