5'科斯切尔尼斜传球，桑切斯控球直塞被拦截了                   5'第5分钟，埃雷拉赢得右路禁区前任意球机会，马塔直接射门稍稍偏出远角
49'下面由皮皮鲁为大家直播这场比赛                   48'温格此前3次首战曼联主帅均落败，但阿森纳第89分钟扳平比分，张伯伦右路突破传中，琼斯在科斯切尔尼争顶下倒地，无人防守的吉鲁小禁区边缘强力头槌破门，1-1
49'目前进行到下半场第3分钟                   48'温格此前3次首战曼联主帅均落败，但阿森纳第89分钟扳平比分，张伯伦右路突破传中，琼斯在科斯切尔尼争顶下倒地，无人防守的吉鲁小禁区边缘强力头槌破门，1-1
49'场上比分还是0-0                   48'温格此前3次首战曼联主帅均落败，但阿森纳第89分钟扳平比分，张伯伦右路突破传中，琼斯在科斯切尔尼争顶下倒地，无人防守的吉鲁小禁区边缘强力头槌破门，1-1
49'阿森纳回传给切赫                   48'温格此前3次首战曼联主帅均落败，但阿森纳第89分钟扳平比分，张伯伦右路突破传中，琼斯在科斯切尔尼争顶下倒地，无人防守的吉鲁小禁区边缘强力头槌破门，1-1
50'瓦伦西亚控球，斜传到禁区内，博格巴停球再回敲                   48'温格此前3次首战曼联主帅均落败，但阿森纳第89分钟扳平比分，张伯伦右路突破传中，琼斯在科斯切尔尼争顶下倒地，无人防守的吉鲁小禁区边缘强力头槌破门，1-1
50'瓦伦西亚右路传中                   48'温格此前3次首战曼联主帅均落败，但阿森纳第89分钟扳平比分，张伯伦右路突破传中，琼斯在科斯切尔尼争顶下倒地，无人防守的吉鲁小禁区边缘强力头槌破门，1-1
50'拉什福德迎球怒射，球被防守队员挡出了边线                   48'温格此前3次首战曼联主帅均落败，但阿森纳第89分钟扳平比分，张伯伦右路突破传中，琼斯在科斯切尔尼争顶下倒地，无人防守的吉鲁小禁区边缘强力头槌破门，1-1
50'有点大，拉什福德左路护球，对方两人上抢将球防出边线                   48'温格此前3次首战曼联主帅均落败，但阿森纳第89分钟扳平比分，张伯伦右路突破传中，琼斯在科斯切尔尼争顶下倒地，无人防守的吉鲁小禁区边缘强力头槌破门，1-1
50'曼联队界外球掷到场内，达米安左路的传中球，球出边线                   48'温格此前3次首战曼联主帅均落败，但阿森纳第89分钟扳平比分，张伯伦右路突破传中，琼斯在科斯切尔尼争顶下倒地，无人防守的吉鲁小禁区边缘强力头槌破门，1-1
50'阿森纳队后场掷界外球，转移到右侧快速策动进攻                   48'温格此前3次首战曼联主帅均落败，但阿森纳第89分钟扳平比分，张伯伦右路突破传中，琼斯在科斯切尔尼争顶下倒地，无人防守的吉鲁小禁区边缘强力头槌破门，1-1
51'马夏尔断球反击，强行向禁区内盘带没有成功                   48'温格此前3次首战曼联主帅均落败，但阿森纳第89分钟扳平比分，张伯伦右路突破传中，琼斯在科斯切尔尼争顶下倒地，无人防守的吉鲁小禁区边缘强力头槌破门，1-1
51'博格巴控球，转移给马塔，后者被放倒了                   48'温格此前3次首战曼联主帅均落败，但阿森纳第89分钟扳平比分，张伯伦右路突破传中，琼斯在科斯切尔尼争顶下倒地，无人防守的吉鲁小禁区边缘强力头槌破门，1-1
51'犯规的是科奎林                   48'温格此前3次首战曼联主帅均落败，但阿森纳第89分钟扳平比分，张伯伦右路突破传中，琼斯在科斯切尔尼争顶下倒地，无人防守的吉鲁小禁区边缘强力头槌破门，1-1
51'瓦伦西亚控球，回敲球转移到卡里克的脚下，再转移给埃雷拉                   48'温格此前3次首战曼联主帅均落败，但阿森纳第89分钟扳平比分，张伯伦右路突破传中，琼斯在科斯切尔尼争顶下倒地，无人防守的吉鲁小禁区边缘强力头槌破门，1-1
