6'裁判没有吹犯规                   6'第6分钟，马塔传球，鲁尼左路25码处劲射稍稍偏出远角
59'胡尔城这边又有球员受伤了                   57'第57分钟，卡里克长传，范佩西12码处冲顶被麦克格雷戈神勇扑出，但边裁举旗示意荷兰人越位在先
66'3-0！！                   66'曼联第66分钟锁定胜局，埃雷拉传球，范佩西禁区弧边缘左脚劲射左上角入网，3-0
66'范佩西！！                   66'曼联第66分钟锁定胜局，埃雷拉传球，范佩西禁区弧边缘左脚劲射左上角入网，3-0
67'[此时此刻值得来杯嘉士伯]                   66'曼联第66分钟锁定胜局，埃雷拉传球，范佩西禁区弧边缘左脚劲射左上角入网，3-0
67'胡尔城后场传球失误，曼联拦截成功后给到范佩西脚下，禁区前沿范佩西晃开空挡直接打门打近角球进！                   66'曼联第66分钟锁定胜局，埃雷拉传球，范佩西禁区弧边缘左脚劲射左上角入网，3-0
68'比赛的悬念已经没有了                   66'曼联第66分钟锁定胜局，埃雷拉传球，范佩西禁区弧边缘左脚劲射左上角入网，3-0
68'曼联还会在进球吗？[qiangda]                   66'曼联第66分钟锁定胜局，埃雷拉传球，范佩西禁区弧边缘左脚劲射左上角入网，3-0
68'曼联这边法尔考要准备登场                   66'曼联第66分钟锁定胜局，埃雷拉传球，范佩西禁区弧边缘左脚劲射左上角入网，3-0
70'阿什利-扬左路传球送后点                   70'第70分钟，阿什利-扬传中，费莱尼小禁区右侧头球攻门偏出
70'费莱尼起跳早了，没有压住                   70'第70分钟，阿什利-扬传中，费莱尼小禁区右侧头球攻门偏出
70'曼联换人，范佩西下，法尔考上！                   70'第70分钟，阿什利-扬传中，费莱尼小禁区右侧头球攻门偏出
73'罗霍的上抢也是造成了对方的犯规                   70'第70分钟，阿什利-扬传中，费莱尼小禁区右侧头球攻门偏出
73'胡尔城这边要连换两人                   70'第70分钟，阿什利-扬传中，费莱尼小禁区右侧头球攻门偏出
76'胡尔城这边右路传球到后点                   76'第76分钟，埃尔莫哈麦迪右路传中，耶拉维奇远点小禁区边缘头球攻门被德赫亚飞身摘下
76'耶拉维奇头球没有顶上力量                   76'第76分钟，埃尔莫哈麦迪右路传中，耶拉维奇远点小禁区边缘头球攻门被德赫亚飞身摘下
77'曼联这边又是机会啊                   76'第76分钟，埃尔莫哈麦迪右路传中，耶拉维奇远点小禁区边缘头球攻门被德赫亚飞身摘下
78'法尔考禁区前沿送直塞                   76'第76分钟，埃尔莫哈麦迪右路传中，耶拉维奇远点小禁区边缘头球攻门被德赫亚飞身摘下
78'马塔插上后想打后角，这球没有掌控好                   76'第76分钟，埃尔莫哈麦迪右路传中，耶拉维奇远点小禁区边缘头球攻门被德赫亚飞身摘下
