8'内格雷多为瓦伦西亚在右路,赢得一个任意球.                   8'对阵旧主的马蒂厄第8分钟对内格雷多犯规被罚黄牌
22'瓦伦西亚球员内格雷多一脚直塞球给罗德里戈,但是边裁举旗显示后者已经越位.                   19'第19分钟，内马尔突入禁区左肋，奥塔门迪及时铲断后上前质问巴西人假摔，内马尔顶撞对方，奥塔门迪夸张倒地令两队发生冲突，皮克和巴拉甘先后被罚黄牌
34'巴塞罗那球员布斯克茨一脚直塞球给苏亚雷斯,但是边裁举旗显示后者已经越位.                   34'第34分钟，布斯克茨长传苏亚雷斯却被误判越位
35'瓦伦西亚球员安德烈-戈麦斯大禁区外尝试左脚射门,可惜皮球稍稍偏出了左球门.                   34'第34分钟，布斯克茨长传苏亚雷斯却被误判越位
58'巴塞罗那球员苏亚雷斯球门右侧小角度尝试左脚射门,可惜皮球稍稍偏出了右球门.                   58'巴萨第58分钟再次浪费机会，马斯切拉诺长传，奥塔门迪头球解围不力，苏亚雷斯小禁区右上角抢在迭戈-阿尔维斯之前得球后转身射门，但皮球偏出近角
58'瓦伦西亚奥塔门迪受伤倒地,比赛暂停                   58'巴萨第58分钟再次浪费机会，马斯切拉诺长传，奥塔门迪头球解围不力，苏亚雷斯小禁区右上角抢在迭戈-阿尔维斯之前得球后转身射门，但皮球偏出近角
59'暂停结束,球员们重新开始比赛.                   58'巴萨第58分钟再次浪费机会，马斯切拉诺长传，奥塔门迪头球解围不力，苏亚雷斯小禁区右上角抢在迭戈-阿尔维斯之前得球后转身射门，但皮球偏出近角
60'皮克将球处理出底线,瓦伦西亚获得角球.                   58'巴萨第58分钟再次浪费机会，马斯切拉诺长传，奥塔门迪头球解围不力，苏亚雷斯小禁区右上角抢在迭戈-阿尔维斯之前得球后转身射门，但皮球偏出近角
60'瓦伦西亚球员罗德里戈球门左侧小角度尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是穆斯塔菲.                   58'巴萨第58分钟再次浪费机会，马斯切拉诺长传，奥塔门迪头球解围不力，苏亚雷斯小禁区右上角抢在迭戈-阿尔维斯之前得球后转身射门，但皮球偏出近角
61'巴塞罗那球员哈维一脚直塞球给阿尔维斯,但是边裁举旗显示后者已经越位.                   58'巴萨第58分钟再次浪费机会，马斯切拉诺长传，奥塔门迪头球解围不力，苏亚雷斯小禁区右上角抢在迭戈-阿尔维斯之前得球后转身射门，但皮球偏出近角
69'巴塞罗那换人,拉基蒂奇换下马蒂厄                   69'第69分钟，阿尔维斯禁区右侧传中，苏亚雷斯小禁区边缘挡射入网却又被误判越位无效
69'巴塞罗那球员内马尔大禁区外右脚射门,被防守球员封堵.给他传球的是梅西.                   69'第69分钟，阿尔维斯禁区右侧传中，苏亚雷斯小禁区边缘挡射入网却又被误判越位无效
69'巴塞罗那球员阿尔维斯一脚直塞球给苏亚雷斯,但是边裁举旗显示后者已经越位.                   69'第69分钟，阿尔维斯禁区右侧传中，苏亚雷斯小禁区边缘挡射入网却又被误判越位无效
70'瓦伦西亚球员罗德里戈拼抢犯规,对手获得控球权.                   69'第69分钟，阿尔维斯禁区右侧传中，苏亚雷斯小禁区边缘挡射入网却又被误判越位无效
70'布斯克茨为巴塞罗那赢得一个任意球.                   69'第69分钟，阿尔维斯禁区右侧传中，苏亚雷斯小禁区边缘挡射入网却又被误判越位无效
70'黄牌！瓦伦西亚球员罗德里戈因为恶意犯规,被主裁判出示黄牌.                   69'第69分钟，阿尔维斯禁区右侧传中，苏亚雷斯小禁区边缘挡射入网却又被误判越位无效
71'射门!!!瓦伦西亚球员费古利大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是内格雷多.                   69'第69分钟，阿尔维斯禁区右侧传中，苏亚雷斯小禁区边缘挡射入网却又被误判越位无效
72'瓦伦西亚换人,Rodrigo de Paul换下罗德里戈                   69'第69分钟，阿尔维斯禁区右侧传中，苏亚雷斯小禁区边缘挡射入网却又被误判越位无效
