1'理查德森将球处理出底线,利物浦获得角球.                   1'利物浦开场不到1分钟赢得角球，阿格尔在森德罗斯盯防下的抽射高出
28'富勒姆球员德贾加手球犯规,对手获得球权.                   26'利物浦第26分钟扩大比分，杰拉德开出角球，斯科特尔小禁区边缘冲顶破门，2-0
29'阿莫雷比埃塔将球处理出底线,利物浦获得角球.                   26'利物浦第26分钟扩大比分，杰拉德开出角球，斯科特尔小禁区边缘冲顶破门，2-0
30'利物浦球员库蒂尼奥大禁区中央左脚射门,被防守球员封堵.给他传球的是亨德森.                   30'第30分钟，库蒂尼奥禁区边缘外抽射被斯特克伦博格单拳击出横梁
30'射门!!!利物浦球员库蒂尼奥大禁区外右脚射门,被对方守门员横身扑出.给他传球的是阿格尔.                   30'第30分钟，库蒂尼奥禁区边缘外抽射被斯特克伦博格单拳击出横梁
30'斯特克伦伯格将球处理出底线,利物浦获得角球.                   30'第30分钟，库蒂尼奥禁区边缘外抽射被斯特克伦博格单拳击出横梁
31'射门!!!利物浦球员库蒂尼奥大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是苏亚雷斯.                   30'第30分钟，库蒂尼奥禁区边缘外抽射被斯特克伦博格单拳击出横梁
31'利物浦球员杰拉德一脚直塞球给斯图里奇,但是边裁举旗显示后者已经越位.                   30'第30分钟，库蒂尼奥禁区边缘外抽射被斯特克伦博格单拳击出横梁
34'利物浦球员斯图里奇大禁区外尝试左脚射门,可惜皮球偏出球门.给他传球的是格伦-约翰逊.                   34'第34分钟，格伦-约翰逊传球，斯图里奇禁区弧边缘劲射偏出
36'进球啦！！！利物浦球员苏亚雷斯大禁区右侧右脚射门,球从中路飞进球门,球进了!助攻的是亨德森. 利物浦 3-0 富勒姆.                   34'第34分钟，格伦-约翰逊传球，斯图里奇禁区弧边缘劲射偏出
37'富勒姆球员帕克一脚直塞球给卡萨米,但是边裁举旗显示后者已经越位.                   34'第34分钟，格伦-约翰逊传球，斯图里奇禁区弧边缘劲射偏出
39'利物浦球员亨德森大禁区外尝试右脚射门,可惜皮球高出球门.给他传球的是苏亚雷斯.                   39'第39分钟，苏亚雷斯传球，亨德森远射偏出
39'富勒姆球员卡坎克利奇拼抢犯规,对手获得控球权.                   39'第39分钟，苏亚雷斯传球，亨德森远射偏出
39'斯科特尔为利物浦赢得一个任意球.                   39'第39分钟，苏亚雷斯传球，亨德森远射偏出
41'卡萨米为富勒姆赢得一个任意球.                   39'第39分钟，苏亚雷斯传球，亨德森远射偏出
41'利物浦球员卢卡斯拼抢犯规,对手获得控球权.                   39'第39分钟，苏亚雷斯传球，亨德森远射偏出
47'射门!!!利物浦球员苏亚雷斯大禁区中央左脚射门,被对方守门员横身扑出.给他传球的是斯图里奇.                   47'第47分钟，斯图里奇直传，苏亚雷斯禁区左侧12码处单刀射门被斯特克伦博格扑出
47'利物浦球员杰拉德大禁区外右脚射门,被防守球员封堵.                   47'第47分钟，斯图里奇直传，苏亚雷斯禁区左侧12码处单刀射门被斯特克伦博格扑出
47'射门!!!利物浦球员斯图里奇大禁区中央左脚射门,被对方守门员横身扑出.                   47'第47分钟，斯图里奇直传，苏亚雷斯禁区左侧12码处单刀射门被斯特克伦博格扑出
47'利物浦球员苏亚雷斯大禁区中央尝试右脚射门,可惜皮球高出球门.                   47'第47分钟，斯图里奇直传，苏亚雷斯禁区左侧12码处单刀射门被斯特克伦博格扑出
48'利物浦球员斯图里奇小禁区右侧尝试右脚射门,可惜皮球高出右上角球门.给他传球的是库蒂尼奥.                   47'第47分钟，斯图里奇直传，苏亚雷斯禁区左侧12码处单刀射门被斯特克伦博格扑出
50'阿莫雷比埃塔为富勒姆赢得一个任意球.                   47'第47分钟，斯图里奇直传，苏亚雷斯禁区左侧12码处单刀射门被斯特克伦博格扑出
50'利物浦球员苏亚雷斯拼抢犯规,对手获得控球权.                   47'第47分钟，斯图里奇直传，苏亚雷斯禁区左侧12码处单刀射门被斯特克伦博格扑出
50'帕克为富勒姆赢得一个任意球.                   47'第47分钟，斯图里奇直传，苏亚雷斯禁区左侧12码处单刀射门被斯特克伦博格扑出
50'利物浦球员苏亚雷斯拼抢犯规,对手获得控球权.                   47'第47分钟，斯图里奇直传，苏亚雷斯禁区左侧12码处单刀射门被斯特克伦博格扑出
48'利物浦球员斯图里奇小禁区右侧尝试右脚射门,可惜皮球高出右上角球门.给他传球的是库蒂尼奥.                   48'第48分钟，库蒂尼奥直传，斯图里奇突入小禁区右侧的射门打在边网
50'阿莫雷比埃塔为富勒姆赢得一个任意球.                   48'第48分钟，库蒂尼奥直传，斯图里奇突入小禁区右侧的射门打在边网
50'利物浦球员苏亚雷斯拼抢犯规,对手获得控球权.                   48'第48分钟，库蒂尼奥直传，斯图里奇突入小禁区右侧的射门打在边网
50'帕克为富勒姆赢得一个任意球.                   48'第48分钟，库蒂尼奥直传，斯图里奇突入小禁区右侧的射门打在边网
50'利物浦球员苏亚雷斯拼抢犯规,对手获得控球权.                   48'第48分钟，库蒂尼奥直传，斯图里奇突入小禁区右侧的射门打在边网
57'利物浦球员苏亚雷斯尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是卢卡斯.                   57'第57分钟，卢卡斯传球，苏亚雷斯远射偏出
59'阿格尔将球处理出底线,富勒姆获得角球.                   57'第57分钟，卢卡斯传球，苏亚雷斯远射偏出
65'富勒姆球员贝尔巴托夫大禁区中央尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是鲁伊斯.                   65'第65分钟，贝尔巴托夫头球攻门偏出
66'富勒姆球员卡萨米大禁区外尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是鲁伊斯.                   65'第65分钟，贝尔巴托夫头球攻门偏出
67'利物浦换人,乔-阿伦换下杰拉德                   65'第65分钟，贝尔巴托夫头球攻门偏出
68'富勒姆球员阿莫雷比埃塔拼抢犯规,对手获得控球权.                   65'第65分钟，贝尔巴托夫头球攻门偏出
68'苏亚雷斯为利物浦在对方半场,赢得一个任意球.                   65'第65分钟，贝尔巴托夫头球攻门偏出
69'利物浦球员苏亚雷斯大禁区外尝试右脚射门,可惜皮球高出右上角球门.给他传球的是亨德森.                   69'第69分钟，亨德森传球，苏亚雷斯禁区前射门再度偏出
71'利物浦球员苏亚雷斯一脚直塞球给斯图里奇,但是边裁举旗显示后者已经越位.                   69'第69分钟，亨德森传球，苏亚雷斯禁区前射门再度偏出
71'射门!!!利物浦球员库蒂尼奥大禁区左侧右脚射门,被对方守门员横身扑出.给他传球的是苏亚雷斯.                   69'第69分钟，亨德森传球，苏亚雷斯禁区前射门再度偏出
74'理查德森将球处理出底线,利物浦获得角球.                   74'第74分钟，苏亚雷斯传中，斯科特尔的射门被斯特克伦博格救下
74'鲁伊斯将球处理出底线,利物浦获得角球.                   74'第74分钟，苏亚雷斯传中，斯科特尔的射门被斯特克伦博格救下
74'射门!!!利物浦球员斯科特尔大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是苏亚雷斯.                   74'第74分钟，苏亚雷斯传中，斯科特尔的射门被斯特克伦博格救下
76'利物浦换人,摩西换下斯图里奇                   74'第74分钟，苏亚雷斯传中，斯科特尔的射门被斯特克伦博格救下
77'富勒姆球员帕克一脚直塞球给西德维尔,但是边裁举旗显示后者已经越位.                   74'第74分钟，苏亚雷斯传中，斯科特尔的射门被斯特克伦博格救下
83'富勒姆换人,卡拉古尼斯换下贝尔巴托夫                   80'第80分钟，森德罗斯解围打中苏亚雷斯弹向球门，斯特克伦博格摘下
83'阿莫雷比埃塔将球处理出底线,利物浦获得角球.                   80'第80分钟，森德罗斯解围打中苏亚雷斯弹向球门，斯特克伦博格摘下
