7'皮球被纳瓦斯抱住没收！                   7'第7分钟，马塞洛前场抢断后突破直传，本泽马小禁区前捅射憾中左侧立柱
74'埃鲁斯通多低平球斜传前场右路的奥亚萨瓦尔！                   74'皇家社会第74分钟扳回一城，奥雅萨巴尔传球，鲍蒂斯塔禁区左肋12码处低射近角入网，1-4
74'奥亚萨瓦尔直塞球给禁区内左侧！                   74'皇家社会第74分钟扳回一城，奥雅萨巴尔传球，鲍蒂斯塔禁区左肋12码处低射近角入网，1-4
74'.包蒂斯塔插上得球！单刀机会！                   74'皇家社会第74分钟扳回一城，奥雅萨巴尔传球，鲍蒂斯塔禁区左肋12码处低射近角入网，1-4
74'面对纳瓦斯！                   74'皇家社会第74分钟扳回一城，奥雅萨巴尔传球，鲍蒂斯塔禁区左肋12码处低射近角入网，1-4
75'包蒂斯塔左脚抽射！！                   74'皇家社会第74分钟扳回一城，奥雅萨巴尔传球，鲍蒂斯塔禁区左肋12码处低射近角入网，1-4
75'GOOOOOOOOOOAL！！！                   74'皇家社会第74分钟扳回一城，奥雅萨巴尔传球，鲍蒂斯塔禁区左肋12码处低射近角入网，1-4
75'皇家社会扳回一球！1-4落后皇马！                   74'皇家社会第74分钟扳回一城，奥雅萨巴尔传球，鲍蒂斯塔禁区左肋12码处低射近角入网，1-4
76'继续比赛！                   74'皇家社会第74分钟扳回一城，奥雅萨巴尔传球，鲍蒂斯塔禁区左肋12码处低射近角入网，1-4
76'卡瓦哈尔中场抢球犯规！                   74'皇家社会第74分钟扳回一城，奥雅萨巴尔传球，鲍蒂斯塔禁区左肋12码处低射近角入网，1-4
77'皇家社会定位球开出来！被科瓦契奇断下！                   74'皇家社会第74分钟扳回一城，奥雅萨巴尔传球，鲍蒂斯塔禁区左肋12码处低射近角入网，1-4
77'科瓦契奇低平球向前给到伊斯科！                   74'皇家社会第74分钟扳回一城，奥雅萨巴尔传球，鲍蒂斯塔禁区左肋12码处低射近角入网，1-4
77'伊斯科低平球向前再给到C罗！                   74'皇家社会第74分钟扳回一城，奥雅萨巴尔传球，鲍蒂斯塔禁区左肋12码处低射近角入网，1-4
83'C罗插上把球控制！过掉了门将鲁利！！                   83'第83分钟，胡安米角球混战中头球摆渡，无人防守的伊利亚拉门迪小禁区前扫射入网，2-5
83'左脚打空门！！！                   83'第83分钟，胡安米角球混战中头球摆渡，无人防守的伊利亚拉门迪小禁区前扫射入网，2-5
83'GOOOOOOOOOOOOOOOOOOAL！！！                   83'第83分钟，胡安米角球混战中头球摆渡，无人防守的伊利亚拉门迪小禁区前扫射入网，2-5
83'皇马5-1皇家社会！                   83'第83分钟，胡安米角球混战中头球摆渡，无人防守的伊利亚拉门迪小禁区前扫射入网，2-5
83'继续比赛！                   83'第83分钟，胡安米角球混战中头球摆渡，无人防守的伊利亚拉门迪小禁区前扫射入网，2-5
83'皇家社会的进攻！                   83'第83分钟，胡安米角球混战中头球摆渡，无人防守的伊利亚拉门迪小禁区前扫射入网，2-5
83'德拉贝利亚前场左边路弧线球传中！                   83'第83分钟，胡安米角球混战中头球摆渡，无人防守的伊利亚拉门迪小禁区前扫射入网，2-5
84'皮球落到后点！                   83'第83分钟，胡安米角球混战中头球摆渡，无人防守的伊利亚拉门迪小禁区前扫射入网，2-5
84'伊利亚拉门迪插上头球冲顶！！                   83'第83分钟，胡安米角球混战中头球摆渡，无人防守的伊利亚拉门迪小禁区前扫射入网，2-5
84'GOOOOOOOOOOOOOAL！！！！                   83'第83分钟，胡安米角球混战中头球摆渡，无人防守的伊利亚拉门迪小禁区前扫射入网，2-5
84'皇家社会2-5皇马！                   83'第83分钟，胡安米角球混战中头球摆渡，无人防守的伊利亚拉门迪小禁区前扫射入网，2-5
85'包蒂斯塔分给前场左路奥亚萨瓦尔！                   83'第83分钟，胡安米角球混战中头球摆渡，无人防守的伊利亚拉门迪小禁区前扫射入网，2-5
85'奥亚萨瓦尔再给到中路的伊戈尔！                   83'第83分钟，胡安米角球混战中头球摆渡，无人防守的伊利亚拉门迪小禁区前扫射入网，2-5
85'伊戈尔禁区外围起脚远射！                   83'第83分钟，胡安米角球混战中头球摆渡，无人防守的伊利亚拉门迪小禁区前扫射入网，2-5
85'被纳瓦斯直接没收！                   83'第83分钟，胡安米角球混战中头球摆渡，无人防守的伊利亚拉门迪小禁区前扫射入网，2-5
85'纳瓦斯大脚开球到中场！拉莫斯得球！                   83'第83分钟，胡安米角球混战中头球摆渡，无人防守的伊利亚拉门迪小禁区前扫射入网，2-5
85'拉莫斯低平球斜传！奥德里奥索拉把球破坏出边线！                   83'第83分钟，胡安米角球混战中头球摆渡，无人防守的伊利亚拉门迪小禁区前扫射入网，2-5
86'皇马左路边线球！                   83'第83分钟，胡安米角球混战中头球摆渡，无人防守的伊利亚拉门迪小禁区前扫射入网，2-5
86'发球给到科瓦契奇！                   83'第83分钟，胡安米角球混战中头球摆渡，无人防守的伊利亚拉门迪小禁区前扫射入网，2-5
86'斜线球找到前场左路本泽马！                   83'第83分钟，胡安米角球混战中头球摆渡，无人防守的伊利亚拉门迪小禁区前扫射入网，2-5
86'本泽马低平球斜传给到禁区前沿的C罗！                   83'第83分钟，胡安米角球混战中头球摆渡，无人防守的伊利亚拉门迪小禁区前扫射入网，2-5
86'C罗回敲给身后贝尔！                   83'第83分钟，胡安米角球混战中头球摆渡，无人防守的伊利亚拉门迪小禁区前扫射入网，2-5
86'贝尔挑射一脚！打偏出了底线！                   83'第83分钟，胡安米角球混战中头球摆渡，无人防守的伊利亚拉门迪小禁区前扫射入网，2-5
86'鲁利大脚开出球门球！                   83'第83分钟，胡安米角球混战中头球摆渡，无人防守的伊利亚拉门迪小禁区前扫射入网，2-5
92'科瓦契奇中场把球得到！                   92'第92分钟，贝尔左路传中，但本泽马小禁区前射门高出
92'科瓦契奇给前场左路的C罗！                   92'第92分钟，贝尔左路传中，但本泽马小禁区前射门高出
92'C罗直塞球给禁区左侧贝尔！                   92'第92分钟，贝尔左路传中，但本泽马小禁区前射门高出
92'贝尔再横向做球给禁区内的本泽马！                   92'第92分钟，贝尔左路传中，但本泽马小禁区前射门高出
93'本泽马策应得球！起脚打门！！打飞出了底线！                   92'第92分钟，贝尔左路传中，但本泽马小禁区前射门高出
