1'上半场比赛开始！！                   1'曼城第1分钟控制比赛
50'弗莱彻上抢没能收脚，直接踩在了卡巴列罗的腿上，犯规                   48'第48分钟，德布劳内右路任意球传中，越位位置的诺利托胸部将皮球挡入被判无效
50'弗莱彻被主裁判出示了黄牌警告！！                   48'第48分钟，德布劳内右路任意球传中，越位位置的诺利托胸部将皮球挡入被判无效
51'斯特林前场右路拿球，强突内切，被马苏亚库放倒在地                   48'第48分钟，德布劳内右路任意球传中，越位位置的诺利托胸部将皮球挡入被判无效
51'马苏亚库再次被裁判喊到身边，警告一翻！！                   48'第48分钟，德布劳内右路任意球传中，越位位置的诺利托胸部将皮球挡入被判无效
51'曼城获得前场右路的任意球机会                   48'第48分钟，德布劳内右路任意球传中，越位位置的诺利托胸部将皮球挡入被判无效
58'西汉姆进球了！！                   58'西汉姆第58分钟扳回一城，马苏亚库左路传中，卡巴列罗出击失误，奥塔门迪回防也错过皮球，安东尼奥近距离抢在克里希之前头球破门，1-2
58'安东尼奥！！                   58'西汉姆第58分钟扳回一城，马苏亚库左路传中，卡巴列罗出击失误，奥塔门迪回防也错过皮球，安东尼奥近距离抢在克里希之前头球破门，1-2
59'马苏亚库左路拿球，强突下底，左脚传中到后点，安东尼奥的头球攻门，顶进！！                   58'西汉姆第58分钟扳回一城，马苏亚库左路传中，卡巴列罗出击失误，奥塔门迪回防也错过皮球，安东尼奥近距离抢在克里希之前头球破门，1-2
59'拜拉姆下半场替补登场，解放了安东尼奥，效果出来啦                   58'西汉姆第58分钟扳回一城，马苏亚库左路传中，卡巴列罗出击失误，奥塔门迪回防也错过皮球，安东尼奥近距离抢在克里希之前头球破门，1-2
59'比利奇的这次换人很给力啊！！                   58'西汉姆第58分钟扳回一城，马苏亚库左路传中，卡巴列罗出击失误，奥塔门迪回防也错过皮球，安东尼奥近距离抢在克里希之前头球破门，1-2
60'曼城的换人：11号科拉罗夫上，换下24号斯通                   58'西汉姆第58分钟扳回一城，马苏亚库左路传中，卡巴列罗出击失误，奥塔门迪回防也错过皮球，安东尼奥近距离抢在克里希之前头球破门，1-2
60'西汉姆联第二次换人：10号兰奇尼上，换下11号瓦伦西亚！                   58'西汉姆第58分钟扳回一城，马苏亚库左路传中，卡巴列罗出击失误，奥塔门迪回防也错过皮球，安东尼奥近距离抢在克里希之前头球破门，1-2
61'西汉姆的前场进攻，诺布尔过顶球找兰奇尼                   58'西汉姆第58分钟扳回一城，马苏亚库左路传中，卡巴列罗出击失误，奥塔门迪回防也错过皮球，安东尼奥近距离抢在克里希之前头球破门，1-2
61'边裁举旗，兰奇尼越位在先！                   58'西汉姆第58分钟扳回一城，马苏亚库左路传中，卡巴列罗出击失误，奥塔门迪回防也错过皮球，安东尼奥近距离抢在克里希之前头球破门，1-2
66'曼城前场再攻，阿圭罗中路拿球，强突后左脚劲射打近角，踢飞！                   66'第66分钟，德布劳内直传，阿圭罗禁区左侧12码处劲射打在边网
67'下半场比赛也已经20分钟，比分2-1，曼城领先，不过只有1个球的优势                   66'第66分钟，德布劳内直传，阿圭罗禁区左侧12码处劲射打在边网
68'克里希左路拿球，横传给到费尔南迪奥                   66'第66分钟，德布劳内直传，阿圭罗禁区左侧12码处劲射打在边网
68'费尔南迪奥再给右侧的萨巴莱塔，差点失误啊                   66'第66分钟，德布劳内直传，阿圭罗禁区左侧12码处劲射打在边网
69'科拉罗夫后场拿球，带至中圈位置，分球德布劳内                   66'第66分钟，德布劳内直传，阿圭罗禁区左侧12码处劲射打在边网
69'德布劳内右路拿球内切，斜传禁区，阿德里安出击，抢在阿圭罗之前将球拿到                   66'第66分钟，德布劳内直传，阿圭罗禁区左侧12码处劲射打在边网
84'哎呀，好机会，可惜啦！！                   84'曼城第84分钟错过机会，纳斯里同阿圭罗配合后禁区右肋12码处推射被出击的阿德里安勉强扑出，纳斯里禁区右侧小角度传射被拜拉姆及时解围
84'纳斯里强突趟过出击的阿德里安，禁区右侧小角度打门，被后卫在门线上挡出                   84'曼城第84分钟错过机会，纳斯里同阿圭罗配合后禁区右肋12码处推射被出击的阿德里安勉强扑出，纳斯里禁区右侧小角度传射被拜拉姆及时解围
85'跟进包抄的席尔瓦和阿圭罗都跑过了，球被西汉姆球员解围                   84'曼城第84分钟错过机会，纳斯里同阿圭罗配合后禁区右肋12码处推射被出击的阿德里安勉强扑出，纳斯里禁区右侧小角度传射被拜拉姆及时解围
85'西汉姆的反击，克里希战术犯规！！                   84'曼城第84分钟错过机会，纳斯里同阿圭罗配合后禁区右肋12码处推射被出击的阿德里安勉强扑出，纳斯里禁区右侧小角度传射被拜拉姆及时解围
86'弗莱彻前场中路拿球，分球左侧给兰奇尼                   84'曼城第84分钟错过机会，纳斯里同阿圭罗配合后禁区右肋12码处推射被出击的阿德里安勉强扑出，纳斯里禁区右侧小角度传射被拜拉姆及时解围
86'兰奇尼拉球摆脱，被上抢的奥塔门迪踢翻在地！1                   84'曼城第84分钟错过机会，纳斯里同阿圭罗配合后禁区右肋12码处推射被出击的阿德里安勉强扑出，纳斯里禁区右侧小角度传射被拜拉姆及时解围
86'西汉姆获得前场左侧的任意球机会！！                   84'曼城第84分钟错过机会，纳斯里同阿圭罗配合后禁区右肋12码处推射被出击的阿德里安勉强扑出，纳斯里禁区右侧小角度传射被拜拉姆及时解围
87'兰奇尼任意球搓传到后点，可惜队友越位在先！                   84'曼城第84分钟错过机会，纳斯里同阿圭罗配合后禁区右肋12码处推射被出击的阿德里安勉强扑出，纳斯里禁区右侧小角度传射被拜拉姆及时解围
87'曼城的第三次换人：10号阿圭罗被换下，换上6号费尔南多！                   84'曼城第84分钟错过机会，纳斯里同阿圭罗配合后禁区右肋12码处推射被出击的阿德里安勉强扑出，纳斯里禁区右侧小角度传射被拜拉姆及时解围
92'席尔瓦再给左侧的斯特林，斯特林背身拿球，没机会，回传克里希                   92'第92分钟，席尔瓦直传，斯特林禁区左侧晃过门将后近乎零角度推射入网，3-1
92'席尔瓦的打门，打在门框上！！                   92'第92分钟，席尔瓦直传，斯特林禁区左侧晃过门将后近乎零角度推射入网，3-1
92'3-1！！！                   92'第92分钟，席尔瓦直传，斯特林禁区左侧晃过门将后近乎零角度推射入网，3-1
92'斯特林梅开二度！！                   92'第92分钟，席尔瓦直传，斯特林禁区左侧晃过门将后近乎零角度推射入网，3-1
93'纳斯里前场中路拿球，斜传左侧给席尔瓦，席尔瓦斜塞禁区给切入的斯特林，斯特林拿球趟过出击的阿德里安，下底内切，推射打进空门！                   92'第92分钟，席尔瓦直传，斯特林禁区左侧晃过门将后近乎零角度推射入网，3-1
94'这球斯特林的射门，有点高尔夫推球进洞的感觉，角度相当小，推的直线到位                   92'第92分钟，席尔瓦直传，斯特林禁区左侧晃过门将后近乎零角度推射入网，3-1
94'西汉姆的前场进攻，诺布尔的过顶球找兰奇尼                   92'第92分钟，席尔瓦直传，斯特林禁区左侧晃过门将后近乎零角度推射入网，3-1
94'卡巴列罗出击破坏，同时裁判鸣哨，前插的兰奇尼越位在先                   92'第92分钟，席尔瓦直传，斯特林禁区左侧晃过门将后近乎零角度推射入网，3-1
95'曼城中场失误，诺布尔禁区左侧拿球，内切打门，打飞                   92'第92分钟，席尔瓦直传，斯特林禁区左侧晃过门将后近乎零角度推射入网，3-1
95'曼城中场传倒 ，裁判鸣哨啦！！                   92'第92分钟，席尔瓦直传，斯特林禁区左侧晃过门将后近乎零角度推射入网，3-1
