1'上半场比赛开始！                   1'刚第1分钟，富力队员就全线压上，争取一口气吃掉申鑫的态势跃然而出
51'侯俊杰中路铲球动作比较大，放倒姜宁                   50'第50分钟候俊杰正面飞铲姜宁吃到黄牌
51'裁判黄牌警告了侯俊杰！                   50'第50分钟候俊杰正面飞铲姜宁吃到黄牌
52'富力左路传中被解围出去                   50'第50分钟候俊杰正面飞铲姜宁吃到黄牌
52'右路唐淼拿球，没有人顶防，远射角度不对                   50'第50分钟候俊杰正面飞铲姜宁吃到黄牌
52'哈默德前场接应，没有拿好球                   50'第50分钟候俊杰正面飞铲姜宁吃到黄牌
53'用户3099007815：现在的富力的广州元素比恒大还多，唉，怎么关注的人这么少（都去现场看球了吗？）                   50'第50分钟候俊杰正面飞铲姜宁吃到黄牌
53'王晓龙左路拿球，走外线传中去后点，力量大了                   50'第50分钟候俊杰正面飞铲姜宁吃到黄牌
60'阿隆禁区前争抢犯规了                   60'第60分钟姜宁远射高出，下半场头15分钟，富力虽然有场面优势，但在申鑫密防前依然找不到方法
60'侯俊杰搓过顶球，没有过顶                   60'第60分钟姜宁远射高出，下半场头15分钟，富力虽然有场面优势，但在申鑫密防前依然找不到方法
61'姜至鹏左路传中，林裕焕头球解围                   60'第60分钟姜宁远射高出，下半场头15分钟，富力虽然有场面优势，但在申鑫密防前依然找不到方法
61'申鑫后场长传找乌塔卡，力量太大                   60'第60分钟姜宁远射高出，下半场头15分钟，富力虽然有场面优势，但在申鑫密防前依然找不到方法
61'阿隆左路拿球横敲，姜宁调整一步远射打高                   60'第60分钟姜宁远射高出，下半场头15分钟，富力虽然有场面优势，但在申鑫密防前依然找不到方法
62'刘俊楠右路拿球，没有队友接应                   60'第60分钟姜宁远射高出，下半场头15分钟，富力虽然有场面优势，但在申鑫密防前依然找不到方法
62'申鑫换人，唐家庶换下于涛                   60'第60分钟姜宁远射高出，下半场头15分钟，富力虽然有场面优势，但在申鑫密防前依然找不到方法
63'姜嘉俊右路护球，被姜宁绊倒了                   60'第60分钟姜宁远射高出，下半场头15分钟，富力虽然有场面优势，但在申鑫密防前依然找不到方法
63'阿隆前场胸部把球卸下，叶重秋犯规了                   60'第60分钟姜宁远射高出，下半场头15分钟，富力虽然有场面优势，但在申鑫密防前依然找不到方法
63'裁判黄牌警告了叶重秋！                   60'第60分钟姜宁远射高出，下半场头15分钟，富力虽然有场面优势，但在申鑫密防前依然找不到方法
62'刘俊楠右路拿球，没有队友接应                   62'第62分钟叶重秋放倒阿隆吃到黄牌
62'申鑫换人，唐家庶换下于涛                   62'第62分钟叶重秋放倒阿隆吃到黄牌
63'姜嘉俊右路护球，被姜宁绊倒了                   62'第62分钟叶重秋放倒阿隆吃到黄牌
63'阿隆前场胸部把球卸下，叶重秋犯规了                   62'第62分钟叶重秋放倒阿隆吃到黄牌
63'裁判黄牌警告了叶重秋！                   62'第62分钟叶重秋放倒阿隆吃到黄牌
64'任意球开门前，刘殿座把球击出去                   62'第62分钟叶重秋放倒阿隆吃到黄牌
64'唐淼外围再把球传入禁区，出了底线                   62'第62分钟叶重秋放倒阿隆吃到黄牌
65'阿隆禁区前连续突破，被破坏                   62'第62分钟叶重秋放倒阿隆吃到黄牌
67'姜宁禁区前接应，远射被扑出！                   67'富力继续攻，第67分钟刘殿座大脚解围没发上力，结果传到前场等候的王晓龙这里，可惜王晓龙直接吊射偏出
67'裁判给了门球，富力球员很不满，张耀坤申诉被出示黄牌！                   67'富力继续攻，第67分钟刘殿座大脚解围没发上力，结果传到前场等候的王晓龙这里，可惜王晓龙直接吊射偏出
68'刘殿座接应回传，出球没有高度，直接给到禁区外的王晓龙脚下                   67'富力继续攻，第67分钟刘殿座大脚解围没发上力，结果传到前场等候的王晓龙这里，可惜王晓龙直接吊射偏出
68'王晓龙吊门没有打好，被刘殿座拿到                   67'富力继续攻，第67分钟刘殿座大脚解围没发上力，结果传到前场等候的王晓龙这里，可惜王晓龙直接吊射偏出
69'王晓龙拿球没有办法转身，回敲                   67'富力继续攻，第67分钟刘殿座大脚解围没发上力，结果传到前场等候的王晓龙这里，可惜王晓龙直接吊射偏出
69'阿隆禁区外依靠身体优势护住球                   67'富力继续攻，第67分钟刘殿座大脚解围没发上力，结果传到前场等候的王晓龙这里，可惜王晓龙直接吊射偏出
70'侯俊杰防守哈默德犯规了，任意球                   67'富力继续攻，第67分钟刘殿座大脚解围没发上力，结果传到前场等候的王晓龙这里，可惜王晓龙直接吊射偏出
70'乌塔卡左路拿球反击，扛住张贤秀                   67'富力继续攻，第67分钟刘殿座大脚解围没发上力，结果传到前场等候的王晓龙这里，可惜王晓龙直接吊射偏出
70'乌塔卡横带，没有带好，被断走                   67'富力继续攻，第67分钟刘殿座大脚解围没发上力，结果传到前场等候的王晓龙这里，可惜王晓龙直接吊射偏出
70'哈默德拿球进禁区，低射打得太正                   67'富力继续攻，第67分钟刘殿座大脚解围没发上力，结果传到前场等候的王晓龙这里，可惜王晓龙直接吊射偏出
72'林裕焕扑防哈默德被过，哈默德左路传中力量大了                   72'第72分钟富力用卢琳换下王晓龙
72'富力换人，王晓龙被卢琳换下                   72'第72分钟富力用卢琳换下王晓龙
73'卢琳左路回敲，姜宁转移另一边                   72'第72分钟富力用卢琳换下王晓龙
73'禁区前阿隆张弓搭箭，远射被刘殿座扑出                   72'第72分钟富力用卢琳换下王晓龙
74'卢琳禁区左侧传中，被头球顶出去                   72'第72分钟富力用卢琳换下王晓龙
75'申鑫长传反击，直接到了门将脚下                   72'第72分钟富力用卢琳换下王晓龙
75'哈默德和姜宁配合下底，传中被挡出底线，角球                   72'第72分钟富力用卢琳换下王晓龙
75'申鑫长传反击，直接到了门将脚下                   75'第75分钟哈默德右路传中被侯俊杰挡出，富力队员认为侯俊杰手球，但裁判只给角球，哈默德接开出的角球侧身凌空扫射打偏
75'哈默德和姜宁配合下底，传中被挡出底线，角球                   75'第75分钟哈默德右路传中被侯俊杰挡出，富力队员认为侯俊杰手球，但裁判只给角球，哈默德接开出的角球侧身凌空扫射打偏
76'角球区后点，哈默德倒钩打偏！                   75'第75分钟哈默德右路传中被侯俊杰挡出，富力队员认为侯俊杰手球，但裁判只给角球，哈默德接开出的角球侧身凌空扫射打偏
77'林裕焕把球解围出底线，角球                   75'第75分钟哈默德右路传中被侯俊杰挡出，富力队员认为侯俊杰手球，但裁判只给角球，哈默德接开出的角球侧身凌空扫射打偏
77'卢琳角球去后点，直接旋出了另一侧底线                   75'第75分钟哈默德右路传中被侯俊杰挡出，富力队员认为侯俊杰手球，但裁判只给角球，哈默德接开出的角球侧身凌空扫射打偏
78'叶重秋中场断球，给左路孙凯，姜宁拦截                   75'第75分钟哈默德右路传中被侯俊杰挡出，富力队员认为侯俊杰手球，但裁判只给角球，哈默德接开出的角球侧身凌空扫射打偏
78'哈默德拿球到左路，林裕焕顶防                   75'第75分钟哈默德右路传中被侯俊杰挡出，富力队员认为侯俊杰手球，但裁判只给角球，哈默德接开出的角球侧身凌空扫射打偏
84'乌塔卡禁区前做球找刘俊楠，被拦截                   84'第84分钟乌塔卡回追防守撞翻对方拿球的卢琳吃到黄牌
84'乌塔卡回防过程中犯规了                   84'第84分钟乌塔卡回追防守撞翻对方拿球的卢琳吃到黄牌
84'裁判黄牌警告了乌塔卡                   84'第84分钟乌塔卡回追防守撞翻对方拿球的卢琳吃到黄牌
85'阿隆背身做球，接应回敲进禁区                   84'第84分钟乌塔卡回追防守撞翻对方拿球的卢琳吃到黄牌
85'阿隆的传中被林裕焕头球顶出去                   84'第84分钟乌塔卡回追防守撞翻对方拿球的卢琳吃到黄牌
86'禁区内林裕焕和姜宁头碰头，双双倒地                   84'第84分钟乌塔卡回追防守撞翻对方拿球的卢琳吃到黄牌
87'比赛继续                   84'第84分钟乌塔卡回追防守撞翻对方拿球的卢琳吃到黄牌
50'查尔顿左路接应斜传转移球，没有争到点                   50'比赛补时5分钟，第92分钟哈默德左路传中，阿隆横扫打在申鑫队员身上出界
50'刘俊楠和林裕焕右路配合，失误了                   50'比赛补时5分钟，第92分钟哈默德左路传中，阿隆横扫打在申鑫队员身上出界
50'阿隆背身拿球，回敲                   50'比赛补时5分钟，第92分钟哈默德左路传中，阿隆横扫打在申鑫队员身上出界
51'侯俊杰中路铲球动作比较大，放倒姜宁                   50'比赛补时5分钟，第92分钟哈默德左路传中，阿隆横扫打在申鑫队员身上出界
51'裁判黄牌警告了侯俊杰！                   50'比赛补时5分钟，第92分钟哈默德左路传中，阿隆横扫打在申鑫队员身上出界
52'富力左路传中被解围出去                   50'比赛补时5分钟，第92分钟哈默德左路传中，阿隆横扫打在申鑫队员身上出界
52'右路唐淼拿球，没有人顶防，远射角度不对                   50'比赛补时5分钟，第92分钟哈默德左路传中，阿隆横扫打在申鑫队员身上出界
52'哈默德前场接应，没有拿好球                   50'比赛补时5分钟，第92分钟哈默德左路传中，阿隆横扫打在申鑫队员身上出界
53'用户3099007815：现在的富力的广州元素比恒大还多，唉，怎么关注的人这么少（都去现场看球了吗？）                   50'比赛补时5分钟，第92分钟哈默德左路传中，阿隆横扫打在申鑫队员身上出界
53'王晓龙左路拿球，走外线传中去后点，力量大了                   50'比赛补时5分钟，第92分钟哈默德左路传中，阿隆横扫打在申鑫队员身上出界
