4'曼联球员鲁尼大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是拉斐尔.                   4'第4分钟，拉斐尔传球，鲁尼25码处劲射偏出
29'射门!!!埃弗顿球员奥斯曼大禁区外左脚射门,被对方守门员横身扑出.给他传球的是皮纳尔.                   29'第29分钟，阿尼切比头球摆渡，奥斯曼20码处左脚半凌空抽射被德赫亚飞身扑出
29'德赫亚将球处理出底线,埃弗顿获得角球.                   29'第29分钟，阿尼切比头球摆渡，奥斯曼20码处左脚半凌空抽射被德赫亚飞身扑出
30'埃弗顿球员费莱尼球门线跟前头球,被防守球员封堵.给他传球的是拜恩斯.                   29'第29分钟，阿尼切比头球摆渡，奥斯曼20码处左脚半凌空抽射被德赫亚飞身扑出
30'埃弗顿球员米纳拉斯大禁区中央左脚射门,被防守球员封堵.                   29'第29分钟，阿尼切比头球摆渡，奥斯曼20码处左脚半凌空抽射被德赫亚飞身扑出
30'埃弗顿球员吉布森大禁区外右脚射门,被防守球员封堵.给他传球的是拜恩斯.                   29'第29分钟，阿尼切比头球摆渡，奥斯曼20码处左脚半凌空抽射被德赫亚飞身扑出
32'曼联球员菲尔-琼斯一脚直塞球给范佩西,但是边裁举旗显示后者已经越位.                   29'第29分钟，阿尼切比头球摆渡，奥斯曼20码处左脚半凌空抽射被德赫亚飞身扑出
37'克莱维利为曼联在左路,赢得一个任意球.                   36'第36分钟，费莱尼直传，米拉拉斯禁区右侧传中，阿尼切比小禁区前背身停球后被拉斐尔及时解围
37'埃弗顿球员米纳拉斯拼抢犯规,对手获得控球权.                   36'第36分钟，费莱尼直传，米拉拉斯禁区右侧传中，阿尼切比小禁区前背身停球后被拉斐尔及时解围
38'黄牌！埃弗顿球员米纳拉斯因为恶意犯规,被主裁判出示黄牌.                   36'第36分钟，费莱尼直传，米拉拉斯禁区右侧传中，阿尼切比小禁区前背身停球后被拉斐尔及时解围
39'曼联球员范佩西手球犯规,对手获得球权.                   36'第36分钟，费莱尼直传，米拉拉斯禁区右侧传中，阿尼切比小禁区前背身停球后被拉斐尔及时解围
41'埃弗顿球员奥斯曼大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.                   41'第41分钟，吉布森长传禁区，德赫亚12码处击出皮球，奥斯曼凌空抽射偏出
42'曼联球员拉斐尔一脚直塞球给范佩西,但是边裁举旗显示后者已经越位.                   41'第41分钟，吉布森长传禁区，德赫亚12码处击出皮球，奥斯曼凌空抽射偏出
43'曼联球员克莱维利拼抢犯规,对手获得控球权.                   41'第41分钟，吉布森长传禁区，德赫亚12码处击出皮球，奥斯曼凌空抽射偏出
43'奥斯曼为埃弗顿赢得一个任意球.                   41'第41分钟，吉布森长传禁区，德赫亚12码处击出皮球，奥斯曼凌空抽射偏出
43'菲尔-琼斯为曼联赢得一个任意球.                   41'第41分钟，吉布森长传禁区，德赫亚12码处击出皮球，奥斯曼凌空抽射偏出
43'埃弗顿球员费莱尼拼抢犯规,对手获得控球权.                   41'第41分钟，吉布森长传禁区，德赫亚12码处击出皮球，奥斯曼凌空抽射偏出
56'曼联换人,卡里克上,菲尔-琼斯因伤下场.                   56'第56分钟，卡里克换下受伤的菲尔-琼斯
57'埃弗顿受伤倒地,比赛暂停                   56'第56分钟，卡里克换下受伤的菲尔-琼斯
57'埃弗顿换人,耶拉维奇上,阿尼切贝因伤下场.                   56'第56分钟，卡里克换下受伤的菲尔-琼斯
57'暂停结束,球员们重新开始比赛.                   56'第56分钟，卡里克换下受伤的菲尔-琼斯
58'范佩西为曼联赢得一个任意球.                   56'第56分钟，卡里克换下受伤的菲尔-琼斯
58'埃弗顿球员海廷加拼抢犯规,对手获得控球权.                   56'第56分钟，卡里克换下受伤的菲尔-琼斯
58'曼联球员吉格斯大禁区外左脚射门,被防守球员封堵.                   56'第56分钟，卡里克换下受伤的菲尔-琼斯
58'曼联球员鲁尼拼抢犯规,对手获得控球权.                   56'第56分钟，卡里克换下受伤的菲尔-琼斯
58'菲利普-内维尔为埃弗顿赢得一个任意球.                   56'第56分钟，卡里克换下受伤的菲尔-琼斯
69'埃弗顿球员贾吉尔卡大禁区中央尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是拜恩斯.                   69'第69分钟，拜恩斯开出角球，加吉尔卡头球攻门偏出
70'埃弗顿换人,奈史密斯换下米纳拉斯                   69'第69分钟，拜恩斯开出角球，加吉尔卡头球攻门偏出
71'吉布森将球处理出底线,曼联获得角球.                   69'第69分钟，拜恩斯开出角球，加吉尔卡头球攻门偏出
72'埃弗顿球员奥斯曼一脚直塞球给耶拉维奇,但是边裁举旗显示后者已经越位.                   69'第69分钟，拜恩斯开出角球，加吉尔卡头球攻门偏出
82'射门!!!埃弗顿球员耶拉维奇大禁区外右脚射门,被对方守门员横身扑出.                   82'第82分钟，刚刚换下埃文斯的斯马林失误，耶拉维奇禁区弧内劲射被德赫亚扑出
82'拉斐尔将球处理出底线,埃弗顿获得角球.                   82'第82分钟，刚刚换下埃文斯的斯马林失误，耶拉维奇禁区弧内劲射被德赫亚扑出
84'范佩西为曼联赢得一个任意球.                   82'第82分钟，刚刚换下埃文斯的斯马林失误，耶拉维奇禁区弧内劲射被德赫亚扑出
84'埃弗顿球员费莱尼拼抢犯规,对手获得控球权.                   82'第82分钟，刚刚换下埃文斯的斯马林失误，耶拉维奇禁区弧内劲射被德赫亚扑出
85'克莱维利为曼联赢得一个任意球.                   82'第82分钟，刚刚换下埃文斯的斯马林失误，耶拉维奇禁区弧内劲射被德赫亚扑出
85'埃弗顿球员费莱尼拼抢犯规,对手获得控球权.                   82'第82分钟，刚刚换下埃文斯的斯马林失误，耶拉维奇禁区弧内劲射被德赫亚扑出
