1'上半场比赛开始                   1'切尔西第1分钟控制比赛
14'但慢镜来看，刚才切尔西的进球来源的一个角球                   12'切尔西第12分钟取得领先，阿扎尔战术角球回传，佩德罗22码处右脚射门，皮球击中左侧立柱内侧入网
15'是一个误判                   12'切尔西第12分钟取得领先，阿扎尔战术角球回传，佩德罗22码处右脚射门，皮球击中左侧立柱内侧入网
15'切尔西后场控球                   12'切尔西第12分钟取得领先，阿扎尔战术角球回传，佩德罗22码处右脚射门，皮球击中左侧立柱内侧入网
15'路易斯转移给了卡希尔                   12'切尔西第12分钟取得领先，阿扎尔战术角球回传，佩德罗22码处右脚射门，皮球击中左侧立柱内侧入网
15'连续的传球                   12'切尔西第12分钟取得领先，阿扎尔战术角球回传，佩德罗22码处右脚射门，皮球击中左侧立柱内侧入网
15'马里亚帕回传给戈麦斯                   12'切尔西第12分钟取得领先，阿扎尔战术角球回传，佩德罗22码处右脚射门，皮球击中左侧立柱内侧入网
15'长传上来                   12'切尔西第12分钟取得领先，阿扎尔战术角球回传，佩德罗22码处右脚射门，皮球击中左侧立柱内侧入网
15'克莱维利控球，交给霍瓦莱斯                   12'切尔西第12分钟取得领先，阿扎尔战术角球回传，佩德罗22码处右脚射门，皮球击中左侧立柱内侧入网
19'马里亚帕背后铲倒了阿扎尔                   16'蓝军第16分钟错过机会，莫拉塔反击中斜传，小法禁区右侧12码处挑射，戈麦斯跳起扑挡后没收皮球
19'马里亚帕吃到黄牌                   16'蓝军第16分钟错过机会，莫拉塔反击中斜传，小法禁区右侧12码处挑射，戈麦斯跳起扑挡后没收皮球
19'法布雷加斯长传上来，戈麦斯将球没收                   16'蓝军第16分钟错过机会，莫拉塔反击中斜传，小法禁区右侧12码处挑射，戈麦斯跳起扑挡后没收皮球
48'路易斯头球解围不远，杜库雷禁区内右脚外脚背打门，球进了！                   48'沃特福德第48分钟错过机会，费梅尼亚右路低传，理查利森小禁区边缘推射偏出左侧立柱
48'这脚打门太漂亮                   48'沃特福德第48分钟错过机会，费梅尼亚右路低传，理查利森小禁区边缘推射偏出左侧立柱
48'库尔图瓦有点没有看到来球的线路                   48'沃特福德第48分钟错过机会，费梅尼亚右路低传，理查利森小禁区边缘推射偏出左侧立柱
48'上半场比赛结束！                   48'沃特福德第48分钟错过机会，费梅尼亚右路低传，理查利森小禁区边缘推射偏出左侧立柱
48'戈麦斯发门球                   48'沃特福德第48分钟错过机会，费梅尼亚右路低传，理查利森小禁区边缘推射偏出左侧立柱
48'路易斯顶给卡希尔                   48'沃特福德第48分钟错过机会，费梅尼亚右路低传，理查利森小禁区边缘推射偏出左侧立柱
48'长传上来，马里亚帕的解围                   48'沃特福德第48分钟错过机会，费梅尼亚右路低传，理查利森小禁区边缘推射偏出左侧立柱
48'基科下底传中                   48'沃特福德第48分钟错过机会，费梅尼亚右路低传，理查利森小禁区边缘推射偏出左侧立柱
49'前点空了                   48'沃特福德第48分钟错过机会，费梅尼亚右路低传，理查利森小禁区边缘推射偏出左侧立柱
49'理查利森6米处面对空门打门居然打偏了！                   48'沃特福德第48分钟错过机会，费梅尼亚右路低传，理查利森小禁区边缘推射偏出左侧立柱
49'这球眼看着就要进了                   48'沃特福德第48分钟错过机会，费梅尼亚右路低传，理查利森小禁区边缘推射偏出左侧立柱
49'巴卡约科交给佩德罗                   48'沃特福德第48分钟错过机会，费梅尼亚右路低传，理查利森小禁区边缘推射偏出左侧立柱
49'巴卡约科突进                   48'沃特福德第48分钟错过机会，费梅尼亚右路低传，理查利森小禁区边缘推射偏出左侧立柱
49'被断了                   48'沃特福德第48分钟错过机会，费梅尼亚右路低传，理查利森小禁区边缘推射偏出左侧立柱
49'沃特福德反击                   48'沃特福德第48分钟错过机会，费梅尼亚右路低传，理查利森小禁区边缘推射偏出左侧立柱
50'理查利森左路带球进了禁区横传，佩雷拉得球面对库尔图瓦轻松推射破门！                   48'沃特福德第48分钟错过机会，费梅尼亚右路低传，理查利森小禁区边缘推射偏出左侧立柱
50'这球切尔西的防守去哪里了？                   48'沃特福德第48分钟错过机会，费梅尼亚右路低传，理查利森小禁区边缘推射偏出左侧立柱
50'这样的话切尔西就很难了                   48'沃特福德第48分钟错过机会，费梅尼亚右路低传，理查利森小禁区边缘推射偏出左侧立柱
51'路易斯在迪尼的紧逼下将球传出边线                   48'沃特福德第48分钟错过机会，费梅尼亚右路低传，理查利森小禁区边缘推射偏出左侧立柱
51'霍瓦莱斯掷界外球，路易斯的解围                   48'沃特福德第48分钟错过机会，费梅尼亚右路低传，理查利森小禁区边缘推射偏出左侧立柱
51'球出边线                   48'沃特福德第48分钟错过机会，费梅尼亚右路低传，理查利森小禁区边缘推射偏出左侧立柱
51'霍瓦莱斯界外球，吕迪格将球解围出边线                   48'沃特福德第48分钟错过机会，费梅尼亚右路低传，理查利森小禁区边缘推射偏出左侧立柱
54'霍瓦莱斯传后点，阿隆索头球解围                   54'第54分钟，布里托斯传中，理查利森近距离冲顶再次偏出
54'右路布里托斯传中，路易斯冒顶                   54'第54分钟，布里托斯传中，理查利森近距离冲顶再次偏出
54'理查利森头球攻门，稍稍顶偏了                   54'第54分钟，布里托斯传中，理查利森近距离冲顶再次偏出
54'莫拉塔接应，被卡巴塞勒铲出边线                   54'第54分钟，布里托斯传中，理查利森近距离冲顶再次偏出
55'霍瓦莱斯掷界外球                   54'第54分钟，布里托斯传中，理查利森近距离冲顶再次偏出
55'被顶一下                   54'第54分钟，布里托斯传中，理查利森近距离冲顶再次偏出
56'巴卡约科转身被迪尼断了                   54'第54分钟，布里托斯传中，理查利森近距离冲顶再次偏出
56'杜库雷交给理查利森                   54'第54分钟，布里托斯传中，理查利森近距离冲顶再次偏出
56'过人被阿斯皮利奎塔拦截                   54'第54分钟，布里托斯传中，理查利森近距离冲顶再次偏出
56'佩德罗的长传，接应的莫拉塔推倒了克莱维利                   54'第54分钟，布里托斯传中，理查利森近距离冲顶再次偏出
56'杜库雷交给布里托斯                   54'第54分钟，布里托斯传中，理查利森近距离冲顶再次偏出
56'长传上来，巴卡约科头球顶给阿扎尔                   54'第54分钟，布里托斯传中，理查利森近距离冲顶再次偏出
56'转身是越来越少 没了                   54'第54分钟，布里托斯传中，理查利森近距离冲顶再次偏出
57'阿扎尔现的球，对方双人包夹将球断下                   54'第54分钟，布里托斯传中，理查利森近距离冲顶再次偏出
57'阿扎尔将球带出边线                   54'第54分钟，布里托斯传中，理查利森近距离冲顶再次偏出
57'杜库雷交给卡巴塞勒                   54'第54分钟，布里托斯传中，理查利森近距离冲顶再次偏出
71'基科右路没有追上球                   71'切尔西第71分钟扳平，佩德罗右路传中，巴舒亚伊10码处抢在布里托斯之前顶入后角，2-2
71'巴卡约科接应回传给吕迪格                   71'切尔西第71分钟扳平，佩德罗右路传中，巴舒亚伊10码处抢在布里托斯之前顶入后角，2-2
71'威廉分给佩德罗                   71'切尔西第71分钟扳平，佩德罗右路传中，巴舒亚伊10码处抢在布里托斯之前顶入后角，2-2
71'球被霍瓦莱斯绊倒                   71'切尔西第71分钟扳平，佩德罗右路传中，巴舒亚伊10码处抢在布里托斯之前顶入后角，2-2
71'切尔西右路的任意球机会                   71'切尔西第71分钟扳平，佩德罗右路传中，巴舒亚伊10码处抢在布里托斯之前顶入后角，2-2
71'快发                   71'切尔西第71分钟扳平，佩德罗右路传中，巴舒亚伊10码处抢在布里托斯之前顶入后角，2-2
71'佩德罗右路传中，巴舒亚伊甩头攻门球进了！                   71'切尔西第71分钟扳平，佩德罗右路传中，巴舒亚伊10码处抢在布里托斯之前顶入后角，2-2
72'巴卡约科中场对杜库雷犯规                   71'切尔西第71分钟扳平，佩德罗右路传中，巴舒亚伊10码处抢在布里托斯之前顶入后角，2-2
72'巴卡约科非常懊恼                   71'切尔西第71分钟扳平，佩德罗右路传中，巴舒亚伊10码处抢在布里托斯之前顶入后角，2-2
73'克莱维利传后点，卡里略头球没有顶上力量                   71'切尔西第71分钟扳平，佩德罗右路传中，巴舒亚伊10码处抢在布里托斯之前顶入后角，2-2
73'库尔图瓦将球没收                   71'切尔西第71分钟扳平，佩德罗右路传中，巴舒亚伊10码处抢在布里托斯之前顶入后角，2-2
73'威廉右路来了分给佩德罗                   71'切尔西第71分钟扳平，佩德罗右路传中，巴舒亚伊10码处抢在布里托斯之前顶入后角，2-2
73'传中，打在边网上                   71'切尔西第71分钟扳平，佩德罗右路传中，巴舒亚伊10码处抢在布里托斯之前顶入后角，2-2
74'戈麦斯发门球上来                   71'切尔西第71分钟扳平，佩德罗右路传中，巴舒亚伊10码处抢在布里托斯之前顶入后角，2-2
74'被巴卡约科顶一下                   71'切尔西第71分钟扳平，佩德罗右路传中，巴舒亚伊10码处抢在布里托斯之前顶入后角，2-2
74'吕迪格将球解围出边线                   71'切尔西第71分钟扳平，佩德罗右路传中，巴舒亚伊10码处抢在布里托斯之前顶入后角，2-2
74'霍瓦莱斯掷界外球被顶出                   71'切尔西第71分钟扳平，佩德罗右路传中，巴舒亚伊10码处抢在布里托斯之前顶入后角，2-2
74'克莱维利打门偏出                   71'切尔西第71分钟扳平，佩德罗右路传中，巴舒亚伊10码处抢在布里托斯之前顶入后角，2-2
80'沃特福德换人，沃森准备上场                   80'第80分钟，巴舒亚伊左路弧线球射门弹地后擦远角立柱偏出
80'巴舒亚伊左路得球，远射，擦着立柱出底线                   80'第80分钟，巴舒亚伊左路弧线球射门弹地后擦远角立柱偏出
80'沃特福德换人，沃森换下了迪尼                   80'第80分钟，巴舒亚伊左路弧线球射门弹地后擦远角立柱偏出
81'佩德罗直传，布里托斯大脚解围                   80'第80分钟，巴舒亚伊左路弧线球射门弹地后擦远角立柱偏出
81'理查利森没有护住球                   80'第80分钟，巴舒亚伊左路弧线球射门弹地后擦远角立柱偏出
81'路易斯直传，巴卡约科拿球交给了威廉                   80'第80分钟，巴舒亚伊左路弧线球射门弹地后擦远角立柱偏出
81'阿扎尔回传                   80'第80分钟，巴舒亚伊左路弧线球射门弹地后擦远角立柱偏出
81'路易斯近，交给吕迪格，交给巴卡约科                   80'第80分钟，巴舒亚伊左路弧线球射门弹地后擦远角立柱偏出
82'直传，阿扎尔停球被拉倒                   80'第80分钟，巴舒亚伊左路弧线球射门弹地后擦远角立柱偏出
82'沃森的犯规                   80'第80分钟，巴舒亚伊左路弧线球射门弹地后擦远角立柱偏出
82'切尔西前场的任意球机会                   80'第80分钟，巴舒亚伊左路弧线球射门弹地后擦远角立柱偏出
82'法布雷加斯直传，巴舒亚伊停球打门，打高了                   80'第80分钟，巴舒亚伊左路弧线球射门弹地后擦远角立柱偏出
83'法布雷加斯放长传，布里托斯解围                   80'第80分钟，巴舒亚伊左路弧线球射门弹地后擦远角立柱偏出
83'杜库雷护球回传                   80'第80分钟，巴舒亚伊左路弧线球射门弹地后擦远角立柱偏出
83'卡巴塞勒长传上来，路易斯回传给库尔图瓦                   80'第80分钟，巴舒亚伊左路弧线球射门弹地后擦远角立柱偏出
83'库尔图瓦交给路易斯，交给吕迪格                   80'第80分钟，巴舒亚伊左路弧线球射门弹地后擦远角立柱偏出
87'切尔西换人，21号扎帕科斯塔换下了11号佩德罗                   87'切尔西第87分钟绝杀，威廉右路传中，阿斯皮利奎塔远点近距离头球破门，3-2
87'扎帕科斯塔下底传中，球划门而过                   87'切尔西第87分钟绝杀，威廉右路传中，阿斯皮利奎塔远点近距离头球破门，3-2
87'路易斯分边右路的扎帕科斯塔                   87'切尔西第87分钟绝杀，威廉右路传中，阿斯皮利奎塔远点近距离头球破门，3-2
87'回给威廉                   87'切尔西第87分钟绝杀，威廉右路传中，阿斯皮利奎塔远点近距离头球破门，3-2
87'威廉边路传中，巴舒亚伊没有顶到，后点有阿斯皮利奎塔，头球攻门球进了！                   87'切尔西第87分钟绝杀，威廉右路传中，阿斯皮利奎塔远点近距离头球破门，3-2
88'3：2                   87'切尔西第87分钟绝杀，威廉右路传中，阿斯皮利奎塔远点近距离头球破门，3-2
89'杜库雷带球被断了                   87'切尔西第87分钟绝杀，威廉右路传中，阿斯皮利奎塔远点近距离头球破门，3-2
89'阿扎尔直传，巴舒亚伊球，被马里亚帕解围出底线                   87'切尔西第87分钟绝杀，威廉右路传中，阿斯皮利奎塔远点近距离头球破门，3-2
89'孔蒂在场边不断呼喊                   87'切尔西第87分钟绝杀，威廉右路传中，阿斯皮利奎塔远点近距离头球破门，3-2
89'阿扎尔溜底，回传                   87'切尔西第87分钟绝杀，威廉右路传中，阿斯皮利奎塔远点近距离头球破门，3-2
89'威廉下底传中，有点高，吕迪格没有顶到                   87'切尔西第87分钟绝杀，威廉右路传中，阿斯皮利奎塔远点近距离头球破门，3-2
90'威廉相当活跃                   87'切尔西第87分钟绝杀，威廉右路传中，阿斯皮利奎塔远点近距离头球破门，3-2
90'沃特福德换人，18号格雷换下了6号马里亚帕                   87'切尔西第87分钟绝杀，威廉右路传中，阿斯皮利奎塔远点近距离头球破门，3-2
